batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,1,0,587358322,1783388488040755000
1,1,1,620691655,1783388488047214000
2,0,0,1153646962,1783388488490950000
2,1,2,654024988,1783388488049576000
3,0,1,1186980295,1783388488502820000
3,1,3,687358321,1783388488051891000
4,0,2,1220313628,1783388488535942000
4,1,4,720691654,1783388488251990000
4,3,0,1721644250,1783388489058829000
5,0,3,1253646961,1783388488567996000
5,1,5,754024987,1783388488459809000
5,3,1,1754977583,1783388489062799000
6,0,4,1286980294,1783388488668447000
6,1,6,787358320,1783388488669395000
6,3,2,1788310916,1783388489071598000
7,0,5,1320313627,1783388488878016000
7,1,7,820691653,1783388488876986000
7,2,0,2289143346,1783388489617440000
7,3,3,1821644249,1783388489103889000
8,0,6,1353646960,1783388489082683000
8,1,8,854024986,1783388489081646000
8,2,1,2322476679,1783388489622162000
8,3,4,1854977582,1783388489135762000
9,0,7,1386980293,1783388489290378000
9,1,9,887358319,1783388489292460000
9,2,2,2355810012,1783388489640498000
9,3,5,1888310915,1783388489291450000
10,0,8,1420313626,1783388489499197000
10,1,10,920691652,1783388489501282000
10,2,3,2389143345,1783388489672368000
10,3,6,1921644248,1783388489500225000
11,0,9,1453646959,1783388489619785000
11,1,11,954024985,1783388489621138000
11,2,4,2422476678,1783388489703678000
11,3,7,1954977581,1783388489620032000
12,0,10,1486980292,1783388489623835000
12,1,12,987358318,1783388489625930000
12,2,5,2455810011,1783388489739269000
12,3,8,1988310914,1783388489624897000
13,0,11,1520313625,1783388489652908000
13,1,13,1020691651,1783388489651832000
13,2,6,2489143344,1783388489771708000
13,3,9,2021644247,1783388489650823000
14,0,12,1553646958,1783388489682995000
14,1,14,1054024984,1783388489684713000
14,2,7,2522476677,1783388489802869000
14,3,10,2054977580,1783388489683724000
15,0,13,1586980291,1783388489714133000
15,1,15,1087358317,1783388489715329000
15,2,8,2555810010,1783388489838902000
15,3,11,2088310913,1783388489716173000
16,0,14,1620313624,1783388489750548000
16,1,16,1120691650,1783388489749471000
16,2,9,2589143343,1783388489871034000
16,3,12,2121644246,1783388489751558000
17,0,15,1653646957,1783388489781863000
17,1,17,1154024983,1783388489782938000
17,2,10,2622476676,1783388489903212000
17,3,13,2154977579,1783388489783980000
18,0,16,1686980290,1783388489813173000
18,1,18,1187358316,1783388489814203000
18,2,11,2655810009,1783388489939209000
18,3,14,2188310912,1783388489815260000
19,0,17,1720313623,1783388489852685000
19,1,19,1220691649,1783388489849121000
19,2,12,2689143342,1783388489971179000
19,3,15,2221644245,1783388489850164000
20,0,18,1753646956,1783388489881250000
20,1,20,1254024982,1783388489882280000
20,2,13,2722476675,1783388490002998000
20,3,16,2254977578,1783388489883349000
21,0,19,1786980289,1783388489913597000
21,1,21,1287358315,1783388489915834000
21,2,14,2755810008,1783388490041665000
21,3,17,2288310911,1783388489914652000
22,0,20,1820313622,1783388489951902000
22,1,22,1320691648,1783388489950793000
22,2,15,2789143341,1783388490071099000
22,3,18,2321644244,1783388489949831000
23,0,21,1853646955,1783388489983524000
23,1,23,1354024981,1783388489982250000
23,2,16,2822476674,1783388490103104000
23,3,19,2354977577,1783388489981163000
24,0,22,1886980288,1783388490015278000
24,1,24,1387358314,1783388490013187000
24,2,17,2855810007,1783388490139760000
24,3,20,2388310910,1783388490014222000
25,0,23,1920313621,1783388490052869000
25,1,25,1420691647,1783388490053930000
25,2,18,2889143340,1783388490171335000
25,3,21,2421644243,1783388490051817000
26,0,24,1953646954,1783388490083536000
26,1,26,1454024980,1783388490081455000
26,2,19,2922476673,1783388490208781000
26,3,22,2454977576,1783388490082480000
27,0,25,1986980287,1783388490113284000
27,1,27,1487358313,1783388490115507000
27,2,20,2955810006,1783388490238912000
27,3,23,2488310909,1783388490114316000
28,0,26,2020313620,1783388490151081000
28,1,28,1520691646,1783388490152153000
28,2,21,2989143339,1783388490271460000
28,3,24,2521644242,1783388490150031000
29,0,27,2053646953,1783388490181624000
29,1,29,1554024979,1783388490182669000
29,2,22,3022476672,1783388490309139000
29,3,25,2554977575,1783388490183733000
30,0,28,2086980286,1783388490220337000
30,1,30,1587358312,1783388490221453000
30,2,23,3055810005,1783388490339779000
30,3,26,2588310908,1783388490219310000
31,0,29,2120313619,1783388490250324000
31,1,31,1620691645,1783388490251524000
31,2,24,3089143338,1783388490370888000
31,3,27,2621644241,1783388490249405000
32,0,30,2153646952,1783388490282698000
32,1,32,1654024978,1783388490283761000
32,2,25,3122476671,1783388490406962000
32,3,28,2654977574,1783388490281670000
33,0,31,2186980285,1783388490321447000
33,1,33,1687358311,1783388490320401000
33,2,26,3155810004,1783388490444410000
33,3,29,2688310907,1783388490319363000
34,0,32,2220313618,1783388490350158000
34,1,34,1720691644,1783388490352258000
34,2,27,3189143337,1783388490471743000
34,3,30,2721644240,1783388490351211000
35,0,33,2253646951,1783388490382299000
35,1,35,1754024977,1783388490381557000
35,2,28,3222476670,1783388490507616000
35,3,31,2754977573,1783388490383352000
36,0,34,2286980284,1783388490417089000
36,1,36,1787358310,1783388490418293000
36,2,29,3255810003,1783388490538999000
36,3,32,2788310906,1783388490419759000
37,0,35,2320313617,1783388490456664000
37,1,37,1820691643,1783388490454576000
37,2,30,3289143336,1783388490574972000
37,3,33,2821644239,1783388490455626000
38,0,36,2353646950,1783388490481975000
38,1,38,1854024976,1783388490483004000
38,2,31,3322476669,1783388490609838000
38,3,34,2854977572,1783388490484077000
39,0,37,2386980283,1783388490520420000
39,1,39,1887358309,1783388490518337000
39,2,32,3355810002,1783388490640539000
39,3,35,2888310905,1783388490519379000
40,0,38,2420313616,1783388490550422000
40,1,40,1920691642,1783388490549392000
40,2,33,3389143335,1783388490675267000
40,3,36,2921644238,1783388490551437000
41,0,39,2453646949,1783388490585225000
41,1,41,1954024975,1783388490587305000
41,2,34,3422476668,1783388490707567000
41,3,37,2954977571,1783388490586313000
42,0,40,2486980282,1783388490621080000
42,1,42,1987358308,1783388490622120000
42,2,35,3455810001,1783388490738951000
42,3,38,2988310904,1783388490620134000
43,0,41,2520313615,1783388490651512000
43,1,43,2020691641,1783388490653597000
43,2,36,3489143334,1783388490771104000
43,3,39,3021644237,1783388490652641000
44,0,42,2553646948,1783388490689671000
44,1,44,2054024974,1783388490688152000
44,2,37,3522476667,1783388490804220000
44,3,40,3054977570,1783388490688718000
45,0,43,2586980281,1783388490717989000
45,1,45,2087358307,1783388490719004000
45,2,38,3555810000,1783388490843204000
45,3,41,3088310903,1783388490720110000
46,0,44,2620313614,1783388490751150000
46,1,46,2120691640,1783388490752396000
46,2,39,3589143333,1783388490875108000
46,3,42,3121644236,1783388490750349000
47,0,45,2653646947,1783388490783450000
47,1,47,2154024973,1783388490781379000
47,2,40,3622476666,1783388490907042000
47,3,43,3154977569,1783388490782593000
48,0,46,2686980280,1783388490815468000
48,1,48,2187358306,1783388490814529000
48,2,41,3655809999,1783388490939640000
48,3,44,3188310902,1783388490816586000
49,0,47,2720313613,1783388490854484000
49,1,49,2220691639,1783388490855518000
49,2,42,3689143332,1783388490970942000
49,3,45,3221644235,1783388490853402000
50,0,48,2753646946,1783388490885524000
50,1,50,2254024972,1783388490887623000
50,2,43,3722476665,1783388491006993000
50,3,46,3254977568,1783388490886609000
51,0,49,2786980279,1783388490917283000
51,1,51,2287358305,1783388490918364000
51,2,44,3755809998,1783388491038889000
51,3,47,3288310901,1783388490919399000
52,0,50,2820313612,1783388490951242000
52,1,52,2320691638,1783388490952296000
52,2,45,3789143331,1783388491070874000
52,3,48,3321644234,1783388490950342000
53,0,51,2853646945,1783388490983656000
53,1,53,2354024971,1783388490981521000
53,2,46,3822476664,1783388491107271000
53,3,49,3354977567,1783388490982545000
54,0,52,2886980278,1783388491018419000
54,1,54,2387358304,1783388491019493000
54,2,47,3855809997,1783388491138928000
54,3,50,3388310900,1783388491017356000
55,0,53,2920313611,1783388491049220000
55,1,55,2420691637,1783388491051264000
55,2,48,3889143330,1783388491174029000
