batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,33333333,352878356770068,1783388488249495677,1
1,66666666,352878565366803,1783388488458092444,1
2,1209422614,352878774021843,1783388488666747484,2
3,1242755947,352878982656946,1783388488875382587,2
4,1777298750,352879187351191,1783388489080076832,3
5,1810632083,352879395988343,1783388489288713952,3
6,1843965416,352879604679895,1783388489497405536,3
7,2335909021,352879724860384,1783388489617585993,4
8,2369242354,352879729511812,1783388489622237421,4
9,2402575687,352879756461841,1783388489649187482,4
10,2435909020,352879788270565,1783388489680996174,4
11,2469242353,352879819568370,1783388489712293979,4
12,2502575686,352879855149342,1783388489747874983,4
13,2535909019,352879887575355,1783388489780300964,4
14,2569242352,352879918813895,1783388489811539536,4
15,2602575685,352879954714423,1783388489847440032,4
16,2635909018,352879986891313,1783388489879616954,4
17,2669242351,352880019276270,1783388489912001911,4
18,2702575684,352880055162750,1783388489947888359,4
19,2735909017,352880086957714,1783388489979683355,4
20,2769242350,352880118867592,1783388490011593201,4
21,2802575683,352880157532737,1783388490050258378,4
22,2835909016,352880187056084,1783388490079781725,4
23,2869242349,352880218961353,1783388490111686994,4
24,2902575682,352880255697062,1783388490148422703,4
25,2935909015,352880287303831,1783388490180029472,4
26,2969242348,352880324766399,1783388490217492040,4
27,3002575681,352880354742200,1783388490247467841,4
28,3035909014,352880387377496,1783388490280103137,4
29,3069242347,352880425040899,1783388490317766540,4
30,3102575680,352880455755207,1783388490348480848,4
31,3135909013,352880486798992,1783388490379524633,4
32,3169242346,352880522796866,1783388490415522507,4
33,3202575679,352880560264553,1783388490452990194,4
34,3235909012,352880587639516,1783388490480365157,4
35,3269242345,352880623795409,1783388490516521018,4
36,3302575678,352880654835609,1783388490547561250,4
37,3335909011,352880690801451,1783388490583527092,4
38,3369242344,352880725772398,1783388490618498007,4
39,3402575677,352880757152316,1783388490649877925,4
40,3435909010,352880792412899,1783388490685138540,4
41,3469242343,352880823471084,1783388490716196693,4
42,3502575676,352880855699174,1783388490748424815,4
43,3535909009,352880886926994,1783388490779652603,4
44,3569242342,352880920166459,1783388490812892068,4
45,3602575675,352880959076760,1783388490851802401,4
46,3635909008,352880991208977,1783388490883934586,4
47,3669242341,352881022917124,1783388490915642733,4
48,3702575674,352881055622565,1783388490948348206,4
