cam,seq,pts_ns,mono_ns,real_ns
1,0,587358322,352878009820001,1783388487902545610
1,2,587370250,352878148211734,1783388488040937375
1,3,599372250,352878154630805,1783388488047356446
1,4,635337642,352878156990264,1783388488049715873
1,7,735339866,352878173728366,1783388488066454007
1,8,767343218,352878359404763,1783388488252130404
1,9,799340282,352878567250735,1783388488459976376
0,0,1153646962,352878584039014,1783388488476764655
0,2,1161675250,352878604181647,1783388488496907256
0,3,1189730962,352878639925341,1783388488532650950
0,4,1225656610,352878671965876,1783388488564691517
0,5,1257662282,352878707997447,1783388488600723056
0,6,1289736186,352878775918255,1783388488668643864
1,10,835350186,352878776764475,1783388488669490084
1,14,967376674,352878984442316,1783388488877167925
0,7,1325704250,352878985385274,1783388488878110883
3,0,1721644250,352879148144566,1783388489040870207
3,2,1725663730,352879166237280,1783388489058962921
3,3,1733669186,352879175820942,1783388489068546615
1,20,1167402738,352879189086129,1783388489081811770
0,8,1357685026,352879190034143,1783388489082759784
3,4,1769689474,352879207932806,1783388489100658447
3,5,1801639866,352879239953182,1783388489132678791
3,6,1833651314,352879271961813,1783388489164687454
0,9,1389716026,352879397797969,1783388489290523578
3,7,1865685930,352879398833376,1783388489291559017
1,26,1367429706,352879399859536,1783388489292585177
0,15,1589772602,352879606786518,1783388489499512191
3,8,1901647154,352879607588449,1783388489500314090
1,32,1567461186,352879608684082,1783388489501409691
2,0,2289143346,352879711525499,1783388489604251108
2,2,2293150506,352879724841439,1783388489617567080
0,21,1789785410,352879727216546,1783388489619942187
3,9,1933662122,352879727380069,1783388489620105678
1,38,1767499570,352879728615703,1783388489621341312
0,27,1989755058,352879731310111,1783388489624035720
3,11,2001710410,352879732347342,1783388489625072983
1,45,2003516514,352879733367357,1783388489626092966
2,3,2301136250,352879743424401,1783388489636150010
3,17,2201645674,352879758277068,1783388489651002677
1,51,2203504122,352879759191961,1783388489651917602
0,33,2189772378,352879760313386,1783388489653039027
2,4,2337137282,352879775445288,1783388489668170897
0,37,2325773738,352879790573959,1783388489683299600
3,21,2333644282,352879791136047,1783388489683861656
1,55,2335554930,352879792246048,1783388489684971689
2,5,2369210674,352879808189162,1783388489700914771
0,38,2357750898,352879821574191,1783388489714299832
1,56,2371578610,352879822849538,1783388489715575147
3,22,2369660762,352879823563469,1783388489716289078
2,6,2405158418,352879843490034,1783388489736215675
1,57,2403605962,352879856875287,1783388489749600928
0,39,2389761218,352879857940039,1783388489750665680
3,23,2401691410,352879858900693,1783388489751626302
2,7,2437133994,352879875553290,1783388489768278931
0,40,2425747802,352879889255764,1783388489781981405
1,58,2435541962,352879890308643,1783388489783034284
3,24,2433653250,352879891329362,1783388489784055003
2,8,2469171058,352879907417663,1783388489800143304
0,41,2457779674,352879920589985,1783388489813315594
