cam,pts_ns,mono_ns,real_ns
1,587358322,352878147946834,1783388488040672443
1,620691655,352878154461810,1783388488047187451
1,654024988,352878156829397,1783388488049555006
1,687358321,352878159146455,1783388488051872064
1,720691654,352878359240761,1783388488251966370
1,754024987,352878567056204,1783388488459781813
0,1153646962,352878598188662,1783388488490914271
0,1186980295,352878610065317,1783388488502790958
0,1220313628,352878643191469,1783388488535917110
0,1253646961,352878675247653,1783388488567973294
0,1286980294,352878775696747,1783388488668422388
1,787358320,352878776654585,1783388488669380450
1,820691653,352878984236009,1783388488876961650
0,1320313627,352878985274937,1783388488878000578
3,1721644250,352879166078878,1783388489058804487
3,1754977583,352879170054841,1783388489062780450
3,1788310916,352879178848986,1783388489071574595
1,854024986,352879188901390,1783388489081627031
0,1353646960,352879189945373,1783388489082671014
3,1821644249,352879211135285,1783388489103860894
3,1854977582,352879243004811,1783388489135730452
0,1386980293,352879397629775,1783388489290355384
3,1888310915,352879398706751,1783388489291432328
1,887358319,352879399725038,1783388489292450743
0,1420313626,352879606448273,1783388489499173914
3,1921644248,352879607485824,1783388489500211465
1,920691652,352879608541455,1783388489501267096
2,2289143346,352879724696989,1783388489617422598
0,1453646959,352879727045312,1783388489619770921
3,1954977581,352879727297124,1783388489620022733
1,954024985,352879728392532,1783388489621118173
2,2322476679,352879729417795,1783388489622143436
0,1486980292,352879731088027,1783388489623813636
3,1988310914,352879732150443,1783388489624876084
1,987358318,352879733187130,1783388489625912771
2,2355810012,352879747745009,1783388489640470650
3,2021644247,352879758077961,1783388489650803602
1,1020691651,352879759097944,1783388489651823553
0,1520313625,352879760168039,1783388489652893680
2,2389143345,352879779610118,1783388489672335727
0,1553646958,352879790243554,1783388489682969163
3,2054977580,352879790978413,1783388489683704022
1,1054024984,352879791968604,1783388489684694245
2,2422476678,352879810930963,1783388489703656604
0,1586980291,352879821375436,1783388489714101077
1,1087358317,352879822547678,1783388489715273287
3,2088310913,352879823438219,1783388489716163860
2,2455810011,352879846516927,1783388489739242568
1,1120691650,352879856725333,1783388489749450974
0,1620313624,352879857812037,1783388489750537678
3,2121644246,352879858822228,1783388489751547965
2,2489143344,352879878954396,1783388489771680005
0,1653646957,352879889120274,1783388489781845883
1,1154024983,352879890196802,1783388489782922411
3,2154977579,352879891241681,1783388489783967322
2,2522476677,352879910108071,1783388489802833712
0,1686980290,352879920425951,1783388489813151560
1,1187358316,352879921464014,1783388489814189655
3,2188310912,352879922522109,1783388489815247750
2,2555810010,352879946155641,1783388489838881282
1,1220691649,352879956364112,1783388489849089753
3,2221644245,352879957408799,1783388489850134440
0,1720313623,352879959719873,1783388489852445514
2,2589143343,352879978285298,1783388489871010939
0,1753646956,352879988506217,1783388489881231826
1,1254024982,352879989545688,1783388489882271297
3,2254977578,352879990610952,1783388489883336593
2,2622476676,352880010456108,1783388489903181749
0,1786980289,352880020849893,1783388489913575534
3,2288310911,352880021910356,1783388489914635965
1,1287358315,352880023095014,1783388489915820655
2,2655810009,352880046451326,1783388489939176967
3,2321644244,352880057077082,1783388489949802691
1,1320691648,352880058021512,1783388489950747121
0,1820313622,352880059162265,1783388489951887906
2,2689143342,352880078429588,1783388489971155229
3,2354977577,352880088422536,1783388489981148145
1,1354024981,352880089504760,1783388489982230369
0,1853646955,352880090772938,1783388489983498611
2,2722476675,352880110246665,1783388490002972274
1,1387358314,352880120442431,1783388490013168072
3,2388310910,352880121486766,1783388490014212407
0,1886980288,352880122544606,1783388490015270247
2,2755810008,352880148910946,1783388490041636555
3,2421644243,352880159071544,1783388490051797153
0,1920313621,352880160130695,1783388490052856304
1,1420691647,352880161192279,1783388490053917888
2,2789143341,352880178348243,1783388490071073852
1,1454024980,352880188704428,1783388490081430037
3,2454977576,352880189741851,1783388490082467492
0,1953646954,352880190798667,1783388490083524276
2,2822476674,352880210352554,1783388490103078195
0,1986980287,352880220539200,1783388490113264777
3,2488310909,352880221579856,1783388490114305561
1,1487358313,352880222763233,1783388490115488874
2,2855810007,352880247009830,1783388490139735439
3,2521644242,352880257287613,1783388490150013254
0,2020313620,352880258344173,1783388490151069814
1,1520691646,352880259410269,1783388490152135878
2,2889143340,352880278580791,1783388490171306432
0,2053646953,352880288879534,1783388490181605143
1,1554024979,352880289929054,1783388490182654919
3,2554977575,352880290971565,1783388490183697174
2,2922476673,352880315861340,1783388490208586949
3,2588310908,352880326561337,1783388490219286978
0,2086980286,352880327595112,1783388490220320753
1,1587358312,352880328714233,1783388490221439842
2,2955810006,352880346165690,1783388490238891331
3,2621644241,352880356645972,1783388490249371581
0,2120313619,352880357578818,1783388490250304427
1,1620691645,352880358776371,1783388490251502044
2,2989143339,352880378619607,1783388490271345248
3,2654977574,352880388926703,1783388490281652312
0,2153646952,352880389962686,1783388490282688295
1,1654024978,352880391023982,1783388490283749591
2,3022476672,352880416317314,1783388490309042955
3,2688310907,352880426618490,1783388490319344099
1,1687358311,352880427666761,1783388490320392370
0,2186980285,352880428711545,1783388490321437154
2,3055810005,352880447021254,1783388490339746895
0,2220313618,352880457407295,1783388490350132936
3,2721644240,352880458467791,1783388490351193432
1,1720691644,352880459515582,1783388490352241191
2,3089143338,352880478140240,1783388490370865881
1,1754024977,352880488801805,1783388490381527414
0,2253646951,352880489554968,1783388490382280577
3,2754977573,352880490606696,1783388490383332305
2,3122476671,352880514214467,1783388490406940108
0,2286980284,352880524343769,1783388490417069410
1,1787358310,352880525544330,1783388490418269971
3,2788310906,352880527020800,1783388490419746409
2,3155810004,352880551659531,1783388490444385172
1,1820691643,352880561831008,1783388490454556649
3,2821644239,352880562886832,1783388490455612473
0,2320313617,352880563929471,1783388490456655112
2,3189143337,352880578987613,1783388490471713222
0,2353646950,352880589232244,1783388490481957853
1,1854024976,352880590267907,1783388490482993644
3,2854977572,352880591343731,1783388490484069468
2,3222476670,352880614864621,1783388490507590230
1,1887358309,352880625586987,1783388490518312628
3,2888310905,352880626634010,1783388490519359619
0,2386980283,352880627679082,1783388490520404691
2,3255810003,352880646249019,1783388490538974628
1,1920691642,352880656635636,1783388490549361277
0,2420313616,352880657675139,1783388490550400780
3,2921644238,352880658690674,1783388490551416315
2,3289143336,352880682224877,1783388490574950518
0,2453646949,352880692472164,1783388490585197805
3,2954977571,352880693562772,1783388490586288541
1,1954024975,352880694564226,1783388490587289867
2,3322476669,352880717074254,1783388490609799863
3,2988310904,352880727388869,1783388490620114510
0,2486980282,352880728342740,1783388490621068381
1,1987358308,352880729386243,1783388490622111884
2,3355810002,352880747788658,1783388490640514299
0,2520313615,352880758763251,1783388490651488924
3,3021644237,352880759897668,1783388490652623341
1,2020691641,352880760861362,1783388490653586971
2,3389143335,352880782515313,1783388490675240954
1,2054024974,352880795392015,1783388490688117624
3,3054977570,352880795982583,1783388490688708192
0,2553646948,352880796931685,1783388490689657326
2,3422476668,352880814811308,1783388490707536949
0,2586980281,352880825240102,1783388490717965743
1,2087358307,352880826264597,1783388490718990238
3,3088310903,352880827332037,1783388490720057678
2,3455810001,352880846199514,1783388490738925123
3,3121644236,352880857597474,1783388490750323115
0,2620313614,352880858411310,1783388490751136919
1,2120691640,352880859646112,1783388490752371753
2,3489143334,352880878353300,1783388490771078941
1,2154024973,352880888627371,1783388490781353012
3,3154977569,352880889854077,1783388490782579718
0,2653646947,352880890714922,1783388490783440595
2,3522476667,352880911469403,1783388490804195044
1,2187358306,352880921785939,1783388490814511548
0,2686980280,352880922731137,1783388490815456746
3,3188310902,352880923849521,1783388490816575130
2,3555810000,352880950451673,1783388490843177314
3,3221644235,352880960657263,1783388490853382904
0,2720313613,352880961750079,1783388490854475688
1,2220691639,352880962778991,1783388490855504632
2,3589143333,352880982314126,1783388490875039735
0,2753646946,352880992778376,1783388490885504017
3,3254977568,352880993868664,1783388490886594305
1,2254024972,352880994883815,1783388490887609424
2,3622476666,352881014291909,1783388490907017550
0,2786980279,352881024536476,1783388490917262117
1,2287358305,352881025627148,1783388490918352821
3,3288310901,352881026658203,1783388490919383844
2,3655809999,352881046881893,1783388490939607534
3,3321644234,352881057590082,1783388490950315723
0,2820313612,352881058503600,1783388490951229209
1,2320691638,352881059557791,1783388490952283400
2,3689143332,352881078187025,1783388490970912634
1,2354024971,352881088772653,1783388490981498294
3,3354977567,352881089808476,1783388490982534181
0,2853646945,352881090911853,1783388490983637494
2,3722476665,352881114243428,1783388491006969069
