batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,1,0,1153037214,1783388802119033000
1,0,0,1720855182,1783388802521179000
1,1,1,1186370547,1783388802125762000
2,0,1,1754188515,1783388802530312000
2,1,2,1219703880,1783388802127854000
3,0,2,1787521848,1783388802565322000
3,1,3,1253037213,1783388802129502000
4,0,3,1820855181,1783388802598146000
4,1,4,1286370546,1783388802330856000
4,3,0,2289806630,1783388803087302000
5,0,4,1854188514,1783388802629612000
5,1,5,1319703879,1783388802531865000
5,2,0,2369842950,1783388803213406000
5,3,1,2323139963,1783388803094505000
6,0,5,1887521847,1783388802740669000
6,1,6,1353037212,1783388802741910000
6,2,1,2403176283,1783388803216509000
6,3,2,2356473296,1783388803102658000
7,0,6,1920855180,1783388802948891000
7,1,7,1386370545,1783388802949918000
7,2,2,2436509616,1783388803236855000
7,3,3,2389806629,1783388803134660000
8,0,7,1954188513,1783388803157180000
8,1,8,1419703878,1783388803158261000
8,2,3,2469842949,1783388803267276000
8,3,4,2423139962,1783388803165590000
9,0,8,1987521846,1783388803218152000
9,1,9,1453037211,1783388803219208000
9,2,4,2503176282,1783388803297923000
9,3,5,2456473295,1783388803222717000
10,0,9,2020855179,1783388803221304000
10,1,10,1486370544,1783388803222375000
10,2,5,2536509615,1783388803335253000
10,3,6,2489806628,1783388803235823000
11,0,10,2054188512,1783388803239429000
11,1,11,1519703877,1783388803238371000
11,2,6,2569842948,1783388803367293000
11,3,7,2523139961,1783388803266258000
12,0,11,2087521845,1783388803269036000
12,1,12,1553037210,1783388803270007000
12,2,7,2603176281,1783388803398400000
12,3,8,2556473294,1783388803298968000
13,0,12,2120855178,1783388803301542000
13,1,13,1586370543,1783388803300530000
13,2,8,2636509614,1783388803434416000
13,3,9,2589806627,1783388803334116000
14,0,13,2154188511,1783388803337817000
14,1,14,1619703876,1783388803336798000
14,2,9,2669842947,1783388803466040000
14,3,10,2623139960,1783388803366229000
15,0,14,2187521844,1783388803369987000
15,1,15,1653037209,1783388803368878000
15,2,10,2703176280,1783388803503059000
15,3,11,2656473293,1783388803405642000
16,0,15,2220855177,1783388803407734000
16,1,16,1686370542,1783388803408844000
16,2,11,2736509613,1783388803534313000
16,3,12,2689806626,1783388803435474000
17,0,16,2254188510,1783388803438468000
17,1,17,1719703875,1783388803437537000
17,2,12,2769842946,1783388803567428000
17,3,13,2723139959,1783388803467069000
18,0,17,2287521843,1783388803469684000
18,1,18,1753037208,1783388803468639000
18,2,13,2803176279,1783388803603644000
18,3,14,2756473292,1783388803502018000
19,0,18,2320855176,1783388803505667000
19,1,19,1786370541,1783388803504607000
19,2,14,2836509612,1783388803635101000
19,3,15,2789806625,1783388803535271000
20,0,19,2354188509,1783388803536939000
20,1,20,1819703874,1783388803537968000
20,2,15,2869842945,1783388803667172000
20,3,16,2823139958,1783388803566375000
21,0,20,2387521842,1783388803569388000
21,1,21,1853037207,1783388803570411000
21,2,16,2903176278,1783388803702468000
21,3,17,2856473291,1783388803602474000
22,0,21,2420855175,1783388803605239000
22,1,22,1886370540,1783388803606297000
22,2,17,2936509611,1783388803735136000
22,3,18,2889806624,1783388803634042000
23,0,22,2454188508,1783388803636658000
23,1,23,1919703873,1783388803637694000
23,2,18,2969842944,1783388803766995000
23,3,19,2923139957,1783388803666104000
24,0,23,2487521841,1783388803669946000
24,1,24,1953037206,1783388803668927000
24,2,19,3003176277,1783388803803423000
24,3,20,2956473290,1783388803703460000
25,0,24,2520855174,1783388803706578000
25,1,25,1986370539,1783388803706248000
25,2,20,3036509610,1783388803834316000
25,3,21,2989806623,1783388803734011000
26,0,25,2554188507,1783388803737138000
26,1,26,2019703872,1783388803738188000
26,2,21,3069842943,1783388803867016000
26,3,22,3023139956,1783388803765972000
27,0,26,2587521840,1783388803768610000
27,1,27,2053037205,1783388803769658000
27,2,22,3103176276,1783388803903141000
27,3,23,3056473289,1783388803802296000
28,0,27,2620855173,1783388803805114000
28,1,28,2086370538,1783388803806105000
28,2,23,3136509609,1783388803934278000
28,3,24,3089806622,1783388803835168000
29,0,28,2654188506,1783388803836831000
29,1,29,2119703871,1783388803837946000
29,2,24,3169842942,1783388803966459000
29,3,25,3123139955,1783388803865977000
30,0,29,2687521839,1783388803868869000
30,1,30,2153037204,1783388803870259000
30,2,25,3203176275,1783388804003159000
30,3,26,3156473288,1783388803902083000
31,0,30,2720855172,1783388803905893000
31,1,31,2186370537,1783388803904877000
31,2,26,3236509608,1783388804035610000
31,3,27,3189806621,1783388803935279000
32,0,31,2754188505,1783388803937099000
32,1,32,2219703870,1783388803938119000
32,2,27,3269842941,1783388804070227000
32,3,28,3223139954,1783388803970189000
33,0,32,2787521838,1783388803973554000
33,1,33,2253037203,1783388803975635000
33,2,28,3303176274,1783388804103013000
33,3,29,3256473287,1783388804002189000
34,0,33,2820855171,1783388804005825000
34,1,34,2286370536,1783388804004798000
34,2,29,3336509607,1783388804134094000
34,3,30,3289806620,1783388804034631000
35,0,34,2854188504,1783388804037379000
35,1,35,2319703869,1783388804039515000
35,2,30,3369842940,1783388804171448000
35,3,31,3323139953,1783388804071359000
36,0,35,2887521837,1783388804074686000
36,1,36,2353037202,1783388804073448000
36,2,31,3403176273,1783388804203646000
36,3,32,3356473286,1783388804101987000
37,0,36,2920855170,1783388804104675000
37,1,37,2386370535,1783388804105871000
37,2,32,3436509606,1783388804235620000
37,3,33,3389806619,1783388804135136000
38,0,37,2954188503,1783388804137757000
38,1,38,2419703868,1783388804136764000
38,2,33,3469842939,1783388804271308000
38,3,34,3423139952,1783388804170370000
