batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,33333333,353192435064559,1783388802327790168,1
1,1777161333,353192637729679,1783388802530455320,2
2,1810494666,353192845889708,1783388802738615381,2
3,1843827999,353193054390527,1783388802947116168,2
4,2343285399,353193262940028,1783388803155665669,3
5,2469388321,353193323929998,1783388803216655671,4
6,2502721654,353193324127048,1783388803216852689,4
7,2536054987,353193344246837,1783388803236972446,4
8,2569388320,353193374682064,1783388803267407673,4
9,2602721653,353193406337830,1783388803299063471,4
10,2636054986,353193442631796,1783388803335357405,4
11,2669388319,353193474680799,1783388803367406408,4
12,2702721652,353193513478882,1783388803406204523,4
13,2736054985,353193542899739,1783388803435625348,4
14,2769388318,353193574514131,1783388803467239772,4
15,2802721651,353193610501258,1783388803503226867,4
16,2836054984,353193642669137,1783388803535394778,4
17,2869388317,353193674938102,1783388803567663743,4
18,2902721650,353193711045449,1783388803603771090,4
19,2936054983,353193742492070,1783388803635217711,4
20,2969388316,353193774592495,1783388803667318104,4
21,3002721649,353193810922908,1783388803703648517,4
22,3036054982,353193842644368,1783388803735370009,4
23,3069388315,353193874386949,1783388803767112590,4
24,3102721648,353193910824878,1783388803803550487,4
25,3136054981,353193942570882,1783388803835296523,4
26,3169388314,353193974447218,1783388803867172827,4
27,3202721647,353194010530342,1783388803903255951,4
28,3236054980,353194042762635,1783388803935488244,4
29,3269388313,353194077662082,1783388803970387723,4
30,3302721646,353194110549364,1783388804003275005,4
31,3336054979,353194143005366,1783388804035731007,4
32,3369388312,353194178840723,1783388804071566364,4
33,3402721645,353194210456494,1783388804103182135,4
34,3436054978,353194242536570,1783388804135262211,4
35,3469388311,353194279009061,1783388804171734702,4
36,3502721644,353194311103921,1783388804203829594,4
37,3536054977,353194343017155,1783388804235742796,4
38,3569388310,353194378722276,1783388804271447917,4
39,3602721643,353194410591735,1783388804303317408,4
40,3636054976,353194442595750,1783388804335321423,4
41,3669388309,353194479039730,1783388804371765403,4
42,3702721642,353194513747569,1783388804406473242,4
43,3736054975,353194542822966,1783388804435548671,4
44,3769388308,353194579072392,1783388804471798033,4
45,3802721641,353194610530183,1783388804503255792,4
46,3836054974,353194645853043,1783388804538578652,4
47,3869388307,353194678605228,1783388804571330837,4
