cam,seq,pts_ns,mono_ns,real_ns
1,0,1153037214,353192041813453,1783388801934539094
1,3,1164966278,353192226575611,1783388802119301252
1,4,1196970534,353192233158264,1783388802125883937
1,5,1232974214,353192235223098,1783388802127948739
1,9,1364998182,353192265798575,1783388802158524216
1,10,1396961694,353192438240624,1783388802330966233
0,0,1720855182,353192613696792,1783388802506422433
0,2,1728901822,353192633592490,1783388802526318131
1,11,1428960150,353192639254946,1783388802531980587
0,3,1756819374,353192669562430,1783388802562288071
0,4,1788811022,353192701653445,1783388802594379086
0,5,1820879374,353192733625232,1783388802626350873
0,6,1856849182,353192765677689,1783388802658403330
0,7,1888832118,353192848233542,1783388802740959215
1,12,1464950758,353192849354309,1783388802742079950
0,8,1920839439,353193056337317,1783388802949062958
1,13,1496947822,353193057322792,1783388802950048433
3,0,2289806630,353193178647388,1783388803071372965
3,2,2293835110,353193194730592,1783388803087456393
3,3,2301840406,353193206623007,1783388803099348648
3,4,2337794374,353193238736809,1783388803131462450
0,9,1956880406,353193264585579,1783388803157311252
1,21,1764949990,353193265696650,1783388803158422291
3,5,2369828950,353193270507196,1783388803163232837
2,0,2369842950,353193270577786,1783388803163303427
3,6,2401810566,353193302547527,1783388803195273136
2,5,2401825302,353193320916360,1783388803213642001
0,10,1988876118,353193325532703,1783388803218258312
1,27,1964942823,353193326642142,1783388803219367783
0,16,2188824758,353193328706049,1783388803221431690
1,34,2196931854,353193329787969,1783388803222513578
2,6,2437860214,353193338649402,1783388803231375075
3,7,2433819174,353193338816470,1783388803231542111
1,40,2397002438,353193345779623,1783388803238505264
0,22,2388850630,353193346800617,1783388803239526226
2,7,2469801502,353193370633927,1783388803263359536
3,8,2469790438,353193370633735,1783388803263359344
0,24,2456834958,353193376471515,1783388803269197124
1,42,2464913086,353193377649752,1783388803270375361
3,9,2501796022,353193402551094,1783388803295276735
2,8,2501808990,353193402551030,1783388803295276671
1,43,2496926118,353193407975830,1783388803300701471
0,25,2488828534,353193409005175,1783388803301730816
2,9,2537842246,353193438558028,1783388803331283637
3,10,2533821078,353193438569932,1783388803331295541
1,44,2528969374,353193444166534,1783388803336892143
0,26,2524957470,353193445163529,1783388803337889170
3,11,2569804534,353193470603576,1783388803363329217
2,10,2569835694,353193470766355,1783388803363491964
1,45,2564919502,353193476287727,1783388803369013336
0,27,2556843022,353193477496044,1783388803370221653
2,11,2605800798,353193502761024,1783388803395486665
