cam,pts_ns,mono_ns,real_ns
1,1153037214,353192226252965,1783388802118978574
1,1186370547,353192233014748,1783388802125740389
1,1219703880,353192235110590,1783388802127836199
1,1253037213,353192236761965,1783388802129487606
1,1286370546,353192438107412,1783388802330833021
0,1720855182,353192628430883,1783388802521156492
0,1754188515,353192637564596,1783388802530290205
1,1319703879,353192639119910,1783388802531845551
0,1787521848,353192672573253,1783388802565298894
0,1820855181,353192705393174,1783388802598118815
0,1854188514,353192736856912,1783388802629582585
0,1887521847,353192847914640,1783388802740640313
1,1353037212,353192849166091,1783388802741891764
0,1920855180,353193056136459,1783388802948862068
1,1386370545,353193057169069,1783388802949894710
3,2289806630,353193194526502,1783388803087252143
3,2323139963,353193201752080,1783388803094477753
3,2356473296,353193209909982,1783388803102635623
3,2389806629,353193241911435,1783388803134637044
0,1954188513,353193264436464,1783388803157162073
1,1419703878,353193265518928,1783388803158244569
3,2423139962,353193272844279,1783388803165569920
2,2369842950,353193320652783,1783388803213378424
2,2403176283,353193323767635,1783388803216493308
0,1987521846,353193325410338,1783388803218135979
1,1453037211,353193326471395,1783388803219197004
0,2020855179,353193328566277,1783388803221291918
1,1486370544,353193329632901,1783388803222358542
3,2456473295,353193329872446,1783388803222598055
3,2489806628,353193343074743,1783388803235800384
2,2436509616,353193344122040,1783388803236847681
1,1519703877,353193345637900,1783388803238363573
0,2054188512,353193346697068,1783388803239422709
3,2523139961,353193373505874,1783388803266231515
2,2469842949,353193374539060,1783388803267264925
0,2087521845,353193376288704,1783388803269014313
1,1553037210,353193377266019,1783388803269991628
2,2503176282,353193405178121,1783388803297903762
3,2556473294,353193406235305,1783388803298960946
1,1586370543,353193407777500,1783388803300503141
0,2120855178,353193408796478,1783388803301522119
3,2589806627,353193441367449,1783388803334093090
2,2536509615,353193442518743,1783388803335244384
1,1619703876,353193444064265,1783388803336789906
0,2154188511,353193445082667,1783388803337808308
3,2623139960,353193473478051,1783388803366203692
2,2569842948,353193474552163,1783388803367277804
1,1653037209,353193476132500,1783388803368858109
0,2187521844,353193477246291,1783388803369971900
2,2603176281,353193505649546,1783388803398375187
3,2656473293,353193512882612,1783388803405608221
0,2220855177,353193514988629,1783388803407714270
1,1686370542,353193516097749,1783388803408823358
2,2636509614,353193541663008,1783388803434388649
3,2689806626,353193542727488,1783388803435453129
1,1719703875,353193544782243,1783388803437507884
0,2254188510,353193545720936,1783388803438446545
2,2669842947,353193573290071,1783388803466015776
3,2723139959,353193574332696,1783388803467058337
1,1753037208,353193575901578,1783388803468627283
0,2287521843,353193576950283,1783388803469676148
3,2756473292,353193609268654,1783388803501994295
2,2703176280,353193610317647,1783388803503043256
1,1786370541,353193611870305,1783388803504595946
0,2320855176,353193612928578,1783388803505654187
2,2736509613,353193641557970,1783388803534283611
3,2789806625,353193642530517,1783388803535256158
0,2354188509,353193644197284,1783388803536922925
1,1819703874,353193645226629,1783388803537952238
3,2823139958,353193673624061,1783388803566349702
2,2769842946,353193674680413,1783388803567406054
0,2387521842,353193676641187,1783388803569366860
1,1853037207,353193677672805,1783388803570398446
3,2856473291,353193709724496,1783388803602450169
2,2803176279,353193710898061,1783388803603623702
0,2420855175,353193712496670,1783388803605222311
1,1886370540,353193713557310,1783388803606282951
3,2889806624,353193741294249,1783388803634019890
2,2836509612,353193742359498,1783388803635085107
0,2454188508,353193743911548,1783388803636637157
1,1919703873,353193744955261,1783388803637680934
3,2923139957,353193773353876,1783388803666079517
2,2869842945,353193774427828,1783388803667153469
1,1953037206,353193776182976,1783388803668908617
0,2487521841,353193777209314,1783388803669934955
2,2903176278,353193809681728,1783388803702407369
3,2956473290,353193810714242,1783388803703439883
1,1986370539,353193813390963,1783388803706116604
0,2520855174,353193813768103,1783388803706493712
3,2989806623,353193841262841,1783388803733988450
2,2936509611,353193842379864,1783388803735105473
0,2554188507,353193844384189,1783388803737109798
1,2019703872,353193845439358,1783388803738164967
3,3023139956,353193873222599,1783388803765948208
2,2969842944,353193874261000,1783388803766986609
0,2587521840,353193875872121,1783388803768597762
1,2053037205,353193876919738,1783388803769645347
3,3056473289,353193909543636,1783388803802269245
2,3003176277,353193910678194,1783388803803403835
0,2620855173,353193912363136,1783388803805088745
1,2086370538,353193913365091,1783388803806090700
2,3036509610,353193941504289,1783388803834229930
3,3089806622,353193942399879,1783388803835125552
0,2654188506,353193944085205,1783388803836810846
1,2119703871,353193945205236,1783388803837930845
3,3123139955,353193973228534,1783388803865954175
2,3069842943,353193974266455,1783388803866992096
0,2687521839,353193976118689,1783388803868844330
1,2153037204,353193977507191,1783388803870232832
3,3156473288,353194009333033,1783388803902058642
2,3103176276,353194010397610,1783388803903123187
1,2186370537,353194012095895,1783388803904821536
0,2720855172,353194013147448,1783388803905873057
2,3136509609,353194041526448,1783388803934252057
3,3189806621,353194042534578,1783388803935260187
0,2754188505,353194044329053,1783388803937054662
1,2219703870,353194045379710,1783388803938105351
2,3169842942,353194073707063,1783388803966432672
3,3223139954,353194077433961,1783388803970159602
0,2787521838,353194080677609,1783388803973403218
1,2253037203,353194082802890,1783388803975528499
3,3256473287,353194109376055,1783388804002101664
2,3203176275,353194110413496,1783388804003139137
1,2286370536,353194112051304,1783388804004776945
0,2820855171,353194113081417,1783388804005807026
3,3289806620,353194141879799,1783388804034605440
2,3236509608,353194142873082,1783388804035598723
0,2854188504,353194144538312,1783388804037263953
1,2319703869,353194146765223,1783388804039490864
2,3269842941,353194177470940,1783388804070196581
3,3323139953,353194178605722,1783388804071331363
1,2353037202,353194180693565,1783388804073419174
0,2887521837,353194181939192,1783388804074664833
3,3356473286,353194209239314,1783388804101964923
2,3303176274,353194210274675,1783388804103000252
0,2920855170,353194211923106,1783388804104648747
1,2386370535,353194213117791,1783388804105843400
2,3336509607,353194241344254,1783388804134069895
3,3389806619,353194242398526,1783388804135124167
1,2419703868,353194244025230,1783388804136750967
0,2954188503,353194245019953,1783388804137745562
3,3423139952,353194277614510,1783388804170340119
2,3369842940,353194278697902,1783388804171423575
0,2987521836,353194280836943,1783388804173562584
1,2453037201,353194281884048,1783388804174609689
3,3456473285,353194309851446,1783388804202577119
2,3403176273,353194310907959,1783388804203633632
0,3020855169,353194312683875,1783388804205409548
1,2486370534,353194313752195,1783388804206477868
3,3489806618,353194341778983,1783388804234504656
2,3436509606,353194342881191,1783388804235606800
1,2519703867,353194344442777,1783388804237168386
0,3054188502,353194345599095,1783388804238324832
3,3523139951,353194377542183,1783388804270267824
2,3469842939,353194378570153,1783388804271295794
1,2553037200,353194380293590,1783388804273019231
0,3087521835,353194381330711,1783388804274056352
2,3503176272,353194409371835,1783388804302097476
3,3556473284,353194410459323,1783388804303184964
0,3120855168,353194412075179,1783388804304800820
1,2586370533,353194413181451,1783388804305907060
2,3536509605,353194441391626,1783388804334117267
3,3589806617,353194442438251,1783388804335163924
1,2619703866,353194444226934,1783388804336952575
0,3154188501,353194445285527,1783388804338011168
3,3623139950,353194477737880,1783388804370463585
2,3569842938,353194478800025,1783388804371525730
0,3187521834,353194480686593,1783388804373412298
1,2653037199,353194481720707,1783388804374446380
3,3656473283,353194509904578,1783388804402630219
2,3603176271,353194513341853,1783388804406067526
0,3220855167,353194515581243,1783388804408306916
1,2686370532,353194516608508,1783388804409334213
2,3636509604,353194541619930,1783388804434345571
3,3689806616,353194542630364,1783388804435356005
0,3254188500,353194544343049,1783388804437068690
1,2719703865,353194545417162,1783388804438142867
3,3723139949,353194577878859,1783388804470604564
2,3669842937,353194578924140,1783388804471649845
0,3287521833,353194580566876,1783388804473292485
1,2753037198,353194581832406,1783388804474558015
3,3756473282,353194609314059,1783388804502039700
2,3703176270,353194610353100,1783388804503078741
0,3320855166,353194612087545,1783388804504813186
1,2786370531,353194613595308,1783388804506320949
2,3736509603,353194642830573,1783388804535556214
3,3789806615,353194645622298,1783388804538347907
1,2819703864,353194647552257,1783388804540277898
0,3354188499,353194648584643,1783388804541310284
2,3769842936,353194677401680,1783388804570127321
3,3823139948,353194678473104,1783388804571198745
0,3387521832,353194680232540,1783388804572958181
1,2853037197,353194681261150,1783388804573986791
2,3803176269,353194709162854,1783388804601888495
3,3856473281,353194710209127,1783388804602934800
0,3420855165,353194711754105,1783388804604479746
1,2886370530,353194712818970,1783388804605544611
2,3836509602,353194742520717,1783388804635246358
3,3889806614,353194745359353,1783388804638085026
1,2919703863,353194748156646,1783388804640882287
0,3454188498,353194749199879,1783388804641925552
3,3923139947,353194777545026,1783388804670270667
2,3869842935,353194778565924,1783388804671291533
1,2953037196,353194780341264,1783388804673066905
0,3487521831,353194781383825,1783388804674109466
2,3903176268,353194809483827,1783388804702209468
3,3956473280,353194813305090,1783388804706030763
0,3520855164,353194815499073,1783388804708224714
1,2986370529,353194816578018,1783388804709303723
2,3936509601,353194841309159,1783388804734034832
3,3989806613,353194844790944,1783388804737516649
1,3019703862,353194846431440,1783388804739157241
0,3554188497,353194847347381,1783388804740073150
3,4023139946,353194877635286,1783388804770360927
2,3969842934,353194878698391,1783388804771424000
1,3053037195,353194880552064,1783388804773277737
0,3587521830,353194881643584,1783388804774369225
3,4056473279,353194909646213,1783388804802371918
2,4003176267,353194910796547,1783388804803522220
0,3620855163,353194913234555,1783388804805960228
1,3086370528,353194917072266,1783388804809797843
2,4036509600,353194946920088,1783388804839645761
3,4089806612,353194947975289,1783388804840700994
1,3119703861,353194950291829,1783388804843017438
0,3654188496,353194951324310,1783388804844049983
3,4123139945,353194977234489,1783388804869960130
2,4069842933,353194978285082,1783388804871010755
0,3687521829,353194979850732,1783388804872576405
1,3153037194,353194980864366,1783388804873590071
3,4156473278,353195010326024,1783388804903051729
2,4103176266,353195011372745,1783388804904098418
0,3720855162,353195013225138,1783388804905950779
1,3186370527,353195014214165,1783388804906939870
3,4189806611,353195045710323,1783388804938435964
2,4136509599,353195046842641,1783388804939568314
1,3219703860,353195048783224,1783388804941508865
0,3754188495,353195049817049,1783388804942542722
3,4223139944,353195077575462,1783388804970301103
2,4169842932,353195078621223,1783388804971346896
1,3253037193,353195080320437,1783388804973046078
0,3787521828,353195081540305,1783388804974265882
3,4256473277,353195109436313,1783388805002161954
2,4203176265,353195113181802,1783388805005907443
0,3820855161,353195114857945,1783388805007583554
1,3286370526,353195115934585,1783388805008660226
3,4289806610,353195146079553,1783388805038805258
2,4236509598,353195147113315,1783388805039839020
0,3854188494,353195148977612,1783388805041703221
1,3319703859,353195150040493,1783388805042766102
3,4323139943,353195177478468,1783388805070204077
2,4269842931,353195178519430,1783388805071245135
0,3887521827,353195180231411,1783388805072957052
1,3353037192,353195181116441,1783388805073842082
2,4303176264,353195213799606,1783388805106525215
3,4356473276,353195214759450,1783388805107485123
1,3386370525,353195216826269,1783388805109551942
0,3920855160,353195217848959,1783388805110574632
3,4389806609,353195245743273,1783388805138468978
2,4336509597,353195246860584,1783388805139586289
1,3419703858,353195249163461,1783388805141889230
0,3954188493,353195249962477,1783388805142688150
2,4369842930,353195277422276,1783388805170147885
3,4423139942,353195278484357,1783388805171210030
1,3453037191,353195280091126,1783388805172816735
0,3987521826,353195281108120,1783388805173833761
2,4403176263,353195313494174,1783388805206219783
3,4456473275,353195314409987,1783388805207135628
1,3486370524,353195316449383,1783388805209175024
0,4020855159,353195317717825,1783388805210443530
3,4489806608,353195346073566,1783388805238799207
2,4436509596,353195346856999,1783388805239582576
1,3519703857,353195348914634,1783388805241640307
0,4054188492,353195351392161,1783388805244117834
3,4523139941,353195377772024,1783388805270497633
2,4469842929,353195381710148,1783388805274435757
1,3553037190,353195383803463,1783388805276529072
0,4087521825,353195386734480,1783388805279460121
2,4503176262,353195413343776,1783388805306069449
3,4556473274,353195414406529,1783388805307132170
1,3586370523,353195416303049,1783388805309028690
0,4120855158,353195417362634,1783388805310088275
2,4536509595,353195445457710,1783388805338183351
3,4589806607,353195446526479,1783388805339252184
0,4154188491,353195448375768,1783388805341101409
1,3619703856,353195449470872,1783388805342196481
3,4623139940,353195478048558,1783388805370774199
2,4569842928,353195482969981,1783388805375695654
0,4187521824,353195484730985,1783388805377456690
1,3653037189,353195485814250,1783388805378539923
2,4603176261,353195513997707,1783388805406723380
3,4656473273,353195515044685,1783388805407770390
