batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,1,0,588681110,1783475372257315000
1,1,1,588696294,1783475372264426000
2,1,2,600660550,1783475372266852000
2,2,0,1155894166,1783475372705021000
3,1,3,632650902,1783475372269069000
3,2,1,1159904510,1783475372708556000
4,1,4,732624774,1783475372468740000
4,2,2,1171859774,1783475372718794000
4,3,0,1723982646,1783475373271022000
5,1,5,764627230,1783475372676527000
5,2,3,1203870806,1783475372755138000
5,3,1,1723989998,1783475373274742000
6,1,6,796641710,1783475372885111000
6,2,4,1235884158,1783475372886176000
6,3,2,1743970966,1783475373287029000
7,0,0,2291953134,1783475373839367000
7,1,7,832625550,1783475373093679000
7,2,5,1267884582,1783475373094744000
7,3,3,1779968582,1783475373323189000
8,0,1,2295960190,1783475373844424000
8,1,8,964617126,1783475373297098000
8,2,6,1303868030,1783475373298177000
8,3,4,1815969902,1783475373354896000
9,0,2,2307973678,1783475373855351000
9,1,9,1164608742,1783475373505845000
9,2,7,1335866126,1783475373508108000
9,3,5,1831999126,1783475373506875000
10,0,3,2339969933,1783475373891172000
10,1,10,1364621357,1783475373716634000
10,2,8,1367882998,1783475373715615000
10,3,6,1867965741,1783475373714548000
11,0,4,2375955094,1783475373922948000
11,1,11,1564625998,1783475373841581000
11,2,9,1403866294,1783475373842277000
11,3,7,1899978198,1783475373843344000
12,0,5,2399984518,1783475373955169000
12,1,12,1800596838,1783475373846014000
12,2,10,1767890222,1783475373847065000
12,3,8,1932000902,1783475373848113000
13,0,6,2435971094,1783475373990912000
13,1,13,2000591029,1783475373865825000
13,2,11,2003857061,1783475373866871000
13,3,9,1999977030,1783475373867917000
14,0,7,2467981870,1783475374023050000
14,1,14,2200585646,1783475373901118000
14,2,12,2203870870,1783475373903222000
14,3,10,2199972062,1783475373902166000
15,0,8,2499983773,1783475374054876000
15,1,15,2332604062,1783475373933046000
15,2,13,2335905998,1783475373935152000
15,3,11,2335992966,1783475373934131000
16,0,9,2535950709,1783475374090846000
16,1,16,2364613869,1783475373965251000
16,2,14,2371900870,1783475373967347000
16,3,12,2367981902,1783475373966297000
17,0,10,2567975486,1783475374123216000
17,1,17,2396601934,1783475374000952000
17,2,15,2403861030,1783475374001997000
17,3,13,2400041613,1783475374003084000
18,0,11,2603952614,1783475374155015000
18,1,18,2432587838,1783475374033262000
18,2,16,2435874029,1783475374034312000
18,3,14,2435983966,1783475374035457000
19,0,12,2635963678,1783475374190959000
19,1,19,2464599902,1783475374066046000
19,2,17,2471919582,1783475374067092000
19,3,15,2467995966,1783475374065068000
20,0,13,2667973197,1783475374223222000
20,1,20,2500592805,1783475374100900000
20,2,18,2503866806,1783475374101939000
20,3,16,2499996158,1783475374102986000
21,0,14,2704050294,1783475374259008000
21,1,21,2532579614,1783475374133284000
21,2,19,2535908582,1783475374134334000
21,3,17,2535962486,1783475374135407000
22,0,15,2736191358,1783475374290980000
22,1,22,2564593038,1783475374164997000
22,2,20,2567906254,1783475374166067000
22,3,18,2567983094,1783475374167096000
23,0,16,2763972870,1783475374322937000
23,1,23,2596595838,1783475374200989000
23,2,21,2603879997,1783475374203084000
23,3,19,2599975094,1783475374202037000
24,0,17,2803943710,1783475374358809000
24,1,24,2632577741,1783475374233348000
24,2,22,2635903126,1783475374235470000
24,3,20,2635970126,1783475374234385000
25,0,18,2835956965,1783475374390752000
25,1,25,2664591005,1783475374269016000
25,2,23,2671869806,1783475374271099000
25,3,21,2667989806,1783475374270057000
26,0,19,2867969094,1783475374422890000
26,1,26,2700577518,1783475374300980000
26,2,24,2703975062,1783475374303106000
26,3,22,2699975966,1783475374302053000
27,0,20,2899968646,1783475374455094000
27,1,27,2732575294,1783475374335292000
27,2,25,2735865998,1783475374334247000
27,3,23,2736198838,1783475374333198000
28,0,21,2931967933,1783475374490808000
28,1,28,2764588030,1783475374368823000
28,2,26,2771880870,1783475374369875000
28,3,24,2767958230,1783475374370929000
29,0,22,2971955902,1783475374522751000
29,1,29,2796588837,1783475374400762000
29,2,27,2803851773,1783475374401817000
29,3,25,2799970870,1783475374402890000
30,0,23,3003974550,1783475374558948000
30,1,30,2832568966,1783475374432901000
30,2,28,2835904965,1783475374433962000
30,3,26,2835962966,1783475374435009000
31,0,24,3039940998,1783475374590941000
31,1,31,2864585902,1783475374465075000
31,2,29,2871905030,1783475374467173000
31,3,27,2867982934,1783475374466126000
32,0,25,3071968678,1783475374622660000
32,1,32,2900569710,1783475374500842000
32,2,30,2903907838,1783475374501914000
32,3,28,2899978902,1783475374502942000
33,0,26,3115934646,1783475374659024000
33,1,33,2932569998,1783475374532796000
33,2,31,2935873062,1783475374534925000
33,3,29,2935955126,1783475374533848000
34,0,27,3151934390,1783475374690956000
34,1,34,2964581998,1783475374568998000
34,2,32,2967873582,1783475374571123000
34,3,30,2967963870,1783475374570054000
35,0,28,3183948678,1783475374722838000
35,1,35,2996581934,1783475374600964000
35,2,33,3003893062,1783475374603060000
35,3,31,2999964222,1783475374602014000
36,0,29,3219959030,1783475374758631000
36,1,36,3032567062,1783475374632915000
36,2,34,3035872094,1783475374633961000
36,3,32,3035946806,1783475374635037000
37,0,30,3251959870,1783475374790779000
37,1,37,3064582158,1783475374670279000
37,2,35,3067874062,1783475374669238000
37,3,33,3067963806,1783475374671336000
