batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,33333333,3629642693711,1783475372466073711,1
1,66666666,3629851327527,1783475372674707527,1
2,1206337077,3630059958910,1783475372883338910,2
3,1239670410,3630268581262,1783475373091961262,2
4,1772341927,3630472119671,1783475373295499703,3
5,1805675260,3630680735504,1783475373504115504,3
6,1839008593,3630889386445,1783475373712766477,3
7,2340685220,3631016183271,1783475373839563303,4
8,2374018553,3631021120998,1783475373844500998,4
9,2407351886,3631040842593,1783475373864222625,4
10,2440685219,3631076172406,1783475373899552438,4
11,2474018552,3631108132259,1783475373931512259,4
12,2507351885,3631140331211,1783475373963711211,4
13,2540685218,3631176052430,1783475373999432463,4
14,2574018551,3631208209990,1783475374031589990,4
15,2607351884,3631240063448,1783475374063443480,4
16,2640685217,3631275959072,1783475374099339072,4
17,2674018550,3631308375027,1783475374131755027,4
18,2707351883,3631340128378,1783475374163508410,4
19,2740685216,3631376112684,1783475374199492716,4
20,2774018549,3631408379566,1783475374231759566,4
21,2807351882,3631444140902,1783475374267520870,4
22,2840685215,3631476123655,1783475374299503687,4
23,2874018548,3631508201555,1783475374331581555,4
24,2907351881,3631543918374,1783475374367298406,4
25,2940685214,3631575890086,1783475374399270086,4
26,2974018547,3631608048284,1783475374431428316,4
27,3007351880,3631640219987,1783475374463600019,4
28,3040685213,3631675958440,1783475374499338472,4
29,3074018546,3631707875138,1783475374531255170,4
30,3107351879,3631744106896,1783475374567486960,4
31,3140685212,3631776111828,1783475374599491860,4
32,3174018545,3631807849113,1783475374631229177,4
33,3207351878,3631844179731,1783475374667559731,4
34,3240685211,3631876190455,1783475374699570519,4
35,3274018544,3631908043529,1783475374731423561,4
36,3307351877,3631943735481,1783475374767115481,4
37,3340685210,3631975959575,1783475374799339575,4
38,3374018543,3632011767668,1783475374835147668,4
39,3407351876,3632043939083,1783475374867319115,4
40,3440685209,3632075803551,1783475374899183551,4
41,3474018542,3632107996408,1783475374931376408,4
42,3507351875,3632143694729,1783475374967074761,4
43,3540685208,3632175767572,1783475374999147573,4
44,3574018541,3632207768876,1783475375031148876,4
45,3607351874,3632243746509,1783475375067126541,4
46,3640685207,3632275745954,1783475375099125954,4
47,3674018540,3632312716310,1783475375136096310,4
48,3707351873,3632344586780,1783475375167966812,4
49,3740685206,3632375923332,1783475375199303364,4
50,3774018539,3632412151875,1783475375235531907,4
51,3807351872,3632444211519,1783475375267591519,4
52,3840685205,3632480074322,1783475375303454354,4
53,3874018538,3632511812489,1783475375335192521,4
54,3907351871,3632543990739,1783475375367370739,4
55,3940685204,3632576027596,1783475375399407596,4
56,3974018537,3632612340372,1783475375435720372,4
57,4007351870,3632644061513,1783475375467441513,4
58,4040685203,3632676050333,1783475375499430365,4
59,4074018536,3632711928883,1783475375535308883,4
60,4107351869,3632744183365,1783475375567563397,4
61,4140685202,3632780217165,1783475375603597197,4
62,4174018535,3632812253766,1783475375635633798,4
63,4207351868,3632844116875,1783475375667496875,4
64,4240685201,3632880168405,1783475375703548469,4
65,4274018534,3632912050333,1783475375735430365,4
66,4307351867,3632944380632,1783475375767760632,4
67,4340685200,3632979760948,1783475375803140916,4
68,4374018533,3633012136725,1783475375835516725,4
69,4407351866,3633048479776,1783475375871859776,4
70,4440685199,3633080134189,1783475375903514221,4
71,4474018532,3633112278707,1783475375935658739,4
72,4507351865,3633148134918,1783475375971514950,4
73,4540685198,3633180205635,1783475376003585635,4
74,4574018531,3633212317783,1783475376035697815,4
75,4607351864,3633248136822,1783475376071516822,4
76,4640685197,3633280126876,1783475376103506876,4
77,4674018530,3633312391778,1783475376135771778,4
78,4707351863,3633348315629,1783475376171695661,4
79,4740685196,3633379868736,1783475376203248769,4
80,4774018529,3633416108976,1783475376239489008,4
81,4807351862,3633448154396,1783475376271534396,4
82,4840685195,3633479734931,1783475376303114931,4
83,4874018528,3633512141801,1783475376335521833,4
84,4907351861,3633548236296,1783475376371616296,4
85,4940685194,3633580186409,1783475376403566441,4
86,4974018527,3633612381127,1783475376435761127,4
87,5007351860,3633648431584,1783475376471811584,4
88,5040685193,3633680535571,1783475376503915603,4
89,5074018526,3633716154075,1783475376539534075,4
90,5107351859,3633748215337,1783475376571595369,4
91,5140685192,3633780125862,1783475376603505894,4
92,5174018525,3633816460865,1783475376639840897,4
93,5207351858,3633848537616,1783475376671917648,4
94,5240685191,3633884255908,1783475376707635940,4
95,5274018524,3633915997645,1783475376739377645,4
96,5307351857,3633948251057,1783475376771631089,4
97,5340685190,3633980367942,1783475376803747974,4
98,5374018523,3634016378107,1783475376839758107,4
99,5407351856,3634048297561,1783475376871677593,4
100,5440685189,3634080189875,1783475376903569907,4
101,5474018522,3634116366108,1783475376939746108,4
102,5507351855,3634148353889,1783475376971733889,4
103,5540685188,3634184427068,1783475377007807100,4
104,5574018521,3634216429813,1783475377039809845,4
105,5607351854,3634248345860,1783475377071725860,4
106,5640685187,3634284534046,1783475377107914078,4
107,5674018520,3634316711436,1783475377140091436,4
108,5707351853,3634348729735,1783475377172109767,4
109,5740685186,3634385038318,1783475377208418350,4
110,5774018519,3634416718531,1783475377240098563,4
111,5807351852,3634448711739,1783475377272091771,4
112,5840685185,3634484832909,1783475377308212941,4
