cam,seq,pts_ns,mono_ns,real_ns
1,0,588681110,3629297685604,1783475372121065636
1,2,588696294,3629434103036,1783475372257483036
1,3,600660550,3629441141139,1783475372264521171
1,4,632650902,3629443553485,1783475372266933485
1,7,732624774,3629461388020,1783475372284768020
1,8,764627230,3629645508600,1783475372468888632
1,9,796641710,3629853311343,1783475372676691343
2,0,1155894166,3629868731355,1783475372692111387
2,2,1159904510,3629881763119,1783475372705143119
2,3,1171859774,3629892632231,1783475372716012231
2,4,1203870806,3629928616505,1783475372751996505
2,5,1235884158,3629960637595,1783475372784017627
1,10,832625550,3630061880575,1783475372885260607
2,6,1267884582,3630062900887,1783475372886280919
1,14,964617126,3630270511023,1783475373093891023
2,7,1303868030,3630271451388,1783475373094831388
3,0,1723982646,3630432789167,1783475373256169167
3,2,1723989998,3630447788995,1783475373271168995
3,3,1743970966,3630460686690,1783475373284066690
1,20,1164608742,3630473892742,1783475373297272742
2,8,1335866126,3630474896827,1783475373298276827
3,4,1779968582,3630496721642,1783475373320101642
3,5,1815969902,3630528704954,1783475373352084954
3,6,1831999126,3630560682632,1783475373384062632
1,26,1364621357,3630682670578,1783475373506050610
3,7,1867965741,3630683594461,1783475373506974461
2,9,1367882998,3630684825101,1783475373508205165
3,8,1899978198,3630891334704,1783475373714714736
2,10,1403866294,3630892340965,1783475373715720965
1,32,1564625998,3630893406018,1783475373716786018
0,0,2291953134,3631000760993,1783475373824141057
0,2,2295960190,3631016146722,1783475373839526722
1,39,1800596838,3631018358532,1783475373841738564
2,21,1767890222,3631019014225,1783475373842394225
3,9,1932000902,3631020076684,1783475373843456716
1,45,2000591029,3631022760965,1783475373846140965
2,28,2003857061,3631023781852,1783475373847161884
3,11,1999977030,3631024850073,1783475373848230073
0,3,2307973678,3631028720252,1783475373852100252
1,51,2200585646,3631042606574,1783475373865986574
2,34,2203870870,3631043622436,1783475373867002437
3,17,2199972062,3631044698370,1783475373868078370
0,4,2339969933,3631064667929,1783475373888047961
1,55,2332604062,3631077885406,1783475373901265438
3,21,2335992966,3631078923671,1783475373902303671
2,38,2335905998,3631079973649,1783475373903353681
0,5,2375955094,3631096707119,1783475373920087151
1,56,2364613869,3631109764897,1783475373933144929
3,22,2367981902,3631110842335,1783475373934222335
2,39,2371900870,3631111861813,1783475373935241845
0,6,2399984518,3631128693919,1783475373952073919
1,57,2396601934,3631141971979,1783475373965351979
3,23,2400041613,3631143005571,1783475373966385571
2,40,2403861030,3631144065151,1783475373967445151
0,7,2435971094,3631164664223,1783475373988044223
1,58,2432587838,3631177664554,1783475374001044586
2,41,2435874029,3631178699267,1783475374002079267
3,24,2435983966,3631179791458,1783475374003171490
0,8,2467981870,3631196701230,1783475374020081262
1,59,2464599902,3631209983732,1783475374033363732
2,42,2471919582,3631211015628,1783475374034395628
3,25,2467995966,3631212202069,1783475374035582069
0,9,2499983773,3631228698673,1783475374052078673
3,26,2499996158,3631241799106,1783475374065179138
1,60,2500592805,3631242778259,1783475374066158291
2,43,2503866806,3631243804586,1783475374067184586
0,10,2535950709,3631264656447,1783475374088036447
1,61,2532579614,3631277649124,1783475374101029156
2,44,2535908582,3631278655065,1783475374102035065
3,27,2535962486,3631279697810,1783475374103077810
0,11,2567975486,3631296730251,1783475374120110251
1,62,2564593038,3631310024435,1783475374133404467
2,45,2567906254,3631311045161,1783475374134425161
3,28,2567983094,3631312119014,1783475374135499046
0,12,2603952614,3631328733903,1783475374152113903
1,63,2596595838,3631341729012,1783475374165109044
2,46,2603879997,3631342784526,1783475374166164526
3,29,2599975094,3631343790883,1783475374167170915
0,13,2635963678,3631364704095,1783475374188084127
1,64,2632577741,3631377721414,1783475374201101414
3,30,2635970126,3631378745117,1783475374202125117
2,47,2635903126,3631379781365,1783475374203161397
0,14,2667973197,3631396729061,1783475374220109061
1,65,2664591005,3631410107286,1783475374233487286
3,31,2667989806,3631411098697,1783475374234478729
2,48,2671869806,3631412191016,1783475374235571016
0,15,2704050294,3631432700917,1783475374256080917
1,66,2700577518,3631445760642,1783475374269140642
3,32,2699975966,3631446768695,1783475374270148695
2,49,2703975062,3631447815536,1783475374271195568
0,16,2736191358,3631464707610,1783475374288087642
1,67,2732575294,3631477708639,1783475374301088671
3,33,2736198838,3631478763193,1783475374302143193
2,50,2735865998,3631479813171,1783475374303193171
0,17,2763972870,3631496705885,1783475374320085917
3,34,2767958230,3631509945598,1783475374333325598
2,51,2771880870,3631510971413,1783475374334351445
1,68,2764588030,3631511997388,1783475374335377388
0,18,2803943710,3631532668172,1783475374356048172
1,69,2796588837,3631545547555,1783475374368927555
2,52,2803851773,3631546581339,1783475374369961339
3,35,2799970870,3631547618356,1783475374370998356
0,19,2835956965,3631564661550,1783475374388041550
