cam,pts_ns,mono_ns,real_ns
1,588681110,3629433893155,1783475372257273123
1,588696294,3629441032006,1783475372264412006
1,600660550,3629443462499,1783475372266842499
1,632650902,3629445679238,1783475372269059238
1,732624774,3629645339844,1783475372468719876
1,764627230,3629853124057,1783475372676504057
2,1155894166,3629881625663,1783475372705005631
2,1159904510,3629885165373,1783475372708545309
2,1171859774,3629895400619,1783475372718780555
2,1203870806,3629931743014,1783475372755122950
1,796641710,3630061710219,1783475372885090251
2,1235884158,3630062784073,1783475372886164105
1,832625550,3630270278387,1783475373093658419
2,1267884582,3630271350928,1783475373094730928
3,1723982646,3630447624368,1783475373271004400
3,1723989998,3630451349442,1783475373274729442
3,1743970966,3630463638426,1783475373287018458
1,964617126,3630473702415,1783475373297082447
2,1303868030,3630474782669,1783475373298162669
3,1779968582,3630499791472,1783475373323171504
3,1815969902,3630531498751,1783475373354878751
1,1164608742,3630682443863,1783475373505823895
3,1831999126,3630683481648,1783475373506861648
2,1335866126,3630684715168,1783475373508095168
3,1867965741,3630891145786,1783475373714525786
2,1367882998,3630892220951,1783475373715600951
1,1364621357,3630893240942,1783475373716620974
0,2291953134,3631015970638,1783475373839350638
1,1564625998,3631018186800,1783475373841566864
2,1403866294,3631018886146,1783475373842266370
3,1899978198,3631019954622,1783475373843334622
0,2295960190,3631021033084,1783475373844413116
1,1800596838,3631022623381,1783475373846003381
2,1767890222,3631023676176,1783475373847056176
3,1932000902,3631024723882,1783475373848103882
0,2307973678,3631031957973,1783475373855337973
1,2000591029,3631042429561,1783475373865809593
2,2003857061,3631043479412,1783475373866859412
3,1999977030,3631044525678,1783475373867905678
0,2339969933,3631067780644,1783475373891160644
1,2200585646,3631077724715,1783475373901104715
3,2199972062,3631078774085,1783475373902154117
2,2203870870,3631079829312,1783475373903209312
0,2375955094,3631099552283,1783475373922932283
1,2332604062,3631109653876,1783475373933033908
3,2335992966,3631110738739,1783475373934118803
2,2335905998,3631111759690,1783475373935139690
0,2399984518,3631131774278,1783475373955154278
1,2364613869,3631141858077,1783475373965238077
3,2367981902,3631142906327,1783475373966286328
2,2371900870,3631143956786,1783475373967336818
0,2435971094,3631167520556,1783475373990900588
1,2396601934,3631177558718,1783475374000938782
2,2403861030,3631178606584,1783475374001986584
3,2400041613,3631179692183,1783475374003072247
0,2467981870,3631199657221,1783475374023037221
1,2432587838,3631209869382,1783475374033249414
2,2435874029,3631210921281,1783475374034301281
3,2435983966,3631212057188,1783475374035437188
0,2499983773,3631231480500,1783475374054860532
3,2467995966,3631241675347,1783475374065055347
1,2464599902,3631242649764,1783475374066029796
2,2471919582,3631243699454,1783475374067079454
0,2535950709,3631267453028,1783475374090833028
1,2500592805,3631277501907,1783475374100881907
2,2503866806,3631278546156,1783475374101926188
3,2499996158,3631279594182,1783475374102974182
0,2567975486,3631299813617,1783475374123193617
1,2532579614,3631309887555,1783475374133267555
2,2535908582,3631310943293,1783475374134323293
3,2535962486,3631311996376,1783475374135376376
0,2603952614,3631331616893,1783475374154996926
1,2564593038,3631341603781,1783475374164983781
2,2567906254,3631342674849,1783475374166054881
3,2567983094,3631343707577,1783475374167087609
0,2635963678,3631367562411,1783475374190942443
1,2596595838,3631377595352,1783475374200975352
3,2599975094,3631378646386,1783475374202026386
2,2603879997,3631379693067,1783475374203073067
0,2667973197,3631399818028,1783475374223198060
1,2632577741,3631409947940,1783475374233327940
3,2635970126,3631410993277,1783475374234373309
2,2635903126,3631412077435,1783475374235457467
0,2704050294,3631435610055,1783475374258990087
1,2664591005,3631445619153,1783475374268999153
3,2667989806,3631446665995,1783475374270046027
2,2671869806,3631447707748,1783475374271087780
0,2736191358,3631467585384,1783475374290965384
1,2700577518,3631477588465,1783475374300968497
3,2699975966,3631478662670,1783475374302042670
2,2703975062,3631479715592,1783475374303095592
0,2763972870,3631499545798,1783475374322925798
3,2736198838,3631509802701,1783475374333182701
2,2735865998,3631510855879,1783475374334235879
1,2732575294,3631511901121,1783475374335281153
0,2803943710,3631535418219,1783475374358798251
1,2764588030,3631545430902,1783475374368810902
2,2771880870,3631546483536,1783475374369863536
3,2767958230,3631547540138,1783475374370920138
0,2835956965,3631567360392,1783475374390740392
1,2796588837,3631577371122,1783475374400751122
2,2803851773,3631578427341,1783475374401807373
3,2799970870,3631579474822,1783475374402854854
0,2867969094,3631599497595,1783475374422877627
1,2832568966,3631609509893,1783475374432889925
2,2835904965,3631610570880,1783475374433950912
3,2835962966,3631611617466,1783475374434997466
0,2899968646,3631631697973,1783475374455077973
1,2864585902,3631641681980,1783475374465062012
3,2867982934,3631642736823,1783475374466116855
2,2871905030,3631643782704,1783475374467162768
0,2931967933,3631667415048,1783475374490795048
1,2900569710,3631677449493,1783475374500829525
2,2903907838,3631678522706,1783475374501902706
3,2899978902,3631679550473,1783475374502930473
0,2971955902,3631699357829,1783475374522737861
1,2932569998,3631709403347,1783475374532783347
3,2935955126,3631710455693,1783475374533835693
2,2935873062,3631711533770,1783475374534913770
0,3003974550,3631735550063,1783475374558930063
1,2964581998,3631745605534,1783475374568985566
3,2967963870,3631746661657,1783475374570041657
2,2967873582,3631747731541,1783475374571111573
0,3039940998,3631767547698,1783475374590927698
1,2996581934,3631777570397,1783475374600950397
3,2999964222,3631778623960,1783475374602003960
2,3003893062,3631779668881,1783475374603048881
0,3071968678,3631799266804,1783475374622646804
1,3032567062,3631809518779,1783475374632898779
2,3035872094,3631810569172,1783475374633949204
3,3035946806,3631811635856,1783475374635015856
0,3115934646,3631835620561,1783475374659000593
2,3067874062,3631845837683,1783475374669217715
1,3064582158,3631846884045,1783475374670264077
3,3067963806,3631847944840,1783475374671325096
0,3151934390,3631867558125,1783475374690938157
1,3100565902,3631877686533,1783475374701066565
2,3103884654,3631878744992,1783475374702124992
3,3099973870,3631879788473,1783475374703168473
0,3183948678,3631899441763,1783475374722821795
3,3135947094,3631909645731,1783475374733025731
1,3132563262,3631910687292,1783475374734067292
2,3135871902,3631911746263,1783475374735126295
0,3219959030,3631935238623,1783475374758618655
1,3164577030,3631945286157,1783475374768666189
2,3167907158,3631946315525,1783475374769695525
3,3167993678,3631947362494,1783475374770742494
0,3251959870,3631967381907,1783475374790761939
1,3196585902,3631977458949,1783475374800838981
2,3203856030,3631978515647,1783475374801895647
3,3203977126,3631979553624,1783475374802933624
0,3287942998,3632003242390,1783475374826622390
1,3232560870,3632013280644,1783475374836660676
2,3235931062,3632014326269,1783475374837706269
3,3235958158,3632015379927,1783475374838759927
0,3319963582,3632035377225,1783475374858757257
2,3267852030,3632045526563,1783475374868906595
1,3264575030,3632046579518,1783475374869959550
3,3267955190,3632047638297,1783475374871018297
0,3355930870,3632067251614,1783475374890631646
1,3296575158,3632077328880,1783475374900708880
3,3303981838,3632078382762,1783475374901762794
2,3299851870,3632079423299,1783475374902803331
0,3387941966,3632099433654,1783475374922813654
1,3332560934,3632109494982,1783475374932875014
2,3335875158,3632110556129,1783475374933936161
3,3335961870,3632111597722,1783475374934977722
0,3419941934,3632135198798,1783475374958578830
1,3364572646,3632145194327,1783475374968574359
2,3367848934,3632146255826,1783475374969635858
3,3367953126,3632147307980,1783475374970687980
0,3451955094,3632167244535,1783475374990624535
1,3396573030,3632177271651,1783475375000651683
3,3403978093,3632178322749,1783475375001702749
2,3399850062,3632179371095,1783475375002751095
0,3487939062,3632199267796,1783475375022647828
2,3435859062,3632209325216,1783475375032705216
1,3432557998,3632210371545,1783475375033751545
3,3435953062,3632211435188,1783475375034815188
0,3519953094,3632235250134,1783475375058630166
1,3464570998,3632245213462,1783475375068593462
2,3467862902,3632246290611,1783475375069670643
3,3467953966,3632247307657,1783475375070687657
0,3551951998,3632267240650,1783475375090620650
1,3496583966,3632277267698,1783475375100647698
2,3503886030,3632278305738,1783475375101685738
3,3503963030,3632279352579,1783475375102732579
0,3587994454,3632303931070,1783475375127311134
3,3535949966,3632314691386,1783475375138071418
1,3532553030,3632315629127,1783475375139009159
2,3535859030,3632316755241,1783475375140135241
0,3612002230,3632335812901,1783475375159192933
2,3567860806,3632346301058,1783475375169681314
3,3567947262,3632347337050,1783475375170717082
1,3564566677,3632348392468,1783475375171772500
0,3647938934,3632367386153,1783475375190766153
1,3596569030,3632377589349,1783475375200969317
2,3599889038,3632378520273,1783475375201900241
3,3603974614,3632379578859,1783475375202958891
0,3679965390,3632403553248,1783475375226933248
1,3632564837,3632413668050,1783475375237048082
3,3635952966,3632414722220,1783475375238102252
2,3635864710,3632415791687,1783475375239171752
0,3707966806,3632435640479,1783475375259020511
1,3664549774,3632445731534,1783475375269111534
3,3667946710,3632446776295,1783475375270156295
2,3667853774,3632447848419,1783475375271228515
0,3739952805,3632471486641,1783475375294866641
1,3696579422,3632481580833,1783475375304960833
2,3699860030,3632482634427,1783475375306014459
3,3703936870,3632483678515,1783475375307058547
0,3775935158,3632503280558,1783475375326660558
1,3732550902,3632513313495,1783475375336693527
2,3736007902,3632514365489,1783475375337745489
3,3736114062,3632515410249,1783475375338790249
0,3803931126,3632535462905,1783475375358842905
1,3764543742,3632545513411,1783475375368893443
2,3767840454,3632546582303,1783475375369962335
3,3767951158,3632547608693,1783475375370988725
0,3835945190,3632567458957,1783475375390838957
1,3796563030,3632577522905,1783475375400902937
3,3803936062,3632578573299,1783475375401953299
2,3799839094,3632579630477,1783475375403010477
0,3871930062,3632603718895,1783475375427098895
1,3832545710,3632613892072,1783475375437272136
2,3835868902,3632614933568,1783475375438313600
3,3835949870,3632615984122,1783475375439364154
0,3903934870,3632635497899,1783475375458877899
1,3864546870,3632645540340,1783475375468920340
2,3867919582,3632646608432,1783475375469988464
3,3867977742,3632647644296,1783475375471024520
0,3939931030,3632667480734,1783475375490860766
1,3896560710,3632677498724,1783475375500878724
2,3899837709,3632678560607,1783475375501940639
3,3899942094,3632679604856,1783475375502984856
0,3971935126,3632703392983,1783475375526772983
1,3932543998,3632713469541,1783475375536849541
3,3935942613,3632714518142,1783475375537898142
2,3935850966,3632715568440,1783475375538948472
0,4003912126,3632735561504,1783475375558941504
2,3967849870,3632745751547,1783475375569131547
1,3964612094,3632746807541,1783475375570187605
3,3967942806,3632747855182,1783475375571235182
0,4035942742,3632771721558,1783475375595101590
1,3996556837,3632781724027,1783475375605104059
2,3999833741,3632782787798,1783475375606167862
3,3999940710,3632783827598,1783475375607207598
0,4067921550,3632803712330,1783475375627092330
1,4032541870,3632813768693,1783475375637148693
2,4031852741,3632814819055,1783475375638199055
3,4035950966,3632815867528,1783475375639247560
0,4103909934,3632835638999,1783475375659019031
1,4064540966,3632845605144,1783475375668985176
3,4067959030,3632846657617,1783475375670037617
2,4067848742,3632847717420,1783475375671097420
0,4135923806,3632871606295,1783475375694986327
1,4096564966,3632881642944,1783475375705022944
2,4099825998,3632882697114,1783475375706077146
3,4103918966,3632883753780,1783475375707133780
0,4167918773,3632903505664,1783475375726885696
1,4132537030,3632913520807,1783475375736900839
2,4131812870,3632914571488,1783475375737951520
3,4135931062,3632915639836,1783475375739019836
0,4203909742,3632935792023,1783475375759172023
1,4164551966,3632945951342,1783475375769331342
2,4167846062,3632947001799,1783475375770381831
3,4167954030,3632948082788,1783475375771462788
0,4235925030,3632971244475,1783475375794624443
1,4196576581,3632981233854,1783475375804613854
2,4199840190,3632982277815,1783475375805657815
3,4203918062,3632983332945,1783475375806712945
0,4267922061,3633003629277,1783475375827009277
1,4232543806,3633013602942,1783475375836982974
2,4231877774,3633014656024,1783475375838036024
3,4235939254,3633015706097,1783475375839086097
0,4299925774,3633039877053,1783475375863257085
1,4264541902,3633049997296,1783475375873377296
2,4267848838,3633051048233,1783475375874428297
3,4267955902,3633052100867,1783475375875480867
0,4335903965,3633071546796,1783475375894926828
1,4296552966,3633081745288,1783475375905125288
2,4299885805,3633082788960,1783475375906168992
3,4303943934,3633083846299,1783475375907226299
0,4367923190,3633103686929,1783475375927066929
3,4335912933,3633113896910,1783475375937276910
1,4332532806,3633114941383,1783475375938321383
2,4331833094,3633116000257,1783475375939380257
0,4403919094,3633139538500,1783475375962918500
1,4364532742,3633149706908,1783475375973086940
2,4367854774,3633150756661,1783475375974136661
3,4367948710,3633151845107,1783475375975225139
0,4435914678,3633171627299,1783475375995007299
1,4396548486,3633181861314,1783475376005241314
2,4399828933,3633182902394,1783475376006282426
3,4399934094,3633183951315,1783475376007331315
0,4467921741,3633203716952,1783475376027096952
3,4435921838,3633213944819,1783475376037324851
2,4431826062,3633214997644,1783475376038377644
1,4432542806,3633216055782,1783475376039435782
0,4499928678,3633239582621,1783475376062962621
2,4463825126,3633249682376,1783475376073062376
1,4464529062,3633250731681,1783475376074111681
3,4467944838,3633251774233,1783475376075154265
0,4535898966,3633271607879,1783475376094987879
1,4496558062,3633281631274,1783475376105011274
3,4503940190,3633282681667,1783475376106061667
2,4499858358,3633283735900,1783475376107115900
