batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,0,0,586655933,1783475156649305000
1,0,1,619989266,1783475156656295000
2,0,2,653322599,1783475156658543000
2,3,0,1153834693,1783475157108127000
3,0,3,686655932,1783475156660486000
3,3,1,1187168026,1783475157111982000
4,0,4,719989265,1783475156860504000
4,1,0,1721504245,1783475157675651000
4,3,2,1220501359,1783475157120020000
5,0,5,753322598,1783475157068715000
5,1,1,1754837578,1783475157688680000
5,3,3,1253834692,1783475157152017000
6,0,6,786655931,1783475157277105000
6,1,2,1788170911,1783475157720091000
6,3,4,1287168025,1783475157278145000
7,0,7,819989264,1783475157486748000
7,1,3,1821504244,1783475157755688000
7,2,0,2288790085,1783475158243030000
7,3,5,1320501358,1783475157485689000
8,0,8,853322597,1783475157691372000
8,1,4,1854837577,1783475157791517000
8,2,1,2322123418,1783475158248011000
8,3,6,1353834691,1783475157690347000
9,0,9,886655930,1783475157901430000
9,1,5,1888170910,1783475157900385000
9,2,2,2355456751,1783475158255118000
9,3,7,1387168024,1783475157899342000
10,0,10,919989263,1783475158107982000
10,1,6,1921504243,1783475158109006000
10,2,3,2388790084,1783475158287370000
10,3,8,1420501357,1783475158110099000
11,0,11,953322596,1783475158245132000
11,1,7,1954837576,1783475158245901000
11,2,4,2422123417,1783475158322815000
11,3,9,1453834690,1783475158246962000
12,0,12,986655929,1783475158249674000
12,1,8,1988170909,1783475158251785000
12,2,5,2455456750,1783475158354976000
12,3,10,1487168023,1783475158250726000
13,0,13,1019989262,1783475158256706000
13,1,9,2021504242,1783475158257763000
13,2,6,2488790083,1783475158390885000
13,3,11,1520501356,1783475158258807000
14,0,14,1053322595,1783475158297559000
14,1,10,2054837575,1783475158298609000
14,2,7,2522123416,1783475158423059000
14,3,12,1553834689,1783475158299675000
15,0,15,1086655928,1783475158332885000
15,1,11,2088170908,1783475158333937000
15,2,8,2555456749,1783475158455067000
15,3,13,1587168022,1783475158334982000
16,0,16,1119989261,1783475158365020000
16,1,12,2121504241,1783475158367127000
16,2,9,2588790082,1783475158490888000
16,3,14,1620501355,1783475158366072000
17,0,17,1153322594,1783475158401033000
17,1,13,2154837574,1783475158403128000
17,2,10,2622123415,1783475158523063000
17,3,15,1653834688,1783475158402070000
18,0,18,1186655927,1783475158433125000
18,1,14,2188170907,1783475158434180000
18,2,11,2655456748,1783475158559305000
18,3,16,1687168021,1783475158435275000
19,0,19,1219989260,1783475158465377000
19,1,15,2221504240,1783475158466422000
19,2,12,2688790081,1783475158591001000
19,3,17,1720501354,1783475158467475000
20,0,20,1253322593,1783475158500897000
