batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,33333333,3414034683956,1783475156858063956,1
1,66666666,3414243312578,1783475157066692578,1
2,1206247043,3414451992622,1783475157275372622,2
3,1239580376,3414660591001,1783475157483971001,2
4,1773770501,3414865417089,1783475157688797089,3
5,1807103834,3415074105005,1783475157897485005,3
6,1840437167,3415282848610,1783475158106228674,3
7,2341150123,3415419819043,1783475158243199075,4
8,2374483456,3415424720088,1783475158248100088,4
9,2407816789,3415431815347,1783475158255195347,4
10,2441150122,3415472620789,1783475158296000789,4
11,2474483455,3415507962456,1783475158331342456,4
12,2507816788,3415540126277,1783475158363506277,4
13,2541150121,3415576089459,1783475158399469459,4
14,2574483454,3415608192894,1783475158431572830,4
15,2607816787,3415640352266,1783475158463732298,4
16,2641150120,3415675990355,1783475158499370355,4
17,2674483453,3415708238049,1783475158531618081,4
18,2707816786,3415744547957,1783475158567927989,4
19,2741150119,3415776137047,1783475158599517111,4
20,2774483452,3415808336644,1783475158631716676,4
21,2807816785,3415844227729,1783475158667607761,4
22,2841150118,3415876213883,1783475158699593883,4
23,2874483451,3415908107362,1783475158731487362,4
24,2907816784,3415944048112,1783475158767428112,4
25,2941150117,3415976355775,1783475158799735775,4
26,2974483450,3416008059267,1783475158831439267,4
27,3007816783,3416044267350,1783475158867647382,4
28,3041150116,3416076365377,1783475158899745377,4
29,3074483449,3416107989636,1783475158931369636,4
30,3107816782,3416144174710,1783475158967554742,4
31,3141150115,3416176024669,1783475158999404701,4
32,3174483448,3416208151618,1783475159031531618,4
33,3207816781,3416243950277,1783475159067330309,4
34,3241150114,3416275988391,1783475159099368391,4
35,3274483447,3416312135952,1783475159135515952,4
36,3307816780,3416343931471,1783475159167311503,4
37,3341150113,3416376193717,1783475159199573749,4
38,3374483446,3416412120314,1783475159235500346,4
39,3407816779,3416444215262,1783475159267595262,4
40,3441150112,3416476149822,1783475159299529854,4
41,3474483445,3416512125732,1783475159335505732,4
42,3507816778,3416544145958,1783475159367525958,4
43,3541150111,3416575963781,1783475159399343781,4
44,3574483444,3416612137743,1783475159435517775,4
45,3607816777,3416644146385,1783475159467526417,4
46,3641150110,3416675987888,1783475159499367888,4
47,3674483443,3416712289627,1783475159535669627,4
48,3707816776,3416744523201,1783475159567903201,4
49,3741150109,3416780185986,1783475159603565986,4
50,3774483442,3416812535594,1783475159635915594,4
51,3807816775,3416844326888,1783475159667706920,4
52,3841150108,3416880711061,1783475159704091093,4
53,3874483441,3416912116652,1783475159735496684,4
54,3907816774,3416944256913,1783475159767636913,4
55,3941150107,3416980183350,1783475159803563350,4
56,3974483440,3417012192824,1783475159835572888,4
57,4007816773,3417044428350,1783475159867808350,4
58,4041150106,3417080149439,1783475159903529471,4
59,4074483439,3417111962142,1783475159935342142,4
60,4107816772,3417143962240,1783475159967342240,4
61,4141150105,3417175993539,1783475159999373571,4
62,4174483438,3417212260934,1783475160035640934,4
63,4207816771,3417244131422,1783475160067511422,4
64,4241150104,3417280241245,1783475160103621245,4
65,4274483437,3417312550365,1783475160135930365,4
66,4307816770,3417344072719,1783475160167452751,4
67,4341150103,3417380538997,1783475160203919029,4
68,4374483436,3417412364236,1783475160235744268,4
69,4407816769,3417448360906,1783475160271740938,4
70,4441150102,3417480109696,1783475160303489728,4
71,4474483435,3417512295998,1783475160335675934,4
72,4507816768,3417548314332,1783475160371694364,4
73,4541150101,3417580372119,1783475160403752119,4
74,4574483434,3417612330929,1783475160435710929,4
75,4607816767,3417648342063,1783475160471722063,4
76,4641150100,3417680029700,1783475160503409732,4
77,4674483433,3417712240738,1783475160535620770,4
78,4707816766,3417748245984,1783475160571626016,4
79,4741150099,3417779982806,1783475160603362806,4
80,4774483432,3417816316217,1783475160639696217,4
81,4807816765,3417848463670,1783475160671843670,4
82,4841150098,3417880348430,1783475160703728462,4
83,4874483431,3417912266759,1783475160735646759,4
84,4907816764,3417948360167,1783475160771740167,4
85,4941150097,3417980247071,1783475160803627071,4
86,4974483430,3418016077754,1783475160839457754,4
87,5007816763,3418048153686,1783475160871533686,4
88,5041150096,3418080206001,1783475160903586001,4
89,5074483429,3418116251663,1783475160939631663,4
90,5107816762,3418148074215,1783475160971454215,4
91,5141150095,3418173212494,1783475160996592526,4
92,5174483428,3418207766989,1783475161031147021,4
93,5207816761,3418240907090,1783475161064287090,4
94,5241150094,3418275578130,1783475161098958130,4
95,5274483427,3418307831113,1783475161131211113,4
96,5307816760,3418341277908,1783475161164657908,4
97,5341150093,3418373191589,1783475161196571589,4
98,5374483426,3418407821828,1783475161231201828,4
99,5407816759,3418440973226,1783475161264353258,4
100,5441150092,3418475718890,1783475161299098922,4
101,5474483425,3418509021331,1783475161332401331,4
102,5507816758,3418540997765,1783475161364377797,4
103,5541150091,3418576050475,1783475161399430475,4
104,5574483424,3418609495958,1783475161432875990,4
105,5607816757,3418641241476,1783475161464621508,4
106,5641150090,3418677367036,1783475161500747036,4
107,5674483423,3418709370511,1783475161532750511,4
108,5707816756,3418741061692,1783475161564441692,4
109,5741150089,3418776911823,1783475161600291855,4
110,5774483422,3418809247240,1783475161632627240,4
111,5807816755,3418843984168,1783475161667364200,4
112,5841150088,3418877416499,1783475161700796499,4
113,5874483421,3418909433446,1783475161732813446,4
114,5907816754,3418941375896,1783475161764755928,4
115,5941150087,3418976145657,1783475161799525657,4
116,5974483420,3419009185181,1783475161832565181,4
117,6007816753,3419041270289,1783475161864650289,4
