cam,seq,pts_ns,mono_ns,real_ns
0,0,586655933,3413703138189,1783475156526518189
0,3,602616925,3413826115160,1783475156649495160
0,4,634586437,3413833033491,1783475156656413523
0,5,670583077,3413835227834,1783475156658607866
0,6,698591205,3413837170972,1783475156660550972
0,7,730597373,3414037258914,1783475156860638914
0,8,766594405,3414245490792,1783475157068870792
3,0,1153834693,3414269787315,1783475157093167251
3,2,1157791141,3414284904828,1783475157108284828
3,3,1165825341,3414293743607,1783475157117123703
3,4,1197811629,3414325737576,1783475157149117608
3,5,1233794853,3414361731583,1783475157185111583
0,9,798610661,3414453841103,1783475157277221071
3,6,1265768269,3414454846112,1783475157278226176
3,7,1297834892,3414662460474,1783475157485840506
0,13,930595013,3414663519532,1783475157486899500
1,0,1721504245,3414837505784,1783475157660885816
1,3,1733503205,3414861458332,1783475157684838332
3,8,1333797661,3414867082334,1783475157690462334
0,20,1166525077,3414868161137,1783475157691541105
1,4,1769460077,3414893456877,1783475157716836877
1,5,1801476077,3414929397123,1783475157752777155
1,6,1833454949,3414965357018,1783475157788737018
1,7,1865465149,3414997440301,1783475157820820301
3,9,1365750341,3415076142417,1783475157899522449
1,8,1897511693,3415077112066,1783475157900492098
0,26,1366497045,3415078209621,1783475157901589621
0,32,1566500021,3415284830020,1783475158108210020
1,9,1933446853,3415285708595,1783475158109088595
3,15,1565776333,3415286819495,1783475158110199463
2,0,2288790085,3415404810176,1783475158228190208
2,2,2292831949,3415419788931,1783475158243168963
0,38,1766446981,3415421916040,1783475158245296040
1,10,1965494141,3415422621236,1783475158246001268
3,21,1765734789,3415423733415,1783475158247113447
0,44,1966428789,3415426436118,1783475158249816150
3,27,1965713205,3415427455815,1783475158250835847
1,11,1997450885,3415428495993,1783475158251875993
2,3,2300775917,3415428742174,1783475158252122174
0,51,2198411949,3415433473744,1783475158256853744
1,12,2033433013,3415434471905,1783475158257851905
3,34,2201645045,3415435548371,1783475158258928403
2,4,2332772013,3415460756936,1783475158284136936
0,55,2334380693,3415474335538,1783475158297715538
1,21,2333380981,3415475357444,1783475158298737476
3,38,2333632045,3415476406134,1783475158299786166
2,5,2368766013,3415496710773,1783475158320090773
0,56,2366407501,3415509596756,1783475158332976788
1,22,2365413916,3415510647527,1783475158334027559
3,39,2365679949,3415511690713,1783475158335070713
2,6,2396787045,3415528701983,1783475158352082047
0,57,2398406373,3415541742176,1783475158365122176
