cam,pts_ns,mono_ns,real_ns
0,586655933,3413825886195,1783475156649266195
0,619989266,3413832896720,1783475156656276720
0,653322599,3413835152888,1783475156658532920
0,686655932,3413837098363,1783475156660478363
0,719989265,3414037103295,1783475156860483295
0,753322598,3414245312837,1783475157068692837
3,1153834693,3414284728409,1783475157108108409
3,1187168026,3414288586556,1783475157111966556
3,1220501359,3414296630217,1783475157120010185
3,1253834692,3414328628155,1783475157152008123
0,786655931,3414453707852,1783475157277087756
3,1287168025,3414454753215,1783475157278133247
3,1320501358,3414662288695,1783475157485668727
0,819989264,3414663353577,1783475157486733577
1,1721504245,3414852253946,1783475157675633946
1,1754837578,3414865288511,1783475157688668543
3,1353834691,3414866951900,1783475157690331900
0,853322597,3414867979534,1783475157691359534
1,1788170911,3414896692006,1783475157720072006
1,1821504244,3414932290646,1783475157755670646
1,1854837577,3414968123819,1783475157791503851
3,1387168024,3415075941262,1783475157899321294
1,1888170910,3415076992416,1783475157900372416
0,886655930,3415078037586,1783475157901417650
0,919989263,3415284578304,1783475158107958336
1,1921504243,3415285612594,1783475158108992626
3,1420501357,3415286711013,1783475158110090981
2,2288790085,3415419634752,1783475158243014784
0,953322596,3415421737125,1783475158245117125
1,1954837576,3415422508018,1783475158245888050
3,1453834690,3415423565348,1783475158246945316
2,2322123418,3415424617078,1783475158247997078
0,986655929,3415426283027,1783475158249663027
3,1487168023,3415427335877,1783475158250715813
1,1988170909,3415428393752,1783475158251773784
2,2355456751,3415431725105,1783475158255105137
0,1019989262,3415433313389,1783475158256693389
1,2021504242,3415434373087,1783475158257753087
3,1520501356,3415435417841,1783475158258797873
2,2388790084,3415463968799,1783475158287348799
0,1053322595,3415474165007,1783475158297545007
1,2054837575,3415475216962,1783475158298596994
3,1553834689,3415476285780,1783475158299665812
2,2422123417,3415499420676,1783475158322800676
0,1086655928,3415509491475,1783475158332871475
1,2088170908,3415510546245,1783475158333926245
3,1587168022,3415511590711,1783475158334970711
2,2455456750,3415531581777,1783475158354961809
0,1119989261,3415541627775,1783475158365007775
3,1620501355,3415542680881,1783475158366060881
1,2121504241,3415543736067,1783475158367116099
2,2488790083,3415567489054,1783475158390869086
0,1153322594,3415577638605,1783475158401018637
3,1653834688,3415578679231,1783475158402059231
1,2154837574,3415579737234,1783475158403117266
2,2522123416,3415599663594,1783475158423043594
0,1186655927,3415609727545,1783475158433107545
1,2188170907,3415610785739,1783475158434165739
3,1687168021,3415611873918,1783475158435253918
2,2555456749,3415631663732,1783475158455043764
0,1219989260,3415641979335,1783475158465359367
1,2221504240,3415643028537,1783475158466408793
3,1720501354,3415644085451,1783475158467465483
2,2588790082,3415667493120,1783475158490873152
0,1253322593,3415677505101,1783475158500885101
1,2254837573,3415678563135,1783475158501943135
3,1753834687,3415679627154,1783475158503007154
2,2622123415,3415699664748,1783475158523044780
0,1286655926,3415709787932,1783475158533167964
3,1787168020,3415710832590,1783475158534212590
1,2288170906,3415711912160,1783475158535292160
2,2655456748,3415735901983,1783475158559281983
0,1319989259,3415746190641,1783475158569570673
1,2321504239,3415747223907,1783475158570603907
3,1820501353,3415748268661,1783475158571648693
2,2688790081,3415767604804,1783475158590984996
0,1353322592,3415777765587,1783475158601145619
1,2354837572,3415778813126,1783475158602193126
3,1853834686,3415779902712,1783475158603282712
2,2722123414,3415799737040,1783475158623117072
1,2388170905,3415809942880,1783475158633322912
0,1386655925,3415810987698,1783475158634367730
3,1887168019,3415812082085,1783475158635462117
2,2755456747,3415835706206,1783475158659086174
0,1419989258,3415845746955,1783475158669126987
1,2421504238,3415846838718,1783475158670218718
3,1920501352,3415847902321,1783475158671282321
2,2788790080,3415867663015,1783475158691043015
0,1453322591,3415877733109,1783475158701113109
3,1953834685,3415878782407,1783475158702162439
1,2454837571,3415879834969,1783475158703214969
2,2822123413,3415899574351,1783475158722954351
0,1486655924,3415909595388,1783475158732975388
3,1987168018,3415910646702,1783475158734026702
1,2488170904,3415911699072,1783475158735079072
2,2855456746,3415935499324,1783475158758879356
