batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,0,0,0,1783444573828276000
0,1,0,0,1783444573827161000
0,2,0,0,1783444573827835000
0,3,0,0,1783444573827385000
1,0,1,33333333,1783444573829550000
1,1,1,33333333,1783444573828576000
1,2,1,33333333,1783444573829123000
1,3,1,33333333,1783444573830074000
2,0,2,66666666,1783444573832203000
2,1,2,66666666,1783444573830607000
2,2,2,66666666,1783444573831955000
2,3,2,66666666,1783444573831098000
3,0,3,99999999,1783444573833792000
3,1,3,99999999,1783444573832797000
3,2,3,99999999,1783444573833616000
3,3,3,99999999,1783444573834524000
4,0,4,133333332,1783444573836438000
4,1,4,133333332,1783444573835020000
4,2,4,133333332,1783444573836067000
4,3,4,133333332,1783444573835500000
5,0,5,166666665,1783444573838198000
5,1,5,166666665,1783444573840772000
5,2,5,166666665,1783444573840815000
5,3,5,166666665,1783444573838637000
6,0,6,199999998,1783444573840605000
6,1,6,199999998,1783444573840821000
6,2,6,199999998,1783444573840867000
6,3,6,199999998,1783444573839580000
7,0,7,233333331,1783444573841997000
7,1,7,233333331,1783444573841108000
7,2,7,233333331,1783444573841535000
7,3,7,233333331,1783444573842430000
8,0,8,266666664,1783444573844321000
8,1,8,266666664,1783444573842916000
8,2,8,266666664,1783444573843859000
8,3,8,266666664,1783444573843341000
9,0,9,299999997,1783444573845720000
9,1,9,299999997,1783444573844856000
9,2,9,299999997,1783444573845305000
9,3,9,299999997,1783444573846149000
10,0,10,333333330,1783444573847909000
10,1,10,333333330,1783444573846630000
10,2,10,333333330,1783444573847490000
10,3,10,333333330,1783444573847009000
11,0,11,366666663,1783444573852794000
11,1,11,366666663,1783444573852906000
11,2,11,366666663,1783444573852889000
11,3,11,366666663,1783444573852798000
12,0,12,399999996,1783444573886248000
12,1,12,399999996,1783444573886351000
12,2,12,399999996,1783444573886247000
12,3,12,399999996,1783444573886204000
13,0,13,433333329,1783444573919540000
13,1,13,433333329,1783444573919543000
13,2,13,433333329,1783444573919538000
13,3,13,433333329,1783444573919541000
14,0,14,466666662,1783444573952907000
14,1,14,466666662,1783444573953128000
14,2,14,466666662,1783444573952915000
14,3,14,466666662,1783444573952911000
15,0,15,499999995,1783444573986265000
15,1,15,499999995,1783444573986327000
15,2,15,499999995,1783444573986299000
15,3,15,499999995,1783444573986322000
16,0,16,533333328,1783444574019517000
16,1,16,533333328,1783444574019580000
16,2,16,533333328,1783444574019603000
16,3,16,533333328,1783444574019601000
17,0,17,566666661,1783444574052822000
17,1,17,566666661,1783444574052967000
17,2,17,566666661,1783444574052874000
17,3,17,566666661,1783444574052851000
18,0,18,599999994,1783444574086182000
18,1,18,599999994,1783444574086191000
18,2,18,599999994,1783444574086182000
18,3,18,599999994,1783444574086190000
19,0,19,633333327,1783444574119542000
19,1,19,633333327,1783444574119550000
19,2,19,633333327,1783444574119541000
19,3,19,633333327,1783444574119542000
20,0,20,666666660,1783444574152872000
20,1,20,666666660,1783444574152872000
20,2,20,666666660,1783444574152872000
20,3,20,666666660,1783444574152880000
21,0,21,699999993,1783444574186211000
21,1,21,699999993,1783444574186247000
21,2,21,699999993,1783444574186220000
21,3,21,699999993,1783444574186221000
22,0,22,733333326,1783444574219554000
22,1,22,733333326,1783444574219563000
22,2,22,733333326,1783444574219567000
22,3,22,733333326,1783444574219554000
23,0,23,766666659,1783444574252879000
23,1,23,766666659,1783444574252885000
23,2,23,766666659,1783444574252879000
23,3,23,766666659,1783444574252886000
24,0,24,799999992,1783444574286331000
24,1,24,799999992,1783444574286238000
24,2,24,799999992,1783444574286236000
24,3,24,799999992,1783444574286238000
25,0,25,833333325,1783444574319629000
25,1,25,833333325,1783444574319734000
25,2,25,833333325,1783444574319636000
25,3,25,833333325,1783444574319735000
26,0,26,866666658,1783444574352840000
26,1,26,866666658,1783444574352903000
26,2,26,866666658,1783444574352841000
26,3,26,866666658,1783444574352908000
27,0,27,899999991,1783444574386223000
27,1,27,899999991,1783444574386311000
27,2,27,899999991,1783444574386237000
27,3,27,899999991,1783444574386276000
28,0,28,933333324,1783444574419540000
28,1,28,933333324,1783444574419545000
28,2,28,933333324,1783444574419536000
28,3,28,933333324,1783444574419542000
29,0,29,966666657,1783444574452801000
29,1,29,966666657,1783444574452843000
29,2,29,966666657,1783444574453061000
29,3,29,966666657,1783444574452874000
30,0,30,999999990,1783444574486301000
30,1,30,999999990,1783444574486308000
30,2,30,999999990,1783444574486317000
30,3,30,999999990,1783444574486377000
31,0,31,1033333323,1783444574519561000
31,1,31,1033333323,1783444574519564000
