batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,375570264,408963935767542,1783444573828493151,4
1,408903597,408963937395052,1783444573830120661,4
2,442236930,408963939512534,1783444573832238175,4
3,475570263,408963941850938,1783444573834576579,4
4,508903596,408963943754568,1783444573836480209,4
5,542236929,408963948144247,1783444573840869888,4
6,575570262,408963948285172,1783444573841010781,4
7,608903595,408963949753326,1783444573842478935,4
8,642236928,408963951632797,1783444573844358438,4
9,675570261,408963953462382,1783444573846188023,4
10,708903594,408963955216865,1783444573847942506,4
11,742236927,408963960248159,1783444573852973800,4
12,775570260,408964002240548,1783444573894966221,4
13,808903593,408964035403180,1783444573928128821,4
14,842236926,408964060537508,1783444573953263213,4
15,875570259,408964093666349,1783444573986391990,4
16,908903592,408964135502805,1783444574028228478,4
17,942236925,408964160284277,1783444574053009886,4
18,975570258,408964202056062,1783444574094781767,4
19,1008903591,408964226945435,1783444574119671108,4
20,1042236924,408964260367003,1783444574153092612,4
21,1075570257,408964302068422,1783444574194794031,4
22,1108903590,408964326949411,1783444574219675020,4
23,1142236923,408964368674189,1783444574261399830,4
24,1175570256,408964402122413,1783444574294848022,4
25,1208903589,408964427206501,1783444574319932142,4
26,1242236922,408964460326126,1783444574353051735,4
27,1275570255,408964502161493,1783444574394887134,4
28,1308903588,408964527000979,1783444574419726620,4
29,1342236921,408964568811579,1783444574461537220,4
30,1375570254,408964602189757,1783444574494915398,4
31,1408903587,408964627072122,1783444574519797731,4
32,1442236920,408964660344671,1783444574553070376,4
33,1475570253,408964702335490,1783444574595061163,4
34,1508903586,408964727227871,1783444574619953544,4
35,1542236919,408964760636800,1783444574653362409,4
36,1575570252,408964793857477,1783444574686583118,4
37,1608903585,408964835599023,1783444574728324632,4
38,1642236918,408964860534923,1783444574753260564,4
39,1675570251,408964893649427,1783444574786375100,4
40,1708903584,408964927210384,1783444574819936025,4
41,1742236917,408964968997657,1783444574861723362,4
42,1775570250,408965002310780,1783444574895036485,4
43,1808903583,408965027038941,1783444574919764550,4
44,1842236916,408965068651722,1783444574961377363,4
45,1875570249,408965093611910,1783444574986337551,4
46,1908903582,408965135403661,1783444575028129270,4
47,1942236915,408965168667441,1783444575061393146,4
48,1975570248,408965193714729,1783444575086440338,4
49,2008903581,408965235962884,1783444575128688557,4
50,2042236914,408965268851153,1783444575161576858,4
51,2075570247,408965302114196,1783444575194839837,4
52,2108903580,408965335492309,1783444575228217982,4
53,2142236913,408965368688570,1783444575261414211,4
54,2175570246,408965393733330,1783444575286458907,4
55,2208903579,408965435547832,1783444575328273505,4
56,2242236912,408965468836603,1783444575361562244,4
57,2275570245,408965502194588,1783444575394920197,4
58,2308903578,408965535502302,1783444575428227943,4
59,2342236911,408965568824704,1783444575461550377,4
60,2375570244,408965593830905,1783444575486556578,4
61,2408903577,408965627145756,1783444575519871397,4
62,2442236910,408965669025760,1783444575561751465,4
63,2475570243,408965702288324,1783444575595013997,4
64,2508903576,408965735624965,1783444575628350638,4
65,2542236909,408965768793643,1783444575661519348,4
66,2575570242,408965802028047,1783444575694753656,4
67,2608903575,408965827187748,1783444575719913389,4
68,2642236908,408965868759217,1783444575761484858,4
69,2675570241,408965893718443,1783444575786444084,4
70,2708903574,408965935553937,1783444575828279642,4
71,2742236907,408965960508523,1783444575853234196,4
72,2775570240,408965993680913,1783444575886406522,4
73,2808903573,408966035638228,1783444575928363901,4
74,2842236906,408966068737883,1783444575961463524,4
75,2875570239,408966102707181,1783444575995432854,4
76,2908903572,408966126980408,1783444576019706017,4
77,2942236905,408966160293145,1783444576053018754,4
78,2975570238,408966193810869,1783444576086536574,4
79,3008903571,408966227071991,1783444576119797632,4
80,3042236904,408966268807646,1783444576161533319,4
81,3075570237,408966293741304,1783444576186466945,4
82,3108903570,408966335548413,1783444576228274086,4
83,3142236903,408966360375641,1783444576253101314,4
84,3175570236,408966393712826,1783444576286438467,4
85,3208903569,408966435660699,1783444576328386404,4
86,3242236902,408966460522839,1783444576353248512,4
87,3275570235,408966502259262,1783444576394984903,4
88,3308903568,408966526986653,1783444576419712262,4
89,3342236901,408966568781378,1783444576461506987,4
90,3375570234,408966593741820,1783444576486467461,4
91,3408903567,408966635531937,1783444576528257546,4
92,3442236900,408966660363038,1783444576553088679,4
93,3475570233,408966693642687,1783444576586368296,4
94,3508903566,408966727179899,1783444576619905508,4
95,3542236899,408966768789733,1783444576661515406,4
96,3575570232,408966793736094,1783444576686461735,4
97,3608903565,408966835568483,1783444576728294124,4
98,3642236898,408966868603915,1783444576761329620,4
99,3675570231,408966893672065,1783444576786397674,4
100,3708903564,408966935576004,1783444576828301709,4
101,3742236897,408966968924964,1783444576861650605,4
102,3775570230,408966993802175,1783444576886527816,4
103,3808903563,408967027044290,1783444576919769963,4
104,3842236896,408967060457376,1783444576953182985,4
105,3875570229,408967093849087,1783444576986574792,4
106,3908903562,408967127031843,1783444577019757452,4
107,3942236895,408967168668843,1783444577061394484,4
108,3975570228,408967201992490,1783444577094718131,4
109,4008903561,408967226859589,1783444577119585198,4
110,4042236894,408967260320929,1783444577153046538,4
111,4075570227,408967293701663,1783444577186427272,4
112,4108903560,408967335359782,1783444577228085423,4
113,4142236893,408967368853057,1783444577261578666,4
114,4175570226,408967402238783,1783444577294964456,4
