cam,seq,pts_ns,mono_ns,real_ns
1,-1,0,408963934360571,1783444573827086212
3,-1,0,408963934651891,1783444573827377532
2,-1,0,408963935102984,1783444573827828625
0,-1,0,408963935544188,1783444573828269797
1,-1,33333333,408963935842357,1783444573828567966
2,-1,33333333,408963936390086,1783444573829115695
0,-1,33333333,408963936815131,1783444573829540772
3,-1,33333333,408963937341454,1783444573830067095
1,-1,66666666,408963937871168,1783444573830596777
3,-1,66666666,408963938364787,1783444573831090428
2,-1,66666666,408963939220925,1783444573831946534
0,-1,66666666,408963939470967,1783444573832196608
1,-1,100000000,408963940053032,1783444573832778673
2,-1,100000000,408963940882962,1783444573833608603
0,-1,100000000,408963941057774,1783444573833783415
3,-1,100000000,408963941788411,1783444573834514052
1,-1,133333333,408963942285358,1783444573835010999
3,-1,133333333,408963942765954,1783444573835491563
2,-1,133333333,408963943329267,1783444573836054940
0,-1,133333333,408963943703818,1783444573836429459
0,-1,166666666,408963945462428,1783444573838188101
3,-1,166666666,408963945906481,1783444573838632122
3,-1,200000000,408963946845881,1783444573839571522
0,-1,200000000,408963947870014,1783444573840595655
1,-1,166666666,408963948036890,1783444573840762499
2,-1,166666666,408963948079161,1783444573840804834
1,-1,200000000,408963948089721,1783444573840815362
2,-1,200000000,408963948137047,1783444573840862688
1,-1,233333333,408963948376977,1783444573841102618
2,-1,233333333,408963948801606,1783444573841527215
0,-1,233333333,408963949264986,1783444573841990595
3,-1,233333333,408963949699343,1783444573842424984
1,-1,266666666,408963950180995,1783444573842906636
3,-1,266666666,408963950608376,1783444573843334017
2,-1,266666666,408963951127850,1783444573843853459
0,-1,266666666,408963951591774,1783444573844317415
1,-1,300000000,408963952125328,1783444573844850969
2,-1,300000000,408963952574085,1783444573845299726
0,-1,300000000,408963952989658,1783444573845715299
3,-1,300000000,408963953418479,1783444573846144120
1,-1,333333333,408963953897891,1783444573846623532
3,-1,333333333,408963954273817,1783444573846999426
2,-1,333333333,408963954758893,1783444573847484566
0,-1,333333333,408963955177826,1783444573847903435
0,-1,366666666,408963960050564,1783444573852776205
3,-1,366666666,408963960063364,1783444573852789005
2,-1,366666666,408963960157409,1783444573852883018
1,-1,366666666,408963960175809,1783444573852901450
3,-1,400000000,408963993446599,1783444573886172304
0,-1,400000000,408963993493253,1783444573886218926
2,-1,400000000,408963993501349,1783444573886227022
1,-1,400000000,408963993546116,1783444573886271789
0,-1,433333333,408964026775787,1783444573919501492
2,-1,433333333,408964026775339,1783444573919501012
1,-1,433333333,408964026780299,1783444573919506004
3,-1,433333333,408964026780555,1783444573919506228
3,-1,466666666,408964060147054,1783444573952872791
0,-1,466666666,408964060154894,1783444573952880599
2,-1,466666666,408964060168237,1783444573952893910
1,-1,466666666,408964060179149,1783444573952904854
3,-1,500000000,408964093478098,1783444573986203739
2,-1,500000000,408964093478226,1783444573986203867
0,-1,500000000,408964093478482,1783444573986204187
1,-1,500000000,408964093549104,1783444573986274745
0,-1,533333333,408964126762615,1783444574019488320
2,-1,533333333,408964126781014,1783444574019506687
1,-1,533333333,408964126781174,1783444574019506943
3,-1,533333333,408964126790710,1783444574019516511
0,-1,566666666,408964160070138,1783444574052795747
2,-1,566666666,408964160079034,1783444574052804803
3,-1,566666666,408964160105050,1783444574052830787
1,-1,566666666,408964160192119,1783444574052917920
0,-1,600000000,408964193424093,1783444574086149734
3,-1,600000000,408964193425341,1783444574086150982
1,-1,600000000,408964193425501,1783444574086151142
2,-1,600000000,408964193425469,1783444574086151110
2,-1,633333333,408964226779199,1783444574119504808
1,-1,633333333,408964226779359,1783444574119505032
3,-1,633333333,408964226779391,1783444574119505032
0,-1,633333333,408964226789343,1783444574119515112
0,-1,666666666,408964260097058,1783444574152822699
2,-1,666666666,408964260100706,1783444574152826379
1,-1,666666666,408964260100610,1783444574152826251
3,-1,666666666,408964260104546,1783444574152830219
0,-1,700000000,408964293450501,1783444574186176142
2,-1,700000000,408964293460068,1783444574186185837
3,-1,700000000,408964293460260,1783444574186185997
1,-1,700000000,408964293502435,1783444574186228204
0,-1,733333333,408964326774952,1783444574219500625
1,-1,733333333,408964326775336,1783444574219500945
3,-1,733333333,408964326775496,1783444574219501169
2,-1,733333333,408964326776040,1783444574219501713
0,-1,766666666,408964360103307,1783444574252828948
1,-1,766666666,408964360103531,1783444574252829172
3,-1,766666666,408964360103691,1783444574252829332
2,-1,766666666,408964360103659,1783444574252829268
0,-1,800000000,408964393460973,1783444574286186710
1,-1,800000000,408964393461261,1783444574286186998
2,-1,800000000,408964393461389,1783444574286187158
3,-1,800000000,408964393461197,1783444574286186966
2,-1,833333333,408964426833295,1783444574319558968
0,-1,833333333,408964426832783,1783444574319558424
3,-1,833333333,408964426852430,1783444574319578039
1,-1,833333333,408964426833007,1783444574319558648
0,-1,866666666,408964460078644,1783444574352804285
2,-1,866666666,408964460082452,1783444574352808061
1,-1,866666666,408964460141266,1783444574352866907
3,-1,866666666,408964460153138,1783444574352878747
2,-1,900000000,408964493453078,1783444574386178687
3,-1,900000000,408964493453238,1783444574386178879
0,-1,900000000,408964493460342,1783444574386186111
1,-1,900000000,408964493513780,1783444574386239389
2,-1,933333333,408964526768345,1783444574419494242
0,-1,933333333,408964526770617,1783444574419496258
3,-1,933333333,408964526769209,1783444574419494850
1,-1,933333333,408964526769529,1783444574419495170
0,-1,966666666,408964560051165,1783444574452776838
1,-1,966666666,408964560087165,1783444574452812934
3,-1,966666666,408964560123388,1783444574452849125
2,-1,966666666,408964560314295,1783444574453040032
1,-1,1000000000,408964593509981,1783444574486235654
2,-1,1000000000,408964593510493,1783444574486236134
0,-1,1000000000,408964593510237,1783444574486235878
3,-1,1000000000,408964593546076,1783444574486271717
0,-1,1033333333,408964626792737,1783444574519518410
1,-1,1033333333,408964626801185,1783444574519526890
2,-1,1033333333,408964626804801,1783444574519530506
3,-1,1033333333,408964626878783,1783444574519604456
0,-1,1066666666,408964660122052,1783444574552847789
2,-1,1066666666,408964660122180,1783444574552847885
3,-1,1066666666,408964660122628,1783444574552848333
1,-1,1066666666,408964660131588,1783444574552857293
3,-1,1100000000,408964693505446,1783444574586231119
1,-1,1100000000,408964693508294,1783444574586234063
2,-1,1100000000,408964693505798,1783444574586231439
0,-1,1100000000,408964693600419,1783444574586326060
3,-1,1133333333,408964726825833,1783444574619551634
1,-1,1133333333,408964726826281,1783444574619552050
0,-1,1133333333,408964726941510,1783444574619667183
2,-1,1133333333,408964726954566,1783444574619680271
0,-1,1166666666,408964760221962,1783444574652947571
3,-1,1166666666,408964760260937,1783444574652986578
2,-1,1166666666,408964760287433,1783444574653013074
1,-1,1166666666,408964760363879,1783444574653089520
2,-1,1200000000,408964793502127,1783444574686227800
3,-1,1200000000,408964793501871,1783444574686227544
1,-1,1200000000,408964793665578,1783444574686391443
0,-1,1200000000,408964793665674,1783444574686391315
3,-1,1233333333,408964826822546,1783444574719548251
2,-1,1233333333,408964826824274,1783444574719550043
0,-1,1233333333,408964826924175,1783444574719649880
1,-1,1233333333,408964826936367,1783444574719662072
3,-1,1266666666,408964860138517,1783444574752864126
1,-1,1266666666,408964860138389,1783444574752864062
2,-1,1266666666,408964860213491,1783444574752939100
0,-1,1266666666,408964860256050,1783444574752981691
2,-1,1300000000,408964893452025,1783444574786177666
1,-1,1300000000,408964893465720,1783444574786191489
