cam,pts_ns,mono_ns,real_ns
1,0,408963934364955,1783444573827090596
3,0,408963934655123,1783444573827380732
2,0,408963935105224,1783444573827830865
0,0,408963935546492,1783444573828272133
1,33333333,408963935845716,1783444573828571325
2,33333333,408963936393702,1783444573829119343
0,33333333,408963936819035,1783444573829544676
3,33333333,408963937344750,1783444573830070359
1,66666666,408963937875424,1783444573830601065
3,66666666,408963938367251,1783444573831092892
2,66666666,408963939224125,1783444573831949766
0,66666666,408963939473911,1783444573832199520
1,99999999,408963940065224,1783444573832790833
2,99999999,408963940885490,1783444573833611131
0,99999999,408963941060430,1783444573833786039
3,99999999,408963941791387,1783444573834517028
1,133333332,408963942288206,1783444573835013815
3,133333332,408963942768546,1783444573835494219
2,133333332,408963943333811,1783444573836059420
0,133333332,408963943706346,1783444573836431987
0,166666665,408963945465692,1783444573838191333
3,166666665,408963945908561,1783444573838634266
3,199999998,408963946848153,1783444573839573794
0,199999998,408963947872862,1783444573840598471
1,166666665,408963948039578,1783444573840765187
2,166666665,408963948082425,1783444573840808098
1,199999998,408963948091033,1783444573840816674
2,199999998,408963948138263,1783444573840863904
1,233333331,408963948379249,1783444573841104890
2,233333331,408963948804102,1783444573841529743
0,233333331,408963949267098,1783444573841992739
3,233333331,408963949701039,1783444573842426680
1,266666664,408963950183715,1783444573842909324
3,266666664,408963950610968,1783444573843336609
2,266666664,408963951129930,1783444573843855571
0,266666664,408963951593150,1783444573844318759
1,299999997,408963952127024,1783444573844852633
2,299999997,408963952575781,1783444573845301390
0,299999997,408963952991706,1783444573845717315
3,299999997,408963953420719,1783444573846146392
1,333333330,408963953899747,1783444573846625388
3,333333330,408963954276761,1783444573847002402
2,333333330,408963954760972,1783444573847486613
0,333333330,408963955179522,1783444573847905163
0,366666663,408963960055268,1783444573852780909
3,366666663,408963960065860,1783444573852791533
2,366666663,408963960160161,1783444573852885802
1,366666663,408963960177697,1783444573852903306
3,399999996,408963993454918,1783444573886180591
0,399999996,408963993501733,1783444573886227406
2,399999996,408963993505093,1783444573886230766
1,399999996,408963993552580,1783444573886278221
0,433333329,408964026787018,1783444573919512691
2,433333329,408964026787050,1783444573919512723
1,433333329,408964026789514,1783444573919515155
3,433333329,408964026792170,1783444573919517811
3,466666662,408964060158926,1783444573952884631
0,466666662,408964060161102,1783444573952886806
2,466666662,408964060174381,1783444573952900054
1,466666662,408964060187469,1783444573952913142
3,499999995,408964093491346,1783444573986217051
2,499999995,408964093491538,1783444573986217179
0,499999995,408964093495378,1783444573986221083
1,499999995,408964093555504,1783444573986281145
0,533333328,408964126771031,1783444574019496736
2,533333328,408964126789974,1783444574019515679
1,533333328,408964126793430,1783444574019519103
3,533333328,408964126798998,1783444574019524703
0,566666661,408964160077466,1783444574052803107
2,566666661,408964160088474,1783444574052814147
3,566666661,408964160111801,1783444574052837538
1,566666661,408964160202135,1783444574052927808
0,599999994,408964193430557,1783444574086156166
3,599999994,408964193431389,1783444574086157030
1,599999994,408964193433149,1783444574086158790
2,599999994,408964193433917,1783444574086159525
2,633333327,408964226788735,1783444574119514376
3,633333327,408964226788799,1783444574119514408
0,633333327,408964226797823,1783444574119523496
1,633333327,408964226788959,1783444574119514568
0,666666660,408964260107138,1783444574152832747
2,666666660,408964260109154,1783444574152834795
3,666666660,408964260111010,1783444574152836619
1,666666660,408964260109602,1783444574152835243
0,699999993,408964293458821,1783444574186184430
2,699999993,408964293468804,1783444574186194541
3,699999993,408964293471332,1783444574186197037
1,699999993,408964293509219,1783444574186234988
0,733333326,408964326786664,1783444574219512241
1,733333326,408964326789031,1783444574219514864
3,733333326,408964326792807,1783444574219518480
2,733333326,408964326802279,1783444574219528112
0,766666659,408964360112555,1783444574252838196
1,766666659,408964360113899,1783444574252839540
3,766666659,408964360119626,1783444574252845267
2,766666659,408964360129706,1783444574252855763
2,799999992,408964393477485,1783444574286203158
1,799999992,408964393484940,1783444574286210645
3,799999992,408964393499500,1783444574286225205
0,799999992,408964393513868,1783444574286239573
0,833333325,408964426850958,1783444574319576599
2,833333325,408964426858094,1783444574319583735
3,833333325,408964426987147,1783444574319712820
1,833333325,408964426990507,1783444574319716116
0,866666658,408964460086452,1783444574352812093
2,866666658,408964460089716,1783444574352815485
1,866666658,408964460148594,1783444574352874235
3,866666658,408964460156370,1783444574352882011
3,899999991,408964493463542,1783444574386189151
2,899999991,408964493463478,1783444574386189119
0,899999991,408964493469973,1783444574386195678
1,899999991,408964493517652,1783444574386243293
2,933333324,408964526780313,1783444574419505922
0,933333324,408964526780153,1783444574419505794
3,933333324,408964526783929,1783444574419509570
1,933333324,408964526792089,1783444574419517730
0,966666657,408964560057661,1783444574452783270
1,966666657,408964560096636,1783444574452822309
3,966666657,408964560132635,1783444574452858340
2,966666657,408964560321974,1783444574453047647
1,999999990,408964593525181,1783444574486250790
0,999999990,408964593526365,1783444574486252006
3,999999990,408964593552508,1783444574486278149
2,999999990,408964593525213,1783444574486250822
0,1033333323,408964626803457,1783444574519529066
1,1033333323,408964626809633,1783444574519535338
2,1033333323,408964626814049,1783444574519539690
3,1033333323,408964626883167,1783444574519608808
0,1066666656,408964660136132,1783444574552861805
3,1066666656,408964660137156,1783444574552862829
1,1066666656,408964660138116,1783444574552863789
2,1066666656,408964660138436,1783444574552864109
3,1099999989,408964693522533,1783444574586248174
1,1099999989,408964693523301,1783444574586249006
2,1099999989,408964693525157,1783444574586250798
0,1099999989,408964693605731,1783444574586331372
3,1133333322,408964726838089,1783444574619563794
1,1133333322,408964726841897,1783444574619567602
0,1133333322,408964726947590,1783444574619673295
2,1133333322,408964726962886,1783444574619688559
0,1166666655,408964760239754,1783444574652965363
3,1166666655,408964760269577,1783444574652995218
2,1166666655,408964760293608,1783444574653019249
1,1166666655,408964760369031,1783444574653094672
2,1199999988,408964793518478,1783444574686244119
3,1199999988,408964793519054,1783444574686244695
1,1199999988,408964793669482,1783444574686395091
0,1199999988,408964793670474,1783444574686396083
3,1233333321,408964826833394,1783444574719559067
2,1233333321,408964826835889,1783444574719561594
0,1233333321,408964826930383,1783444574719656056
1,1233333321,408964826943663,1783444574719669336
3,1266666654,408964860152469,1783444574752878110
1,1266666654,408964860154133,1783444574752879774
2,1266666654,408964860217779,1783444574752943740
0,1266666654,408964860261010,1783444574752987099
2,1299999987,408964893460728,1783444574786186337
1,1299999987,408964893478168,1783444574786203841
3,1299999987,408964893482168,1783444574786207873
0,1299999987,408964893530071,1783444574786255680
0,1333333320,408964926852346,1783444574819577955
3,1333333320,408964926856442,1783444574819582115
1,1333333320,408964926856794,1783444574819582499
2,1333333320,408964926879577,1783444574819605218
2,1366666653,408964960153757,1783444574852879398
3,1366666653,408964960155357,1783444574852880966
0,1366666653,408964960153821,1783444574852879622
1,1366666653,408964960255387,1783444574852981028
1,1399999986,408964993504416,1783444574886230089
0,1399999986,408964993504960,1783444574886230633
2,1399999986,408964993505376,1783444574886231049
3,1399999986,408964993571742,1783444574886297447
2,1433333319,408965026845538,1783444574919571179
0,1433333319,408965026845570,1783444574919571211
3,1433333319,408965026851778,1783444574919577963
1,1433333319,408965026861762,1783444574919587563
3,1466666652,408965060099783,1783444574952825424
1,1466666652,408965060100263,1783444574952825872
2,1466666652,408965060102311,1783444574952827888
0,1466666652,408965060102855,1783444574952828432
3,1499999985,408965093419435,1783444574986145044
1,1499999985,408965093421419,1783444574986147060
0,1499999985,408965093464969,1783444574986190674
2,1499999985,408965093469321,1783444574986195058
0,1533333318,408965126778732,1783444575019504341
2,1533333318,408965126779308,1783444575019504917
3,1533333318,408965126785292,1783444575019511029
1,1533333318,408965126789516,1783444575019515221
0,1566666651,408965160097742,1783444575052823383
1,1566666651,408965160100110,1783444575052825751
2,1566666651,408965160106670,1783444575052832279
3,1566666651,408965160142797,1783444575052868438
0,1599999984,408965193458831,1783444575086184440
2,1599999984,408965193458959,1783444575086184696
1,1599999984,408965193473647,1783444575086199320
3,1599999984,408965193552909,1783444575086278614
3,1633333317,408965226847599,1783444575119573208
1,1633333317,408965226847599,1783444575119573240
2,1633333317,408965226851823,1783444575119577944
0,1633333317,408965226853007,1783444575119578648
3,1666666650,408965260115475,1783444575152841148
1,1666666650,408965260117267,1783444575152842940
2,1666666650,408965260154386,1783444575152880123
0,1666666650,408965260214928,1783444575152940569
3,1699999983,408965293500499,1783444575186226140
1,1699999983,408965293504179,1783444575186229820
0,1699999983,408965293512851,1783444575186238460
2,1699999983,408965293518195,1783444575186243836
1,1733333316,408965326773142,1783444575219498751
3,1733333316,408965326781622,1783444575219507295
