batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,0,0,632053332,1783444530841139000
0,1,0,0,1783444530713501000
1,0,1,665386665,1783444530873057000
1,1,1,33333333,1783444530713559000
2,0,2,698719998,1783444530905115000
2,1,2,66666666,1783444530716783000
3,0,3,732053331,1783444530937132000
3,1,3,99999999,1783444530716805000
3,2,0,1217000000,1783444531426003000
3,3,0,1137000000,1783444531346060000
4,0,4,765386664,1783444530969168000
4,1,4,133333332,1783444530716810000
4,2,1,1250333333,1783444531458115000
4,3,1,1170333333,1783444531378034000
5,0,5,798719997,1783444531001180000
5,1,5,166666665,1783444530716814000
5,2,2,1283666666,1783444531490084000
5,3,2,1203666666,1783444531410041000
6,0,6,832053330,1783444531033269000
6,1,6,199999998,1783444530913692000
6,2,3,1316999999,1783444531522100000
6,3,3,1236999999,1783444531442107000
7,0,7,865386663,1783444531122520000
7,1,7,233333331,1783444531122477000
7,2,4,1350333332,1783444531554131000
7,3,4,1270333332,1783444531474392000
8,0,8,898719996,1783444531331109000
8,1,8,266666664,1783444531331241000
8,2,5,1383666665,1783444531586109000
8,3,5,1303666665,1783444531506176000
9,0,9,932053329,1783444531434759000
9,1,9,299999997,1783444531434801000
9,2,6,1416999998,1783444531618201000
9,3,6,1336999998,1783444531538165000
10,0,10,965386662,1783444531467633000
10,1,10,333333330,1783444531467226000
10,2,7,1450333331,1783444531650191000
10,3,7,1370333331,1783444531570313000
11,0,11,998719995,1783444531498912000
11,1,11,366666663,1783444531498913000
11,2,8,1483666664,1783444531682258000
11,3,8,1403666664,1783444531602189000
12,0,12,1032053328,1783444531530864000
12,1,12,399999996,1783444531530863000
12,2,9,1516999997,1783444531714182000
12,3,9,1436999997,1783444531634255000
13,0,13,1065386661,1783444531562775000
13,1,13,433333329,1783444531562803000
13,2,10,1550333330,1783444531746277000
13,3,10,1470333330,1783444531666264000
14,0,14,1098719994,1783444531594698000
14,1,14,466666662,1783444531594698000
14,2,11,1583666663,1783444531778251000
14,3,11,1503666663,1783444531698291000
15,0,15,1132053327,1783444531626931000
15,1,15,499999995,1783444531626888000
15,2,12,1616999996,1783444531810252000
15,3,12,1536999996,1783444531730280000
16,0,16,1165386660,1783444531658969000
16,1,16,533333328,1783444531658971000
16,2,13,1650333329,1783444531842323000
16,3,13,1570333329,1783444531762321000
17,0,17,1198719993,1783444531690795000
17,1,17,566666661,1783444531690941000
17,2,14,1683666662,1783444531874363000
17,3,14,1603666662,1783444531794338000
18,0,18,1232053326,1783444531722742000
18,1,18,599999994,1783444531722688000
18,2,15,1716999995,1783444531906346000
18,3,15,1636999995,1783444531826409000
19,0,19,1265386659,1783444531755023000
19,1,19,633333327,1783444531755264000
19,2,16,1750333328,1783444531938424000
19,3,16,1670333328,1783444531858392000
20,0,20,1298719992,1783444531786804000
20,1,20,666666660,1783444531786803000
20,2,17,1783666661,1783444531970477000
20,3,17,1703666661,1783444531890452000
21,0,21,1332053325,1783444531818915000
21,1,21,699999993,1783444531818738000
21,2,18,1816999994,1783444532002481000
21,3,18,1736999994,1783444531922523000
22,0,22,1365386658,1783444531850927000
22,1,22,733333326,1783444531850915000
22,2,19,1850333327,1783444532034481000
22,3,19,1770333327,1783444532018547000
23,0,23,1398719991,1783444531882987000
23,1,23,766666659,1783444531883011000
23,2,20,1883666660,1783444532066542000
23,3,20,1803666660,1783444532050571000
24,0,24,1432053324,1783444531914924000
24,1,24,799999992,1783444531914886000
24,2,21,1916999993,1783444532098573000
24,3,21,1836999993,1783444532082664000
25,0,25,1465386657,1783444531947022000
25,1,25,833333325,1783444531947011000
25,2,22,1950333326,1783444532130619000
25,3,22,1870333326,1783444532114574000
26,0,26,1498719990,1783444531979099000
26,1,26,866666658,1783444531979053000
26,2,23,1983666659,1783444532162676000
26,3,23,1903666659,1783444532146639000
27,0,27,1532053323,1783444532011048000
27,1,27,899999991,1783444532011033000
27,2,24,2016999992,1783444532194671000
27,3,24,1936999992,1783444532178777000
28,0,28,1565386656,1783444532043199000
28,1,28,933333324,1783444532043198000
28,2,25,2050333325,1783444532226671000
28,3,25,1970333325,1783444532210697000
29,0,29,1598719989,1783444532075173000
29,1,29,966666657,1783444532075196000
29,2,26,2083666658,1783444532258905000
29,3,26,2003666658,1783444532242723000
30,0,30,1632053322,1783444532107148000
30,1,30,999999990,1783444532107140000
30,2,27,2116999991,1783444532290742000
30,3,27,2036999991,1783444532274812000
31,0,31,1665386655,1783444532139186000
31,1,31,1033333323,1783444532139172000
31,2,28,2150333324,1783444532322865000
31,3,28,2070333324,1783444532306809000
32,0,32,1698719988,1783444532171344000
32,1,32,1066666656,1783444532171270000
32,2,29,2183666657,1783444532354717000
32,3,29,2103666657,1783444532338781000
33,0,33,1732053321,1783444532203292000
33,1,33,1099999989,1783444532203278000
33,2,30,2216999990,1783444532386802000
33,3,30,2136999990,1783444532370798000
34,0,34,1765386654,1783444532235322000
34,1,34,1133333322,1783444532235302000
34,2,31,2250333323,1783444532418763000
34,3,31,2170333323,1783444532402852000
35,0,35,1798719987,1783444532267550000
35,1,35,1166666655,1783444532267554000
35,2,32,2283666656,1783444532450796000
35,3,32,2203666656,1783444532434870000
36,0,36,1832053320,1783444532299434000
36,1,36,1199999988,1783444532300233000
36,2,33,2316999989,1783444532482951000
36,3,33,2236999989,1783444532466922000
37,0,37,1865386653,1783444532331556000
37,1,37,1233333321,1783444532331543000
37,2,34,2350333322,1783444532514911000
37,3,34,2270333322,1783444532499010000
38,0,38,1898719986,1783444532363241000
38,1,38,1266666654,1783444532363237000
38,2,35,2383666655,1783444532546975000
38,3,35,2303666655,1783444532531060000
39,0,39,1932053319,1783444532395430000
39,1,39,1299999987,1783444532395428000
39,2,36,2416999988,1783444532643020000
39,3,36,2336999988,1783444532563005000
40,0,40,1965386652,1783444532427291000
40,1,40,1333333320,1783444532427287000
40,2,37,2450333321,1783444532674987000
40,3,37,2370333321,1783444532595100000
41,0,41,1998719985,1783444532459476000
41,1,41,1366666653,1783444532460297000
41,2,38,2483666654,1783444532707042000
41,3,38,2403666654,1783444532627088000
42,0,42,2032053318,1783444532491649000
42,1,42,1399999986,1783444532491667000
42,2,39,2516999987,1783444532739061000
42,3,39,2436999987,1783444532659083000
43,0,43,2065386651,1783444532523668000
43,1,43,1433333319,1783444532523669000
43,2,40,2550333320,1783444532771044000
43,3,40,2470333320,1783444532691095000
44,0,44,2098719984,1783444532555605000
44,1,44,1466666652,1783444532555628000
44,2,41,2583666653,1783444532803071000
44,3,41,2503666653,1783444532723110000
45,0,45,2132053317,1783444532651906000
45,1,45,1499999985,1783444532651943000
45,2,42,2616999986,1783444532835119000
45,3,42,2536999986,1783444532755131000
46,0,46,2165386650,1783444532683537000
46,1,46,1533333318,1783444532683564000
46,2,43,2650333319,1783444532867151000
46,3,43,2570333319,1783444532787125000
47,0,47,2198719983,1783444532715548000
47,1,47,1566666651,1783444532715579000
47,2,44,2683666652,1783444532899156000
47,3,44,2603666652,1783444532819185000
48,0,48,2232053316,1783444532747657000
48,1,48,1599999984,1783444532747658000
48,2,45,2716999985,1783444532931234000
48,3,45,2636999985,1783444532851194000
49,0,49,2265386649,1783444532779733000
49,1,49,1633333317,1783444532779588000
49,2,46,2750333318,1783444532963290000
49,3,46,2670333318,1783444532883254000
50,0,50,2298719982,1783444532811611000
50,1,50,1666666650,1783444532811629000
50,2,47,2783666651,1783444532995321000
50,3,47,2703666651,1783444532915250000
51,0,51,2332053315,1783444532843679000
51,1,51,1699999983,1783444532843711000
51,2,48,2816999984,1783444533027383000
51,3,48,2736999984,1783444532947441000
52,0,52,2365386648,1783444532875797000
52,1,52,1733333316,1783444532875707000
52,2,49,2850333317,1783444533059683000
52,3,49,2770333317,1783444532979361000
53,0,53,2398719981,1783444532908028000
53,1,53,1766666649,1783444532907809000
53,2,50,2883666650,1783444533091505000
53,3,50,2803666650,1783444533011433000
54,0,54,2432053314,1783444532940063000
54,1,54,1799999982,1783444532939853000
54,2,51,2916999983,1783444533123379000
54,3,51,2836999983,1783444533043396000
55,0,55,2465386647,1783444532971888000
55,1,55,1833333315,1783444532971912000
55,2,52,2950333316,1783444533155433000
55,3,52,2870333316,1783444533075432000
56,0,56,2498719980,1783444533003954000
56,1,56,1866666648,1783444533003993000
56,2,53,2983666649,1783444533187462000
56,3,53,2903666649,1783444533107440000
57,0,57,2532053313,1783444533036002000
57,1,57,1899999981,1783444533036021000
57,2,54,3016999982,1783444533219441000
57,3,54,2936999982,1783444533139473000
58,0,58,2565386646,1783444533068276000
58,1,58,1933333314,1783444533068317000
58,2,55,3050333315,1783444533251471000
58,3,55,2970333315,1783444533171528000
59,0,59,2598719979,1783444533100034000
59,1,59,1966666647,1783444533100082000
59,2,56,3083666648,1783444533283493000
59,3,56,3003666648,1783444533203546000
60,0,60,2632053312,1783444533131984000
60,1,60,1999999980,1783444533131986000
60,2,57,3116999981,1783444533315822000
60,3,57,3036999981,1783444533235525000
61,0,61,2665386645,1783444533163977000
61,1,61,2033333313,1783444533163977000
61,2,58,3150333314,1783444533347576000
61,3,58,3070333314,1783444533267614000
62,0,62,2698719978,1783444533196081000
62,1,62,2066666646,1783444533196082000
62,2,59,3183666647,1783444533379590000
62,3,59,3103666647,1783444533299604000
63,0,63,2732053311,1783444533228067000
63,1,63,2099999979,1783444533228068000
63,2,60,3216999980,1783444533411676000
63,3,60,3136999980,1783444533331618000
64,0,64,2765386644,1783444533260025000
64,1,64,2133333312,1783444533260026000
64,2,61,3250333313,1783444533443648000
64,3,61,3170333313,1783444533363662000
65,0,65,2798719977,1783444533292074000
65,1,65,2166666645,1783444533292066000
65,2,62,3283666646,1783444533475766000
65,3,62,3203666646,1783444533395716000
66,0,66,2832053310,1783444533324503000
66,1,66,2199999978,1783444533324533000
66,2,63,3316999979,1783444533507793000
66,3,63,3236999979,1783444533427732000
67,0,67,2865386643,1783444533356104000
67,1,67,2233333311,1783444533356104000
67,2,64,3350333312,1783444533539768000
67,3,64,3270333312,1783444533459778000
68,0,68,2898719976,1783444533388179000
68,1,68,2266666644,1783444533388371000
68,2,65,3383666645,1783444533571772000
68,3,65,3303666645,1783444533491750000
69,0,69,2932053309,1783444533420284000
69,1,69,2299999977,1783444533420282000
69,2,66,3416999978,1783444533603784000
69,3,66,3336999978,1783444533523830000
70,0,70,2965386642,1783444533452276000
70,1,70,2333333310,1783444533452353000
70,2,67,3450333311,1783444533635830000
70,3,67,3370333311,1783444533555892000
71,0,71,2998719975,1783444533484445000
71,1,71,2366666643,1783444533484676000
71,2,68,3483666644,1783444533667849000
71,3,68,3403666644,1783444533587868000
72,0,72,3032053308,1783444533516424000
72,1,72,2399999976,1783444533516983000
72,2,69,3516999977,1783444533699894000
72,3,69,3436999977,1783444533619969000
73,0,73,3065386641,1783444533548459000
73,1,73,2433333309,1783444533548445000
73,2,70,3550333310,1783444533731947000
73,3,70,3470333310,1783444533651910000
74,0,74,3098719974,1783444533580431000
74,1,74,2466666642,1783444533580432000
74,2,71,3583666643,1783444533763971000
74,3,71,3503666643,1783444533683918000
75,0,75,3132053307,1783444533612399000
75,1,75,2499999975,1783444533612413000
75,2,72,3616999976,1783444533796036000
75,3,72,3536999976,1783444533715987000
76,0,76,3165386640,1783444533644377000
76,1,76,2533333308,1783444533644378000
76,2,73,3650333309,1783444533827983000
76,3,73,3570333309,1783444533747980000
77,0,77,3198719973,1783444533676646000
77,1,77,2566666641,1783444533676659000
77,2,74,3683666642,1783444533860011000
77,3,74,3603666642,1783444533780032000
78,0,78,3232053306,1783444533708544000
78,1,78,2599999974,1783444533708552000
78,2,75,3716999975,1783444533892023000
78,3,75,3636999975,1783444533812138000
79,0,79,3265386639,1783444533740597000
79,1,79,2633333307,1783444533740631000
79,2,76,3750333308,1783444533924033000
79,3,76,3670333308,1783444533844069000
80,0,80,3298719972,1783444533772641000
80,1,80,2666666640,1783444533772641000
80,2,77,3783666641,1783444533956126000
80,3,77,3703666641,1783444533876064000
81,0,81,3332053305,1783444533804936000
81,1,81,2699999973,1783444533804939000
81,2,78,3816999974,1783444533988125000
81,3,78,3736999974,1783444533908068000
82,0,82,3365386638,1783444533836549000
82,1,82,2733333306,1783444533836542000
82,2,79,3850333307,1783444534020104000
82,3,79,3770333307,1783444533940127000
83,0,83,3398719971,1783444533868629000
83,1,83,2766666639,1783444533868616000
83,2,80,3883666640,1783444534052190000
83,3,80,3803666640,1783444533972182000
84,0,84,3432053304,1783444533900558000
84,1,84,2799999972,1783444533900554000
84,2,81,3916999973,1783444534084176000
84,3,81,3836999973,1783444534004168000
85,0,85,3465386637,1783444533932548000
85,1,85,2833333305,1783444533932533000
85,2,82,3950333306,1783444534116198000
85,3,82,3870333306,1783444534036179000
86,0,86,3498719970,1783444533964910000
86,1,86,2866666638,1783444533964870000
86,2,83,3983666639,1783444534148255000
86,3,83,3903666639,1783444534068226000
87,0,87,3532053303,1783444533996685000
87,1,87,2899999971,1783444533996686000
87,2,84,4016999972,1783444534180261000
87,3,84,3936999972,1783444534100256000
88,0,88,3565386636,1783444534028667000
88,1,88,2933333304,1783444534028670000
88,2,85,4050333305,1783444534212281000
88,3,85,3970333305,1783444534132262000
89,0,89,3598719969,1783444534060759000
89,1,89,2966666637,1783444534060759000
89,2,86,4083666638,1783444534244314000
89,3,86,4003666638,1783444534164351000
90,0,90,3632053302,1783444534092813000
90,1,90,2999999970,1783444534092825000
90,2,87,4116999971,1783444534276354000
90,3,87,4036999971,1783444534260875000
91,0,91,3665386635,1783444534124773000
91,1,91,3033333303,1783444534124773000
91,2,88,4150333304,1783444534308436000
91,3,88,4070333304,1783444534292434000
92,0,92,3698719968,1783444534156806000
92,1,92,3066666636,1783444534156806000
92,2,89,4183666637,1783444534340448000
92,3,89,4103666637,1783444534324483000
93,0,93,3732053301,1783444534188977000
93,1,93,3099999969,1783444534188954000
93,2,90,4216999970,1783444534372460000
93,3,90,4136999970,1783444534356515000
94,0,94,3765386634,1783444534220835000
94,1,94,3133333302,1783444534220845000
94,2,91,4250333303,1783444534404530000
94,3,91,4170333303,1783444534388480000
95,0,95,3798719967,1783444534253034000
95,1,95,3166666635,1783444534252994000
95,2,92,4283666636,1783444534436520000
95,3,92,4203666636,1783444534420528000
96,0,96,3832053300,1783444534285018000
96,1,96,3199999968,1783444534285013000
96,2,93,4316999969,1783444534468627000
96,3,93,4236999969,1783444534452584000
97,0,97,3865386633,1783444534317038000
97,1,97,3233333301,1783444534317048000
97,2,94,4350333302,1783444534500622000
97,3,94,4270333302,1783444534484587000
98,0,98,3898719966,1783444534349158000
98,1,98,3266666634,1783444534349177000
98,2,95,4383666635,1783444534532577000
98,3,95,4303666635,1783444534516707000
99,0,99,3932053299,1783444534381091000
99,1,99,3299999967,1783444534381091000
99,2,96,4416999968,1783444534564609000
99,3,96,4336999968,1783444534548649000
100,0,100,3965386632,1783444534413648000
100,1,100,3333333300,1783444534413647000
100,2,97,4450333301,1783444534596586000
100,3,97,4370333301,1783444534580653000
101,0,101,3998719965,1783444534445032000
101,1,101,3366666633,1783444534445031000
101,2,98,4483666634,1783444534628691000
101,3,98,4403666634,1783444534612753000
102,0,102,4032053298,1783444534477509000
102,1,102,3399999966,1783444534477509000
102,2,99,4516999967,1783444534660629000
102,3,99,4436999967,1783444534644816000
103,0,103,4065386631,1783444534509359000
103,1,103,3433333299,1783444534509361000
103,2,100,4550333300,1783444534692722000
103,3,100,4470333300,1783444534676747000
104,0,104,4098719964,1783444534541162000
104,1,104,3466666632,1783444534541163000
104,2,101,4583666633,1783444534724686000
104,3,101,4503666633,1783444534708829000
105,0,105,4132053297,1783444534573241000
105,1,105,3499999965,1783444534573259000
105,2,102,4616999966,1783444534756905000
105,3,102,4536999966,1783444534740829000
106,0,106,4165386630,1783444534605098000
106,1,106,3533333298,1783444534605153000
106,2,103,4650333299,1783444534788814000
106,3,103,4570333299,1783444534772829000
107,0,107,4198719963,1783444534637338000
107,1,107,3566666631,1783444534637426000
107,2,104,4683666632,1783444534884818000
107,3,104,4603666632,1783444534804797000
108,0,108,4232053296,1783444534669171000
108,1,108,3599999964,1783444534669130000
108,2,105,4716999965,1783444534916834000
108,3,105,4636999965,1783444534836968000
109,0,109,4265386629,1783444534701359000
109,1,109,3633333297,1783444534701323000
109,2,106,4750333298,1783444534948863000
109,3,106,4670333298,1783444534868951000
110,0,110,4298719962,1783444534733290000
110,1,110,3666666630,1783444534733277000
110,2,107,4783666631,1783444534980980000
110,3,107,4703666631,1783444534900948000
111,0,111,4332053295,1783444534765577000
111,1,111,3699999963,1783444534765542000
111,2,108,4816999964,1783444535012958000
111,3,108,4736999964,1783444534932955000
112,0,112,4365386628,1783444534797451000
112,1,112,3733333296,1783444534797430000
112,2,109,4850333297,1783444535045072000
112,3,109,4770333297,1783444534965074000
113,0,113,4398719961,1783444534893335000
113,1,113,3766666629,1783444534893282000
113,2,110,4883666630,1783444535077036000
113,3,110,4803666630,1783444534997088000
114,0,114,4432053294,1783444534925384000
114,1,114,3799999962,1783444534925366000
114,2,111,4916999963,1783444535109045000
114,3,111,4836999963,1783444535029073000
115,0,115,4465386627,1783444534957450000
115,1,115,3833333295,1783444534957441000
