batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,665664341,408921020927302,1783444530913652879,2
1,698997674,408921229514966,1783444531122240607,2
2,732331007,408921438290558,1783444531331016231,2
3,1250516478,408921541992371,1783444531434718044,4
4,1283849811,408921574078955,1783444531466804660,4
5,1317183144,408921606113061,1783444531498838734,4
6,1350516477,408921638067904,1783444531530793545,4
7,1383849810,408921670000476,1783444531562726149,4
8,1417183143,408921701919448,1783444531594645089,4
9,1450516476,408921734105262,1783444531626830935,4
10,1483849809,408921766180774,1783444531658906415,4
11,1517183142,408921797999749,1783444531690725358,4
12,1550516475,408921829933217,1783444531722658826,4
13,1583849808,408921862227444,1783444531754953085,4
14,1617183141,408921894028403,1783444531786754012,4
15,1650516474,408921925985422,1783444531818711031,4
16,1683849807,408921958147269,1783444531850872942,4
17,1717183140,408921990217021,1783444531882942726,4
18,1750516473,408922022123386,1783444531914848995,4
19,1783849806,408922054240241,1783444531946965882,4
20,1817183139,408922086299882,1783444531979025523,4
21,1850516472,408922118273765,1783444532010999374,4
22,1883849805,408922150398459,1783444532043124164,4
23,1917183138,408922182400020,1783444532075125693,4
24,1950516471,408922214393613,1783444532107119222,4
25,1983849804,408922246414181,1783444532139139822,4
26,2017183137,408922278510492,1783444532171236101,4
27,2050516470,408922310510453,1783444532203236062,4
28,2083849803,408922342527758,1783444532235253431,4
29,2117183136,408922374746817,1783444532267472490,4
30,2150516469,408922406658908,1783444532299384549,4
31,2183849802,408922438778546,1783444532331504251,4
32,2217183135,408922470485075,1783444532363210684,4
33,2250516468,408922502671879,1783444532395397520,4
34,2283849801,408922534536611,1783444532427262220,4
35,2317183134,408922566705240,1783444532459430881,4
36,2350516467,408922598868109,1783444532491593782,4
37,2383849800,408922630862598,1783444532523588271,4
38,2417183133,408922662837504,1783444532555563145,4
39,2450516466,408922759132228,1783444532651857901,4
40,2483849799,408922790763302,1783444532683488943,4
41,2517183132,408922822790974,1783444532715516583,4
42,2550516465,408922854873013,1783444532747598750,4
43,2583849798,408922886787664,1783444532779513305,4
44,2617183131,408922918852040,1783444532811577681,4
45,2650516464,408922950915039,1783444532843640744,4
46,2683849797,408922982919448,1783444532875645089,4
47,2717183130,408923015025902,1783444532907751575,4
48,2750516463,408923047071206,1783444532939796879,4
49,2783849796,408923079119358,1783444532971844999,4
50,2817183129,408923111181877,1783444533003907582,4
51,2850516462,408923143224940,1783444533035950613,4
52,2883849795,408923175501405,1783444533068227078,4
53,2917183128,408923207277050,1783444533100002691,4
54,2950516461,408923239205204,1783444533131930845,4
