cam,seq,pts_ns,mono_ns,real_ns
1,-1,0,408920820745126,1783444530713470735
1,-1,32026666,408920820829220,1783444530713554829
1,-1,64053332,408920824037047,1783444530716762688
1,-1,96080000,408920824076598,1783444530716802239
1,-1,128106666,408920824082326,1783444530716807967
1,-1,160133332,408920824087222,1783444530716812863
0,-1,632053332,408920948339550,1783444530841065223
0,-1,664080000,408920980301787,1783444530873027428
0,-1,696106666,408921012346581,1783444530905072222
1,-1,256213332,408921020948614,1783444530913674255
0,-1,728133332,408921044372176,1783444530937097849
0,-1,760160000,408921076406763,1783444530969132500
0,-1,792186666,408921108417510,1783444531001143247
0,-1,824213332,408921140489759,1783444531033215400
1,-1,288240000,408921229731185,1783444531122456794
0,-1,856240000,408921229773296,1783444531122499001
0,-1,888266666,408921438341277,1783444531331066918
1,-1,320266666,408921438497241,1783444531331222946
3,-1,1137000000,408921453292436,1783444531346018109
3,-1,1169026666,408921485274766,1783444531378000471
3,-1,1201053332,408921517288040,1783444531410013681
2,-1,1217000000,408921533251142,1783444531425976751
0,-1,920293332,408921542016850,1783444531434742459
1,-1,352293332,408921542046674,1783444531434772379
3,-1,1233080000,408921549344449,1783444531442070218
2,-1,1249026666,408921565310751,1783444531458036392
1,-1,736613332,408921574484897,1783444531467210602
0,-1,952320000,408921574888695,1783444531467614336
3,-1,1265106666,408921581605269,1783444531474330942
2,-1,1281053332,408921597313081,1783444531490038850
1,-1,928773332,408921606147108,1783444531498872781
0,-1,984346666,408921606154180,1783444531498879853
3,-1,1297133332,408921613401428,1783444531506127133
2,-1,1313080000,408921629332531,1783444531522058236
1,-1,1152960000,408921638103359,1783444531530829000
0,-1,1144480000,408921638105215,1783444531530830856
3,-1,1329160000,408921645407406,1783444531538133079
2,-1,1345106666,408921661356205,1783444531554081846
0,-1,1240560000,408921670030523,1783444531562756132
1,-1,1249040000,408921670053722,1783444531562779427
3,-1,1361186666,408921677548965,1783444531570274638
2,-1,1377133332,408921693355847,1783444531586081488
0,-1,1272586666,408921701944439,1783444531594670080
1,-1,1281066666,408921701945143,1783444531594670752
3,-1,1393213332,408921709436802,1783444531602162475
2,-1,1409160000,408921725426208,1783444531618151913
1,-1,1313093332,408921734139309,1783444531626864982
0,-1,1304613332,408921734173324,1783444531626899029
3,-1,1425240000,408921741494427,1783444531634220164
2,-1,1441186666,408921757427962,1783444531650153699
0,-1,1336640000,408921766215749,1783444531658941358
1,-1,1345120000,408921766216741,1783444531658942350
3,-1,1457266666,408921773497813,1783444531666223454
2,-1,1473213332,408921789495891,1783444531682221532
0,-1,1368666666,408921798041540,1783444531690767149
1,-1,1377146666,408921798200864,1783444531690926473
3,-1,1489293332,408921805533807,1783444531698259544
2,-1,1505240000,408921821438574,1783444531714164183
1,-1,1409173332,408921829951264,1783444531722676873
0,-1,1400693332,408921829983328,1783444531722709065
3,-1,1521320000,408921837528713,1783444531730254322
2,-1,1537266666,408921853515015,1783444531746240816
0,-1,1432720000,408921862262547,1783444531754988220
