cam,pts_ns,mono_ns,real_ns
1,0,408920820749830,1783444530713475471
1,33333333,408920820830756,1783444530713556333
1,66666666,408920824042071,1783444530716767712
1,99999999,408920824077462,1783444530716803103
1,133333332,408920824083062,1783444530716808703
1,166666665,408920824087894,1783444530716813535
0,632053332,408920948358302,1783444530841083975
0,665386665,408920980309531,1783444530873035140
0,698719998,408921012357589,1783444530905083198
1,199999998,408921020952741,1783444530913678350
0,732053331,408921044381552,1783444530937107225
0,765386664,408921076414635,1783444530969140340
0,798719997,408921108425574,1783444531001151247
0,832053330,408921140501982,1783444531033227591
1,233333331,408921229737905,1783444531122463546
0,865386663,408921229781392,1783444531122507097
0,898719996,408921438350461,1783444531331076070
1,266666664,408921438503737,1783444531331229442
3,1137000000,408921453304307,1783444531346029980
3,1170333333,408921485282318,1783444531378008023
3,1203666666,408921517292584,1783444531410018161
2,1217000000,408921533258886,1783444531425984495
0,932053329,408921542021682,1783444531434747323
1,299999997,408921542054769,1783444531434780442
3,1236999999,408921549354945,1783444531442080650
2,1250333333,408921565326943,1783444531458052552
1,333333330,408921574490785,1783444531467216490
0,965386662,408921574892855,1783444531467618496
3,1270333332,408921581617109,1783444531474342814
2,1283666666,408921597325081,1783444531490050754
1,366666663,408921606155363,1783444531498881036
0,998719995,408921606161667,1783444531498887308
3,1303666665,408921613416788,1783444531506142461
2,1316999999,408921629343347,1783444531522069052
1,399999996,408921638109215,1783444531530834824
0,1032053328,408921638112799,1783444531530838440
3,1336999998,408921645417262,1783444531538142967
2,1350333332,408921661368077,1783444531554093686
0,1065386661,408921670034651,1783444531562760292
1,433333329,408921670060058,1783444531562785763
3,1370333331,408921677559301,1783444531570285006
2,1383666665,408921693363399,1783444531586089040
0,1098719994,408921701953687,1783444531594679296
1,466666662,408921701954775,1783444531594680384
3,1403666664,408921709444610,1783444531602170283
2,1416999998,408921725440447,1783444531618166152
1,499999995,408921734145197,1783444531626870902
0,1132053327,408921734181260,1783444531626906933
3,1436999997,408921741506587,1783444531634232292
2,1450333331,408921757438938,1783444531650164643
0,1165386660,408921766221253,1783444531658946894
1,533333328,408921766222725,1783444531658948334
3,1470333330,408921773509109,1783444531666234718
2,1483666664,408921789502738,1783444531682228379
0,1198719993,408921798048292,1783444531690773933
1,566666661,408921798204960,1783444531690930601
3,1503666663,408921805543599,1783444531698269336
2,1516999997,408921821445166,1783444531714170743
1,599999994,408921829954304,1783444531722679913
0,1232053326,408921829991231,1783444531722716904
3,1536999996,408921837535977,1783444531730261618
2,1550333330,408921853526246,1783444531746251919
0,1265386659,408921862270323,1783444531754995932
1,633333327,408921862523213,1783444531755248854
3,1570333329,408921869575586,1783444531762301195
2,1583666663,408921885513505,1783444531778239402
0,1298719992,408921894062994,1783444531786788603
1,666666660,408921894065234,1783444531786790843
3,1603666662,408921901590908,1783444531794316549
2,1616999996,408921917518491,1783444531810244100
1,699999993,408921926003630,1783444531818729271
0,1332053325,408921926179082,1783444531818904755
3,1636999995,408921933646357,1783444531826372350
2,1650333329,408921949584020,1783444531842309725
1,733333326,408921958177252,1783444531850902957
0,1365386658,408921958189316,1783444531850914925
3,1670333328,408921965646447,1783444531858372088
2,1683666662,408921981608429,1783444531874334038
0,1398719991,408921990246589,1783444531882972262
1,766666659,408921990266940,1783444531882992677
3,1703666661,408921997700584,1783444531890426257
2,1716999995,408922013604776,1783444531906330417
1,799999992,408922022148057,1783444531914873666
0,1432053324,408922022181144,1783444531914906817
3,1736999994,408922029749633,1783444531922475242
2,1750333328,408922045662977,1783444531938388618
1,833333325,408922054274449,1783444531947000058
