batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,0,0,64041999,1783475708640852000
1,0,1,96063000,1783475708642436000
1,3,0,567200000,1783475708966423000
2,0,2,128083999,1783475708645192000
2,3,1,599242666,1783475708998438000
3,0,3,160104999,1783475708646883000
3,3,2,631285332,1783475709030509000
4,0,4,192126000,1783475708649485000
4,1,0,1134800000,1783475709534105000
4,3,3,663328000,1783475709062538000
5,0,5,224146999,1783475708650961000
5,1,1,1166832999,1783475709566041000
5,3,4,695370666,1783475709094612000
6,0,6,256167999,1783475708849749000
6,1,2,1198865999,1783475709598033000
6,2,0,1702100000,1783475710101267000
6,3,5,727413332,1783475709126609000
7,0,7,288189000,1783475709058452000
7,1,3,1230899000,1783475709630145000
7,2,1,1734128999,1783475710133299000
7,3,6,759456000,1783475709158627000
8,0,8,320209999,1783475709269053000
8,1,4,1262931999,1783475709662431000
8,2,2,1766157999,1783475710165337000
8,3,7,791498666,1783475709269053000
9,0,9,352230999,1783475709477843000
9,1,5,1294964999,1783475709694161000
9,2,3,1798187000,1783475710197305000
9,3,8,823541332,1783475709477843000
10,0,10,480315000,1783475709686625000
10,1,6,1326998000,1783475709726207000
10,2,4,1830215999,1783475710229324000
10,3,9,855584000,1783475709686653000
11,0,11,672441000,1783475709895361000
11,1,7,1359030999,1783475709895358000
11,2,5,1862244999,1783475710261387000
11,3,10,887626666,1783475709895363000
12,0,12,896587999,1783475710101656000
12,1,8,1391063999,1783475710101673000
12,2,6,1894274000,1783475710293381000
12,3,11,919669332,1783475710101644000
13,0,13,1088713999,1783475710142515000
13,1,9,1423097000,1783475710142596000
13,2,7,1926302999,1783475710325404000
13,3,12,1079882666,1783475710142151000
14,0,14,1312860999,1783475710173943000
14,1,10,1455129999,1783475710174114000
14,2,8,1958331999,1783475710357459000
14,3,13,1304181332,1783475710173914000
15,0,15,1504986999,1783475710205851000
15,1,11,1519196000,1783475710206022000
15,2,9,1990361000,1783475710389468000
15,3,14,1496437332,1783475710206462000
16,0,16,1729134000,1783475710237896000
16,1,12,1711394000,1783475710238142000
16,2,10,2022389999,1783475710421835000
16,3,15,1720736000,1783475710237879000
17,0,17,1761154999,1783475710270037000
17,1,13,1775459999,1783475710270035000
17,2,11,2054418999,1783475710453522000
17,3,16,1752778666,1783475710270001000
18,0,18,1793175999,1783475710301946000
18,1,14,1807493000,1783475710301987000
18,2,12,2086448000,1783475710485549000
18,3,17,1784821332,1783475710302134000
19,0,19,1825197000,1783475710333906000
19,1,15,1839525999,1783475710334017000
19,2,13,2118476999,1783475710517646000
19,3,18,1816864000,1783475710334404000
20,0,20,1857217999,1783475710366084000
20,1,16,1871558999,1783475710365995000
20,2,14,2150505999,1783475710549680000
20,3,19,1848906666,1783475710365993000
21,0,21,1889238999,1783475710398378000
21,1,17,1903592000,1783475710398024000
21,2,15,2182535000,1783475710581657000
21,3,20,1880949332,1783475710398369000
22,0,22,1921260000,1783475710430330000
22,1,18,1935624999,1783475710430332000
22,2,16,2214563999,1783475710613728000
22,3,21,1912992000,1783475710430392000
23,0,23,1953280999,1783475710462081000
23,1,19,1967657999,1783475710462070000
23,2,17,2246592999,1783475710645732000
23,3,22,1945034666,1783475710462105000
24,0,24,1985301999,1783475710494318000
24,1,20,1999691000,1783475710494047000
24,2,18,2278622000,1783475710677747000
24,3,23,1977077332,1783475710494099000
25,0,25,2017323000,1783475710526487000
25,1,21,2031723999,1783475710526252000
25,2,19,2310650999,1783475710709783000
25,3,24,2009120000,1783475710526318000
26,0,26,2049343999,1783475710558683000
26,1,22,2063756999,1783475710558420000
26,2,20,2342679999,1783475710741794000
26,3,25,2041162666,1783475710558457000
27,0,27,2081364999,1783475710590214000
27,1,23,2095790000,1783475710590220000
27,2,21,2374709000,1783475710773842000
27,3,26,2073205332,1783475710590248000
28,0,28,2113386000,1783475710622308000
28,1,24,2127822999,1783475710622276000
28,2,22,2406737999,1783475710805900000
28,3,27,2105248000,1783475710622338000
29,0,29,2145406999,1783475710654375000
29,1,25,2159855999,1783475710654359000
29,2,23,2438766999,1783475710837898000
29,3,28,2137290666,1783475710654458000
30,0,30,2177427999,1783475710686356000
30,1,26,2191889000,1783475710686313000
30,2,24,2470796000,1783475710869927000
30,3,29,2169333332,1783475710686361000
31,0,31,2209449000,1783475710718369000
31,1,27,2223921999,1783475710718369000
31,2,25,2502824999,1783475710901933000
31,3,30,2201376000,1783475710718396000
32,0,32,2241469999,1783475710750277000
32,1,28,2255954999,1783475710750278000
32,2,26,2534853999,1783475710934031000
32,3,31,2233418666,1783475710750326000
33,0,33,2273490999,1783475710782438000
33,1,29,2287988000,1783475710782448000
33,2,27,2566883000,1783475710965991000
33,3,32,2265461332,1783475710782509000
34,0,34,2305512000,1783475710814515000
34,1,30,2320020999,1783475710814498000
34,2,28,2598911999,1783475710998108000
34,3,33,2297504000,1783475710814535000
35,0,35,2337532999,1783475710846551000
35,1,31,2352053999,1783475710846528000
35,2,29,2630940999,1783475711030110000
35,3,34,2329546666,1783475710846548000
36,0,36,2369553999,1783475710878788000
36,1,32,2384087000,1783475710878763000
36,2,30,2662970000,1783475711062116000
36,3,35,2361589332,1783475710878783000
37,0,37,2401575000,1783475710910576000
37,1,33,2416119999,1783475710910563000
37,2,31,2694998999,1783475711094112000
37,3,36,2393632000,1783475710910579000
38,0,38,2433595999,1783475710942658000
38,1,34,2448152999,1783475710942652000
38,2,32,2727027999,1783475711126123000
38,3,37,2425674666,1783475710942661000
39,0,39,2465616999,1783475710974618000
39,1,35,2480186000,1783475710974602000
39,2,33,2759057000,1783475711158175000
39,3,38,2457717332,1783475710974620000
40,0,40,2497638000,1783475711006802000
40,1,36,2512218999,1783475711007146000
40,2,34,2791085999,1783475711190226000
40,3,39,2489760000,1783475711006806000
41,0,41,2529658999,1783475711038812000
41,1,37,2544251999,1783475711038836000
41,2,35,2823114999,1783475711222265000
41,3,40,2521802666,1783475711038813000
42,0,42,2561679999,1783475711070728000
42,1,38,2576285000,1783475711070940000
42,2,36,2855144000,1783475711254276000
42,3,41,2553845332,1783475711070738000
43,0,43,2593701000,1783475711102719000
43,1,39,2608317999,1783475711102684000
43,2,37,2887172999,1783475711286318000
43,3,42,2585888000,1783475711102724000
44,0,44,2625721999,1783475711134789000
44,1,40,2640350999,1783475711134766000
44,2,38,2919201999,1783475711318300000
44,3,43,2617930666,1783475711134787000
45,0,45,2657742999,1783475711166806000
45,1,41,2672384000,1783475711166818000
45,2,39,2951231000,1783475711350427000
45,3,44,2649973332,1783475711166798000
46,0,46,2689764000,1783475711198831000
46,1,42,2704416999,1783475711198838000
46,2,40,2983259999,1783475711382429000
46,3,45,2682016000,1783475711199196000
47,0,47,2721784999,1783475711230924000
47,1,43,2736449999,1783475711230897000
47,2,41,3015288999,1783475711414386000
47,3,46,2714058666,1783475711230956000
48,0,48,2753805999,1783475711262891000
48,1,44,2768483000,1783475711262891000
48,2,42,3047318000,1783475711446424000
48,3,47,2746101332,1783475711262896000
49,0,49,2785827000,1783475711294911000
49,1,45,2800515999,1783475711294905000
49,2,43,3079346999,1783475711478487000
49,3,48,2778144000,1783475711294908000
50,0,50,2817847999,1783475711326899000
50,1,46,2832548999,1783475711326900000
50,2,44,3111375999,1783475711510506000
50,3,49,2810186666,1783475711326902000
51,0,51,2849868999,1783475711359173000
51,1,47,2864582000,1783475711359168000
51,2,45,3143405000,1783475711542554000
51,3,50,2842229332,1783475711359183000
52,0,52,2881890000,1783475711391098000
52,1,48,2896614999,1783475711391105000
52,2,46,3175433999,1783475711574578000
52,3,51,2874272000,1783475711391099000
53,0,53,2913910999,1783475711422943000
53,1,49,2928647999,1783475711422934000
53,2,47,3207462999,1783475711606537000
53,3,52,2906314666,1783475711422964000
54,0,54,2945931999,1783475711455134000
54,1,50,2960681000,1783475711455168000
54,2,48,3239492000,1783475711638629000
54,3,53,2938357332,1783475711455079000
55,0,55,2977953000,1783475711487221000
55,1,51,2992713999,1783475711487170000
55,2,49,3271520999,1783475711670674000
55,3,54,2970400000,1783475711487251000
56,0,56,3009973999,1783475711519196000
56,1,52,3024746999,1783475711519131000
56,2,50,3303549999,1783475711702711000
56,3,55,3002442666,1783475711519335000
57,0,57,3041994999,1783475711551210000
57,1,53,3056780000,1783475711551211000
57,2,51,3335579000,1783475711734708000
57,3,56,3034485332,1783475711551462000
58,0,58,3074016000,1783475711583136000
58,1,54,3088812999,1783475711583138000
58,2,52,3367607999,1783475711766766000
58,3,57,3066528000,1783475711583153000
59,0,59,3106036999,1783475711615098000
59,1,55,3120845999,1783475711615094000
59,2,53,3399636999,1783475711798773000
59,3,58,3098570666,1783475711615318000
60,0,60,3138057999,1783475711647231000
60,1,56,3152879000,1783475711647244000
60,2,54,3431666000,1783475711830803000
60,3,59,3130613332,1783475711647418000
61,0,61,3170079000,1783475711679301000
61,1,57,3184911999,1783475711679510000
61,2,55,3463694999,1783475711862833000
61,3,60,3162656000,1783475711679282000
62,0,62,3202099999,1783475711711405000
62,1,58,3216944999,1783475711711370000
62,2,56,3495723999,1783475711894830000
62,3,61,3194698666,1783475711711608000
63,0,63,3234120999,1783475711743318000
63,1,59,3248978000,1783475711743316000
63,2,57,3527753000,1783475711926843000
63,3,62,3226741332,1783475711743577000
64,0,64,3266142000,1783475711775369000
64,1,60,3281010999,1783475711775362000
64,2,58,3559781999,1783475711958924000
64,3,63,3258784000,1783475711775377000
65,0,65,3298162999,1783475711807433000
65,1,61,3313043999,1783475711807429000
65,2,59,3591810999,1783475711990974000
65,3,64,3290826666,1783475711807447000
66,0,66,3330183999,1783475711839377000
66,1,62,3345077000,1783475711839587000
66,2,60,3623840000,1783475712022940000
66,3,65,3322869332,1783475711839417000
67,0,67,3362205000,1783475711871372000
67,1,63,3377109999,1783475711871376000
67,2,61,3655868999,1783475712055050000
67,3,66,3354912000,1783475711871370000
68,0,68,3394225999,1783475711903341000
68,1,64,3409142999,1783475711903332000
68,2,62,3687897999,1783475712087033000
68,3,67,3386954666,1783475711903333000
69,0,69,3426246999,1783475711935539000
69,1,65,3441176000,1783475711935529000
69,2,63,3719927000,1783475712119021000
69,3,68,3418997332,1783475711935552000
70,0,70,3458268000,1783475711967556000
70,1,66,3473208999,1783475711967557000
70,2,64,3751955999,1783475712151115000
70,3,69,3451040000,1783475711967555000
71,0,71,3490288999,1783475711999521000
71,1,67,3505241999,1783475711999520000
71,2,65,3783984999,1783475712183142000
71,3,70,3483082666,1783475711999525000
72,0,72,3522309999,1783475712031625000
72,1,68,3537275000,1783475712031624000
72,2,66,3816014000,1783475712215097000
72,3,71,3515125332,1783475712031635000
73,0,73,3554331000,1783475712063605000
73,1,69,3569307999,1783475712063593000
73,2,67,3848042999,1783475712247178000
73,3,72,3547168000,1783475712063618000
74,0,74,3586351999,1783475712095557000
74,1,70,3601340999,1783475712095558000
74,2,68,3880071999,1783475712279299000
74,3,73,3579210666,1783475712095570000
75,0,75,3618372999,1783475712127542000
75,1,71,3633374000,1783475712127545000
75,2,69,3912101000,1783475712311203000
75,3,74,3611253332,1783475712127542000
76,0,76,3650394000,1783475712159691000
76,1,72,3665406999,1783475712159696000
76,2,70,3944129999,1783475712343237000
76,3,75,3643296000,1783475712159704000
77,0,77,3682414999,1783475712191705000
77,1,73,3697439999,1783475712191711000
77,2,71,3976158999,1783475712375682000
77,3,76,3675338666,1783475712191712000
78,0,78,3714435999,1783475712223662000
78,1,74,3729473000,1783475712223667000
78,2,72,4008188000,1783475712407308000
78,3,77,3707381332,1783475712223672000
79,0,79,3746457000,1783475712255781000
79,1,75,3761505999,1783475712255787000
79,2,73,4040216999,1783475712439375000
79,3,78,3739424000,1783475712255782000
80,0,80,3778477999,1783475712288017000
80,1,76,3793538999,1783475712288092000
80,2,74,4072245999,1783475712471342000
80,3,79,3771466666,1783475712288017000
81,0,81,3810498999,1783475712319761000
81,1,77,3825572000,1783475712319750000
81,2,75,4104275000,1783475712503425000
81,3,80,3803509332,1783475712319777000
82,0,82,3842520000,1783475712351874000
82,1,78,3857604999,1783475712351873000
82,2,76,4136303999,1783475712535419000
82,3,81,3835552000,1783475712351874000
83,0,83,3874540999,1783475712384267000
83,1,79,3889637999,1783475712384275000
83,2,77,4168332999,1783475712567470000
83,3,82,3867594666,1783475712384287000
84,0,84,3906561999,1783475712416027000
84,1,80,3921671000,1783475712416028000
84,2,78,4200362000,1783475712599445000
84,3,83,3899637332,1783475712416028000
85,0,85,3938583000,1783475712448038000
85,1,81,3953703999,1783475712448047000
85,2,79,4232390999,1783475712631506000
85,3,84,3931680000,1783475712448039000
86,0,86,3970603999,1783475712479881000
86,1,82,3985736999,1783475712479883000
86,2,80,4264419999,1783475712663540000
86,3,85,3963722666,1783475712479882000
87,0,87,4002624999,1783475712512070000
87,1,83,4017770000,1783475712512061000
87,2,81,4296449000,1783475712695586000
87,3,86,3995765332,1783475712512069000
88,0,88,4034646000,1783475712544010000
88,1,84,4049802999,1783475712544007000
88,2,82,4328477999,1783475712727618000
88,3,87,4027808000,1783475712544017000
89,0,89,4066666999,1783475712576155000
89,1,85,4081835999,1783475712576159000
89,2,83,4360506999,1783475712759600000
89,3,88,4059850666,1783475712576157000
90,0,90,4098687999,1783475712607975000
90,1,86,4113869000,1783475712607962000
90,2,84,4392536000,1783475712791638000
90,3,89,4091893332,1783475712607963000
91,0,91,4130709000,1783475712640087000
91,1,87,4145901999,1783475712640084000
91,2,85,4424564999,1783475712823688000
91,3,90,4123936000,1783475712640086000
92,0,92,4162729999,1783475712672232000
92,1,88,4177934999,1783475712672231000
92,2,86,4456593999,1783475712855690000
92,3,91,4155978666,1783475712672231000
93,0,93,4194750999,1783475712704203000
93,1,89,4209968000,1783475712704439000
93,2,87,4488623000,1783475712887993000
93,3,92,4188021332,1783475712704206000
94,0,94,4226772000,1783475712736241000
94,1,90,4242000999,1783475712736222000
94,2,88,4520651999,1783475712919846000
94,3,93,4220064000,1783475712736246000
95,0,95,4258792999,1783475712768134000
95,1,91,4274033999,1783475712768131000
95,2,89,4552680999,1783475712951799000
95,3,94,4252106666,1783475712768144000
96,0,96,4290813999,1783475712800236000
96,1,92,4306067000,1783475712800387000
96,2,90,4584710000,1783475712983828000
96,3,95,4284149332,1783475712800235000
97,0,97,4322835000,1783475712832331000
97,1,93,4338099999,1783475712832436000
97,2,91,4616738999,1783475713015837000
97,3,96,4316192000,1783475712832317000
98,0,98,4354855999,1783475712864282000
98,1,94,4370132999,1783475712864285000
98,2,92,4648767999,1783475713047859000
98,3,97,4348234666,1783475712864283000
99,0,99,4386876999,1783475712896536000
99,1,95,4402166000,1783475712896530000
99,2,93,4680797000,1783475713079917000
99,3,98,4380277332,1783475712896567000
100,0,100,4418898000,1783475712928595000
100,1,96,4434198999,1783475712928592000
100,2,94,4712825999,1783475713111905000
100,3,99,4412320000,1783475712928610000
101,0,101,4450918999,1783475712960409000
101,1,97,4466231999,1783475712960408000
101,2,95,4744854999,1783475713143985000
101,3,100,4444362666,1783475712960409000
102,0,102,4482939999,1783475712992396000
102,1,98,4498265000,1783475712992424000
102,2,96,4776884000,1783475713176037000
102,3,101,4476405332,1783475712992440000
103,0,103,4514961000,1783475713024403000
103,1,99,4530297999,1783475713024405000
103,2,97,4808912999,1783475713207991000
103,3,102,4508448000,1783475713024407000
104,0,104,4546981999,1783475713056444000
104,1,100,4562330999,1783475713056445000
104,2,98,4840941999,1783475713240055000
104,3,103,4540490666,1783475713056444000
105,0,105,4579002999,1783475713088462000
105,1,101,4594364000,1783475713088482000
105,2,99,4872971000,1783475713272159000
105,3,104,4572533332,1783475713088466000
106,0,106,4611024000,1783475713120456000
106,1,102,4626396999,1783475713120419000
106,2,100,4904999999,1783475713304146000
106,3,105,4604576000,1783475713120460000
107,0,107,4643044999,1783475713152615000
107,1,103,4658429999,1783475713152619000
107,2,101,4937028999,1783475713336188000
107,3,106,4636618666,1783475713152618000
108,0,108,4675065999,1783475713184605000
108,1,104,4690463000,1783475713184607000
108,2,102,4969058000,1783475713368184000
108,3,107,4668661332,1783475713184610000
109,0,109,4707087000,1783475713216523000
109,1,105,4722495999,1783475713216529000
109,2,103,5001086999,1783475713400207000
109,3,108,4700704000,1783475713216520000
110,0,110,4739107999,1783475713248673000
110,1,106,4754528999,1783475713248673000
110,2,104,5033115999,1783475713432544000
110,3,109,4732746666,1783475713248676000
111,0,111,4771128999,1783475713280783000
111,1,107,4786562000,1783475713280785000
111,2,105,5065145000,1783475713464244000
111,3,110,4764789332,1783475713280788000
112,0,112,4803150000,1783475713312802000
112,1,108,4818594999,1783475713312805000
112,2,106,5097173999,1783475713496336000
112,3,111,4796832000,1783475713312805000
113,0,113,4835170999,1783475713344836000
113,1,109,4850627999,1783475713344839000
113,2,107,5129202999,1783475713528310000
113,3,112,4828874666,1783475713344842000
114,0,114,4867191999,1783475713376769000
114,1,110,4882661000,1783475713376767000
114,2,108,5161232000,1783475713560363000
114,3,113,4860917332,1783475713376767000
115,0,115,4899213000,1783475713408834000
115,1,111,4914693999,1783475713408860000
115,2,109,5193260999,1783475713592401000
115,3,114,4892960000,1783475713408877000
116,0,116,4931233999,1783475713441131000
116,1,112,4946726999,1783475713441128000
116,2,110,5225289999,1783475713624437000
116,3,115,4925002666,1783475713441147000
117,0,117,4963254999,1783475713472912000
117,1,113,4978760000,1783475713472876000
117,2,111,5257319000,1783475713656468000
117,3,116,4957045332,1783475713472872000
118,0,118,4995276000,1783475713505014000
118,1,114,5010792999,1783475713505014000
118,2,112,5289347999,1783475713688512000
118,3,117,4989088000,1783475713505012000
119,0,119,5027296999,1783475713536884000
119,1,115,5042825999,1783475713536896000
119,2,113,5321376999,1783475713720462000
119,3,118,5021130666,1783475713536867000
120,0,120,5059317999,1783475713568955000
120,1,116,5074859000,1783475713568957000
120,2,114,5353406000,1783475713752543000
120,3,119,5053173332,1783475713568958000
121,0,121,5091339000,1783475713601001000
121,1,117,5106891999,1783475713600998000
121,2,115,5385434999,1783475713784529000
121,3,120,5085216000,1783475713600987000
122,0,122,5123359999,1783475713633104000
122,1,118,5138924999,1783475713633102000
122,2,116,5417463999,1783475713816572000
122,3,121,5117258666,1783475713633118000
123,0,123,5155380999,1783475713665120000
123,1,119,5170958000,1783475713665122000
123,2,117,5449493000,1783475713848654000
123,3,122,5149301332,1783475713665121000
124,0,124,5187402000,1783475713697145000
124,1,120,5202990999,1783475713697121000
124,2,118,5481521999,1783475713880703000
124,3,123,5181344000,1783475713697115000
125,0,125,5219422999,1783475713728987000
125,1,121,5235023999,1783475713728981000
125,2,119,5513550999,1783475713912660000
125,3,124,5213386666,1783475713729008000
126,0,126,5251443999,1783475713761124000
126,1,122,5267057000,1783475713761115000
126,2,120,5545580000,1783475713944743000
126,3,125,5245429332,1783475713761134000
127,0,127,5283465000,1783475713793043000
127,1,123,5299089999,1783475713793036000
127,2,121,5577608999,1783475713976700000
127,3,126,5277472000,1783475713793067000
128,0,128,5315485999,1783475713825104000
128,1,124,5331122999,1783475713825153000
128,2,122,5609637999,1783475714008719000
128,3,127,5309514666,1783475713825121000
129,0,129,5347506999,1783475713857329000
129,1,125,5363156000,1783475713857331000
129,2,123,5641667000,1783475714040787000
129,3,128,5341557332,1783475713857329000
130,0,130,5379528000,1783475713889413000
130,1,126,5395188999,1783475713889411000
130,2,124,5673695999,1783475714072806000
130,3,129,5373600000,1783475713889410000
131,0,131,5411548999,1783475713921205000
131,1,127,5427221999,1783475713921167000
131,2,125,5705724999,1783475714104845000
131,3,130,5405642666,1783475713921187000
132,0,132,5443569999,1783475713953351000
132,1,128,5459255000,1783475713953692000
132,2,126,5737754000,1783475714136880000
132,3,131,5437685332,1783475713953352000
133,0,133,5475591000,1783475713985146000
133,1,129,5491287999,1783475713985156000
133,2,127,5769782999,1783475714168955000
133,3,132,5469728000,1783475713985148000
134,0,134,5507611999,1783475714017219000
134,1,130,5523320999,1783475714017386000
134,2,128,5801811999,1783475714200917000
134,3,133,5501770666,1783475714017229000
135,0,135,5539632999,1783475714049399000
135,1,131,5555354000,1783475714049397000
135,2,129,5833841000,1783475714232952000
135,3,134,5533813332,1783475714049401000
136,0,136,5571654000,1783475714081301000
136,1,132,5587386999,1783475714081302000
136,2,130,5865869999,1783475714265063000
136,3,135,5565856000,1783475714081301000
137,0,137,5603674999,1783475714113427000
137,1,133,5619419999,1783475714113445000
137,2,131,5897898999,1783475714297373000
137,3,136,5597898666,1783475714113424000
138,0,138,5635695999,1783475714145531000
138,1,134,5651453000,1783475714145534000
138,2,132,5929928000,1783475714329099000
138,3,137,5629941332,1783475714145544000
139,0,139,5667717000,1783475714177664000
139,1,135,5683485999,1783475714177649000
139,2,133,5961956999,1783475714361097000
139,3,138,5661984000,1783475714177629000
140,0,140,5699737999,1783475714209520000
140,1,136,5715518999,1783475714209521000
140,2,134,5993985999,1783475714393121000
140,3,139,5694026666,1783475714209536000
141,0,141,5731758999,1783475714241575000
