batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,33333333,3966026225520,1783475708849605520,1
1,600789574,3966234838100,1783475709058218068,2
2,634122907,3966445607917,1783475709268987885,2
3,667456240,3966654383875,1783475709477763875,2
4,1168469824,3966862980883,1783475709686360883,3
5,1201803157,3967071891630,1783475709895271662,3
6,1735630936,3967278234567,1783475710101614567,4
7,1768964269,3967318675086,1783475710142055086,4
8,1802297602,3967350499381,1783475710173879349,4
9,1835630935,3967382434304,1783475710205814304,4
10,1868964268,3967414482606,1783475710237862574,4
11,1902297601,3967446568862,1783475710269948862,4
12,1935630934,3967478528265,1783475710301908265,4
13,1968964267,3967510504597,1783475710333884565,4
14,2002297600,3967542586437,1783475710365966373,4
15,2035630933,3967574616179,1783475710397996179,4
16,2068964266,3967606928618,1783475710430308586,4
17,2102297599,3967638659694,1783475710462039694,4
18,2135630932,3967670646810,1783475710494026810,4
19,2168964265,3967702840973,1783475710526220941,4
20,2202297598,3967734993599,1783475710558373631,4
21,2235630931,3967766797030,1783475710590177030,4
22,2268964264,3967798874101,1783475710622254069,4
23,2302297597,3967830938020,1783475710654318020,4
24,2335630930,3967862889519,1783475710686269551,4
25,2368964263,3967894942910,1783475710718322878,4
26,2402297596,3967926876968,1783475710750256936,4
27,2435630929,3967959018554,1783475710782398554,4
28,2468964262,3967991067496,1783475710814447432,4
29,2502297595,3968023110871,1783475710846490903,4
30,2535630928,3968055348268,1783475710878728300,4
31,2568964261,3968087135761,1783475710910515793,4
32,2602297594,3968119224929,1783475710942604929,4
33,2635630927,3968151178060,1783475710974558060,4
34,2668964260,3968183360895,1783475711006740895,4
35,2702297593,3968215342792,1783475711038722824,4
36,2735630926,3968247301359,1783475711070681391,4
37,2768964259,3968279289368,1783475711102669400,4
38,2802297592,3968311352739,1783475711134732739,4
39,2835630925,3968343359981,1783475711166739981,4
40,2868964258,3968375417751,1783475711198797751,4
41,2902297591,3968407492771,1783475711230872803,4
42,2935630924,3968439458603,1783475711262838635,4
43,2968964257,3968471468500,1783475711294848500,4
44,3002297590,3968503462557,1783475711326842557,4
45,3035630923,3968535745456,1783475711359125456,4
46,3068964256,3968567652662,1783475711391032694,4
47,3102297589,3968599531355,1783475711422911387,4
48,3135630922,3968631634951,1783475711455014983,4
49,3168964255,3968663656689,1783475711487036721,4
50,3202297588,3968695711356,1783475711519091388,4
51,3235630921,3968727737446,1783475711551117414,4
52,3268964254,3968759706126,1783475711583086094,4
53,3302297587,3968791688310,1783475711615068374,4
54,3335630920,3968823792771,1783475711647172803,4
55,3368964253,3968855820044,1783475711679199980,4
56,3402297586,3968887952346,1783475711711332346,4
57,3435630919,3968919903681,1783475711743283745,4
58,3468964252,3968951937611,1783475711775317579,4
59,3502297585,3968983967830,1783475711807347830,4
60,3535630918,3969015952894,1783475711839332894,4
61,3568964251,3969047946791,1783475711871326759,4
62,3602297584,3969079901966,1783475711903281998,4
63,3635630917,3969112122527,1783475711935502527,4
64,3668964250,3969144129512,1783475711967509448,4
65,3702297583,3969176103312,1783475711999483248,4
66,3735630916,3969208184409,1783475712031564441,4
67,3768964249,3969240179614,1783475712063559646,4
68,3802297582,3969272130146,1783475712095510082,4
69,3835630915,3969304098406,1783475712127478406,4
70,3868964248,3969336264977,1783475712159644977,4
71,3902297581,3969368281271,1783475712191661239,4
72,3935630914,3969400247899,1783475712223627931,4
73,3968964247,3969432323619,1783475712255703555,4
74,4002297580,3969464561616,1783475712287941584,4
75,4035630913,3969496333101,1783475712319713101,4
76,4068964246,3969528416885,1783475712351796789,4
77,4102297579,3969560845801,1783475712384225801,4
78,4135630912,3969592567749,1783475712415947781,4
79,4168964245,3969624577963,1783475712447957899,4
80,4202297578,3969656455148,1783475712479835148,4
81,4235630911,3969688629367,1783475712512009303,4
82,4268964244,3969720584987,1783475712543965019,4
83,4302297577,3969752705188,1783475712576085220,4
84,4335630910,3969784535683,1783475712607915683,4
85,4368964243,3969816627308,1783475712640007276,4
86,4402297576,3969848769558,1783475712672149590,4
87,4435630909,3969880738362,1783475712704118362,4
88,4468964242,3969912803201,1783475712736183169,4
89,4502297575,3969944705827,1783475712768085827,4
90,4535630908,3969976798796,1783475712800178796,4
91,4568964241,3970008792817,1783475712832172785,4
92,4602297574,3970040851352,1783475712864231352,4
93,4635630907,3970073079813,1783475712896459781,4
94,4668964240,3970105133164,1783475712928513196,4
95,4702297573,3970136933387,1783475712960313323,4
96,4735630906,3970168945168,1783475712992325104,4
97,4768964239,3970200964884,1783475713024344916,4
98,4802297572,3970232987990,1783475713056367990,4
99,4835630905,3970265031417,1783475713088411385,4
100,4868964238,3970297012122,1783475713120392154,4
101,4902297571,3970329168449,1783475713152548481,4
102,4935630904,3970361164994,1783475713184544930,4
103,4968964237,3970393101794,1783475713216481794,4
104,5002297570,3970425216231,1783475713248596231,4
105,5035630903,3970457311948,1783475713280691884,4
106,5068964236,3970489330574,1783475713312710574,4
107,5102297569,3970521375889,1783475713344755825,4
108,5135630902,3970553327057,1783475713376707089,4
109,5168964235,3970585364211,1783475713408744243,4
110,5202297568,3970617703744,1783475713441083744,4
111,5235630901,3970649430968,1783475713472810968,4
112,5268964234,3970681540126,1783475713504920094,4
113,5302297567,3970713441884,1783475713536821916,4
114,5335630900,3970745512416,1783475713568892448,4
115,5368964233,3970777532098,1783475713600912034,4
116,5402297566,3970809649287,1783475713633029319,4
117,5435630899,3970841648649,1783475713665028617,4
118,5468964232,3970873652650,1783475713697032554,4
119,5502297565,3970905571881,1783475713728951913,4
120,5535630898,3970937697935,1783475713761077935,4
121,5568964231,3970969626382,1783475713793006414,4
122,5602297564,3971001664369,1783475713825044337,4
123,5635630897,3971033883449,1783475713857263449,4
124,5668964230,3971065985342,1783475713889365310,4
125,5702297563,3971097714423,1783475713921094391,4
126,5735630896,3971129918847,1783475713953298847,4
127,5768964229,3971161731546,1783475713985111482,4
128,5802297562,3971193807453,1783475714017187453,4
129,5835630895,3971225969056,1783475714049349088,4
130,5868964228,3971257876795,1783475714081256763,4
131,5902297561,3971290001085,1783475714113381085,4
132,5935630894,3971322069597,1783475714145449597,4
133,5968964227,3971354172094,1783475714177552062,4
134,6002297560,3971386078649,1783475714209458681,4
135,6035630893,3971418128216,1783475714241508216,4
136,6068964226,3971452394624,1783475714275774592,4
137,6102297559,3971480960685,1783475714304340621,4
138,6135630892,3971514387418,1783475714337767418,4
139,6168964225,3971546280020,1783475714369659988,4
140,6202297558,3971578265745,1783475714401645681,4
141,6235630891,3971610436821,1783475714433816821,4
142,6268964224,3971642501973,1783475714465881909,4
143,6302297557,3971674316140,1783475714497696108,4
144,6335630890,3971706563250,1783475714529943250,4
145,6368964223,3971738424491,1783475714561804459,4
146,6402297556,3971770514860,1783475714593894860,4
147,6435630889,3971802829108,1783475714626209108,4
148,6468964222,3971834727182,1783475714658107150,4
149,6502297555,3971866584327,1783475714689964327,4
150,6535630888,3971898620550,1783475714722000582,4
151,6568964221,3971930621924,1783475714754001860,4
152,6602297554,3971962706725,1783475714786086725,4
153,6635630887,3971994752708,1783475714818132676,4
154,6668964220,3972026818916,1783475714850198884,4
155,6702297553,3972058896292,1783475714882276292,4
156,6735630886,3972090759325,1783475714914139261,4
157,6768964219,3972122694361,1783475714946074297,4
158,6802297552,3972154870269,1783475714978250237,4
159,6835630885,3972186686260,1783475715010066196,4
160,6868964218,3972218831155,1783475715042211187,4
161,6902297551,3972250942352,1783475715074322288,4
162,6935630884,3972282799718,1783475715106179686,4
163,6968964217,3972314883490,1783475715138263490,4
164,7002297550,3972347040962,1783475715170420930,4
165,7035630883,3972379146399,1783475715202526431,4
166,7068964216,3972411078007,1783475715234458007,4
167,7102297549,3972443020175,1783475715266400207,4
168,7135630882,3972475099820,1783475715298479756,4
169,7168964215,3972507089221,1783475715330469221,4
170,7202297548,3972539132993,1783475715362513025,4
171,7235630881,3972571123834,1783475715394503770,4
172,7268964214,3972603345180,1783475715426725148,4
173,7302297547,3972635159792,1783475715458539792,4
174,7335630880,3972667290062,1783475715490670062,4
175,7368964213,3972699328585,1783475715522708553,4
176,7402297546,3972731347684,1783475715554727684,4
177,7435630879,3972763318365,1783475715586698333,4
178,7468964212,3972795386489,1783475715618766489,4
179,7502297545,3972827602650,1783475715650982682,4
180,7535630878,3972859544658,1783475715682924658,4
181,7568964211,3972891474730,1783475715714854698,4
182,7602297544,3972923534630,1783475715746914566,4
183,7635630877,3972955794985,1783475715779174921,4
184,7668964210,3972987789058,1783475715811168994,4
185,7702297543,3973019597110,1783475715842977142,4
186,7735630876,3973051622961,1783475715875002961,4
187,7768964209,3973083608651,1783475715906988619,4
188,7802297542,3973115640678,1783475715939020678,4
189,7835630875,3973147814341,1783475715971194405,4
