cam,seq,pts_ns,mono_ns,real_ns
0,-1,64041999,3965817436096,1783475708640816064
0,-1,96063000,3965819046423,1783475708642426391
0,-1,128083999,3965821802419,1783475708645182387
0,-1,160104999,3965823493068,1783475708646873004
0,-1,192126000,3965826095108,1783475708649475044
0,-1,224146999,3965827569685,1783475708650949653
0,-1,256167999,3966026337300,1783475708849717332
3,-1,567200000,3966142996328,1783475708966376424
3,-1,599242666,3966175015133,1783475708998395069
3,-1,631285332,3966207081041,1783475709030461105
0,-1,288189000,3966235055675,1783475709058435643
3,-1,663328000,3966239126915,1783475709062506883
3,-1,695370666,3966271184310,1783475709094564374
3,-1,727413332,3966303178630,1783475709126558598
3,-1,759456000,3966335202424,1783475709158582424
0,-1,320209999,3966445640238,1783475709269020238
3,-1,791498666,3966445650286,1783475709269030254
0,-1,352230999,3966654424004,1783475709477804068
3,-1,823541332,3966654437669,1783475709477817669
1,-1,1134800000,3966710647681,1783475709534027649
1,-1,1166832999,3966742603984,1783475709565983952
1,-1,1198865999,3966774620065,1783475709598000001
1,-1,1230899000,3966806707189,1783475709630087285
1,-1,1262931999,3966838995407,1783475709662375439
0,-1,480315000,3966863230459,1783475709686610523
3,-1,855584000,3966863257788,1783475709686637820
1,-1,1294964999,3966870744023,1783475709694124055
1,-1,1326998000,3966902782057,1783475709726162121
1,-1,1359030999,3967071936367,1783475709895316431
0,-1,672441000,3967071937199,1783475709895317231
3,-1,887626666,3967071950320,1783475709895330384
2,-1,1702100000,3967277831066,1783475710101211034
3,-1,919669332,3967278251976,1783475710101631912
0,-1,896587999,3967278261544,1783475710101641512
1,-1,1391063999,3967278266760,1783475710101646824
2,-1,1734128999,3967309879496,1783475710133259528
3,-1,1079882666,3967318735952,1783475710142116048
0,-1,1088713999,3967319118461,1783475710142498493
1,-1,1423097000,3967319190271,1783475710142570335
2,-1,1766157999,3967341907606,1783475710165287638
3,-1,1304181332,3967350523638,1783475710173903574
0,-1,1312860999,3967350555063,1783475710173934999
1,-1,1455129999,3967350717340,1783475710174097404
2,-1,1798187000,3967373890594,1783475710197270562
0,-1,1504986999,3967382454784,1783475710205834848
1,-1,1519196000,3967382627238,1783475710206007302
3,-1,1496437332,3967383067413,1783475710206447445
2,-1,1830215999,3967405927760,1783475710229307824
3,-1,1720736000,3967414493614,1783475710237873582
0,-1,1729134000,3967414501903,1783475710237881839
1,-1,1711394000,3967414745559,1783475710238125623
2,-1,1862244999,3967437963134,1783475710261343102
3,-1,1752778666,3967446610911,1783475710269990911
1,-1,1775459999,3967446626496,1783475710270006560
0,-1,1761154999,3967446638048,1783475710270018080
2,-1,1894274000,3967469974795,1783475710293354763
0,-1,1793175999,3967478549674,1783475710301929674
1,-1,1807493000,3967478581099,1783475710301961131
3,-1,1784821332,3967478743888,1783475710302123920
2,-1,1926302999,3967502007161,1783475710325387161
0,-1,1825197000,3967510515702,1783475710333895638
1,-1,1839525999,3967510579800,1783475710333959832
3,-1,1816864000,3967511014150,1783475710334394086
2,-1,1958331999,3967534036103,1783475710357416039
3,-1,1848906666,3967542599333,1783475710365979301
0,-1,1857217999,3967542599525,1783475710365979493
1,-1,1871558999,3967542605797,1783475710365985765
2,-1,1990361000,3967566064021,1783475710389444021
1,-1,1903592000,3967574628307,1783475710398008371
3,-1,1880949332,3967574964574,1783475710398344638
0,-1,1889238999,3967574983967,1783475710398363967
2,-1,2022389999,3967598417102,1783475710421797166
0,-1,1921260000,3967606941898,1783475710430321834
1,-1,1935624999,3967606944202,1783475710430324170
3,-1,1912992000,3967606988460,1783475710430368492
2,-1,2054418999,3967630116368,1783475710453496304
1,-1,1967657999,3967638672334,1783475710462052334
0,-1,1953280999,3967638685071,1783475710462065071
3,-1,1945034666,3967638706031,1783475710462086063
2,-1,2086448000,3967662141086,1783475710485521086
1,-1,1999691000,3967670654458,1783475710494034458
3,-1,1977077332,3967670699164,1783475710494079228
0,-1,1985301999,3967670919587,1783475710494299651
2,-1,2118476999,3967694225166,1783475710517605198
1,-1,2031723999,3967702853870,1783475710526233838
3,-1,2009120000,3967702906864,1783475710526286928
0,-1,2017323000,3967703096950,1783475710526476886
2,-1,2150505999,3967726228763,1783475710549608731
1,-1,2063756999,3967735019488,1783475710558399520
3,-1,2041162666,3967735050529,1783475710558430561
0,-1,2049343999,3967735287337,1783475710558667369
2,-1,2182535000,3967758246056,1783475710581626024
0,-1,2081364999,3967766816422,1783475710590196454
1,-1,2095790000,3967766823495,1783475710590203527
3,-1,2073205332,3967766844935,1783475710590224999
2,-1,2214563999,3967790314295,1783475710613694295
1,-1,2127822999,3967798883029,1783475710622262965
0,-1,2113386000,3967798890902,1783475710622270902
3,-1,2105248000,3967798936023,1783475710622316055
2,-1,2246592999,3967822304932,1783475710645684868
1,-1,2159855999,3967830958725,1783475710654338757
0,-1,2145406999,3967830976965,1783475710654356997
3,-1,2137290666,3967831004198,1783475710654384262
2,-1,2278622000,3967854329521,1783475710677709457
1,-1,2191889000,3967862915792,1783475710686295792
3,-1,2169333332,3967862954769,1783475710686334865
0,-1,2177427999,3967862957617,1783475710686337649
2,-1,2310650999,3967886373568,1783475710709753568
0,-1,2209449000,3967894966303,1783475710718346303
1,-1,2223921999,3967894967839,1783475710718347807
3,-1,2201376000,3967894993184,1783475710718373184
2,-1,2342679999,3967918380557,1783475710741760493
0,-1,2241469999,3967926887529,1783475710750267497
1,-1,2255954999,3967926891657,1783475710750271593
3,-1,2233418666,3967926926282,1783475710750306314
2,-1,2374709000,3967950433819,1783475710773813883
1,-1,2287988000,3967959035099,1783475710782415131
0,-1,2273490999,3967959037275,1783475710782417307
3,-1,2265461332,3967959097341,1783475710782477405
2,-1,2406737999,3967982471977,1783475710805852009
