cam,pts_ns,mono_ns,real_ns
0,64041999,3965817441633,1783475708640821569
0,96063000,3965819049847,1783475708642429783
0,128083999,3965821805299,1783475708645185235
0,160104999,3965823495692,1783475708646875660
0,192126000,3965826097188,1783475708649477124
0,224146999,3965827572725,1783475708650952693
0,256167999,3966026343636,1783475708849723636
3,567200000,3966143007241,1783475708966387273
3,599242666,3966175022142,1783475708998402142
3,631285332,3966207090898,1783475709030470898
0,288189000,3966235061115,1783475709058441083
3,663328000,3966239133924,1783475709062513860
3,695370666,3966271194102,1783475709094574102
3,727413332,3966303192967,1783475709126572935
3,759456000,3966335214808,1783475709158594776
0,320209999,3966445645454,1783475709269025422
3,791498666,3966445655278,1783475709269035214
0,352230999,3966654432452,1783475709477812452
3,823541332,3966654443109,1783475709477823109
1,1134800000,3966710661697,1783475709534041633
1,1166832999,3966742613936,1783475709565993872
1,1198865999,3966774626977,1783475709598006913
1,1230899000,3966806719765,1783475709630099765
1,1262931999,3966839007663,1783475709662387695
0,480315000,3966863234780,1783475709686614780
3,855584000,3966863261244,1783475709686641276
1,1294964999,3966870754168,1783475709694134168
1,1326998000,3966902791945,1783475709726171977
1,1359030999,3967071944143,1783475709895324143
0,672441000,3967071948304,1783475709895328336
3,887626666,3967071955792,1783475709895335792
2,1702100000,3967277844506,1783475710101224442
3,919669332,3967278255016,1783475710101634984
0,896587999,3967278265576,1783475710101645544
1,1391063999,3967278274856,1783475710101654856
2,1734128999,3967309887688,1783475710133267688
3,1079882666,3967318744528,1783475710142124560
0,1088713999,3967319123453,1783475710142503485
1,1423097000,3967319197439,1783475710142577471
2,1766157999,3967341919446,1783475710165299414
3,1304181332,3967350526934,1783475710173906902
0,1312860999,3967350557783,1783475710173937751
1,1455129999,3967350722972,1783475710174103004
2,1798187000,3967373897826,1783475710197277762
0,1504986999,3967382458976,1783475710205839008
1,1519196000,3967382631558,1783475710206011558
3,1496437332,3967383072053,1783475710206452053
2,1830215999,3967405931760,1783475710229311760
3,1720736000,3967414495086,1783475710237875054
0,1729134000,3967414505807,1783475710237885775
1,1711394000,3967414751575,1783475710238131607
2,1862244999,3967437971198,1783475710261351166
3,1752778666,3967446613503,1783475710269993567
1,1775459999,3967446632736,1783475710270012768
0,1761154999,3967446643200,1783475710270023200
2,1894274000,3967469979820,1783475710293359724
0,1793175999,3967478554314,1783475710301934346
1,1807493000,3967478587211,1783475710301967211
3,1784821332,3967478746768,1783475710302126800
2,1926302999,3967502012090,1783475710325392218
0,1825197000,3967510518742,1783475710333898710
1,1839525999,3967510585976,1783475710333965976
3,1816864000,3967511016710,1783475710334396678
2,1958331999,3967534043143,1783475710357423687
3,1848906666,3967542601989,1783475710365982117
1,1871558999,3967542608261,1783475710365988229
0,1857217999,3967542602405,1783475710365982341
2,1990361000,3967566069653,1783475710389449653
1,1903592000,3967574632307,1783475710398012467
3,1880949332,3967574970014,1783475710398350046
0,1889238999,3967574988191,1783475710398368223
2,2022389999,3967598427086,1783475710421807118
0,1921260000,3967606944266,1783475710430324202
1,1935624999,3967606946442,1783475710430326410
3,1912992000,3967606994156,1783475710430374156
2,2054418999,3967630122449,1783475710453502417
1,1967657999,3967638675022,1783475710462055022
0,1953280999,3967638689327,1783475710462069327
3,1945034666,3967638710639,1783475710462090671
2,2086448000,3967662146526,1783475710485526462
1,1999691000,3967670657498,1783475710494037498
3,1977077332,3967670704412,1783475710494084476
0,1985301999,3967670924419,1783475710494304515
2,2118476999,3967694232622,1783475710517612622
1,2031723999,3967702858126,1783475710526238094
3,2009120000,3967702913328,1783475710526293328
0,2017323000,3967703099862,1783475710526479830
2,2150505999,3967726237211,1783475710549617147
1,2063756999,3967735024384,1783475710558404448
3,2041162666,3967735055361,1783475710558435361
0,2049343999,3967735291881,1783475710558671881
2,2182535000,3967758253000,1783475710581632968
0,2081364999,3967766820550,1783475710590200582
1,2095790000,3967766827687,1783475710590207687
3,2073205332,3967766850183,1783475710590230215
2,2214563999,3967790320631,1783475710613700663
