batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,0,0,64041999,1783475665369208000
1,0,1,97375332,1783475665370792000
1,3,0,567200000,1783475665693824000
2,0,2,130708665,1783475665373523000
2,3,1,600533333,1783475665725814000
3,0,3,164041998,1783475665375232000
3,3,2,633866666,1783475665757767000
4,0,4,197375331,1783475665377708000
4,1,0,1134800000,1783475666261312000
4,3,3,667199999,1783475665789767000
5,0,5,230708664,1783475665379131000
5,1,1,1168133333,1783475666293327000
5,3,4,700533332,1783475665821880000
6,0,6,264041997,1783475665577561000
6,1,2,1201466666,1783475666325375000
6,2,0,1702100000,1783475666828674000
6,3,5,733866665,1783475665854053000
7,0,7,297375330,1783475665786273000
7,1,3,1234799999,1783475666357502000
7,2,1,1735433333,1783475666860676000
7,3,6,767199998,1783475665886065000
8,0,8,330708663,1783475665994872000
8,1,4,1268133332,1783475666389475000
8,2,2,1768766666,1783475666892684000
8,3,7,800533331,1783475665994872000
9,0,9,364041996,1783475666203643000
9,1,5,1301466665,1783475666421451000
9,2,3,1802099999,1783475666924725000
9,3,8,833866664,1783475666203643000
10,0,10,397375329,1783475666412408000
10,1,6,1334799998,1783475666453487000
10,2,4,1835433332,1783475666956772000
10,3,9,867199997,1783475666412457000
11,0,11,430708662,1783475666620929000
11,1,7,1368133331,1783475666620927000
11,2,5,1868766665,1783475666988755000
11,3,10,900533330,1783475666620927000
12,0,12,464041995,1783475666828942000
12,1,8,1401466664,1783475666828972000
12,2,6,1902099998,1783475667020781000
12,3,11,933866663,1783475666828944000
13,0,13,497375328,1783475666869529000
13,1,9,1434799997,1783475666869570000
13,2,7,1935433331,1783475667053011000
13,3,12,967199996,1783475666869364000
14,0,14,530708661,1783475666901394000
14,1,10,1468133330,1783475666901616000
14,2,8,1968766664,1783475667084831000
14,3,13,1000533329,1783475666901408000
15,0,15,564041994,1783475666933633000
15,1,11,1501466663,1783475666933851000
15,2,9,2002099997,1783475667116851000
15,3,14,1033866662,1783475666933882000
16,0,16,597375327,1783475666965506000
16,1,12,1534799996,1783475666965757000
16,2,10,2035433330,1783475667148825000
16,3,15,1067199995,1783475666965510000
17,0,17,630708660,1783475666997420000
17,1,13,1568133329,1783475666997412000
17,2,11,2068766663,1783475667180860000
17,3,16,1100533328,1783475666997440000
18,0,18,664041993,1783475667029996000
18,1,14,1601466662,1783475667029966000
18,2,12,2102099996,1783475667212947000
18,3,17,1133866661,1783475667030351000
19,0,19,697375326,1783475667061684000
19,1,15,1634799995,1783475667061668000
19,2,13,2135433329,1783475667244913000
19,3,18,1167199994,1783475667061932000
20,0,20,730708659,1783475667093573000
20,1,16,1668133328,1783475667093631000
20,2,14,2168766662,1783475667276968000
20,3,19,1200533327,1783475667093691000
21,0,21,764041992,1783475667125731000
21,1,17,1701466661,1783475667125498000
21,2,15,2202099995,1783475667308991000
21,3,20,1233866660,1783475667126209000
22,0,22,797375325,1783475667157447000
22,1,18,1734799994,1783475667157445000
22,2,16,2235433328,1783475667341003000
22,3,21,1267199993,1783475667157446000
23,0,23,830708658,1783475667189429000
23,1,19,1768133327,1783475667189439000
23,2,17,2268766661,1783475667373045000
23,3,22,1300533326,1783475667189429000
24,0,24,864041991,1783475667221809000
24,1,20,1801466660,1783475667221634000
24,2,18,2302099994,1783475667405083000
24,3,23,1333866659,1783475667221631000
25,0,25,897375324,1783475667253736000
25,1,21,1834799993,1783475667253538000
25,2,19,2335433327,1783475667437082000
25,3,24,1367199992,1783475667253540000
26,0,26,930708657,1783475667285739000
26,1,22,1868133326,1783475667285565000
26,2,20,2368766660,1783475667469120000
26,3,25,1400533325,1783475667285575000
27,0,27,964041990,1783475667317556000
27,1,23,1901466659,1783475667317553000
27,2,21,2402099993,1783475667501123000
27,3,26,1433866658,1783475667317548000
28,0,28,997375323,1783475667349536000
28,1,24,1934799992,1783475667349558000
28,2,22,2435433326,1783475667533201000
28,3,27,1467199991,1783475667349571000
29,0,29,1030708656,1783475667381682000
29,1,25,1968133325,1783475667381658000
29,2,23,2468766659,1783475667565205000
29,3,28,1500533324,1783475667381731000
30,0,30,1064041989,1783475667413671000
30,1,26,2001466658,1783475667414011000
30,2,24,2502099992,1783475667597249000
30,3,29,1533866657,1783475667413670000
31,0,31,1097375322,1783475667445672000
31,1,27,2034799991,1783475667446014000
31,2,25,2535433325,1783475667629314000
31,3,30,1567199990,1783475667445683000
32,0,32,1130708655,1783475667477635000
32,1,28,2068133324,1783475667477636000
32,2,26,2568766658,1783475667661301000
32,3,31,1600533323,1783475667477654000
33,0,33,1164041988,1783475667509695000
33,1,29,2101466657,1783475667509685000
33,2,27,2602099991,1783475667693340000
33,3,32,1633866656,1783475667509685000
34,0,34,1197375321,1783475667541774000
34,1,30,2134799990,1783475667541782000
34,2,28,2635433324,1783475667725393000
34,3,33,1667199989,1783475667541804000
35,0,35,1230708654,1783475667573780000
35,1,31,2168133323,1783475667573789000
35,2,29,2668766657,1783475667757452000
35,3,34,1700533322,1783475667573839000
36,0,36,1264041987,1783475667606033000
36,1,32,2201466656,1783475667606049000
36,2,30,2702099990,1783475667789432000
36,3,35,1733866655,1783475667606043000
37,0,37,1297375320,1783475667637858000
37,1,33,2234799989,1783475667637824000
37,2,31,2735433323,1783475667821475000
37,3,36,1767199988,1783475667637852000
38,0,38,1330708653,1783475667669923000
38,1,34,2268133322,1783475667669900000
38,2,32,2768766656,1783475667853475000
38,3,37,1800533321,1783475667669936000
39,0,39,1364041986,1783475667701968000
39,1,35,2301466655,1783475667701976000
39,2,33,2802099989,1783475667885530000
39,3,38,1833866654,1783475667701973000
40,0,40,1397375319,1783475667734108000
40,1,36,2334799988,1783475667734071000
40,2,34,2835433322,1783475667917533000
40,3,39,1867199987,1783475667734067000
41,0,41,1430708652,1783475667766173000
41,1,37,2368133321,1783475667766385000
41,2,35,2868766655,1783475667949570000
41,3,40,1900533320,1783475667766258000
42,0,42,1464041985,1783475667798119000
