batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,33333333,3922754104662,1783475665577484662,1
1,600875863,3922962634862,1783475665786014894,2
2,634209196,3923171415280,1783475665994795280,2
3,667542529,3923380165236,1783475666203545300,2
4,1168354865,3923588743568,1783475666412123568,3
5,1201688198,3923797460242,1783475666620840274,3
6,1735716732,3924005509530,1783475666828889530,4
7,1769050065,3924045910502,1783475666869290502,4
8,1802383398,3924077962923,1783475666901342955,4
9,1835716731,3924110088628,1783475666933468628,4
10,1869050064,3924142070038,1783475666965450070,4
11,1902383397,3924173998807,1783475666997378775,4
12,1935716730,3924206564716,1783475667029944716,4
13,1969050063,3924238230878,1783475667061610878,4
14,2002383396,3924270123193,1783475667093503385,4
15,2035716729,3924302039317,1783475667125419349,4
16,2069050062,3924334001394,1783475667157381394,4
17,2102383395,3924366010513,1783475667189390513,4
18,2135716728,3924398165590,1783475667221545622,4
19,2169050061,3924430107443,1783475667253487699,4
20,2202383394,3924462131986,1783475667285512018,4
21,2235716727,3924494137681,1783475667317517681,4
22,2269050060,3924526132592,1783475667349512592,4
23,2302383393,3924558221682,1783475667381601682,4
24,2335716726,3924590251890,1783475667413631890,4
25,2369050059,3924622235377,1783475667445615377,4
26,2402383392,3924654229007,1783475667477609007,4
27,2435716725,3924686275728,1783475667509655728,4
28,2469050058,3924718368594,1783475667541748626,4
29,2502383391,3924750356977,1783475667573737009,4
30,2535716724,3924782672636,1783475667606052636,4
31,2569050057,3924814421457,1783475667637801457,4
32,2602383390,3924846486738,1783475667669866738,4
33,2635716723,3924878538515,1783475667701918515,4
34,2669050056,3924910646550,1783475667734026550,4
35,2702383389,3924942727864,1783475667766107928,4
36,2735716722,3924974680277,1783475667798060277,4
37,2769050055,3925006727734,1783475667830107734,4
38,2802383388,3925038704052,1783475667862084084,4
39,2835716721,3925070721524,1783475667894101556,4
40,2869050054,3925102743763,1783475667926123795,4
41,2902383387,3925134762419,1783475667958142451,4
42,2935716720,3925166859477,1783475667990239509,4
43,2969050053,3925198856050,1783475668022236082,4
44,3002383386,3925230811594,1783475668054191594,4
45,3035716719,3925262771235,1783475668086151267,4
46,3069050052,3925294940708,1783475668118320708,4
47,3102383385,3925326890396,1783475668150270428,4
48,3135716718,3925358891927,1783475668182271927,4
49,3169050051,3925390909810,1783475668214289842,4
50,3202383384,3925422990095,1783475668246370127,4
51,3235716717,3925455160016,1783475668278540048,4
52,3269050050,3925486999012,1783475668310379012,4
53,3302383383,3925518987390,1783475668342367422,4
54,3335716716,3925551253411,1783475668374633443,4
55,3369050049,3925583255741,1783475668406635741,4
56,3402383382,3925615337947,1783475668438717947,4
57,3435716715,3925647114189,1783475668470494189,4
58,3469050048,3925679167177,1783475668502547209,4
59,3502383381,3925711173988,1783475668534553988,4
60,3535716714,3925743305891,1783475668566685923,4
61,3569050047,3925775382304,1783475668598762304,4
62,3602383380,3925807352922,1783475668630732922,4
63,3635716713,3925839387797,1783475668662767797,4
64,3669050046,3925871446322,1783475668694826322,4
65,3702383379,3925903653396,1783475668727033428,4
66,3735716712,3925935426406,1783475668758806438,4
67,3769050045,3925967501635,1783475668790881667,4
68,3802383378,3925999542879,1783475668822922911,4
69,3835716711,3926031515960,1783475668854895960,4
70,3869050044,3926063508371,1783475668886888371,4
71,3902383377,3926095714677,1783475668919094677,4
72,3935716710,3926127694863,1783475668951074863,4
73,3969050043,3926159608454,1783475668982988486,4
74,4002383376,3926191810214,1783475669015190246,4
75,4035716709,3926223899967,1783475669047279967,4
76,4069050042,3926255563496,1783475669078943528,4
77,4102383375,3926287734309,1783475669111114309,4
78,4135716708,3926319790397,1783475669143170429,4
79,4169050041,3926351888215,1783475669175268247,4
80,4202383374,3926383942030,1783475669207322062,4
81,4235716707,3926415841952,1783475669239221952,4
82,4269050040,3926447983260,1783475669271363292,4
83,4302383373,3926479932752,1783475669303312752,4
84,4335716706,3926511919589,1783475669335299621,4
85,4369050039,3926543995806,1783475669367375838,4
86,4402383372,3926576153242,1783475669399533242,4
87,4435716705,3926608071085,1783475669431451085,4
88,4469050038,3926640035425,1783475669463415425,4
89,4502383371,3926672118714,1783475669495498714,4
90,4535716704,3926704187251,1783475669527567251,4
91,4569050037,3926736178056,1783475669559558088,4
92,4602383370,3926768218368,1783475669591598368,4
93,4635716703,3926800426750,1783475669623806782,4
94,4669050036,3926832358513,1783475669655738513,4
95,4702383369,3926864379016,1783475669687759016,4
96,4735716702,3926896326396,1783475669719706428,4
97,4769050035,3926928304849,1783475669751684881,4
98,4802383368,3926960507470,1783475669783887502,4
99,4835716701,3926992632585,1783475669816012649,4
100,4869050034,3927024615614,1783475669847995614,4
101,4902383367,3927056392876,1783475669879772908,4
102,4935716700,3927088526631,1783475669911906663,4
103,4969050033,3927120458842,1783475669943838906,4
104,5002383366,3927152493265,1783475669975873297,4
105,5035716699,3927184574185,1783475670007954186,4
106,5069050032,3927216587515,1783475670039967515,4
107,5102383365,3927248574028,1783475670071954028,4
108,5135716698,3927280572414,1783475670103952414,4
109,5169050031,3927312668115,1783475670136048147,4
110,5202383364,3927344683461,1783475670168063461,4
111,5235716697,3927376707319,1783475670200087319,4
112,5269050030,3927408768619,1783475670232148651,4
113,5302383363,3927440757596,1783475670264137596,4
114,5335716696,3927472820080,1783475670296200112,4
115,5369050029,3927504803233,1783475670328183457,4
116,5402383362,3927536856884,1783475670360236852,4
117,5435716695,3927568908808,1783475670392288840,4
118,5469050028,3927600931226,1783475670424311226,4
119,5502383361,3927633337883,1783475670456717915,4
120,5535716694,3927665060898,1783475670488440834,4
121,5569050027,3927697087156,1783475670520467092,4
122,5602383360,3927729080037,1783475670552460069,4
123,5635716693,3927761230301,1783475670584610333,4
124,5669050026,3927793122954,1783475670616502890,4
125,5702383359,3927825376101,1783475670648756101,4
126,5735716692,3927857271538,1783475670680651506,4
127,5769050025,3927889190561,1783475670712570497,4
128,5802383358,3927921293622,1783475670744673654,4
129,5835716691,3927953227717,1783475670776607685,4
130,5869050024,3927985342107,1783475670808722139,4
131,5902383357,3928017385838,1783475670840765774,4
132,5935716690,3928049297052,1783475670872677020,4
133,5969050023,3928081352528,1783475670904732560,4
134,6002383356,3928113547241,1783475670936927241,4
135,6035716689,3928145451062,1783475670968831062,4
136,6069050022,3928177489417,1783475671000869385,4
137,6102383355,3928209624892,1783475671033004892,4
138,6135716688,3928241586887,1783475671064966855,4
139,6169050021,3928273517714,1783475671096897682,4
140,6202383354,3928305651716,1783475671129031716,4
141,6235716687,3928337566253,1783475671160946221,4
142,6269050020,3928369679775,1783475671193059743,4
143,6302383353,3928401659723,1783475671225039755,4
144,6335716686,3928433696473,1783475671257076441,4
145,6369050019,3928465893006,1783475671289273006,4
146,6402383352,3928497842137,1783475671321222137,4
147,6435716685,3928529764067,1783475671353144067,4
148,6469050018,3928561884213,1783475671385264181,4
149,6502383351,3928594095466,1783475671417475466,4
150,6535716684,3928625993459,1783475671449373427,4
151,6569050017,3928657962271,1783475671481342271,4
152,6602383350,3928689961228,1783475671513341196,4
153,6635716683,3928722089278,1783475671545469310,4
154,6669050016,3928754070218,1783475671577450186,4
155,6702383349,3928786066231,1783475671609446167,4
156,6735716682,3928818249867,1783475671641629867,4
157,6769050015,3928850228823,1783475671673608855,4
158,6802383348,3928882169986,1783475671705549954,4
159,6835716681,3928914206608,1783475671737586640,4
160,6869050014,3928946122810,1783475671769502778,4
161,6902383347,3928978250892,1783475671801630892,4
162,6935716680,3929010254265,1783475671833634265,4
163,6969050013,3929042299048,1783475671865678984,4
164,7002383346,3929074237778,1783475671897617842,4
165,7035716679,3929106367940,1783475671929747940,4
166,7069050012,3929138390834,1783475671961770802,4
167,7102383345,3929170310620,1783475671993690588,4
168,7135716678,3929202688052,1783475672026068052,4
169,7169050011,3929234449268,1783475672057829268,4
170,7202383344,3929266468637,1783475672089848573,4
171,7235716677,3929298556713,1783475672121936713,4
172,7269050010,3929330547441,1783475672153927473,4
173,7302383343,3929362577595,1783475672185957563,4
174,7335716676,3929394762475,1783475672218142507,4
175,7369050009,3929426539307,1783475672249919275,4
176,7402383342,3929458787069,1783475672282167069,4
177,7435716675,3929490813510,1783475672314193542,4
178,7469050008,3929522663849,1783475672346043849,4
179,7502383341,3929554695187,1783475672378075155,4
180,7535716674,3929586947205,1783475672410327205,4
181,7569050007,3929618936557,1783475672442316557,4
182,7602383340,3929650895252,1783475672474275220,4
183,7635716673,3929682903613,1783475672506283613,4
184,7669050006,3929714855780,1783475672538235748,4
185,7702383339,3929747043156,1783475672570423188,4
186,7735716672,3929778994362,1783475672602374426,4
187,7769050005,3929811081574,1783475672634461542,4
188,7802383338,3929843081359,1783475672666461327,4
189,7835716671,3929875029686,1783475672698409718,4
190,7869050004,3929906980188,1783475672730360156,4
191,7902383337,3929939096425,1783475672762476425,4
192,7935716670,3929971102738,1783475672794482770,4
193,7969050003,3930003263649,1783475672826643649,4
194,8002383336,3930035335020,1783475672858714988,4
195,8035716669,3930067223344,1783475672890603280,4
196,8069050002,3930099306524,1783475672922686556,4
197,8102383335,3930131221890,1783475672954601826,4
198,8135716668,3930163233899,1783475672986613931,4
199,8169050001,3930195260690,1783475673018640626,4
200,8202383334,3930227332985,1783475673050712985,4
