cam,seq,pts_ns,mono_ns,real_ns
0,-1,64041999,3922545784998,1783475665369164998
0,-1,96063000,3922547401445,1783475665370781445
0,-1,128083999,3922550130545,1783475665373510545
0,-1,160104999,3922551843220,1783475665375223188
0,-1,192126000,3922554317269,1783475665377697269
0,-1,224146999,3922555741485,1783475665379121485
0,-1,256167999,3922754152216,1783475665577532248
3,-1,567200000,3922870360008,1783475665693740008
3,-1,599242666,3922902368881,1783475665725748881
3,-1,631285332,3922934347064,1783475665757727128
0,-1,288189000,3922962879191,1783475665786259223
3,-1,663328000,3922966364288,1783475665789744288
3,-1,695370666,3922998450475,1783475665821830507
3,-1,727413332,3923030595257,1783475665853975321
3,-1,759456000,3923062617442,1783475665885997506
0,-1,320209999,3923171454929,1783475665994834961
3,-1,791498666,3923171462417,1783475665994842481
0,-1,352230999,3923380213430,1783475666203593494
3,-1,823541332,3923380214230,1783475666203594230
1,-1,1134800000,3923437885125,1783475666261265157
1,-1,1166832999,3923469903017,1783475666293283081
1,-1,1198865999,3923501955055,1783475666325335023
1,-1,1230899000,3923534045077,1783475666357425109
1,-1,1262931999,3923566038041,1783475666389417977
0,-1,480315000,3923589010939,1783475666412390971
3,-1,855584000,3923589058269,1783475666412438333
1,-1,1294964999,3923598038748,1783475666421418716
1,-1,1326998000,3923630073921,1783475666453454561
0,-1,672441000,3923797510260,1783475666620890324
3,-1,887626666,3923797510708,1783475666620890740
1,-1,1359030999,3923797522357,1783475666620902485
2,-1,1702100000,3924005250384,1783475666828630416
0,-1,896587999,3924005539547,1783475666828919547
3,-1,919669332,3924005543899,1783475666828923931
1,-1,1391063999,3924005572124,1783475666828952188
2,-1,1734128999,3924037263924,1783475666860643988
3,-1,1079882666,3924045964456,1783475666869344520
0,-1,1088713999,3924046136751,1783475666869516783
1,-1,1423097000,3924046172336,1783475666869552432
2,-1,1766157999,3924069257143,1783475666892637207
0,-1,1312860999,3924077988908,1783475666901368908
3,-1,1304181332,3924078009933,1783475666901389997
1,-1,1455129999,3924078224309,1783475666901604309
2,-1,1798187000,3924101294396,1783475666924674492
0,-1,1504986999,3924110232313,1783475666933612313
1,-1,1519196000,3924110454594,1783475666933834658
3,-1,1496437332,3924110486211,1783475666933866243
