cam,pts_ns,mono_ns,real_ns
0,64041999,3922545792262,1783475665369172230
0,97375332,3922547404646,1783475665370784582
0,130708665,3922550133841,1783475665373513841
0,164041998,3922551846420,1783475665375226420
0,197375331,3922554320501,1783475665377700501
0,230708664,3922555744237,1783475665379124205
0,264041997,3922754157784,1783475665577537816
3,567200000,3922870378601,1783475665693758601
3,600533333,3922902386097,1783475665725766097
3,633866666,3922934357304,1783475665757737304
0,297375330,3922962884696,1783475665786264696
3,667199999,3922966370560,1783475665789750560
3,700533332,3922998460396,1783475665821840396
3,733866665,3923030615578,1783475665853995578
3,767199998,3923062633218,1783475665886013218
0,330708663,3923171463730,1783475665994843762
3,800533331,3923171469266,1783475665994849266
3,833866664,3923380225942,1783475666203605942
0,364041996,3923380226006,1783475666203606006
1,1134800000,3923437897190,1783475666261277190
1,1168133333,3923469912778,1783475666293292778
1,1201466666,3923501964495,1783475666325344463
1,1234799999,3923534062646,1783475666357442646
1,1268133332,3923566050361,1783475666389430329
0,397375329,3923589016507,1783475666412396507
3,867199997,3923589063613,1783475666412443613
1,1301466665,3923598046236,1783475666421426172
1,1334799998,3923630080353,1783475666453460353
0,430708662,3923797519957,1783475666620899989
3,900533330,3923797522869,1783475666620902901
1,1368133331,3923797528821,1783475666620908821
2,1702100000,3924005263952,1783475666828643952
0,464041995,3924005544891,1783475666828924859
3,933866663,3924005547643,1783475666828927611
1,1401466664,3924005579261,1783475666828959261
2,1735433333,3924037272692,1783475666860652724
3,967199996,3924045969864,1783475666869349896
0,497375328,3924046140527,1783475666869520527
1,1434799997,3924046177424,1783475666869557520
2,1768766666,3924069268919,1783475666892648951
0,530708661,3924077995021,1783475666901375053
3,1000533329,3924078015565,1783475666901395565
1,1468133330,3924078228150,1783475666901608182
2,1802099999,3924101308348,1783475666924688380
0,564041994,3924110239481,1783475666933619481
1,1501466663,3924110460386,1783475666933840450
3,1033866662,3924110490595,1783475666933870595
2,1835433332,3924133345409,1783475666956725473
0,597375327,3924142111192,1783475666965491192
3,1067199995,3924142118072,1783475666965498104
1,1534799996,3924142368962,1783475666965748962
2,1868766665,3924165345572,1783475666988725572
1,1568133329,3924174021688,1783475666997401720
0,630708660,3924174025464,1783475666997405496
3,1100533328,3924174047513,1783475666997427513
2,1902099998,3924197365734,1783475667020745734
1,1601466662,3924206566189,1783475667029946189
0,664041993,3924206595438,1783475667029975470
3,1133866661,3924206959676,1783475667030339676
2,1935433331,3924229608686,1783475667052988686
1,1634799995,3924238272512,1783475667061652512
0,697375326,3924238280416,1783475667061660384
3,1167199994,3924238538922,1783475667061919018
2,1968766664,3924261405093,1783475667084785061
0,730708659,3924270173211,1783475667093553179
1,1668133328,3924270244254,1783475667093624222
3,1200533327,3924270302528,1783475667093682432
2,2002099997,3924293433829,1783475667116813829
1,1701466661,3924302104503,1783475667125484503
0,764041992,3924302339552,1783475667125719552
3,1233866660,3924302817075,1783475667126197075
2,2035433330,3924325422436,1783475667148802436
3,1267199993,3924334046196,1783475667157426132
0,797375325,3924334046996,1783475667157426964
1,1734799994,3924334049748,1783475667157429748
2,2068766663,3924357457860,1783475667180837860
3,1300533326,3924366038482,1783475667189418450
0,830708658,3924366043218,1783475667189423186
1,1768133327,3924366048403,1783475667189428403
2,2102099996,3924389532038,1783475667212912038
3,1333866659,3924398229209,1783475667221609241
1,1801466660,3924398238233,1783475667221618265
0,864041991,3924398421152,1783475667221801152
2,2135433329,3924421512132,1783475667244892132
1,1834799993,3924430136500,1783475667253516500
3,1367199992,3924430144980,1783475667253524916
0,897375324,3924430348188,1783475667253728124
2,2168766662,3924453560452,1783475667276940452
1,1868133326,3924462173652,1783475667285553652
3,1400533325,3924462183380,1783475667285563380
0,930708657,3924462350139,1783475667285730203
2,2202099995,3924485593701,1783475667308973701
3,1433866658,3924494156914,1783475667317536882
1,1901466659,3924494160722,1783475667317540754
0,964041990,3924494164723,1783475667317544755
2,2235433328,3924517596260,1783475667340976260
0,997375323,3924526149649,1783475667349529649
1,1934799992,3924526167954,1783475667349547986
3,1467199991,3924526176882,1783475667349556818
2,2268766661,3924549641284,1783475667373021316
1,1968133325,3924558265556,1783475667381645588
0,1030708656,3924558290677,1783475667381670709
3,1500533324,3924558323030,1783475667381703062
2,2302099994,3924581684389,1783475667405064453
3,1533866657,3924590279380,1783475667413659348
0,1064041989,3924590281428,1783475667413661428
1,2001466658,3924590618625,1783475667413998625
2,2335433327,3924613687204,1783475667437067236
0,1097375322,3924622279954,1783475667445659954
3,1567199990,3924622284275,1783475667445664307
1,2034799991,3924622616896,1783475667445996896
2,2368766660,3924645724164,1783475667469104164
1,2068133324,3924654246256,1783475667477626256
0,1130708655,3924654248144,1783475667477628144
3,1600533323,3924654262065,1783475667477642065
2,2402099993,3924677732355,1783475667501112483
1,2101466657,3924686294545,1783475667509674545
3,1633866656,3924686295729,1783475667509675761
0,1164041988,3924686305297,1783475667509685297
