batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,0,0,619585593,1783476193029156000
1,0,1,795543273,1783476193231936000
2,0,2,1027554297,1783476193448276000
2,1,0,1186823113,1783476193481983000
3,0,3,1227552681,1783476193648580000
3,1,1,1186834329,1783476193485486000
4,0,4,1431538713,1783476193857380000
4,1,2,1426805393,1783476194048920000
5,0,5,1627551553,1783476194065432000
5,1,3,1626830521,1783476194051157000
5,2,0,1754278145,1783476194041171000
6,0,6,1827548297,1783476194165883000
6,1,4,1826805361,1783476194087941000
6,2,1,1798187521,1783476194054896000
7,0,7,2063540521,1783476194620519000
7,1,5,1994839585,1783476194619441000
7,2,2,2062178913,1783476194618373000
8,0,8,2263542849,1783476194666819000
8,1,6,2262824209,1783476194665782000
8,2,3,2262214393,1783476194621528000
8,3,0,2321458369,1783476194616714000
9,0,9,2395565233,1783476194693162000
9,1,7,2394848817,1783476194692127000
9,2,4,2294197425,1783476194625774000
9,3,1,2333437041,1783476194622609000
10,0,10,2427563457,1783476194900857000
10,1,8,2430890817,1783476194901972000
10,2,5,2330171009,1783476194638095000
10,3,2,2365444233,1783476194626861000
11,0,11,2463558817,1783476194905034000
11,1,9,2462812785,1783476194906082000
11,2,6,2394212265,1783476194694245000
11,3,3,2401437913,1783476194655592000
12,0,12,2495559201,1783476194909268000
12,1,10,2494847105,1783476194910322000
12,2,7,2430262201,1783476194902935000
12,3,4,2433510625,1783476194904003000
13,0,13,2527560169,1783476194913188000
13,1,11,2526815169,1783476194913856000
13,2,8,2462206201,1783476194907148000
13,3,5,2465434169,1783476194908229000
14,0,14,2695542009,1783476194957051000
14,1,12,2694842265,1783476194956003000
14,2,9,2530185785,1783476194914562000
14,3,6,2533431009,1783476194915197000
15,0,15,2727564105,1783476194992733000
15,1,13,2730799041,1783476194991519000
15,2,10,2694198817,1783476194958706000
15,3,7,2697448625,1783476194959767000
16,0,16,2763556201,1783476195025003000
16,1,14,2762816337,1783476195023956000
16,2,11,2730177233,1783476194994335000
16,3,8,2733446401,1783476194995422000
17,0,17,2795545849,1783476195057047000
17,1,15,2794836009,1783476195060131000
17,2,12,2762195977,1783476195204335000
17,3,9,2765442785,1783476195205493000
18,0,18,2827566945,1783476195203307000
18,1,16,2830800785,1783476195206506000
18,2,13,2798191137,1783476195208551000
18,3,10,2797466721,1783476195209624000
19,0,19,2863550233,1783476195207536000
19,1,17,2862833233,1783476195210656000
19,2,14,2830175169,1783476195212794000
19,3,11,2833448105,1783476195213863000
20,0,20,2895549465,1783476195211716000
20,1,18,2894851137,1783476195214847000
20,2,15,2862191137,1783476195215897000
20,3,12,2865458137,1783476195216849000
21,0,21,2927562913,1783476195414591000
21,1,19,2930801137,1783476195412511000
21,2,16,2998176169,1783476195413537000
21,3,13,3001447233,1783476195415630000
22,0,22,2995554912,1783476195418800000
22,1,20,2994838785,1783476195416690000
22,2,17,3030191169,1783476195417746000
22,3,14,3033449201,1783476195419848000
23,0,23,3027563977,1783476195423031000
23,1,21,3030801913,1783476195420908000
23,2,18,3062192233,1783476195421961000
23,3,15,3065505913,1783476195424047000
24,0,24,3063550849,1783476195426562000
24,1,22,3062818105,1783476195425020000
24,2,19,3098182137,1783476195425875000
24,3,16,3101472233,1783476195427239000
25,0,25,3195567169,1783476195461509000
25,1,23,3194832169,1783476195460462000
25,2,20,3198170401,1783476195459469000
25,3,17,3201555425,1783476195455145000
26,0,26,3227577201,1783476195646279000
26,1,24,3226825977,1783476195647339000
26,2,21,3230182265,1783476195648529000
26,3,18,3233492233,1783476195649461000
27,0,27,3263556617,1783476195650463000
27,1,25,3262856265,1783476195651554000
27,2,22,3262214009,1783476195652621000
27,3,19,3269505233,1783476195653651000
28,0,28,3295553489,1783476195654857000
28,1,26,3294837105,1783476195655768000
28,2,23,3298179201,1783476195656810000
28,3,20,3301451201,1783476195657817000
29,0,29,3327599689,1783476195658714000
29,1,27,3326853361,1783476195659436000
29,2,24,3330173105,1783476195660092000
29,3,21,3333449169,1783476195660949000
30,0,30,3427566721,1783476195857419000
30,1,28,3426824297,1783476195856386000
30,2,25,3430191105,1783476195858490000
30,3,22,3433494657,1783476195859572000
31,0,31,3463598817,1783476195861621000
31,1,29,3462873105,1783476195860575000
31,2,26,3462382009,1783476195862674000
31,3,23,3469464817,1783476195863744000
32,0,32,3495556169,1783476195865845000
32,1,30,3494840169,1783476195864790000
32,2,27,3498299265,1783476195866898000
32,3,24,3501461137,1783476195867941000
33,0,33,3527578361,1783476195869852000
