batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,619585593,4450406026290,1783476193229406322,1
1,795543273,4450614818828,1783476193438198764,1
2,1186823113,4450823548613,1783476193646928613,2
3,1227552681,4451032214782,1783476193855594782,2
4,1431538713,4451240736212,1783476194064116212,2
5,1754278145,4451449400201,1783476194272780233,3
6,1827548297,4451658440193,1783476194481820257,3
7,2063540521,4451867101078,1783476194690481110,3
8,2321458369,4452075860459,1783476194899240491,4
9,2395565233,4452076075853,1783476194899455885,4
10,2430890817,4452078661601,1783476194902041633,4
11,2463558817,4452082760832,1783476194906140832,4
12,2495559201,4452133827781,1783476194957207813,4
13,2527560169,4452169495412,1783476194992875444,4
14,2695542009,4452378336711,1783476195201716711,4
15,2730799041,4452378532841,1783476195201912873,4
16,2763556201,4452378631401,1783476195202011433,4
17,2795545849,4452587328667,1783476195410708699,4
18,2830800785,4452587587293,1783476195410967325,4
19,2863550233,4452587709790,1783476195411089790,4
20,2895549465,4452587803422,1783476195411183422,4
21,3001447233,4452612387737,1783476195435767769,4
22,3033449201,4452821173515,1783476195644553547,4
23,3065505913,4452822389332,1783476195645769268,4
24,3101472233,4452822461269,1783476195645841237,4
25,3201555425,4452822509269,1783476195645889205,4
26,3233492233,4453031201959,1783476195854581991,4
27,3269505233,4453031460009,1783476195854840009,4
28,3301451201,4453031563082,1783476195854943114,4
29,3333449169,4453031653994,1783476195855033994,4
30,3433494657,4453045694517,1783476195869074517,4
31,3469464817,4453245895557,1783476196069275557,4
32,3501461137,4453246190183,1783476196069570215,4
33,3533526137,4453246295048,1783476196069675048,4
34,3633461009,4453246384296,1783476196069764328,4
35,3665458201,4453446611062,1783476196269991062,4
36,3701448393,4453446944152,1783476196270324184,4
37,3733477233,4453447055289,1783476196270435289,4
38,3765450233,4453447152954,1783476196270532954,4
39,3865465265,4453647378664,1783476196470758664,4
40,3901457457,4453647704394,1783476196471084426,4
41,3933467137,4453647813515,1783476196471193515,4
42,3965457913,4453647906380,1783476196471286380,4
43,4065459401,4453848166937,1783476196671546937,4
44,4101475073,4453848498108,1783476196671878108,4
45,4133446977,4453848606205,1783476196671986205,4
46,4165457393,4453848698205,1783476196672078205,4
47,4265449921,4454048916619,1783476196872296651,4
48,4297469105,4454049245773,1783476196872625805,4
49,4333435553,4454049354734,1783476196872734766,4
50,4365459977,4454049444783,1783476196872824815,4
51,4465464009,4454249641691,1783476197073021723,4
52,4497463945,4454249945245,1783476197073325245,4
53,4533463233,4454250055646,1783476197073435678,4
54,4565450753,4454250147807,1783476197073527807,4
55,4665472657,4454450369353,1783476197273749385,4
56,4697475977,4454450702795,1783476197274082827,4
57,4733450785,4454450808716,1783476197274188716,4
58,4765449169,4454450897997,1783476197274277997,4
59,4865451945,4454651088374,1783476197474468374,4
60,4897464849,4454651388857,1783476197474768857,4
61,4933452041,4454651496026,1783476197474876026,4
62,4965455041,4454651590010,1783476197474970010,4
63,5065481753,4454851810340,1783476197675190340,4
64,5097474137,4454852178535,1783476197675558535,4
65,5131580009,4454852286152,1783476197675666152,4
66,5165450785,4454852377673,1783476197675757705,4
67,5265440785,4455052582866,1783476197875962930,4
68,5297514009,4455052881013,1783476197876261013,4
69,5331562849,4455052987349,1783476197876367349,4
70,5365457105,4455053079574,1783476197876459606,4
71,5465529233,4455253299583,1783476198076679583,4
72,5499583137,4455253624673,1783476198077004705,4
73,5531577265,4455253731554,1783476198077111586,4
74,5565450881,4455253821987,1783476198077201987,4
75,5665449049,4455279152450,1783476198102532450,4
76,5699584433,4455311410709,1783476198134790741,4
77,5731584657,4455343546856,1783476198166926856,4
78,5765456361,4455377125445,1783476198200505477,4
79,5865445497,4455577344523,1783476198400724523,4
80,5899590105,4455577656878,1783476198401036878,4
81,5931593041,4455577790095,1783476198401170127,4
82,5967605009,4455579237370,1783476198402617370,4
83,5999575105,4455779455488,1783476198602835520,4
84,6031586657,4455779788035,1783476198603168035,4
85,6067603201,4455779893507,1783476198603273507,4
86,6099586137,4455779983844,1783476198603363844,4
87,6199615945,4455980211850,1783476198803591882,4
88,6231595233,4455980528205,1783476198803908205,4
89,6267598009,4455980635630,1783476198804015662,4
90,6299604849,4455980730222,1783476198804110222,4
91,6399626881,4456180952373,1783476199004332373,4
92,6431621137,4456181261591,1783476199004641591,4
93,6467582977,4456181366904,1783476199004746936,4
94,6499605721,4456181458009,1783476199004838009,4
95,6599605137,4456381687292,1783476199205067292,4
96,6635591817,4456381983966,1783476199205363966,4
97,6667591073,4456382092031,1783476199205472063,4
98,6699603881,4456382183679,1783476199205563679,4
99,6799625169,4456582393090,1783476199405773090,4
100,6835620105,4456582711621,1783476199406091621,4
101,6867638849,4456582817413,1783476199406197445,4
102,6899626497,4456582909510,1783476199406289510,4
103,6999644913,4456783126793,1783476199606506857,4
104,7035646977,4456783446859,1783476199606826859,4
105,7067668913,4456783551340,1783476199606931372,4
106,7103658913,4456783643789,1783476199607023789,4
107,7203674881,4456983851344,1783476199807231376,4
108,7235805817,4456984165074,1783476199807545074,4
109,7267687913,4456984273555,1783476199807653555,4
110,7303688105,4456984365395,1783476199807745395,4
111,7403708329,4457193045974,1783476200016425974,4
112,7435742009,4457193312824,1783476200016692856,4
113,7467716465,4457193415129,1783476200016795129,4
114,7503704721,4457193503225,1783476200016883225,4
115,7603759137,4457402171384,1783476200225551384,4
116,7635754785,4457402406426,1783476200225786426,4
117,7671742721,4457402510363,1783476200225890395,4
118,7703750073,4457402599035,1783476200225979067,4
119,7803759105,4457414596309,1783476200237976309,4
120,7835768041,4457446966953,1783476200270346953,4
121,7871773240,4457491849338,1783476200315229370,4
122,7903852913,4457514515204,1783476200337895236,4
123,8003808881,4457714738787,1783476200538118819,4
124,8035810169,4457715086374,1783476200538466406,4
125,8071791849,4457715193831,1783476200538573863,4
126,8103829073,4457715287751,1783476200538667783,4
127,8135809337,4457915518023,1783476200738898023,4
128,8171821913,4457915840713,1783476200739220745,4
129,8203839041,4457915945994,1783476200739326026,4
130,8239840009,4457916071499,1783476200739451691,4
131,8339843849,4458116292202,1783476200939672234,4
132,8371848881,4458116652077,1783476200940032077,4
133,8403864041,4458116760814,1783476200940140846,4
134,8439861169,4458116852078,1783476200940232078,4
135,8539871913,4458317083852,1783476201140463884,4
136,8571900945,4458317404398,1783476201140784430,4
137,8603883945,4458317508015,1783476201140888015,4
138,8639877137,4458317599312,1783476201140979344,4
139,8739890849,4458517827435,1783476201341207499,4
140,8771909369,4458518164782,1783476201341544814,4
141,8807892753,4458518273039,1783476201341653071,4
142,8839893041,4458518363535,1783476201341743535,4
143,8939898105,4458718591499,1783476201541971531,4
144,8971909913,4458718931438,1783476201542311470,4
145,9007894009,4458719039631,1783476201542419663,4
146,9039897105,4458719131568,1783476201542511568,4
147,9139905105,4458919365836,1783476201742745868,4
148,9171895881,4458919684398,1783476201743064430,4
149,9207886753,4458919790895,1783476201743170927,4
150,9239928041,4458919883311,1783476201743263311,4
151,9339918177,4459120089099,1783476201943469035,4
152,9371901945,4459120313293,1783476201943693229,4
153,9407918945,4459120372845,1783476201943752813,4
154,9439912913,4459120420750,1783476201943800718,4
155,9539909169,4459320642951,1783476202144022951,4
156,9575928881,4459320982314,1783476202144362314,4
157,9607897489,4459321091211,1783476202144471211,4
158,9639899137,4459321216140,1783476202144596140,4
159,9739940369,4459529904771,1783476202353284803,4
160,9775897073,4459530157605,1783476202353537605,4
161,9807912169,4459530260774,1783476202353640806,4
162,9839898593,4459530352199,1783476202353732199,4
163,9939899073,4459730575519,1783476202553955551,4
164,9975901201,4459730913122,1783476202554293122,4
165,10007920265,4459731024898,1783476202554404930,4
166,10043908073,4459731117699,1783476202554497699,4
167,10143207009,4459931332796,1783476202754712796,4
168,10175902233,4459931641118,1783476202755021150,4
169,10207903721,4459931731134,1783476202755111134,4
170,10243904913,4459931807775,1783476202755187743,4
171,10343904073,4460131992247,1783476202955372215,4
172,10375921297,4460132288121,1783476202955668153,4
173,10407934849,4460132390874,1783476202955770906,4
174,10443926009,4460132482235,1783476202955862235,4
175,10543903945,4460332707825,1783476203156087825,4
176,10575949297,4460333040787,1783476203156420819,4
177,10611927329,4460333145108,1783476203156525140,4
178,10643909073,4460333237109,1783476203156617109,4
179,10743910497,4460533415465,1783476203356795433,4
180,10775907849,4460533635179,1783476203357015147,4
181,10811906689,4460533688619,1783476203357068555,4
182,10843923009,4460533729740,1783476203357109676,4
183,10943918657,4460733951617,1783476203557331649,4
184,10975927593,4460734278851,1783476203557658883,4
185,11011907497,4460734382500,1783476203557762500,4
186,11043944945,4460734471877,1783476203557851877,4
187,11143915465,4460934691738,1783476203758071770,4
188,11179920393,4460935004668,1783476203758384668,4
189,11211910401,4460935105533,1783476203758485533,4
190,11243926041,4460935194045,1783476203758574045,4
191,11343184233,4460960337401,1783476203783717433,4
192,11379276785,4460990170615,1783476203813550647,4
193,11411181977,4461021995621,1783476203845375653,4
194,11443182753,4461055909185,1783476203879289185,4
195,11543924529,4461256129141,1783476204079509109,4
196,11579903529,4461256368727,1783476204079748695,4
197,11611925881,4461256430551,1783476204079810519,4
198,11643955105,4461256480472,1783476204079860440,4
199,11679910009,4461456711625,1783476204280091625,4
