cam,seq,pts_ns,mono_ns,real_ns
0,0,619585593,4450058388274,1783476192881768306
0,2,663529721,4450205943099,1783476193029323067
0,3,695542817,4450213407636,1783476193036787636
0,4,727539785,4450215920647,1783476193039300615
0,6,795543273,4450226367575,1783476193049747543
0,7,827570105,4450408707399,1783476193232087367
1,0,1186823113,4450597616872,1783476193420996872
0,8,859546233,4450616426168,1783476193439806136
0,9,895530329,4450619410319,1783476193442790287
0,13,1027554297,4450622285829,1783476193445665765
1,2,1186834329,4450658744603,1783476193482124571
1,3,1202801329,4450662189077,1783476193485569013
0,19,1227552681,4450662234326,1783476193485614294
1,4,1234812425,4450664908330,1783476193488288330
1,5,1270803009,4450693472516,1783476193516852484
0,20,1263531233,4450825361395,1783476193648741395
1,6,1294812329,4450826598236,1783476193649978204
0,21,1295532977,4450828423882,1783476193651803882
0,22,1327545553,4450831409441,1783476193654789409
0,25,1431538713,4450862307693,1783476193685687661
0,26,1463533913,4451034167692,1783476193857547692
1,7,1326812009,4451035144244,1783476193858524244
2,0,1754278145,4451165093780,1783476193988473780
2,2,1754290681,4451217917318,1783476194041297286
1,8,1358814233,4451219337457,1783476194042717425
0,27,1495553585,4451220417977,1783476194043797945
2,3,1766188265,4451221375233,1783476194044755169
1,10,1426805393,4451222494985,1783476194045874953
0,28,1527549553,4451223487057,1783476194046867025
1,16,1626830521,4451225610721,1783476194048990657
0,31,1627551553,4451226663721,1783476194050043689
2,4,1798187521,4451228832729,1783476194052212697
2,5,1834184329,4451260863341,1783476194084243341
1,22,1826805361,4451261493618,1783476194084873586
0,37,1827548297,4451262243288,1783476194085623288
1,23,1862790201,4451293530438,1783476194116910438
1,24,1894837753,4451329474232,1783476194152854264
0,38,1863619977,4451342625980,1783476194166005980
1,25,1930789817,4451361471595,1783476194184851595
1,26,1962790881,4451451203799,1783476194274583799
0,39,1895538881,4451452163934,1783476194275543934
2,6,1862177977,4451453203910,1783476194276583910
0,40,1927553521,4451455094644,1783476194278474580
0,41,1963540009,4451457604135,1783476194280984167
2,7,1894202785,4451660258831,1783476194483638831
0,44,2063540521,4451661193174,1783476194484573142
1,27,1994839585,4451662177117,1783476194485557053
2,8,1926186977,4451663250437,1783476194486630437
2,12,2062178913,4451666166876,1783476194489546876
3,0,2321458369,4451736207281,1783476194559587281
3,3,2333437041,4451793733127,1783476194617113127
2,18,2262214393,4451795099697,1783476194618479633
1,28,2030791105,4451796126745,1783476194619506681
0,45,2095553297,4451797209185,1783476194620589153
2,19,2294197425,4451798218313,1783476194621598249
3,4,2365444233,4451799339314,1783476194622719346
1,29,2062790817,4451800366553,1783476194623746521
0,46,2127553041,4451801385857,1783476194624765825
2,20,2330171009,4451802479370,1783476194625859370
1,35,2262824209,4451813883744,1783476194637263712
0,50,2263542849,4451815986448,1783476194639366448
3,5,2401437913,4451828197741,1783476194651577773
2,22,2394212265,4451828937843,1783476194652317843
1,39,2394848817,4451842599739,1783476194665979739
0,54,2395565233,4451843567234,1783476194666947266
3,6,2433510625,4451860158945,1783476194683538977
1,40,2430890817,4451868886147,1783476194692266179
0,55,2427563457,4451869876747,1783476194693256747
2,23,2430262201,4451870948659,1783476194694328595
0,56,2463558817,4452077643833,1783476194901023865
1,41,2462812785,4452078730145,1783476194902110177
2,24,2462206201,4452079656456,1783476194903036488
3,7,2465434169,4452080744272,1783476194904124304
0,57,2495559201,4452081740376,1783476194905120408
1,42,2494847105,4452082777856,1783476194906157824
2,25,2494203105,4452083862664,1783476194907242696
3,8,2497461977,4452084951889,1783476194908331889
0,58,2527560169,4452085982776,1783476194909362776
1,43,2526815169,4452087007648,1783476194910387616
2,26,2530185785,4452088086920,1783476194911466920
3,9,2533431009,4452088982159,1783476194912362159
3,14,2697448625,4452128248570,1783476194951628570
2,31,2694198817,4452128928095,1783476194952308095
1,48,2694842265,4452129524772,1783476194952904772
0,63,2695542009,4452130286122,1783476194953666154
3,15,2733446401,4452160146605,1783476194983526605
2,32,2730177233,4452164892817,1783476194988272817
1,49,2730799041,4452165501046,1783476194988881046
0,64,2727564105,4452166217115,1783476194989597179
3,16,2765442785,4452196167199,1783476195019547199
2,33,2762195977,4452196870469,1783476195020250501
1,50,2762816337,4452197517001,1783476195020897001
0,65,2763556201,4452198217583,1783476195021597615
0,66,2795545849,4452230293922,1783476195053673922
1,51,2794836009,4452233512123,1783476195056892155
0,67,2827566945,4452262244661,1783476195085624661
1,52,2830800785,4452265532974,1783476195088912974
0,68,2863550233,4452380118133,1783476195203498165
2,34,2798191137,4452381058300,1783476195204438300
3,17,2797466721,4452382329413,1783476195205709413
1,53,2862833233,4452383212812,1783476195206592844
0,69,2895549465,4452384266164,1783476195207646196
2,35,2830175169,4452385275068,1783476195208655100
3,18,2833448105,4452386352420,1783476195209732420
1,54,2894851137,4452387377772,1783476195210757804
0,70,2927562913,4452388439732,1783476195211819732
2,36,2862191137,4452389515164,1783476195212895196
3,19,2865458137,4452390582692,1783476195213962724
1,55,2930801137,4452391536875,1783476195214916843
3,23,3001447233,4452428203682,1783476195251583682
2,40,2998176169,4452428921127,1783476195252301127
1,57,2994838785,4452589354442,1783476195412734474
2,41,3030191169,4452590270769,1783476195413650769
0,72,2995554912,4452591556251,1783476195414936251
3,24,3033449201,4452592357697,1783476195415737697
1,58,3030801913,4452593404873,1783476195416784905
2,42,3062192233,4452594442513,1783476195417822513
0,73,3027563977,4452595516985,1783476195418897017
3,25,3065505913,4452596557985,1783476195419938017
1,59,3062818105,4452597620713,1783476195421000745
2,43,3098182137,4452598659185,1783476195422039185
0,74,3063550849,4452599717753,1783476195423097753
3,26,3101472233,4452600741889,1783476195424121825
3,29,3201555425,4452628335858,1783476195451715890
2,46,3198170401,4452632946293,1783476195456326325
1,63,3194832169,4452633524282,1783476195456904314
0,78,3195567169,4452634233375,1783476195457613375
3,30,3233492233,4452664154530,1783476195487534530
2,47,3230182265,4452664893000,1783476195488273000
1,64,3226825977,4452665511085,1783476195488891085
0,79,3227577201,4452666227506,1783476195489607538
0,80,3263556617,4452823031577,1783476195646411545
1,65,3262856265,4452824121058,1783476195647501058
2,48,3262214009,4452825268266,1783476195648648298
3,31,3269505233,4452826201905,1783476195649581905
0,81,3295553489,4452827150393,1783476195650530361
1,66,3294837105,4452828262401,1783476195651642401
2,49,3298179201,4452829357705,1783476195652737737
3,32,3301451201,4452830606739,1783476195653986771
0,82,3327599689,4452831605114,1783476195654985114
1,67,3326853361,4452832464033,1783476195655844001
2,50,3330173105,4452833538633,1783476195656918633
3,33,3333449169,4452834519153,1783476195657899185
3,36,3433494657,4452864283219,1783476195687663219
2,53,3430191105,4452864893687,1783476195688273687
1,70,3426824297,4452865587005,1783476195688967005
0,85,3427566721,4452866359235,1783476195689739235
1,71,3462873105,4453033171222,1783476195856551222
0,86,3463598817,4453034156701,1783476195857536733
2,54,3462382009,4453035225701,1783476195858605701
3,37,3469464817,4453036328174,1783476195859708174
1,72,3494840169,4453037296085,1783476195860676085
0,87,3495556169,4453038321597,1783476195861701629
2,55,3498299265,4453039389029,1783476195862769029
3,38,3501461137,4453040463661,1783476195863843693
1,73,3530809753,4453041509941,1783476195864889973
0,88,3527578361,4453042557821,1783476195865937853
2,56,3530185137,4453043590469,1783476195866970469
3,39,3533526137,4453044636333,1783476195868016269
3,42,3633461009,4453064274786,1783476195887654818
2,59,3630223689,4453064940583,1783476195888320583
1,76,3630813561,4453065562220,1783476195888942284
0,91,3627598201,4453066286001,1783476195889666033
3,43,3665458201,4453096178004,1783476195919558004
2,60,3662192945,4453096893242,1783476195920273242
1,77,3662805233,4453097539199,1783476195920919199
0,92,3663551137,4453102241602,1783476195925621602
2,61,3698181233,4453247792499,1783476196071172499
0,93,3695556041,4453248886875,1783476196072266875
1,78,3694841329,4453249820834,1783476196073200930
3,44,3701448393,4453250895435,1783476196074275435
2,62,3730180041,4453251966867,1783476196075346867
0,94,3727570945,4453253020411,1783476196076400411
1,79,3730807201,4453254075939,1783476196077455939
3,45,3733477233,4453255128459,1783476196078508459
2,63,3762208689,4453256217171,1783476196079597171
0,95,3763559105,4453257215578,1783476196080595610
1,80,3762827169,4453258258114,1783476196081638082
3,46,3765450233,4453259228010,1783476196082607946
3,49,3865465265,4453300165440,1783476196123545408
2,66,3862229137,4453300960390,1783476196124340422
1,83,3862819881,4453301567499,1783476196124947531
0,98,3863551073,4453302297264,1783476196125677264
0,99,3895559137,4453448694758,1783476196272074758
1,84,3894851233,4453449652045,1783476196273032045
2,67,3894193233,4453450781526,1783476196274161558
3,50,3901457457,4453451749117,1783476196275129149
0,100,3927572137,4453452818245,1783476196276198277
1,85,3926826233,4453453854957,1783476196277234957
2,68,3930181817,4453454927509,1783476196278307541
