cam,pts_ns,mono_ns,real_ns
0,619585593,4450205732793,1783476193029112793
0,663529721,4450213296083,1783476193036676083
0,695542817,4450215829702,1783476193039209670
0,727539785,4450218505083,1783476193041885083
0,795543273,4450408535269,1783476193231915269
0,827570105,4450616260119,1783476193439640087
0,859546233,4450619242509,1783476193442622445
0,895530329,4450622078691,1783476193445458659
0,1027554297,4450624875544,1783476193448255480
1,1186823113,4450658579578,1783476193481959546
1,1186834329,4450662095541,1783476193485475477
1,1202801329,4450664832777,1783476193488212745
1,1234812425,4450667538334,1783476193490918302
0,1227552681,4450825177393,1783476193648557425
1,1270803009,4450826225625,1783476193649605625
0,1263531233,4450828187080,1783476193651567144
0,1295532977,4450831352448,1783476193654732384
0,1327545553,4450833792243,1783476193657172275
0,1431538713,4451033978251,1783476193857358283
1,1294812329,4451035023283,1783476193858403315
2,1754278145,4451217774053,1783476194041154021
1,1326812009,4451219231568,1783476194042611536
0,1463533913,4451220300472,1783476194043680440
2,1754290681,4451221318432,1783476194044698368
1,1358814233,4451222379688,1783476194045759624
0,1495553585,4451223430416,1783476194046810352
2,1766188265,4451224499576,1783476194047879544
1,1426805393,4451225534944,1783476194048914880
0,1527549553,4451226599656,1783476194049979624
1,1626830521,4451227770929,1783476194051150897
2,1798187521,4451231507246,1783476194054887214
0,1627551553,4451242043358,1783476194065423326
1,1826805361,4451264542953,1783476194087922985
1,1862790201,4451296761087,1783476194120141119
1,1894837753,4451332455631,1783476194155835663
0,1827548297,4451342486203,1783476194165866235
1,1930789817,4451451032341,1783476194274412341
0,1863619977,4451452059837,1783476194275439837
2,1834184329,4451453081541,1783476194276461573
0,1895538881,4451455033940,1783476194278413908
0,1927553521,4451457503143,1783476194280883207
2,1862177977,4451660059597,1783476194483439597
0,1963540009,4451661080725,1783476194484460693
1,1962790881,4451662107933,1783476194485487901
2,1894202785,4451663167013,1783476194486546981
2,1926186977,4451666022011,1783476194489402011
3,2321458369,4451793307524,1783476194616687556
2,2062178913,4451794982896,1783476194618362832
1,1994839585,4451796052089,1783476194619432121
0,2063540521,4451797127873,1783476194620507841
2,2262214393,4451798138313,1783476194621518249
3,2333437041,4451799217169,1783476194622597169
1,2030791105,4451800258137,1783476194623638105
0,2095553297,4451801300321,1783476194624680257
2,2294197425,4451802381193,1783476194625761161
3,2365444233,4451803470001,1783476194626850065
1,2062790817,4451813692479,1783476194637072479
2,2330171009,4451814703591,1783476194638083591
0,2127553041,4451815793551,1783476194639173583
3,2401437913,4451832186412,1783476194655566444
1,2262824209,4451842383001,1783476194665763001
0,2263542849,4451843426625,1783476194666806625
1,2394848817,4451868729474,1783476194692109474
0,2395565233,4451869770442,1783476194693150442
2,2394212265,4451870851762,1783476194694231698
0,2427563457,4452077454135,1783476194900834167
1,2430890817,4452078571296,1783476194901951296
2,2430262201,4452079540807,1783476194902920807
3,2433510625,4452080605167,1783476194903985167
0,2463558817,4452081643063,1783476194905023063
1,2462812785,4452082690303,1783476194906070271
2,2462206201,4452083754631,1783476194907134663
3,2465434169,4452084834352,1783476194908214384
0,2495559201,4452085875704,1783476194909255704
1,2494847105,4452086932544,1783476194910312512
2,2494203105,4452087955655,1783476194911335687
3,2497461977,4452088910927,1783476194912290959
0,2527560169,4452089796693,1783476194913176693
1,2526815169,4452090466299,1783476194913846267
2,2530185785,4452091170784,1783476194914550880
3,2533431009,4452091809157,1783476194915189157
1,2694842265,4452132599835,1783476194955979867
0,2695542009,4452133653411,1783476194957033443
2,2694198817,4452135314736,1783476194958694768
3,2697448625,4452136378424,1783476194959758424
1,2730799041,4452168112522,1783476194991492522
0,2727564105,4452169336403,1783476194992716403
2,2730177233,4452170944607,1783476194994324799
3,2733446401,4452172030184,1783476194995410184
1,2762816337,4452200554880,1783476195023934880
0,2763556201,4452201606792,1783476195024986792
0,2795545849,4452233642844,1783476195057022844
1,2794836009,4452236730163,1783476195060110163
0,2827566945,4452379905203,1783476195203285235
2,2762195977,4452380942107,1783476195204322139
3,2765442785,4452382089892,1783476195205469924
1,2830800785,4452383115083,1783476195206495147
0,2863550233,4452384141299,1783476195207521299
2,2798191137,4452385157467,1783476195208537467
3,2797466721,4452386229571,1783476195209609699
1,2862833233,4452387263243,1783476195210643275
0,2895549465,4452388323731,1783476195211703731
2,2830175169,4452389388347,1783476195212768411
3,2833448105,4452390471235,1783476195213851267
1,2894851137,4452391456779,1783476195214836747
2,2862191137,4452392505395,1783476195215885427
3,2865458137,4452393457562,1783476195216837594
1,2930801137,4452589107144,1783476195412487176
2,2998176169,4452590143920,1783476195413523920
0,2927562913,4452591197720,1783476195414577720
3,3001447233,4452592238976,1783476195415619200
1,2994838785,4452593297960,1783476195416678024
2,3030191169,4452594355920,1783476195417735920
0,2995554912,4452595408152,1783476195418788152
3,3033449201,4452596457408,1783476195419837440
1,3030801913,4452597517000,1783476195420897000
2,3062192233,4452598572112,1783476195421952144
0,3027563977,4452599641496,1783476195423021528
3,3065505913,4452600655488,1783476195424035424
1,3062818105,4452601629191,1783476195425009223
2,3098182137,4452602484494,1783476195425864494
0,3063550849,4452603172659,1783476195426552659
3,3101472233,4452603844184,1783476195427224216
3,3201555425,4452631741420,1783476195455121420
2,3198170401,4452636073453,1783476195459453453
1,3194832169,4452637063989,1783476195460444021
0,3195567169,4452638117373,1783476195461497373
0,3227577201,4452822879832,1783476195646259864
1,3226825977,4452823945440,1783476195647325472
2,3230182265,4452825133801,1783476195648513833
3,3233492233,4452826065744,1783476195649445744
0,3263556617,4452827073304,1783476195650453240
1,3262856265,4452828161728,1783476195651541728
2,3262214009,4452829225544,1783476195652605544
3,3269505233,4452830258544,1783476195653638544
0,3295553489,4452831421561,1783476195654801593
1,3294837105,4452832375328,1783476195655755328
2,3298179201,4452833415272,1783476195656795272
3,3301451201,4452834423344,1783476195657803376
0,3327599689,4452835321847,1783476195658701847
1,3326853361,4452836045276,1783476195659425308
2,3330173105,4452836700065,1783476195660080097
