batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,1,0,586187898,1783388933653404000
1,1,1,686187897,1783388933663208000
2,1,2,886187895,1783388934149851000
3,0,0,1154638834,1783388934118146000
4,0,1,1321305499,1783388934584796000
4,1,3,1319521224,1783388934642967000
5,0,2,1521305497,1783388934784615000
5,1,4,1519521222,1783388934842650000
5,3,0,1723108058,1783388934657504000
6,0,3,1721305495,1783388934984991000
6,1,5,1719521220,1783388935043146000
6,3,1,1756441391,1783388934660002000
7,0,4,1921305493,1783388935185721000
7,1,6,1919521218,1783388935252269000
7,3,2,1923108056,1783388935184666000
8,0,5,2054638825,1783388935287728000
8,1,7,2052854550,1783388935378543000
8,2,0,2292480154,1783388935254059000
8,3,3,2056441388,1783388935286645000
9,0,6,2087972158,1783388935354027000
9,1,8,2086187883,1783388935410883000
9,2,1,2325813487,1783388935257163000
9,3,4,2089774721,1783388935352996000
10,0,7,2121305491,1783388935388685000
10,1,9,2119521216,1783388935442498000
10,2,2,2359146820,1783388935260880000
10,3,5,2123108054,1783388935389763000
11,0,8,2154638824,1783388935423907000
11,1,10,2152854549,1783388935478904000
11,2,3,2392480153,1783388935282336000
11,3,6,2156441387,1783388935421544000
12,0,9,2187972157,1783388935428876000
12,1,11,2186187882,1783388935511202000
12,2,4,2425813486,1783388935422587000
12,3,7,2189774720,1783388935424668000
13,0,10,2221305490,1783388935452650000
13,1,12,2219521215,1783388935546722000
13,2,5,2459146819,1783388935454762000
13,3,8,2223108053,1783388935453689000
14,0,11,2254638823,1783388935489996000
14,1,13,2252854548,1783388935579031000
14,2,6,2492480152,1783388935491118000
14,3,9,2256441386,1783388935492130000
15,0,12,2287972156,1783388935523825000
15,1,14,2286187881,1783388935610616000
15,2,7,2525813485,1783388935521730000
15,3,10,2289774719,1783388935523125000
16,0,13,2321305489,1783388935556943000
16,1,15,2319521214,1783388935646563000
16,2,8,2559146818,1783388935559024000
16,3,11,2323108052,1783388935557977000
17,0,14,2354638822,1783388935590368000
17,1,16,2352854547,1783388935678766000
17,2,9,2592480151,1783388935591412000
17,3,12,2356441385,1783388935589334000
18,0,15,2387972155,1783388935622160000
18,1,17,2386187880,1783388935710564000
18,2,10,2625813484,1783388935623336000
18,3,13,2389774718,1783388935621154000
19,0,16,2421305488,1783388935656887000
19,1,18,2419521213,1783388935742879000
19,2,11,2659146817,1783388935658991000
19,3,14,2423108051,1783388935657857000
20,0,17,2454638821,1783388935690829000
20,1,19,2452854546,1783388935778524000
20,2,12,2692480150,1783388935689182000
20,3,15,2456441384,1783388935692437000
21,0,18,2487972154,1783388935721818000
21,1,20,2486187879,1783388935811537000
21,2,13,2725813483,1783388935722920000
21,3,16,2489774717,1783388935720788000
22,0,19,2521305487,1783388935754260000
22,1,21,2519521212,1783388935842814000
22,2,14,2759146816,1783388935753199000
22,3,17,2523108050,1783388935755280000
23,0,20,2554638820,1783388935788791000
23,1,22,2552854545,1783388935878553000
23,2,15,2792480149,1783388935789812000
23,3,18,2556441383,1783388935790917000
24,0,21,2587972153,1783388935822927000
24,1,23,2586187878,1783388935910817000
24,2,16,2825813482,1783388935824008000
24,3,19,2589774716,1783388935821895000
25,0,22,2621305486,1783388935854184000
25,1,24,2619521211,1783388935946667000
25,2,17,2859146815,1783388935855273000
25,3,20,2623108049,1783388935853155000
26,0,23,2654638819,1783388935890930000
26,1,25,2652854544,1783388935978673000
26,2,18,2892480148,1783388935889842000
26,3,21,2656441382,1783388935888823000
27,0,24,2687972152,1783388935922958000
27,1,26,2686187877,1783388936010905000
27,2,19,2925813481,1783388935921704000
27,3,22,2689774715,1783388935924495000
28,0,25,2721305485,1783388935959046000
28,1,27,2719521210,1783388936046503000
28,2,20,2959146814,1783388935958034000
28,3,23,2723108048,1783388935956967000
29,0,26,2754638818,1783388935991020000
29,1,28,2752854543,1783388936078953000
29,2,21,2992480147,1783388935989929000
29,3,24,2756441381,1783388935988971000
30,0,27,2787972151,1783388936023382000
30,1,29,2786187876,1783388936110705000
30,2,22,3025813480,1783388936022299000
30,3,25,2789774714,1783388936021363000
31,0,28,2821305484,1783388936058791000
31,1,30,2819521209,1783388936146774000
31,2,23,3059146813,1783388936056638000
31,3,26,2823108047,1783388936057685000
32,0,29,2854638817,1783388936090196000
32,1,31,2852854542,1783388936181684000
32,2,24,3092480146,1783388936091282000
32,3,27,2856441380,1783388936089160000
33,0,30,2887972150,1783388936121521000
33,1,32,2886187875,1783388936214684000
33,2,25,3125813479,1783388936123218000
33,3,28,2889774713,1783388936122166000
34,0,31,2921305483,1783388936158049000
34,1,33,2919521208,1783388936247037000
34,2,26,3159146812,1783388936157101000
34,3,29,2923108046,1783388936159116000
35,0,32,2954638816,1783388936191974000
35,1,34,2952854541,1783388936278673000
35,2,27,3192480145,1783388936193326000
35,3,30,2956441379,1783388936194152000
36,0,33,2987972149,1783388936225088000
36,1,35,2986187874,1783388936314665000
36,2,28,3225813478,1783388936227037000
36,3,31,2989774712,1783388936226186000
37,0,34,3021305482,1783388936257201000
37,1,36,3019521207,1783388936346859000
37,2,29,3259146811,1783388936259278000
37,3,32,3023108045,1783388936258233000
38,0,35,3054638815,1783388936291602000
38,1,37,3052854540,1783388936378802000
38,2,30,3292480144,1783388936290466000
38,3,33,3056441378,1783388936289398000
39,0,36,3087972148,1783388936324843000
39,1,38,3086187873,1783388936410953000
39,2,31,3325813477,1783388936325863000
39,3,34,3089774711,1783388936326923000
40,0,37,3121305481,1783388936358361000
40,1,39,3119521206,1783388936446926000
40,2,32,3359146810,1783388936357224000
40,3,35,3123108044,1783388936359390000
41,0,38,3154638814,1783388936388989000
41,1,40,3152854539,1783388936478888000
41,2,33,3392480143,1783388936390018000
41,3,36,3156441377,1783388936391098000
42,0,39,3187972147,1783388936421153000
42,1,41,3186187872,1783388936515970000
42,2,34,3425813476,1783388936422192000
42,3,37,3189774710,1783388936423268000
43,0,40,3221305480,1783388936457508000
43,1,42,3219521205,1783388936546663000
43,2,35,3459146809,1783388936458511000
43,3,38,3223108043,1783388936459568000
44,0,41,3254638813,1783388936489117000
44,1,43,3252854538,1783388936578598000
44,2,36,3492480142,1783388936490187000
44,3,39,3256441376,1783388936491167000
45,0,42,3287972146,1783388936526299000
45,1,44,3286187871,1783388936614731000
45,2,37,3525813475,1783388936527430000
45,3,40,3289774709,1783388936528378000
46,0,43,3321305479,1783388936556799000
46,1,45,3319521204,1783388936646790000
46,2,38,3559146808,1783388936558903000
46,3,41,3323108042,1783388936557880000
47,0,44,3354638812,1783388936589827000
47,1,46,3352854537,1783388936682714000
47,2,39,3592480141,1783388936588819000
47,3,42,3356441375,1783388936590895000
48,0,45,3387972145,1783388936624978000
48,1,47,3386187870,1783388936714608000
48,2,40,3625813474,1783388936627088000
48,3,43,3389774708,1783388936626053000
49,0,46,3421305478,1783388936656914000
49,1,48,3419521203,1783388936746615000
49,2,41,3659146807,1783388936659007000
49,3,44,3423108041,1783388936657956000
50,0,47,3454638811,1783388936694305000
50,1,49,3452854536,1783388936778740000
50,2,42,3692480140,1783388936693724000
50,3,45,3456441374,1783388936695361000
51,0,48,3487972144,1783388936724865000
51,1,50,3486187869,1783388936814741000
51,2,43,3725813473,1783388936725915000
51,3,46,3489774707,1783388936726936000
52,0,49,3521305477,1783388936757632000
52,1,51,3519521202,1783388936846974000
52,2,44,3759146806,1783388936756568000
52,3,47,3523108040,1783388936758695000
53,0,50,3554638810,1783388936789887000
53,1,52,3552854535,1783388936882607000
53,2,45,3792480139,1783388936790947000
53,3,48,3556441373,1783388936788849000
54,0,51,3587972143,1783388936824841000
54,1,53,3586187868,1783388936914658000
54,2,46,3825813472,1783388936826949000
