batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,586187898,353323960898671,1783388933853624312,1
1,686187897,353324169703835,1783388934062429476,1
2,886187895,353324378474160,1783388934271199865,1
3,1154638834,353324587087529,1783388934479813138,1
4,1321305499,353324788367995,1783388934681093636,2
5,1723108058,353324990768085,1783388934883493694,3
6,1756441391,353325192327398,1783388935085053039,3
7,1923108056,353325392339390,1783388935285065031,3
8,2292480154,353325526958185,1783388935419683794,4
9,2325813487,353325558368347,1783388935451093956,4
10,2359146820,353325595601555,1783388935488327164,4
11,2392480153,353325627237919,1783388935519963528,4
12,2425813486,353325662529920,1783388935555255529,4
13,2459146819,353325694998715,1783388935587724356,4
14,2492480152,353325726508811,1783388935619234452,4
15,2525813485,353325762497725,1783388935655223366,4
16,2559146818,353325794741341,1783388935687466950,4
17,2592480151,353325826513255,1783388935719238896,4
18,2625813484,353325858825190,1783388935751550799,4
19,2659146817,353325894446687,1783388935787172328,4
20,2692480150,353325927461519,1783388935820187128,4
21,2725813483,353325958729860,1783388935851455501,4
22,2759146816,353325994472635,1783388935887198276,4
23,2792480149,353326026724635,1783388935919450244,4
24,2825813482,353326062572624,1783388935955298265,4
25,2859146815,353326094576565,1783388935987302206,4
26,2892480148,353326126814838,1783388936019540447,4
27,2925813481,353326162356308,1783388936055081949,4
28,2959146814,353326194862128,1783388936087587737,4
29,2992480147,353326226693435,1783388936119419076,4
30,3025813480,353326262641584,1783388936155367225,4
31,3059146813,353326297581818,1783388936190307459,4
32,3092480146,353326330535245,1783388936223260854,4
33,3125813479,353326362914348,1783388936255639989,4
34,3159146812,353326394810165,1783388936287535774,4
35,3192480145,353326430452656,1783388936323178297,4
36,3225813478,353326462832400,1783388936355558041,4
37,3259146811,353326494676090,1783388936387401731,4
38,3292480144,353326526836894,1783388936419562503,4
39,3325813477,353326563032078,1783388936455757687,4
40,3359146810,353326594758106,1783388936487483747,4
41,3392480143,353326631943094,1783388936524668735,4
42,3425813476,353326662512282,1783388936555237891,4
43,3459146809,353326694466978,1783388936587192587,4
44,3492480142,353326730610419,1783388936623336060,4
45,3525813475,353326762653177,1783388936655378786,4
46,3559146808,353326798667789,1783388936691393398,4
47,3592480141,353326830482776,1783388936723208385,4
48,3625813474,353326862403617,1783388936755129258,4
49,3659146807,353326894587460,1783388936787313069,4
50,3692480140,353326930590680,1783388936823316321,4
51,3725813473,353326962875385,1783388936855601026,4
52,3759146806,353326998473941,1783388936891199582,4
53,3792480139,353327030641433,1783388936923367106,4
54,3825813472,353327063603596,1783388936956329269,4
55,3859146805,353327099436259,1783388936992161964,4
56,3892480138,353327131467627,1783388937024193236,4
57,3925813471,353327162899807,1783388937055625416,4
58,3959146804,353327199481385,1783388937092207058,4
59,3992480137,353327230871263,1783388937123596936,4
60,4025813470,353327263614424,1783388937156340033,4
61,4059146803,353327299405907,1783388937192131580,4
62,4092480136,353327331276734,1783388937224002407,4
63,4125813469,353327363340838,1783388937256066511,4
64,4159146802,353327399871921,1783388937292597594,4
65,4192480135,353327431378372,1783388937324104045,4
66,4225813468,353327470745012,1783388937363470653,4
67,4259146801,353327498975659,1783388937391701300,4
68,4292480134,353327532990314,1783388937425715891,4
69,4325813467,353327567588221,1783388937460313862,4
70,4359146800,353327598920596,1783388937491646205,4
71,4392480133,353327630969724,1783388937523695365,4
72,4425813466,353327831747003,1783388937724472612,3
73,4559146798,353328032173986,1783388937924899595,3
