cam,seq,pts_ns,mono_ns,real_ns
1,0,586187898,353323615272409,1783388933507998050
1,2,586210730,353323760828911,1783388933653554520
1,3,598150602,353323766955567,1783388933659681208
1,4,630189730,353323768715946,1783388933661441587
1,8,762193802,353323811190544,1783388933703916185
1,9,798123666,353323963351899,1783388933856077540
1,10,830138218,353324171344536,1783388934064070209
1,11,862185890,353324174340474,1783388934067066115
1,14,962156442,353324176873157,1783388934069598862
0,0,1154638834,353324211652910,1783388934104378551
1,20,1162181730,353324226986798,1783388934119712407
0,3,1190612058,353324243677361,1783388934136402970
1,21,1198142994,353324257281173,1783388934150006846
0,4,1222619186,353324279625410,1783388934172351051
1,22,1230164282,353324293344867,1783388934186070508
0,5,1254627610,353324311633317,1783388934204358990
1,23,1262141346,353324326197492,1783388934218923165
0,6,1290612930,353324343625640,1783388934236351281
1,24,1298143602,353324380242059,1783388934272967700
1,25,1330142218,353324382745783,1783388934275471488
1,26,1362155666,353324588693127,1783388934481418768
0,7,1322624506,353324589741425,1783388934482467098
1,27,1398123506,353324591400143,1783388934484125816
1,28,1430189922,353324593889275,1783388934486614916
1,32,1566120098,353324611448364,1783388934504174037
1,33,1598135026,353324647125442,1783388934539851147
1,34,1630157026,353324679126406,1783388934571852047
0,8,1354628218,353324692219508,1783388934584945213
1,35,1666116834,353324711090218,1783388934603815859
0,9,1390609674,353324724487346,1783388934617213051
1,36,1698194570,353324747133464,1783388934639859105
3,0,1723108058,353324752130096,1783388934644855705
0,15,1590608890,353324760478978,1783388934653204619
3,2,1727106698,353324764878886,1783388934657604527
1,37,1730125026,353324779130876,1783388934671856517
3,3,1735117058,353324784043509,1783388934676769150
0,18,1690599730,353324788424890,1783388934681150531
0,19,1722639634,353324791610583,1783388934684336288
1,38,1762160154,353324812149770,1783388934704875411
3,4,1771120674,353324816102775,1783388934708828416
1,39,1798104610,353324847110799,1783388934739836440
3,5,1803114026,353324848047228,1783388934740772869
0,20,1758612410,353324860322107,1783388934753047716
1,40,1830170186,353324879154546,1783388934771880155
