cam,pts_ns,mono_ns,real_ns
1,586187898,353323760628211,1783388933653353820
1,619521231,353323766832145,1783388933659557754
1,652854564,353323768626060,1783388933661351669
1,686187897,353323770464133,1783388933663189774
1,719521230,353323963175071,1783388933855900680
1,752854563,353324171159708,1783388934063885445
1,786187896,353324174277147,1783388934067002788
1,819521229,353324176688393,1783388934069414098
0,1154638834,353324225402543,1783388934118128184
1,852854562,353324226844593,1783388934119570234
0,1187972167,353324246803983,1783388934139529624
1,886187895,353324257103320,1783388934149828961
0,1221305500,353324283084761,1783388934175810402
1,919521228,353324293199846,1783388934185925487
0,1254638833,353324315652785,1783388934208378394
1,952854561,353324326007448,1783388934218733121
1,986187894,353324380099982,1783388934272825591
1,1019521227,353324382609850,1783388934275335555
1,1052854560,353324588549546,1783388934481275187
0,1287972166,353324589608116,1783388934482333789
1,1086187893,353324591285361,1783388934484011034
1,1119521226,353324593825404,1783388934486551045
1,1152854559,353324596606402,1783388934489332107
1,1186187892,353324614706632,1783388934507432305
1,1219521225,353324649913512,1783388934542639217
1,1252854558,353324681831309,1783388934574556950
0,1321305499,353324691999769,1783388934584725410
1,1286187891,353324713918030,1783388934606643703
0,1354638832,353324724290614,1783388934617016575
1,1319521224,353324750214552,1783388934642940225
0,1387972165,353324760300837,1783388934653026446
3,1723108058,353324764760168,1783388934657485777
3,1756441391,353324767265268,1783388934659990909
1,1352854557,353324781831939,1783388934674557580
3,1789774724,353324786730973,1783388934679456614
0,1421305498,353324788211774,1783388934680937415
0,1454638831,353324791423291,1783388934684148932
1,1386187890,353324814955439,1783388934707681080
3,1823108057,353324818711649,1783388934711437258
1,1419521223,353324849768504,1783388934742494113
0,1487972164,353324860144767,1783388934752870376
1,1452854556,353324881806906,1783388934774532547
0,1521305497,353324891870376,1783388934784596017
1,1486187889,353324918047525,1783388934810773102
0,1554638830,353324928138962,1783388934820864603
1,1519521222,353324949900971,1783388934842626612
0,1587972163,353324959924474,1783388934852650115
1,1552854555,353324982082507,1783388934874808116
3,1856441390,353324992200951,1783388934884926560
0,1621305496,353324993358047,1783388934886083688
0,1654638829,353324996209380,1783388934888935021
1,1586187888,353325018035228,1783388934910760837
1,1619521221,353325049800388,1783388934942525997
0,1687972162,353325059998223,1783388934952723832
1,1652854554,353325082058786,1783388934974784395
0,1721305495,353325092243117,1783388934984968758
1,1686187887,353325117717945,1783388935010443586
0,1754638828,353325128124960,1783388935020850569
1,1719521220,353325150355697,1783388935043081338
0,1787972161,353325160444447,1783388935053170088
1,1752854553,353325181875488,1783388935074601129
0,1821305494,353325192119370,1783388935084845011
3,1889774723,353325194045378,1783388935086770987
0,1854638827,353325196931462,1783388935089657071
1,1786187886,353325217761652,1783388935110487293
1,1819521219,353325249981141,1783388935142706750
0,1887972160,353325260256639,1783388935152982280
1,1852854552,353325281863740,1783388935174589381
3,1923108056,353325291919883,1783388935184645492
0,1921305493,353325292978005,1783388935185703614
1,1886187885,353325317824847,1783388935210550488
3,1956441389,353325327994619,1783388935220720228
0,1954638826,353325329036325,1783388935221761934
1,1919521218,353325359516362,1783388935252241971
2,2292480154,353325361315525,1783388935254041166
0,1987972159,353325363193886,1783388935255919495
2,2325813487,353325364425316,1783388935257151085
3,1989774722,353325367275241,1783388935260000882
2,2359146820,353325368141783,1783388935260867392
1,1952854551,353325385839686,1783388935278565423
2,2392480153,353325389592504,1783388935282318113
3,2023108055,353325391148439,1783388935283874080
0,2021305492,353325392194273,1783388935284919978
3,2056441388,353325393903998,1783388935286629639
0,2054638825,353325394993991,1783388935287719696
1,1986187884,353325422532265,1783388935315257874
1,2019521217,353325449922574,1783388935342648183
3,2089774721,353325460248887,1783388935352974528
0,2087972158,353325461287842,1783388935354013451
1,2052854550,353325485794563,1783388935378520172
0,2121305491,353325495936368,1783388935388662009
3,2123108054,353325497024089,1783388935389749730
1,2086187883,353325518132257,1783388935410857898
3,2156441387,353325528797731,1783388935421523340
2,2425813486,353325529849645,1783388935422575286
0,2154638824,353325531150034,1783388935423875739
3,2189774720,353325531934113,1783388935424659754
0,2187972157,353325536129834,1783388935428855475
1,2119521216,353325549747918,1783388935442473527
0,2221305490,353325559907002,1783388935452632611
3,2223108053,353325560952517,1783388935453678158
2,2459146819,353325562023374,1783388935454748983
1,2152854549,353325586120056,1783388935478845697
0,2254638823,353325597252016,1783388935489977689
2,2492480152,353325598291579,1783388935491017220
3,2256441386,353325599388900,1783388935492114509
1,2186187882,353325618444919,1783388935511170560
2,2525813485,353325628978299,1783388935521703908
3,2289774719,353325630334079,1783388935523059688
0,2287972156,353325631084335,1783388935523809944
1,2219521215,353325653975026,1783388935546700699
0,2321305489,353325664201309,1783388935556926950
3,2323108052,353325665244103,1783388935557969744
2,2559146818,353325666292146,1783388935559017787
1,2252854548,353325686276209,1783388935579001850
3,2356441385,353325696588826,1783388935589314435
0,2354638822,353325697632037,1783388935590357614
2,2592480151,353325698677167,1783388935591402776
1,2286187881,353325717868831,1783388935610594472
3,2389774718,353325728404419,1783388935621130060
