batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,64041999,10521752231673,1783482264575611609,1
1,224146999,10521960709339,1783482264784089307,1
2,567200000,10522169243838,1783482264992623806,2
3,640419999,10522377874849,1783482265201254785,2
4,864567000,10522586348100,1783482265409728036,2
5,1134800000,10522794924359,1783482265618304327,3
6,1262931999,10523003528426,1783482265826908362,1
7,1487162999,10523212087021,1783482266035466989,3
8,1702100000,10523420688625,1783482266244068561,4
9,1734128999,10523420806514,1783482266244186450,4
10,1816864000,10523420977939,1783482266244357875,4
11,1848906666,10523421077619,1783482266244457555,4
12,1880949332,10523421284949,1783482266244664885,4
13,1912992000,10523447472118,1783482266270852086,4
14,1945034666,10523479449722,1783482266302829658,4
15,1977077332,10523511419583,1783482266334799551,4
16,2113386000,10523720052643,1783482266543432579,4
17,2145406999,10523720196708,1783482266543576644,4
18,2177427999,10523720739623,1783482266544119559,4
19,2209449000,10523929293194,1783482266752673162,4
20,2241469999,10523929425771,1783482266752805707,4
21,2273490999,10523929537484,1783482266752917452,4
22,2305512000,10523929627692,1783482266753007628,4
23,2337532999,10523929843245,1783482266753223181,4
24,2416119999,10523960326889,1783482266783706857,4
25,2448152999,10523992360430,1783482266815740398,4
26,2480186000,10524024362835,1783482266847742803,4
27,2512218999,10524056454584,1783482266879834552,4
28,2625721999,10524265028124,1783482267088408092,4
29,2657742999,10524265153693,1783482267088533661,4
30,2689764000,10524265315134,1783482267088695102,4
31,2721784999,10524265565407,1783482267088945375,4
32,2753805999,10524288320779,1783482267111700747,4
33,2785827000,10524320305520,1783482267143685488,4
34,2881890000,10524528869555,1783482267352249491,4
35,2913910999,10524528996116,1783482267352376052,4
36,2945931999,10524529101109,1783482267352481045,4
37,2977953000,10524529189877,1783482267352569845,4
38,3015288999,10524737773369,1783482267561153337,4
39,3047318000,10524737882265,1783482267561262233,4
40,3079346999,10524737995482,1783482267561375418,4
41,3111375999,10524738074235,1783482267561454203,4
42,3226741332,10524761385354,1783482267584765322,4
43,3258784000,10524793461135,1783482267616841103,4
44,3290826666,10524825465908,1783482267648845876,4
45,3322869332,10524857488569,1783482267680868537,4
46,3495723999,10525066039357,1783482267889419325,4
47,3527753000,10525066147293,1783482267889527261,4
48,3559781999,10525274755137,1783482268098135041,4
49,3591810999,10525274869506,1783482268098249442,4
50,3623840000,10525274953442,1783482268098333378,4
51,3655868999,10525275146211,1783482268098526147,4
52,3746457000,10525304622713,1783482268128002681,4
53,3778477999,10525336618334,1783482268159998302,4
54,3810498999,10525368665283,1783482268192045251,4
55,3842520000,10525400672968,1783482268224052936,4
56,3970603999,10525609295500,1783482268432675436,4
57,4002624999,10525609693198,1783482268433073166,4
58,4034646000,10525609822063,1783482268433201999,4
59,4066666999,10525609904527,1783482268433284463,4
60,4098687999,10525818528627,1783482268641908563,4
61,4130709000,10525818655188,1783482268642035156,4
62,4162729999,10525818762037,1783482268642142005,4
63,4194750999,10525818888598,1783482268642268566,4
64,4306067000,10526027468921,1783482268850848889,4
65,4338099999,10526027575578,1783482268850955546,4
66,4370132999,10526027815547,1783482268851195515,4
67,4402166000,10526028073085,1783482268851453021,4
68,4514961000,10526236707585,1783482269060087553,4
69,4546981999,10526236822306,1783482269060202274,4
70,4636618666,10526236923234,1783482269060303202,4
71,4668661332,10526236997315,1783482269060377283,4
72,4722495999,10526257120223,1783482269080500191,4
73,4754528999,10526289131492,1783482269112511460,4
74,4786562000,10526321133832,1783482269144513768,4
75,4882661000,10526529727340,1783482269353107308,4
76,4931233999,10526529860109,1783482269353240077,4
77,4963254999,10526530350736,1783482269353730672,4
78,4995276000,10526530467313,1783482269353847249,4
79,5027296999,10526739065557,1783482269562445525,4
80,5059317999,10526739181429,1783482269562561365,4
81,5091339000,10526739298454,1783482269562678422,4
82,5123359999,10526739500855,1783482269562880791,4
83,5225289999,10526947982843,1783482269771362779,4
84,5257319000,10526948258268,1783482269771638236,4
85,5289347999,10526948364637,1783482269771744605,4
86,5321376999,10526948491326,1783482269771871294,4
87,5427221999,10526984088409,1783482269807468377,4
88,5459255000,10527016098750,1783482269839478718,4
89,5491287999,10527039718703,1783482269863098639,4
90,5523320999,10527057917375,1783482269881297311,4
91,5699737999,10527266465859,1783482270089845795,4
92,5731758999,10527266586563,1783482270089966531,4
93,5763780000,10527475199208,1783482270298579144,4
94,5795800999,10527475351464,1783482270298731432,4
95,5827821999,10527475448297,1783482270298828233,4
96,5859843000,10527475832811,1783482270299212747,4
97,5891863999,10527475913068,1783482270299293036,4
98,5950368000,10527496494091,1783482270319874123,4
99,6046496000,10527581101427,1783482270404481363,4
100,6163980999,10527789673975,1783482270613053943,4
101,6196013999,10527789812152,1783482270613192120,4
102,6314276000,10527998418300,1783482270821798236,4
103,6346304999,10527998528669,1783482270821908605,4
104,6378333999,10527998644990,1783482270822024958,4
105,6468241999,10528034797532,1783482270858177500,4
106,6500262999,10528034899741,1783482270858279677,4
107,6532284000,10528098884647,1783482270922264615,4
108,6564304999,10528098986631,1783482270922366567,4
109,6692388999,10528307572587,1783482271130952555,4
110,6724410000,10528307677292,1783482271131057260,4
111,6756430999,10528307860973,1783482271131240941,4
112,6794711000,10528516445489,1783482271339825457,4
113,6826739999,10528516687378,1783482271340067314,4
114,6858768999,10528516895092,1783482271340275028,4
115,6890798000,10528517131029,1783482271340510997,4
116,6996839000,10528553460949,1783482271376840917,4
117,7028871999,10528585487386,1783482271408867322,4
118,7060904999,10528617622048,1783482271441002016,4
119,7092938000,10528649577093,1783482271472957061,4
120,7211087999,10528858131048,1783482271681511016,4
121,7243116999,10528858265609,1783482271681645577,4
122,7275146000,10528858373706,1783482271681753642,4
123,7307174999,10528858595563,1783482271681975499,4
