cam,seq,pts_ns,mono_ns,real_ns
0,-1,64041999,10554732723387,1783482297556103355
0,-1,96063000,10554736050384,1783482297559430352
0,-1,128083999,10554737012438,1783482297560392406
0,-1,160104999,10554740471307,1783482297563851243
0,-1,192126000,10554741481617,1783482297564861585
0,-1,224146999,10554744395235,1783482297567775203
0,-1,256167999,10554932933743,1783482297756313711
3,-1,567200000,10555063467701,1783482297886847669
0,-1,288189000,10555072214731,1783482297895594731
0,-1,320209999,10555072230443,1783482297895610379
0,-1,352230999,10555072281035,1783482297895660971
3,-1,599242666,10555095499546,1783482297918879546
3,-1,631285332,10555127547136,1783482297950927104
0,-1,448293999,10555136201014,1783482297959580982
0,-1,576378000,10555136219062,1783482297959599030
3,-1,663328000,10555159581126,1783482297982961126
3,-1,695370666,10555191624460,1783482298015004428
0,-1,608398999,10555200185953,1783482298023565953
0,-1,640419999,10555208619733,1783482298031999701
3,-1,727413332,10555223649618,1783482298047029586
0,-1,672441000,10555344663709,1783482298168043677
3,-1,759456000,10555344669885,1783482298168049853
0,-1,704461999,10555344694845,1783482298168074813
0,-1,736482999,10555344702205,1783482298168082173
0,-1,768504000,10555553216996,1783482298376596932
3,-1,791498666,10555553228100,1783482298376608100
0,-1,864567000,10555553247524,1783482298376627460
3,-1,823541332,10555553250980,1783482298376630948
0,-1,896587999,10555553257028,1783482298376636964
3,-1,855584000,10555553340133,1783482298376720101
0,-1,928608999,10555553356261,1783482298376736197
1,-1,1134800000,10555631035589,1783482298454415557
3,-1,887626666,10555639644506,1783482298463024474
0,-1,1088713999,10555639648090,1783482298463028058
3,-1,1079882666,10555639676890,1783482298463056858
1,-1,1166832999,10555663061290,1783482298486441290
0,-1,1120734999,10555671615103,1783482298494995071
3,-1,1111925332,10555680020691,1783482298503400691
0,-1,1152756000,10555688411879,1783482298511791815
1,-1,1198865999,10555695077296,1783482298518457264
1,-1,1230899000,10555727106550,1783482298550486486
3,-1,1143968000,10555735602346,1783482298558982314
3,-1,1176010666,10555743989150,1783482298567369118
1,-1,1262931999,10555759146076,1783482298582526044
3,-1,1208053332,10555759224028,1783482298582603996
0,-1,1184776999,10555759232764,1783482298582612700
1,-1,1294964999,10555791190817,1783482298614570753
1,-1,1326998000,10555967840740,1783482298791220644
3,-1,1240096000,10555967848996,1783482298791228964
0,-1,1216797999,10555967854628,1783482298791234628
3,-1,1272138666,10555967870308,1783482298791250276
0,-1,1248819000,10555967872932,1783482298791252900
0,-1,1280839999,10555967883300,1783482298791263236
1,-1,1359030999,10556176468812,1783482298999848780
0,-1,1312860999,10556176474892,1783482298999854828
3,-1,1304181332,10556176483852,1783482298999863820
3,-1,1336224000,10556176503052,1783482298999883020
0,-1,1472965999,10556176520812,1783482298999900748
0,-1,1504986999,10556176542348,1783482298999922284
0,-1,1537008000,10556176558604,1783482298999938540
3,-1,1496437332,10556176649005,1783482299000028941
3,-1,1528480000,10556176658957,1783482299000038925
1,-1,1391063999,10556176697805,1783482299000077773
1,-1,1423097000,10556176751054,1783482299000130990
1,-1,1487162999,10556176796014,1783482299000175950
3,-1,1688693332,10556184902464,1783482299008282432
0,-1,1697112999,10556193332564,1783482299016712564
2,-1,1702100000,10556198328915,1783482299021708883
1,-1,1711394000,10556207609452,1783482299030989420
3,-1,1720736000,10556216946662,1783482299040326662
0,-1,1729134000,10556225361434,1783482299048741370
2,-1,1734128999,10556230362745,1783482299053742745
