cam,pts_ns,mono_ns,real_ns
0,64041999,10587873867892,1783482330697247828
0,96063000,10587875969025,1783482330699349089
0,128083999,10587878236047,1783482330701615983
0,160104999,10587880444701,1783482330703824637
0,192126000,10587882678923,1783482330706058891
0,224146999,10587884638391,1783482330708018327
0,256167999,10588074066060,1783482330897445996
3,567200000,10588215237206,1783482331038617142
0,288189000,10588224103469,1783482331047483405
0,320209999,10588224119182,1783482331047499150
0,352230999,10588224124622,1783482331047504558
3,599242666,10588243255812,1783482331066635748
3,631285332,10588275251850,1783482331098631786
0,448293999,10588275527628,1783482331098907564
0,608398999,10588275540588,1783482331098920556
3,663328000,10588307295153,1783482331130675121
3,695370666,10588339344023,1783482331162723991
0,640419999,10588347903276,1783482331171283212
0,672441000,10588356326912,1783482331179706848
3,727413332,10588371351037,1783482331194730973
0,704461999,10588484110680,1783482331307490616
3,759456000,10588484114424,1783482331307494360
0,736482999,10588484139096,1783482331307519032
0,768504000,10588484145080,1783482331307525016
3,791498666,10588692654532,1783482331516034436
0,800524999,10588692661540,1783482331516041508
3,823541332,10588692673252,1783482331516053220
0,864567000,10588692676516,1783482331516056452
3,855584000,10588692777700,1783482331516157636
1,1134800000,10588778751289,1783482331602131225
0,896587999,10588787274478,1783482331610654446
3,887626666,10588787285582,1783482331610665550
3,1079882666,10588787348814,1783482331610728782
0,928608999,10588787372078,1783482331610752046
1,1166832999,10588810758719,1783482331634138687
0,1056693000,10588819185043,1783482331642564979
3,1111925332,10588827590631,1783482331650970567
0,1088713999,10588835982203,1783482331659362171
1,1198865999,10588842793413,1783482331666173349
1,1230899000,10588874819884,1783482331698199852
0,1152756000,10588883328865,1783482331706708833
3,1143968000,10588883340513,1783482331706720481
3,1176010666,10588891775509,1783482331715155477
0,1184776999,10588900185833,1783482331723565801
3,1208053332,10588900186953,1783482331723566921
1,1262931999,10588906840402,1783482331730220338
1,1294964999,10588938889753,1783482331762269689
1,1326998000,10589108739477,1783482331932119509
0,1216797999,10589108744917,1783482331932124885
3,1240096000,10589108756213,1783482331932136149
0,1248819000,10589108760693,1783482331932140629
0,1280839999,10589108766677,1783482331932146645
3,1272138666,10589108770997,1783482331932150965
1,1359030999,10589317372321,1783482332140752289
1,1391063999,10589317395873,1783482332140775841
1,1423097000,10589317472002,1783482332140851970
1,1487162999,10589317500770,1783482332140880738
3,1304181332,10589317519010,1783482332140898978
3,1336224000,10589317551490,1783482332140931426
3,1496437332,10589317582338,1783482332140962306
3,1528480000,10589317588098,1783482332140968066
0,1312860999,10589317604098,1783482332140984034
0,1472965999,10589317611971,1783482332140991907
0,1504986999,10589317616099,1783482332140996067
0,1537008000,10589317619683,1783482332140999651
3,1688693332,10589332611327,1783482332155991295
0,1697112999,10589341038612,1783482332164418580
2,1702100000,10589346042707,1783482332169422643
3,1720736000,10589364665574,1783482332188045542
0,1729134000,10589373050554,1783482332196430522
2,1734128999,10589378069561,1783482332201449497
1,1679360999,10589386783311,1783482332210163247
1,1711394000,10589395349508,1783482332218729476
0,1761154999,10589405052576,1783482332228432512
2,1766157999,10589410079167,1783482332233459135
2,1798187000,10589442131526,1783482332265511494
1,1743426999,10589450684923,1783482332274064859
1,1775459999,10589459099471,1783482332282479439
3,1816864000,10589460837626,1783482332284217690
2,1830215999,10589474146572,1783482332297526540
3,1848906666,10589492843296,1783482332316223200
2,1862244999,10589506177107,1783482332329557043
0,1793175999,10589525900941,1783482332349280909
1,1807493000,10589525922413,1783482332349302381
1,1839525999,10589525936845,1783482332349316813
