batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,0,0,64041999,1783482231098400000
1,0,1,224146999,1783482231109162000
2,0,2,448293999,1783482231498879000
2,3,0,567200000,1783482231434651000
3,0,3,640419999,1783482231579763000
3,3,1,663328000,1783482231530736000
4,0,4,864567000,1783482231915959000
4,3,2,855584000,1783482231916072000
5,0,5,1056693000,1783482232010860000
5,1,0,1134800000,1783482232002223000
5,3,3,1079882666,1783482232010774000
6,1,1,1262931999,1783482232130341000
7,0,6,1472965999,1783482232541717000
7,1,2,1487162999,1783482232541946000
7,3,4,1496437332,1783482232541952000
8,0,7,1697112999,1783482232564482000
8,1,3,1679360999,1783482232601768000
8,2,0,1702100000,1783482232569477000
8,3,5,1688693332,1783482232556068000
9,0,8,1729134000,1783482232596506000
9,1,4,1711394000,1783482232642018000
9,2,1,1734128999,1783482232601494000
9,3,6,1720736000,1783482232588122000
10,0,9,1761154999,1783482232628517000
10,1,5,1743426999,1783482232650444000
10,2,2,1766157999,1783482232633525000
10,3,7,1816864000,1783482232684243000
11,0,10,1793175999,1783482232750215000
11,1,6,1775459999,1783482232692742000
11,2,3,1798187000,1783482232665551000
11,3,8,1848906666,1783482232716271000
12,0,11,1825197000,1783482232958852000
12,1,7,1807493000,1783482232750208000
12,2,4,1830215999,1783482232697575000
12,3,9,1880949332,1783482232750298000
13,0,12,1857217999,1783482232958858000
13,1,8,1839525999,1783482232750220000
13,2,5,1862244999,1783482232729599000
13,3,10,1912992000,1783482232958822000
14,0,13,1889238999,1783482232958941000
14,1,9,1871558999,1783482232958832000
14,2,6,1894274000,1783482232958816000
14,3,11,1945034666,1783482232958833000
15,0,14,1921260000,1783482232958947000
15,1,10,1903592000,1783482232958916000
15,2,7,1926302999,1783482232959366000
15,3,12,1977077332,1783482232958968000
16,0,15,2113386000,1783482232980762000
16,1,11,2095790000,1783482232963192000
16,2,8,1990361000,1783482232959489000
16,3,13,2009120000,1783482232959319000
17,0,16,2145406999,1783482233012764000
17,1,12,2127822999,1783482232995219000
17,2,9,2118476999,1783482232985846000
17,3,14,2105248000,1783482232972617000
18,0,17,2177427999,1783482233044785000
18,1,13,2159855999,1783482233027227000
18,2,10,2150505999,1783482233017869000
18,3,15,2137290666,1783482233004673000
19,0,18,2209449000,1783482233076820000
19,1,14,2191889000,1783482233059289000
19,2,11,2182535000,1783482233049904000
19,3,16,2201376000,1783482233068768000
20,0,19,2241469999,1783482233108829000
20,1,15,2223921999,1783482233253473000
20,2,12,2214563999,1783482233081925000
20,3,17,2233418666,1783482233100790000
21,0,20,2273490999,1783482233140857000
21,1,16,2255954999,1783482233253541000
21,2,13,2246592999,1783482233253459000
21,3,18,2265461332,1783482233253534000
22,0,21,2305512000,1783482233253502000
22,1,17,2287988000,1783482233253595000
22,2,14,2278622000,1783482233253470000
22,3,19,2297504000,1783482233253596000
23,0,22,2337532999,1783482233253618000
23,1,18,2320020999,1783482233253604000
23,2,15,2310650999,1783482233253627000
23,3,20,2329546666,1783482233253706000
24,0,23,2369553999,1783482233253692000
24,1,19,2416119999,1783482233283525000
24,2,16,2342679999,1783482233253709000
24,3,21,2361589332,1783482233462277000
25,0,24,2401575000,1783482233462279000
25,1,20,2448152999,1783482233462280000
25,2,17,2406737999,1783482233462281000
25,3,22,2393632000,1783482233462292000
26,0,25,2433595999,1783482233462377000
26,1,21,2480186000,1783482233462389000
26,2,18,2438766999,1783482233462367000
26,3,23,2425674666,1783482233462369000
27,0,26,2465616999,1783482233462475000
27,1,22,2512218999,1783482233462693000
27,2,19,2470796000,1783482233462472000
27,3,24,2457717332,1783482233462487000
28,0,27,2625721999,1783482233493105000
28,1,23,2544251999,1783482233462701000
28,2,20,2598911999,1783482233466277000
28,3,25,2617930666,1783482233485316000
29,0,28,2657742999,1783482233525112000
29,1,24,2608317999,1783482233475708000
29,2,21,2630940999,1783482233498307000
29,3,26,2649973332,1783482233517332000
30,0,29,2689764000,1783482233557134000
30,1,25,2640350999,1783482233507717000
30,2,22,2662970000,1783482233530329000
30,3,27,2682016000,1783482233549381000
31,0,30,2721784999,1783482233589160000
31,1,26,2672384000,1783482233539745000
31,2,23,2694998999,1783482233562374000
31,3,28,2714058666,1783482233581429000
32,0,31,2753805999,1783482233621174000
32,1,27,2704416999,1783482233571806000
32,2,24,2727027999,1783482233594396000
32,3,29,2746101332,1783482233613474000
33,0,32,2785827000,1783482233798424000
33,1,28,2736449999,1783482233603832000
33,2,25,2759057000,1783482233798509000
33,3,30,2778144000,1783482233645521000
34,0,33,2881890000,1783482233798436000
34,1,29,2800515999,1783482233798514000
34,2,26,2791085999,1783482233798625000
34,3,31,2810186666,1783482233798432000
35,0,34,2913910999,1783482233798526000
35,1,30,2832548999,1783482233798652000
35,2,27,2823114999,1783482233798647000
35,3,32,2842229332,1783482233798541000
36,0,35,2945931999,1783482233813325000
36,1,31,2864582000,1783482233798718000
36,2,28,2855144000,1783482233798653000
36,3,33,2874272000,1783482233798640000
37,0,36,2977953000,1783482233845341000
37,1,32,2960681000,1783482233828063000
37,2,29,2951231000,1783482233818597000
37,3,34,2906314666,1783482233798720000
38,0,37,3009973999,1783482233877339000
38,1,33,2992713999,1783482233860090000
38,2,30,3015288999,1783482233882643000
38,3,35,3002442666,1783482234062436000
39,0,38,3041994999,1783482233909375000
39,1,34,3024746999,1783482234062367000
39,2,31,3047318000,1783482234062357000
39,3,36,3034485332,1783482234062836000
40,0,39,3074016000,1783482234062358000
40,1,35,3056780000,1783482234062386000
40,2,32,3079346999,1783482234062735000
40,3,37,3066528000,1783482234062848000
41,0,40,3106036999,1783482234062832000
41,1,36,3088812999,1783482234062725000
41,2,33,3111375999,1783482234062865000
