cam,seq,pts_ns,mono_ns,real_ns
0,-1,64041999,10654601032766,1783482397424412734
0,-1,96063000,10654602616328,1783482397425996328
0,-1,128083999,10654605369625,1783482397428749593
0,-1,160104999,10654607250661,1783482397430630597
0,-1,192126000,10654609738388,1783482397433118356
0,-1,224146999,10654623668331,1783482397447048299
0,-1,256167999,10654801247933,1783482397624627901
3,-1,567200000,10654966775845,1783482397790155845
0,-1,288189000,10654975539419,1783482397798919419
0,-1,320209999,10654975560475,1783482397798940443
3,-1,599242666,10654998782060,1783482397822162092
0,-1,352230999,10655007347457,1783482397830727457
0,-1,416272999,10655007418114,1783482397830798050
3,-1,631285332,10655030826420,1783482397854206388
3,-1,663328000,10655062859643,1783482397886239611
0,-1,576378000,10655071312080,1783482397894692048
3,-1,695370666,10655094908579,1783482397918288547
0,-1,608398999,10655103345784,1783482397926725784
3,-1,727413332,10655126929899,1783482397950309867
3,-1,759456000,10655215903029,1783482398039282997
0,-1,640419999,10655215903093,1783482398039283029
0,-1,672441000,10655215927797,1783482398039307765
0,-1,704461999,10655215932469,1783482398039312437
0,-1,736482999,10655215936757,1783482398039316693
0,-1,832545999,10655424428072,1783482398247808072
3,-1,791498666,10655424430376,1783482398247810376
0,-1,864567000,10655424456968,1783482398247836936
1,-1,1134800000,10655534346901,1783482398357726837
0,-1,896587999,10655542907723,1783482398366287659
3,-1,823541332,10655542914251,1783482398366294219
0,-1,928608999,10655543013419,1783482398366393355
0,-1,1056693000,10655543027275,1783482398366407243
3,-1,855584000,10655543028107,1783482398366408043
3,-1,887626666,10655543041291,1783482398366421227
1,-1,1166832999,10655566354589,1783482398389734525
3,-1,1047840000,10655574783345,1783482398398163345
0,-1,1088713999,10655574812401,1783482398398192337
1,-1,1198865999,10655598405316,1783482398421785252
3,-1,1143968000,10655606923193,1783482398430303161
1,-1,1230899000,10655630423436,1783482398453803404
3,-1,1176010666,10655630541933,1783482398453921901
0,-1,1152756000,10655630552461,1783482398453932429
3,-1,1208053332,10655630555565,1783482398453935533
1,-1,1262931999,10655662470868,1783482398485850836
1,-1,1294964999,10655694509147,1783482398517889147
3,-1,1240096000,10655839081664,1783482398662461632
0,-1,1184776999,10655839082176,1783482398662462144
1,-1,1326998000,10655839116992,1783482398662496960
3,-1,1272138666,10655839136672,1783482398662516640
3,-1,1304181332,10655839141184,1783482398662521152
0,-1,1216797999,10655839145665,1783482398662525633
0,-1,1248819000,10655839152577,1783482398662532513
0,-1,1280839999,10655839157281,1783482398662537217
1,-1,1359030999,10656047706964,1783482398871086932
1,-1,1391063999,10656047728468,1783482398871108436
1,-1,1423097000,10656047802773,1783482398871182741
3,-1,1336224000,10656047825109,1783482398871205045
3,-1,1464394666,10656047831829,1783482398871211765
3,-1,1496437332,10656047859861,1783482398871239829
3,-1,1528480000,10656047869397,1783482398871249365
0,-1,1472965999,10656047884981,1783482398871264917
0,-1,1504986999,10656047891733,1783482398871271701
0,-1,1537008000,10656047895477,1783482398871275413
0,-1,1569028999,10656047898837,1783482398871278805
2,-1,1702100000,10656101639332,1783482398925019332
3,-1,1656650666,10656110203066,1783482398933583034
0,-1,1665091999,10656110211706,1783482398933591674
1,-1,1455129999,10656110274426,1783482398933654362
0,-1,1697112999,10656118876656,1783482398942256624
2,-1,1734128999,10656133641068,1783482398957021004
3,-1,1688693332,10656142105728,1783482398965485696
1,-1,1679360999,10656142181057,1783482398965561025
2,-1,1766157999,10656165667635,1783482398989047603
1,-1,1711394000,10656174086632,1783482398997466600
3,-1,1720736000,10656174094760,1783482398997474728
2,-1,1798187000,10656197705467,1783482399021085467
1,-1,1743426999,10656206162895,1783482399029542863
2,-1,1830215999,10656229742114,1783482399053122114
1,-1,1775459999,10656238227671,1783482399061607639
0,-1,1729134000,10656256211207,1783482399079591175
1,-1,1807493000,10656256213479,1783482399079593447
1,-1,1839525999,10656256233544,1783482399079613512
3,-1,1816864000,10656256353512,1783482399079733480
2,-1,1862244999,10656261754698,1783482399085134666
0,-1,1761154999,10656464804411,1783482399288184379
3,-1,1848906666,10656464807323,1783482399288187323
2,-1,1894274000,10656464840636,1783482399288220572
0,-1,1793175999,10656464887708,1783482399288267644
0,-1,1825197000,10656464895516,1783482399288275484
0,-1,1857217999,10656464900188,1783482399288280156
1,-1,1871558999,10656464899836,1783482399288279836
2,-1,1926302999,10656464962812,1783482399288342780
1,-1,1903592000,10656465001437,1783482399288381405
2,-1,1958331999,10656465126717,1783482399288506621
1,-1,1935624999,10656465150813,1783482399288530781
1,-1,1967657999,10656465212030,1783482399288591998
2,-1,1990361000,10656465312350,1783482399288692318
3,-1,1880949332,10656465341791,1783482399288721727
3,-1,1912992000,10656465354431,1783482399288734399
3,-1,1945034666,10656465359871,1783482399288739807
3,-1,2073205332,10656472732813,1783482399296112781
0,-1,2081364999,10656480889984,1783482399304269984
2,-1,2086448000,10656485995679,1783482399309375615
1,-1,2095790000,10656495319993,1783482399318699961
3,-1,2105248000,10656504787220,1783482399328167188
0,-1,2113386000,10656512918023,1783482399336297959
2,-1,2118476999,10656518021383,1783482399341401319
1,-1,2127822999,10656527354145,1783482399350734081
3,-1,2137290666,10656536829180,1783482399360209148
0,-1,2145406999,10656544936623,1783482399368316559
2,-1,2150505999,10656550036142,1783482399373416142
1,-1,2159855999,10656559382921,1783482399382762889
3,-1,2169333332,10656568847972,1783482399392227908
0,-1,2177427999,10656576944726,1783482399400324662
3,-1,2201376000,10656600896171,1783482399424276107
0,-1,2209449000,10656608967774,1783482399432347710
0,-1,2241469999,10656640993637,1783482399464373573
2,-1,2182535000,10656721605884,1783482399544985852
3,-1,2233418666,10656721605820,1783482399544985820
1,-1,2191889000,10656721612860,1783482399544992860
0,-1,2273490999,10656721647196,1783482399545027132
2,-1,2214563999,10656721704700,1783482399545084668
3,-1,2265461332,10656721708764,1783482399545088700
0,-1,2305512000,10656721721084,1783482399545101052
1,-1,2223921999,10656721744220,1783482399545124188
1,-1,2255954999,10656930299504,1783482399753679472
2,-1,2246592999,10656930319056,1783482399753699024
0,-1,2337532999,10656930323024,1783482399753702992
3,-1,2297504000,10656930336272,1783482399753716240
1,-1,2287988000,10656930365105,1783482399753745073
2,-1,2278622000,10656930365329,1783482399753745265
2,-1,2342679999,10656930373649,1783482399753753617
1,-1,2352053999,10656930379697,1783482399753759665
1,-1,2384087000,10656930707411,1783482399754087347
2,-1,2374709000,10656930756403,1783482399754136307
3,-1,2329546666,10656930832755,1783482399754212659
3,-1,2361589332,10656930843860,1783482399754223828
3,-1,2393632000,10656930882900,1783482399754262868
0,-1,2369553999,10656930895700,1783482399754275636
0,-1,2401575000,10656930908980,1783482399754288948
0,-1,2433595999,10656930916596,1783482399754296564
2,-1,2534853999,10656934365097,1783482399757745033
1,-1,2544251999,10656943775588,1783482399767155588
3,-1,2553845332,10656953368672,1783482399776748640
0,-1,2561679999,10656961207121,1783482399784587089
2,-1,2566883000,10656966406833,1783482399789786801
1,-1,2576285000,10656975802412,1783482399799182380
3,-1,2585888000,10656985406664,1783482399808786632
0,-1,2593701000,10656993217528,1783482399816597528
2,-1,2598911999,10656998424121,1783482399821804121
1,-1,2608317999,10657007835091,1783482399831215027
3,-1,2617930666,10657017440271,1783482399840820271
0,-1,2625721999,10657025234272,1783482399848614240
2,-1,2630940999,10657030452224,1783482399853832160
1,-1,2640350999,10657039886555,1783482399863266523
3,-1,2649973332,10657049490199,1783482399872870167
0,-1,2657742999,10657057288519,1783482399880668487
2,-1,2662970000,10657062490376,1783482399885870344
1,-1,2672384000,10657071914115,1783482399895294051
2,-1,2694998999,10657094521520,1783482399917901488
1,-1,2704416999,10657103974090,1783482399927354282
1,-1,2736449999,10657192858996,1783482400016238964
3,-1,2682016000,10657192859892,1783482400016239892
0,-1,2689764000,10657192859892,1783482400016239828
1,-1,2768483000,10657192970549,1783482400016350549
2,-1,2727027999,10657192979061,1783482400016359029
3,-1,2714058666,10657193018741,1783482400016398677
0,-1,2721784999,10657193039765,1783482400016419733
2,-1,2759057000,10657193057942,1783482400016437846
1,-1,2800515999,10657401537033,1783482400224917001
0,-1,2753805999,10657401543209,1783482400224923209
3,-1,2746101332,10657401549801,1783482400224929769
0,-1,2785827000,10657401564169,1783482400224944105
3,-1,2778144000,10657401567369,1783482400224947305
2,-1,2791085999,10657401663530,1783482400225043498
1,-1,2832548999,10657401668714,1783482400225048682
3,-1,2810186666,10657401672490,1783482400225052458
2,-1,2823114999,10657401677514,1783482400225057482
0,-1,2881890000,10657401700298,1783482400225080266
3,-1,2842229332,10657401771754,1783482400225151722
2,-1,2855144000,10657401804171,1783482400225184107
1,-1,2864582000,10657401807243,1783482400225187179
0,-1,2913910999,10657401814283,1783482400225194251
2,-1,2887172999,10657401882123,1783482400225262091
1,-1,2896614999,10657401950187,1783482400225330123
3,-1,3002442666,10657402078412,1783482400225458348
0,-1,3009973999,10657409487610,1783482400232867610
2,-1,3015288999,10657414793947,1783482400238173915
1,-1,3024746999,10657424263031,1783482400247643031
3,-1,3034485332,10657433997939,1783482400257377907
0,-1,3041994999,10657441505826,1783482400264885794
2,-1,3047318000,10657446844995,1783482400270224931
1,-1,3056780000,10657456320478,1783482400279700446
3,-1,3066528000,10657466068091,1783482400289448027
0,-1,3074016000,10657473538826,1783482400296918794
2,-1,3079346999,10657478857515,1783482400302237611
1,-1,3088812999,10657488361542,1783482400311741478
3,-1,3098570666,10657498111843,1783482400321491843
0,-1,3106036999,10657505585265,1783482400328965265
2,-1,3111375999,10657610909954,1783482400434289922
1,-1,3120845999,10657610910114,1783482400434290082
0,-1,3138057999,10657610924002,1783482400434304002
1,-1,3152879000,10657611032835,1783482400434412803
3,-1,3130613332,10657611046051,1783482400434426019
0,-1,3170079000,10657611259300,1783482400434639268
1,-1,3184911999,10657611291428,1783482400434671396
0,-1,3202099999,10657611292644,1783482400434672580
2,-1,3143405000,10657611462725,1783482400434842661
2,-1,3175433999,10657611504933,1783482400434884869
3,-1,3226741332,10657626272577,1783482400449652545
3,-1,3258784000,10657658308393,1783482400481688361
0,-1,3234120999,10657819685079,1783482400643065079
3,-1,3290826666,10657819686583,1783482400643066551
2,-1,3207462999,10657819686999,1783482400643066935
1,-1,3216944999,10657819686935,1783482400643066935
2,-1,3239492000,10657819786648,1783482400643166616
3,-1,3322869332,10657819789560,1783482400643169528
1,-1,3248978000,10657819800280,1783482400643180216
0,-1,3266142000,10657819802040,1783482400643182008
2,-1,3271520999,10657819870776,1783482400643250712
3,-1,3354912000,10657819872056,1783482400643251992
0,-1,3298162999,10657819891576,1783482400643271544
1,-1,3281010999,10657819926744,1783482400643306680
0,-1,3330183999,10657820123866,1783482400643503834
1,-1,3313043999,10657820136986,1783482400643516954
3,-1,3386954666,10657820152890,1783482400643532826
2,-1,3303549999,10657820184250,1783482400643564218
3,-1,3451040000,10658028705166,1783482400852085134
0,-1,3426246999,10658028759278,1783482400852139246
0,-1,3458268000,10658028778638,1783482400852158606
2,-1,3495723999,10658028799342,1783482400852179278
1,-1,3473208999,10658028805454,1783482400852185422
2,-1,3527753000,10658028808686,1783482400852188654
2,-1,3559781999,10658028817614,1783482400852197550
1,-1,3505241999,10658028843950,1783482400852223918
1,-1,3537275000,10658028864783,1783482400852244751
3,-1,3483082666,10658028985455,1783482400852365391
0,-1,3490288999,10658029000207,1783482400852380175
1,-1,3569307999,10658029002991,1783482400852382959
2,-1,3591810999,10658029215665,1783482400852595601
0,-1,3522309999,10658029266161,1783482400852646097
3,-1,3515125332,10658029283185,1783482400852663121
3,-1,3547168000,10658029340466,1783482400852720402
1,-1,3633374000,10658032886056,1783482400856266024
0,-1,3650394000,10658049912338,1783482400873292274
2,-1,3655868999,10658055382868,1783482400878762804
