cam,pts_ns,mono_ns,real_ns
0,64041999,10654601037150,1783482397424417086
0,96063000,10654602618312,1783482397425998216
0,128083999,10654605371513,1783482397428751481
0,160104999,10654607252869,1783482397430632805
0,192126000,10654609740308,1783482397433120276
0,224146999,10654623671467,1783482397447051403
0,256167999,10654801251453,1783482397624631421
3,567200000,10654966783493,1783482397790163461
0,288189000,10654975541883,1783482397798921915
0,320209999,10654975561211,1783482397798941179
3,599242666,10654998784364,1783482397822164332
0,352230999,10655007349633,1783482397830729601
0,416272999,10655007419202,1783482397830799138
3,631285332,10655030828852,1783482397854208820
3,663328000,10655062862971,1783482397886242939
0,576378000,10655071314640,1783482397894694608
3,695370666,10655094911939,1783482397918291907
0,608398999,10655103347800,1783482397926727768
3,727413332,10655126932875,1783482397950312843
3,759456000,10655215906805,1783482398039286741
0,640419999,10655215907189,1783482398039287125
0,672441000,10655215928437,1783482398039308405
0,704461999,10655215933333,1783482398039313269
0,736482999,10655215937333,1783482398039317269
0,832545999,10655424431144,1783482398247811048
3,791498666,10655424433256,1783482398247813192
0,864567000,10655424458024,1783482398247837993
1,1134800000,10655534352565,1783482398357732533
0,896587999,10655542910347,1783482398366290315
3,823541332,10655542916619,1783482398366296555
0,928608999,10655543014411,1783482398366394379
0,1056693000,10655543028107,1783482398366408075
3,855584000,10655543029739,1783482398366409675
3,887626666,10655543042219,1783482398366422123
1,1166832999,10655566357085,1783482398389737021
3,1047840000,10655574785137,1783482398398165073
0,1088713999,10655574815441,1783482398398195409
1,1198865999,10655598408484,1783482398421788420
3,1143968000,10655606925145,1783482398430305145
1,1230899000,10655630426028,1783482398453805964
3,1176010666,10655630543917,1783482398453923853
0,1152756000,10655630555277,1783482398453935213
3,1208053332,10655630557325,1783482398453937293
1,1262931999,10655662475220,1783482398485855188
1,1294964999,10655694513691,1783482398517893627
3,1240096000,10655839085184,1783482398662465120
0,1184776999,10655839086656,1783482398662466624
1,1326998000,10655839118272,1783482398662498208
3,1272138666,10655839137344,1783482398662517280
3,1304181332,10655839141792,1783482398662521728
0,1216797999,10655839146689,1783482398662526625
0,1248819000,10655839153153,1783482398662533121
0,1280839999,10655839157857,1783482398662537793
1,1359030999,10656047709588,1783482398871089556
1,1391063999,10656047729108,1783482398871109076
1,1423097000,10656047803925,1783482398871183893
3,1336224000,10656047826293,1783482398871206261
3,1464394666,10656047832693,1783482398871212629
3,1496437332,10656047860885,1783482398871240821
3,1528480000,10656047870005,1783482398871249941
0,1472965999,10656047885941,1783482398871265877
