batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,64041999,10688063072519,1783482430886452487,1
1,192126000,10688268721260,1783482431092101196,1
2,567200000,10688477305763,1783482431300685699,2
3,608398999,10688685850330,1783482431509230266,2
4,832545999,10688891901986,1783482431715281922,2
5,1134800000,10689100478265,1783482431923858233,3
6,1240096000,10689309069584,1783482432132449520,3
7,1472965999,10689517589287,1783482432340969255,3
8,1702100000,10689726180638,1783482432549560606,4
9,1734128999,10689726288127,1783482432549668063,4
10,1766157999,10689726393184,1783482432549773152,4
11,1816864000,10689726462592,1783482432549842560,4
12,1848906666,10689726522304,1783482432549902272,4
13,1880949332,10689750751352,1783482432574131320,4
14,1912992000,10689774410252,1783482432597790220,4
15,2081364999,10689982952099,1783482432806332035,4
16,2113386000,10689983086148,1783482432806466116,4
17,2145406999,10690191656699,1783482433015036667,4
18,2177427999,10690191778076,1783482433015158012,4
19,2209449000,10690191889468,1783482433015269404,4
20,2241469999,10690192293887,1783482433015673823,4
21,2273490999,10690192391167,1783482433015771135,4
22,2305512000,10690192452320,1783482433015832288,4
23,2352053999,10690213635076,1783482433037015012,4
24,2384087000,10690245770189,1783482433069150125,4
25,2544251999,10690454209827,1783482433277589763,4
26,2576285000,10690454341732,1783482433277721668,4
27,2608317999,10690662927452,1783482433486307388,4
28,2640350999,10690663038620,1783482433486418556,4
29,2672384000,10690663201565,1783482433486581501,4
30,2704416999,10690663301438,1783482433486681406,4
31,2736449999,10690663368382,1783482433486748318,4
32,2768483000,10690663432447,1783482433486812383,4
33,2800515999,10690663748033,1783482433487128001,4
34,2881890000,10690872371544,1783482433695751512,4
35,2913910999,10690872511193,1783482433695891097,4
36,3009973999,10690872591098,1783482433695971066,4
37,3041994999,10691081138961,1783482433904518929,4
38,3074016000,10691081254258,1783482433904634226,4
39,3106036999,10691081342546,1783482433904722514,4
40,3138057999,10691081426163,1783482433904806131,4
41,3226741332,10691290026570,1783482434113406538,4
42,3258784000,10691290146059,1783482434113525963,4
43,3290826666,10691290384269,1783482434113764237,4
44,3322869332,10691290455437,1783482434113835373,4
45,3495723999,10691499063941,1783482434322443909,4
46,3527753000,10691499171365,1783482434322551333,4
47,3559781999,10691499351623,1783482434322731591,4
48,3591810999,10691499442471,1783482434322822407,4
49,3655868999,10691537063186,1783482434360443154,4
50,3687897999,10691569332156,1783482434392712124,4
51,3719927000,10691601079106,1783482434424459074,4
52,3751955999,10691633086378,1783482434456466346,4
53,3867594666,10691841615425,1783482434664995361,4
54,3899637332,10691841732994,1783482434665112962,4
55,3931680000,10691841824803,1783482434665204771,4
56,3963722666,10691841896515,1783482434665276483,4
57,3995765332,10692050479515,1783482434873859451,4
58,4027808000,10692050580379,1783482434873960315,4
59,4059850666,10692050667196,1783482434874047132,4
60,4091893332,10692050737308,1783482434874117212,4
61,4209968000,10692071504542,1783482434894884510,4
62,4242000999,10692103532934,1783482434926912902,4
63,4290813999,10692312100446,1783482435135480414,4
64,4322835000,10692312213566,1783482435135593534,4
65,4402166000,10692312293919,1783482435135673887,4
66,4434198999,10692312363871,1783482435135743807,4
67,4466231999,10692520967095,1783482435344347063,4
68,4498265000,10692521103704,1783482435344483672,4
69,4530297999,10692521183897,1783482435344563865,4
70,4562330999,10692521259097,1783482435344639065,4
71,4636618666,10692521332601,1783482435344712537,4
72,4680797000,10692729907953,1783482435553287889,4
73,4712825999,10692730050834,1783482435553430802,4
74,4744854999,10692730133650,1783482435553513618,4
75,4776884000,10692730207955,1783482435553587891,4
76,4904999999,10692938779978,1783482435762159882,4
77,4937028999,10692938899115,1783482435762279051,4
78,4969058000,10692939168237,1783482435762548205,4
79,5001086999,10692939259661,1783482435762639597,4
80,5033115999,10692939326638,1783482435762706606,4
81,5097173999,10692978973894,1783482435802353862,4
82,5129202999,10693010918029,1783482435834297965,4
83,5161232000,10693042934069,1783482435866314037,4
84,5193260999,10693074993726,1783482435898373662,4
85,5309514666,10693283562677,1783482436106942613,4
86,5341557332,10693283703926,1783482436107083862,4
87,5373600000,10693283818135,1783482436107198071,4
88,5405642666,10693284051960,1783482436107431896,4
89,5437685332,10693492724529,1783482436316104465,4
90,5469728000,10693492825329,1783482436316205297,4
91,5501770666,10693492909010,1783482436316288946,4
92,5533813332,10693492981138,1783482436316361106,4
93,5565856000,10693493046931,1783482436316426835,4
94,5699737999,10693701635978,1783482436525015914,4
95,5731758999,10693701749515,1783482436525129451,4
96,5763780000,10693701831820,1783482436525211788,4
97,5795800999,10693701907340,1783482436525287308,4
98,5859843000,10693910444772,1783482436733824740,4
99,5891863999,10693910544420,1783482436733924388,4
100,5923884999,10693910717605,1783482436734097541,4
101,5955906000,10693910807174,1783482436734187142,4
102,6046496000,10693910889926,1783482436734269894,4
103,6078538666,10694119460510,1783482436942840446,4
104,6110581332,10694119593791,1783482436942973759,4
105,6142624000,10694119676607,1783482436943056543,4
106,6174666666,10694119750464,1783482436943130432,4
107,6314276000,10694328311319,1783482437151691287,4
108,6346304999,10694328433912,1783482437151813880,4
109,6378333999,10694328521593,1783482437151901497,4
110,6410363000,10694328609081,1783482437151989049,4
111,6442391999,10694328689050,1783482437152069018,4
112,6484310999,10694356726825,1783482437180106761,4
113,6516344000,10694388775057,1783482437212155025,4
114,6548376999,10694420756793,1783482437244136761,4
115,6580409999,10694452794114,1783482437276174050,4
116,6687349332,10694661354457,1783482437484734393,4
117,6719392000,10694661466810,1783482437484846778,4
118,6751434666,10694661550714,1783482437484930650,4
119,6783477332,10694661630779,1783482437485010747,4
120,6815520000,10694870192371,1783482437693572339,4
121,6847562666,10694870300275,1783482437693680211,4
122,6879605332,10694870382548,1783482437693762484,4
123,6911648000,10694870462292,1783482437693842228,4
124,6943690666,10694870686358,1783482437694066326,4
125,7028871999,10694890438865,1783482437713818801,4
126,7060904999,10694922476729,1783482437745856665,4
127,7108662000,10695131008785,1783482437954388753,4
128,7140682999,10695131121586,1783482437954501554,4
129,7221069999,10695131206034,1783482437954585970,4
130,7253102999,10695131286675,1783482437954666643,4
131,7285136000,10695339861483,1783482438163241451,4
132,7317168999,10695339981547,1783482438163361515,4
133,7349201999,10695340071500,1783482438163451468,4
134,7381235000,10695340141420,1783482438163521388,4
135,7456373332,10695340207757,1783482438163587725,4
136,7499348999,10695392971319,1783482438216351255,4
137,7531377999,10695393074359,1783482438216454327,4
138,7563407000,10695424909854,1783482438248289822,4
139,7595435999,10695456932134,1783482438280312070,4
140,7723551999,10695665489790,1783482438488869758,4
141,7755581000,10695665602975,1783482438488982943,4
142,7787609999,10695665689087,1783482438489069055,4
143,7819638999,10695874320152,1783482438697700120,4
144,7851668000,10695874481273,1783482438697861241,4
