batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,0,0,64041999,1783482530828734000
1,0,1,192126000,1783482530835168000
2,0,2,448293999,1783482531235913000
2,3,0,567200000,1783482531163109000
3,0,3,608398999,1783482531444399000
3,3,1,599242666,1783482531195119000
4,0,4,864567000,1783482531460434000
4,3,2,823541332,1783482531739219000
5,0,5,1088713999,1783482531771358000
5,1,0,1134800000,1783482531730691000
5,3,3,1079882666,1783482531803262000
6,0,6,1216797999,1783482532067748000
6,1,1,1230899000,1783482531826803000
6,3,4,1240096000,1783482532067686000
7,0,7,1472965999,1783482532068814000
7,1,2,1423097000,1783482532276997000
7,3,5,1496437332,1783482532276470000
8,0,8,1697112999,1783482532347066000
8,1,3,1711394000,1783482532370701000
8,2,0,1702100000,1783482532297950000
8,3,6,1688693332,1783482532338597000
9,0,9,1729134000,1783482532485471000
9,1,4,1743426999,1783482532402672000
9,2,1,1734128999,1783482532329983000
9,3,7,1720736000,1783482532370905000
10,0,10,1761154999,1783482532694302000
10,1,5,1775459999,1783482532434631000
10,2,2,1766157999,1783482532362025000
10,3,8,1816864000,1783482532412719000
11,0,11,1793175999,1783482532694322000
11,1,6,1807493000,1783482532485454000
11,2,3,1798187000,1783482532394049000
11,3,9,1848906666,1783482532485525000
12,0,12,1825197000,1783482532694329000
12,1,7,1839525999,1783482532485465000
12,2,4,1830215999,1783482532426070000
12,3,10,1880949332,1783482532694322000
13,0,13,1921260000,1783482532694375000
13,1,8,1871558999,1783482532694250000
13,2,5,1862244999,1783482532458128000
13,3,11,1912992000,1783482532694332000
14,0,14,2113386000,1783482532709271000
14,1,9,1903592000,1783482532694303000
14,2,6,1894274000,1783482532694096000
14,3,12,1945034666,1783482532694337000
15,0,15,2145406999,1783482532741250000
15,1,10,2127822999,1783482532723650000
15,2,7,2118476999,1783482532714327000
15,3,13,2105248000,1783482532701076000
16,0,16,2177427999,1783482532773276000
16,1,11,2159855999,1783482532755680000
16,2,8,2150505999,1783482532746382000
16,3,14,2137290666,1783482532733163000
17,0,17,2209449000,1783482532805300000
17,1,12,2191889000,1783482532787744000
17,2,9,2182535000,1783482532926338000
17,3,15,2169333332,1783482532765188000
18,0,18,2241469999,1783482532837341000
18,1,13,2223921999,1783482532926336000
18,2,10,2214563999,1783482533135095000
18,3,16,2201376000,1783482532797238000
19,0,19,2273490999,1783482532869324000
19,1,14,2255954999,1783482533135025000
19,2,11,2246592999,1783482533135101000
19,3,17,2233418666,1783482532926336000
20,0,20,2305512000,1783482532926357000
20,1,15,2287988000,1783482533135073000
20,2,12,2278622000,1783482533135107000
20,3,18,2265461332,1783482533135508000
21,0,21,2337532999,1783482533134986000
21,1,16,2320020999,1783482533135088000
21,2,13,2342679999,1783482533135114000
21,3,19,2297504000,1783482533135518000
22,0,22,2369553999,1783482533135070000
22,1,17,2352053999,1783482533135099000
22,3,20,2329546666,1783482533135523000
23,0,23,2561679999,1783482533157545000
23,1,18,2544251999,1783482533140080000
23,2,14,2566883000,1783482533162732000
23,3,21,2553845332,1783482533149722000
24,0,24,2593701000,1783482533189564000
24,1,19,2576285000,1783482533172135000
24,2,15,2598911999,1783482533194725000
24,3,22,2585888000,1783482533181737000
25,0,25,2625721999,1783482533221629000
25,1,20,2608317999,1783482533204156000
25,2,16,2630940999,1783482533226804000
25,3,23,2617930666,1783482533213769000
26,0,26,2657742999,1783482533348741000
26,1,21,2640350999,1783482533236198000
26,2,17,2662970000,1783482533258829000
26,3,24,2649973332,1783482533245823000
27,0,27,2689764000,1783482533557381000
27,1,22,2672384000,1783482533268226000
27,2,18,2694998999,1783482533290832000
27,3,25,2682016000,1783482533348740000
28,0,28,2721784999,1783482533557402000
28,1,23,2704416999,1783482533348741000
28,2,19,2727027999,1783482533322929000
28,3,26,2714058666,1783482533557824000
29,0,29,2753805999,1783482533557422000
29,1,24,2736449999,1783482533557381000
29,2,20,2759057000,1783482533557499000
29,3,27,2746101332,1783482533557835000
30,0,30,2785827000,1783482533557515000
30,1,25,2768483000,1783482533557491000
30,2,21,2791085999,1783482533557570000
30,3,28,2778144000,1783482533557840000
31,0,31,2977953000,1783482533573810000
31,1,26,2800515999,1783482533557602000
31,2,22,2823114999,1783482533557617000
31,3,29,2810186666,1783482533557843000
32,0,32,3009973999,1783482533605827000
32,1,27,2832548999,1783482533558095000
32,2,23,2855144000,1783482533557962000
32,3,30,2970400000,1783482533566275000
33,0,33,3041994999,1783482533637857000
