batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,0,0,64041999,1783481898124299000
1,0,1,97375332,1783481898125167000
2,0,2,330708663,1783481898575821000
2,3,0,567200000,1783481898471602000
3,3,1,600533333,1783481898503238000
4,0,3,730708659,1783481899047266000
4,3,2,733866665,1783481898631232000
5,1,0,1134800000,1783481899038689000
6,0,4,1164041988,1783481899472851000
6,1,1,1168133333,1783481899070689000
6,3,3,1133866661,1783481899400240000
7,0,5,1364041986,1783481899664999000
7,1,2,1368133331,1783481899569069000
7,3,4,1367199992,1783481899624548000
8,0,6,1397375319,1783481899697055000
8,1,3,1401466664,1783481899646554000
8,2,0,1702100000,1783481899605943000
8,3,5,1400533325,1783481899720678000
9,0,7,1430708652,1783481899729011000
9,1,4,1434799997,1783481899702308000
9,2,1,1735433333,1783481899637953000
9,3,6,1433866658,1783481899752770000
10,0,8,1464041985,1783481899761048000
10,1,5,1468133330,1783481899710790000
10,2,2,1768766666,1783481899670005000
10,3,7,1467199991,1783481899784832000
11,0,9,1497375318,1783481899793079000
11,1,6,1501466663,1783481899742615000
11,2,3,1802099999,1783481899702042000
11,3,8,1500533324,1783481899816855000
12,0,10,1530708651,1783481899825082000
12,1,7,1534799996,1783481899777800000
12,2,4,1835433332,1783481899734044000
12,3,9,1533866657,1783481899848909000
13,0,11,1564041984,1783481899857125000
13,1,8,1568133329,1783481899777836000
13,2,5,1868766665,1783481899766120000
13,3,10,1567199990,1783481899880941000
14,0,12,1597375317,1783481899889166000
14,1,9,1601466662,1783481899825234000
14,2,6,1902099998,1783481899825251000
14,3,11,1600533323,1783481899912978000
15,0,13,1630708650,1783481899921135000
15,1,10,1634799995,1783481899857296000
15,2,7,1935433331,1783481899857308000
15,3,12,1633866656,1783481899945026000
16,0,14,1664041983,1783481899953158000
16,1,11,1668133328,1783481899889342000
16,2,8,1968766664,1783481899889355000
16,3,13,1667199989,1783481899977046000
17,0,15,1697375316,1783481899985171000
17,1,12,1701466661,1783481899921267000
17,2,9,2002099997,1783481899921392000
17,3,14,1700533322,1783481900009072000
18,0,16,1730708649,1783481900017188000
18,1,13,1734799994,1783481899953312000
18,2,10,2035433330,1783481899990285000
18,3,15,1733866655,1783481900041106000
19,0,17,1764041982,1783481900049207000
19,1,14,1768133327,1783481899985297000
19,2,11,2068766663,1783481900022296000
19,3,16,1767199988,1783481900073161000
20,0,18,1797375315,1783481900081231000
20,1,15,1801466660,1783481900017300000
20,2,12,2102099996,1783481900054350000
20,3,17,1800533321,1783481900105181000
21,0,19,1830708648,1783481900113243000
21,1,16,1834799993,1783481900049305000
21,2,13,2135433329,1783481900086367000
21,3,18,1833866654,1783481900137228000
22,0,20,1864041981,1783481900145266000
22,1,17,1868133326,1783481900081327000
22,2,14,2168766662,1783481900118391000
22,3,19,1867199987,1783481900169281000
23,0,21,1930708647,1783481900209309000
23,1,18,1901466659,1783481900113320000
23,2,15,2202099995,1783481900150415000
23,3,20,1933866653,1783481900233358000
24,0,22,1964041980,1783481900241332000
24,1,19,1934799992,1783481900145351000
24,2,16,2235433328,1783481900182433000
24,3,21,1967199986,1783481900265405000
25,0,23,1997375313,1783481900273362000
25,1,20,1968133325,1783481900177361000
25,2,17,2268766661,1783481900214461000
25,3,22,2000533319,1783481900297502000
26,0,24,2030708646,1783481900305419000
26,1,21,2001466658,1783481900209376000
26,2,18,2302099994,1783481900246502000
26,3,23,2033866652,1783481900329487000
27,0,25,2064041979,1783481900337391000
27,1,22,2034799991,1783481900241406000
27,2,19,2335433327,1783481900278564000
27,3,24,2067199985,1783481900361535000
28,0,26,2097375312,1783481900369432000
28,1,23,2068133324,1783481900273496000
28,2,20,2368766660,1783481900310591000
28,3,25,2100533318,1783481900393583000
29,0,27,2130708645,1783481900401449000
29,1,24,2101466657,1783481900338064000
29,2,21,2402099993,1783481900342590000
29,3,26,2133866651,1783481900425644000
30,0,28,2164041978,1783481900433487000
30,1,25,2134799990,1783481900369546000
30,2,22,2435433326,1783481900374625000
30,3,27,2167199984,1783481900457684000
31,0,29,2197375311,1783481900465496000
31,1,26,2168133323,1783481900401577000
31,2,23,2468766659,1783481900406658000
31,3,28,2200533317,1783481900489753000
32,0,30,2230708644,1783481900497520000
32,1,27,2201466656,1783481900433643000
32,2,24,2502099992,1783481900438677000
32,3,29,2233866650,1783481900521747000
33,0,31,2264041977,1783481900529524000
33,1,28,2234799989,1783481900465807000
33,2,25,2535433325,1783481900470710000
33,3,30,2267199983,1783481900553792000
34,0,32,2297375310,1783481900561550000
34,1,29,2268133322,1783481900497683000
34,2,26,2568766658,1783481900502740000
34,3,31,2300533316,1783481900585859000
35,0,33,2330708643,1783481900593576000
35,1,30,2301466655,1783481900529756000
35,2,27,2602099991,1783481900534751000
35,3,32,2333866649,1783481900617893000
36,0,34,2364041976,1783481900625595000
36,1,31,2334799988,1783481900561672000
36,2,28,2635433324,1783481900566784000
36,3,33,2367199982,1783481900649908000
37,0,35,2397375309,1783481900657605000
37,1,32,2368133321,1783481900593715000
37,2,29,2668766657,1783481900598819000
37,3,34,2400533315,1783481900682023000
38,0,36,2430708642,1783481900689672000
38,1,33,2401466654,1783481900625708000
38,2,30,2702099990,1783481900630852000
38,3,35,2433866648,1783481900714019000
39,0,37,2464041975,1783481900785777000
39,1,34,2434799987,1783481900657719000
39,2,31,2735433323,1783481900662914000
39,3,36,2467199981,1783481900746042000
40,0,38,2497375308,1783481900817784000
40,1,35,2468133320,1783481900689821000
40,2,32,2768766656,1783481900694930000
40,3,37,2500533314,1783481900778103000
41,0,39,2530708641,1783481900849789000
41,1,36,2501466653,1783481900722593000
41,2,33,2802099989,1783481900726950000
41,3,38,2533866647,1783481900810194000
42,0,40,2564041974,1783481900881822000
42,1,37,2534799986,1783481900754515000
42,2,34,2835433322,1783481900758953000
42,3,39,2567199980,1783481900842231000
43,0,41,2597375307,1783481900913852000
43,1,38,2568133319,1783481900785959000
43,2,35,2868766655,1783481900791009000
43,3,40,2600533313,1783481900874283000
44,0,42,2630708640,1783481900945837000
44,1,39,2601466652,1783481900817964000
44,2,36,2902099988,1783481900823026000
44,3,41,2633866646,1783481900906322000
45,0,43,2664041973,1783481900977852000
45,1,40,2634799985,1783481900849964000
45,2,37,2935433321,1783481900855158000
45,3,42,2667199979,1783481900938368000
46,0,44,2697375306,1783481901009875000
46,1,41,2668133318,1783481900882001000
46,2,38,2968766654,1783481900887090000
46,3,43,2700533312,1783481900970399000
47,0,45,2730708639,1783481901041929000
47,1,42,2701466651,1783481900914038000
