cam,pts_ns,mono_ns,real_ns
0,64041999,10155300885730,1783481898124265698
0,97375332,10155301778855,1783481898125158791
0,130708665,10155304562551,1783481898127942519
0,164041998,10155305650205,1783481898129030173
0,197375331,10155308437613,1783481898131817549
0,230708664,10155309349811,1783481898132729747
0,264041997,10155501117193,1783481898324497129
3,567200000,10155648196316,1783481898471576284
3,600533333,10155679832979,1783481898503212915
0,297375330,10155709890497,1783481898533270433
3,633866666,10155711853197,1783481898535233133
3,667199999,10155743816230,1783481898567196166
0,330708663,10155752425431,1783481898575805399
3,700533332,10155775842527,1783481898599222495
0,364041996,10155784369232,1783481898607749168
3,733866665,10155807841080,1783481898631221016
3,767199998,10155918391832,1783481898741771800
0,397375329,10155918488025,1783481898741867993
0,430708662,10155918504953,1783481898741884921
0,464041995,10155918598393,1783481898741978329
0,497375328,10155918606489,1783481898741986425
0,530708661,10155945010994,1783481898768390930
3,800533331,10156126987888,1783481898950367856
0,564041994,10156127096464,1783481898950476432
0,597375327,10156127738644,1783481898951118580
0,630708660,10156127771700,1783481898951151668
0,664041993,10156127781140,1783481898951161076
0,697375326,10156137117226,1783481898960497194
1,1134800000,10156215281871,1783481899038661839
0,730708659,10156223870496,1783481899047250464
0,764041992,10156223896801,1783481899047276769
0,797375325,10156233200854,1783481899056580822
1,1168133333,10156247290984,1783481899070670920
3,833866664,10156255904410,1783481899079284378
0,830708658,10156265222736,1783481899088602768
1,1201466666,10156279321186,1783481899102701218
3,867199997,10156287928211,1783481899111308307
0,864041991,10156297247113,1783481899120627177
1,1234799999,10156311358907,1783481899134738939
3,900533330,10156320033709,1783481899143413645
3,933866663,10156328808160,1783481899152188128
0,897375324,10156329267107,1783481899152647075
1,1268133332,10156343400789,1783481899166780725
0,930708657,10156361311356,1783481899184691324
1,1301466665,10156375449582,1783481899198829518
1,1334799998,10156537384792,1783481899360764728
3,967199996,10156537874651,1783481899361254619
0,964041990,10156537878939,1783481899361258907
3,1000533329,10156537925051,1783481899361304987
0,997375323,10156537928763,1783481899361308731
3,1033866662,10156537948827,1783481899361328763
0,1030708656,10156537969211,1783481899361349179
3,1067199995,10156537986683,1783481899361366651
3,1100533328,10156544815171,1783481899368195107
0,1064041989,10156553388340,1783481899376768308
3,1133866661,10156576854012,1783481899400233948
0,1097375322,10156585410478,1783481899408790414
3,1167199994,10156608908150,1783481899432288118
0,1130708655,10156617427975,1783481899440807911
3,1200533327,10156640962895,1783481899464342831
0,1164041988,10156649461761,1783481899472841697
3,1233866660,10156673024713,1783481899496404681
0,1197375321,10156681477562,1783481899504857498
3,1267199993,10156705039810,1783481899528419778
0,1230708654,10156713517747,1783481899536897715
3,1300533326,10156737084156,1783481899560464092
0,1264041987,10156745524941,1783481899568904877
1,1368133331,10156745684750,1783481899569064686
3,1333866659,10156769116053,1783481899592495989
0,1297375320,10156777536774,1783481899600916742
2,1702100000,10156782549955,1783481899605929891
3,1367199992,10156801159055,1783481899624539023
0,1330708653,10156809555456,1783481899632935392
2,1735433333,10156814564605,1783481899637944573
1,1401466664,10156823154862,1783481899646534830
0,1364041986,10156841602489,1783481899664982457
2,1768766666,10156846610838,1783481899669990774
