batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,64041999,10055552094733,1783481798375474701,1
1,230708664,10055757834325,1783481798581214261,1
2,567200000,10055966338924,1783481798789718892,2
3,633866666,10056174956003,1783481798998335939,1
4,833866664,10056381156590,1783481799204536558,2
5,1134800000,10056589745381,1783481799413125349,1
6,1267199993,10056791661176,1783481799615041112,3
7,1468133330,10056998927624,1783481799822307592,3
8,1702100000,10057062994065,1783481799886374001,4
9,1735433333,10057095023302,1783481799918403270,4
10,1768766666,10057127087002,1783481799950466970,4
11,1802099999,10057159071279,1783481799982451215,4
12,1835433332,10057191065155,1783481800014445123,4
13,1868766665,10057223063863,1783481800046443799,4
14,1902099998,10057255100268,1783481800078480204,4
15,1935433331,10057287106017,1783481800110485953,4
16,1968766664,10057319127957,1783481800142507925,4
17,2002099997,10057351201322,1783481800174581258,4
18,2035433330,10057383200478,1783481800206580446,4
19,2068766663,10057415190643,1783481800238570547,4
20,2102099996,10057447219399,1783481800270599367,4
21,2135433329,10057479225660,1783481800302605596,4
22,2168766662,10057511234000,1783481800334613968,4
23,2202099995,10057575389274,1783481800398769210,4
24,2235433328,10057607398095,1783481800430778063,4
25,2268766661,10057639360451,1783481800462740419,4
26,2302099994,10057671436056,1783481800494816024,4
27,2335433327,10057703404172,1783481800526784140,4
28,2368766660,10057735421984,1783481800558801920,4
29,2402099993,10057767421941,1783481800590801877,4
30,2435433326,10057799446090,1783481800622826026,4
31,2468766659,10057831491422,1783481800654871390,4
32,2502099992,10057863504179,1783481800686884147,4
33,2535433325,10057895511687,1783481800718891655,4
34,2568766658,10057927534108,1783481800750914044,4
35,2602099991,10057960339701,1783481800783719669,4
36,2635433324,10057992331529,1783481800815711497,4
37,2668766657,10058023615258,1783481800846995194,4
38,2702099990,10058055714191,1783481800879094159,4
39,2735433323,10058087684643,1783481800911064611,4
40,2768766656,10058119660439,1783481800943040407,4
41,2802099989,10058151754124,1783481800975134060,4
42,2835433322,10058183766913,1783481801007146881,4
43,2868766655,10058215775893,1783481801039155861,4
44,2902099988,10058247764106,1783481801071144042,4
45,2935433321,10058279757342,1783481801103137310,4
46,2968766654,10058320191810,1783481801143571746,4
47,3002099987,10058352246039,1783481801175625975,4
48,3035433320,10058407904305,1783481801231284273,4
49,3068766653,10058439935653,1783481801263315589,4
50,3102099986,10058471928538,1783481801295308506,4
51,3135433319,10058503939118,1783481801327319086,4
52,3168766652,10058535978211,1783481801359358179,4
53,3202099985,10058567975960,1783481801391355896,4
54,3235433318,10058599996908,1783481801423376844,4
55,3268766651,10058631985505,1783481801455365473,4
56,3302099984,10058663992885,1783481801487372821,4
57,3335433317,10058696076522,1783481801519456458,4
58,3368766650,10058728073087,1783481801551452991,4
59,3402099983,10058760082739,1783481801583462707,4
60,3435433316,10058792089480,1783481801615469416,4
