cam,seq,pts_ns,mono_ns,real_ns
0,-1,64041999,9955377130801,1783481698200510801
0,-1,96063000,9955379242493,1783481698202622461
0,-1,128083999,9955381585321,1783481698204965289
0,-1,160104999,9955384152023,1783481698207531959
0,-1,192126000,9955386003617,1783481698209383617
0,-1,224146999,9955387962956,1783481698211342956
0,-1,256167999,9955577338100,1783481698400718068
3,-1,567200000,9955721159492,1783481698544539460
0,-1,288189000,9955729900499,1783481698553280467
0,-1,320209999,9955729954708,1783481698553334612
0,-1,352230999,9955729962164,1783481698553342132
3,-1,599242666,9955753186066,1783481698576566034
0,-1,448293999,9955761936514,1783481698585316450
3,-1,631285332,9955785239073,1783481698608619041
0,-1,576378000,9955785406530,1783481698608786530
3,-1,663328000,9955817281071,1783481698640661071
0,-1,608398999,9955825851774,1783481698649231710
3,-1,695370666,9955849316286,1783481698672696254
0,-1,640419999,9955857836236,1783481698681216204
3,-1,727413332,9955881363117,1783481698704743117
0,-1,672441000,9955993970322,1783481698817350258
3,-1,759456000,9955993970386,1783481698817350354
0,-1,704461999,9955993992274,1783481698817372210
0,-1,736482999,9955993997586,1783481698817377522
0,-1,768504000,9955994001970,1783481698817381938
0,-1,864567000,9956018486936,1783481698841866904
0,-1,896587999,9956202552483,1783481699025932451
3,-1,791498666,9956202559907,1783481699025939875
3,-1,823541332,9956202581507,1783481699025961475
0,-1,928608999,9956202653955,1783481699026033891
0,-1,960630000,9956202666403,1783481699026046371
3,-1,855584000,9956202669219,1783481699026049187
0,-1,992650999,9956202671139,1783481699026051075
0,-1,1056693000,9956210604783,1783481699033984751
1,-1,1134800000,9956288759737,1783481699112139705
0,-1,1088713999,9956297377640,1783481699120757608
3,-1,887626666,9956297382824,1783481699120762760
3,-1,1079882666,9956297407016,1783481699120786952
0,-1,1120734999,9956297417416,1783481699120797384
0,-1,1152756000,9956306663354,1783481699130043322
1,-1,1166832999,9956320754183,1783481699144134151
3,-1,1111925332,9956329333270,1783481699152713238
0,-1,1184776999,9956338674217,1783481699162054153
1,-1,1198865999,9956352780086,1783481699176160086
3,-1,1143968000,9956361286276,1783481699184666244
0,-1,1216797999,9956370706519,1783481699194086519
1,-1,1230899000,9956384832196,1783481699208212164
3,-1,1176010666,9956393358451,1783481699216738451
0,-1,1248819000,9956402725318,1783481699226105254
3,-1,1208053332,9956411048051,1783481699234428019
1,-1,1262931999,9956416855603,1783481699240235571
0,-1,1280839999,9956434743764,1783481699258123732
1,-1,1294964999,9956448888738,1783481699272268706
1,-1,1326998000,9956619671653,1783481699443051621
0,-1,1312860999,9956619674789,1783481699443054725
3,-1,1240096000,9956619683909,1783481699443063877
3,-1,1272138666,9956619705893,1783481699443085829
0,-1,1344882000,9956619707301,1783481699443087237
3,-1,1304181332,9956619712485,1783481699443092453
0,-1,1376902999,9956619718597,1783481699443098565
3,-1,1336224000,9956619720069,1783481699443100037
0,-1,1472965999,9956626872396,1783481699450252332
3,-1,1496437332,9956650376812,1783481699473756812
0,-1,1504986999,9956658900730,1783481699482280698
3,-1,1528480000,9956682411931,1783481699505791899
0,-1,1537008000,9956690911401,1783481699514291369
3,-1,1560522666,9956714470025,1783481699537850025
0,-1,1569028999,9956722947864,1783481699546327832
1,-1,1359030999,9956731425254,1783481699554805190
3,-1,1592565332,9956746496312,1783481699569876312
0,-1,1601049999,9956754956358,1783481699578336294
1,-1,1391063999,9956763489461,1783481699586869397
3,-1,1624608000,9956778521926,1783481699601901926
0,-1,1633071000,9956786997653,1783481699610377589
1,-1,1423097000,9956795559395,1783481699618939363
3,-1,1656650666,9956810561749,1783481699633941685
0,-1,1665091999,9956819003139,1783481699642383107
1,-1,1487162999,9956827626866,1783481699651006834
1,-1,1583261999,9956827690322,1783481699651070290
3,-1,1688693332,9956842605572,1783481699665985572
0,-1,1697112999,9956851033394,1783481699674413362
2,-1,1702100000,9956856048237,1783481699679428205
3,-1,1720736000,9956874654066,1783481699698034002
0,-1,1729134000,9956883050720,1783481699706430688
2,-1,1734128999,9956888035419,1783481699711415355
1,-1,1615295000,9956896529930,1783481699719909898
0,-1,1761154999,9956915069615,1783481699738449551
2,-1,1766157999,9956920058186,1783481699743438154
0,-1,1793175999,9956947076989,1783481699770456925
2,-1,1798187000,9956952115705,1783481699775495673
1,-1,1647327999,9956952376282,1783481699775756218
1,-1,1679360999,9956960777288,1783481699784157256
3,-1,1816864000,9956970786143,1783481699794166079
0,-1,1825197000,9956979114892,1783481699802494860
2,-1,1830215999,9956984129767,1783481699807509703
1,-1,1711394000,9956992626582,1783481699816006550
3,-1,1848906666,9957002834445,1783481699826214445
0,-1,1857217999,9957011129978,1783481699834509946
2,-1,1862244999,9957016153590,1783481699839533558
3,-1,1880949332,9957034893756,1783481699858273724
1,-1,1743426999,9957035076669,1783481699858456637
1,-1,1807493000,9957035094525,1783481699858474493
0,-1,1889238999,9957043160585,1783481699866540553
3,-1,1912992000,9957066920779,1783481699890300779
0,-1,1921260000,9957075171704,1783481699898551672
2,-1,1894274000,9957075277208,1783481699898657144
1,-1,1839525999,9957075278712,1783481699898658680
3,-1,1945034666,9957098976441,1783481699922356473
0,-1,1953280999,9957107213126,1783481699930593094
1,-1,1871558999,9957107349511,1783481699930729479
2,-1,1926302999,9957107355271,1783481699930735207
3,-1,1977077332,9957131005960,1783481699954385960
0,-1,1985301999,9957139238805,1783481699962618741
1,-1,1903592000,9957139380758,1783481699962760758
2,-1,1958331999,9957139382038,1783481699962762006
3,-1,2009120000,9957163055671,1783481699986435639
0,-1,2017323000,9957171266787,1783481699994646787
1,-1,1935624999,9957171440260,1783481699994820260
2,-1,1990361000,9957171565989,1783481699994945957
3,-1,2041162666,9957195109893,1783481700018489829
0,-1,2049343999,9957203283282,1783481700026663282
1,-1,1967657999,9957203428723,1783481700026808659
3,-1,2073205332,9957227135444,1783481700050515412
0,-1,2081364999,9957235296096,1783481700058676064
1,-1,2063756999,9957235429953,1783481700058809921
2,-1,2086448000,9957240358620,1783481700063738588
3,-1,2105248000,9957259159971,1783481700082539939
0,-1,2113386000,9957267294415,1783481700090674383
1,-1,2095790000,9957267394032,1783481700090774000
2,-1,2118476999,9957272405003,1783481700095785003
3,-1,2137290666,9957291209649,1783481700114589649
0,-1,2145406999,9957299315550,1783481700122695518
1,-1,2127822999,9957299413534,1783481700122793470
2,-1,2150505999,9957304416025,1783481700127795993
3,-1,2169333332,9957323260576,1783481700146640512
0,-1,2177427999,9957331346892,1783481700154726892
1,-1,2159855999,9957331463853,1783481700154843821
2,-1,2182535000,9957336448264,1783481700159828264
3,-1,2201376000,9957355288431,1783481700178668367
0,-1,2209449000,9957363357371,1783481700186737339
1,-1,2191889000,9957363432635,1783481700186812603
