batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,0,0,64041999,1783481831519301000
1,0,1,230708664,1783481831529029000
2,0,2,430708662,1783481831926933000
2,3,0,567200000,1783481831854118000
3,3,1,633866666,1783481831918202000
4,0,3,830708658,1783481832430931000
4,3,2,833866664,1783481832344170000
5,1,0,1134800000,1783481832421797000
6,0,4,1264041987,1783481832887969000
6,1,1,1268133332,1783481832549953000
6,3,3,1267199993,1783481832847532000
7,0,5,1464041985,1783481833080092000
7,1,2,1468133330,1783481832961788000
7,3,4,1467199991,1783481833103964000
8,0,6,1497375318,1783481833112116000
8,1,3,1501466663,1783481833029748000
8,2,0,1702100000,1783481832989066000
8,3,5,1500533324,1783481833135948000
9,0,7,1530708651,1783481833144240000
9,1,4,1534799996,1783481833085433000
9,2,1,1735433333,1783481833021017000
9,3,6,1533866657,1783481833168104000
10,0,8,1564041984,1783481833176210000
10,1,5,1568133329,1783481833094138000
10,2,2,1768766666,1783481833053052000
10,3,7,1567199990,1783481833199998000
11,0,9,1597375317,1783481833208161000
11,1,6,1601466662,1783481833125837000
11,2,3,1802099999,1783481833085192000
11,3,8,1600533323,1783481833231957000
12,0,10,1630708650,1783481833240197000
12,1,7,1634799995,1783481833168747000
12,2,4,1835433332,1783481833117125000
12,3,9,1633866656,1783481833264221000
13,0,11,1664041983,1783481833272305000
13,1,8,1668133328,1783481833168786000
13,2,5,1868766665,1783481833149165000
13,3,10,1667199989,1783481833296122000
14,0,12,1697375316,1783481833304252000
14,1,9,1701466661,1783481833208380000
14,2,6,1902099998,1783481833208355000
14,3,11,1700533322,1783481833328166000
15,0,13,1730708649,1783481833336268000
15,1,10,1734799994,1783481833240388000
15,2,7,1935433331,1783481833240393000
15,3,12,1733866655,1783481833360138000
16,0,14,1764041982,1783481833368279000
16,1,11,1768133327,1783481833273837000
16,2,8,1968766664,1783481833273837000
16,3,13,1767199988,1783481833392243000
17,0,15,1797375315,1783481833400323000
17,1,12,1801466660,1783481833304006000
17,2,9,2002099997,1783481833304015000
17,3,14,1800533321,1783481833424274000
18,0,16,1830708648,1783481833432405000
18,1,13,1834799993,1783481833336478000
18,2,10,2035433330,1783481833373352000
18,3,15,1833866654,1783481833456302000
19,0,17,1864041981,1783481833464430000
19,1,14,1868133326,1783481833368462000
19,2,11,2068766663,1783481833405430000
19,3,16,1867199987,1783481833488305000
20,0,18,1897375314,1783481833496526000
20,1,15,1901466659,1783481833400516000
20,2,12,2102099996,1783481833437398000
20,3,17,1900533320,1783481833520504000
21,0,19,1930708647,1783481833530318000
21,1,16,1934799992,1783481833432774000
21,2,13,2135433329,1783481833469609000
21,3,18,1933866653,1783481833552393000
22,0,20,1964041980,1783481833560501000
22,1,17,1968133325,1783481833464611000
22,2,14,2168766662,1783481833502627000
22,3,19,1967199986,1783481833584465000
23,0,21,2030708646,1783481833624451000
23,1,18,2001466658,1783481833498630000
23,2,15,2202099995,1783481833533564000
23,3,20,2033866652,1783481833648502000
24,0,22,2064041979,1783481833656541000
24,1,19,2034799991,1783481833529141000
24,2,16,2235433328,1783481833565572000
24,3,21,2067199985,1783481833680557000
25,0,23,2097375312,1783481833688492000
25,1,20,2068133324,1783481833565090000
25,2,17,2268766661,1783481833597569000
25,3,22,2100533318,1783481833712665000
26,0,24,2130708645,1783481833720508000
26,1,21,2101466657,1783481833589031000
26,2,18,2302099994,1783481833629593000
