cam,pts_ns,mono_ns,real_ns
0,64041999,10088695895402,1783481831519275338
0,97375332,10088696890704,1783481831520270672
0,130708665,10088700193027,1783481831523572963
0,164041998,10088701445738,1783481831524825674
0,197375331,10088704669980,1783481831528049916
0,230708664,10088705642882,1783481831529022850
0,264041997,10088896156317,1783481831719536285
3,567200000,10089030711771,1783481831854091707
0,297375330,10089039509901,1783481831862889837
0,330708663,10089039524813,1783481831862904781
3,600533333,10089062844370,1783481831886224338
0,364041996,10089071642692,1783481831895022628
3,633866666,10089094799112,1783481831918179048
0,397375329,10089103530649,1783481831926910585
0,430708662,10089103551897,1783481831926931833
3,667199999,10089126844958,1783481831950224926
3,700533332,10089159064245,1783481831982444213
0,464041995,10089167855751,1783481831991235719
3,733866665,10089190929803,1783481832014309771
0,497375328,10089311988475,1783481832135368443
3,767199998,10089311989947,1783481832135369883
0,530708661,10089312029628,1783481832135409564
0,564041994,10089312035964,1783481832135415932
0,597375327,10089312040860,1783481832135420828
0,630708660,10089328144887,1783481832151524823
0,664041993,10089520631935,1783481832344011903
0,697375326,10089520747103,1783481832344127039
0,730708659,10089520760864,1783481832344140832
0,764041992,10089520765824,1783481832344145792
3,800533331,10089520782304,1783481832344162240
3,833866664,10089520789088,1783481832344169024
0,797375325,10089552220915,1783481832375600851
1,1134800000,10089598390873,1783481832421770809
3,867199997,10089607175883,1783481832430555851
3,900533330,10089607192491,1783481832430572427
0,830708658,10089607544781,1783481832430924749
0,864041991,10089616270271,1783481832439650239
1,1168133333,10089630350447,1783481832453730415
3,933866663,10089639015744,1783481832462395712
0,897375324,10089648282389,1783481832471662325
1,1201466666,10089662381541,1783481832485761509
3,967199996,10089671025143,1783481832494405111
0,930708657,10089680298219,1783481832503678155
1,1234799999,10089694422844,1783481832517802812
3,1000533329,10089703107341,1783481832526487277
0,964041990,10089712329858,1783481832535709826
3,1033866662,10089720886386,1783481832544266354
1,1268133332,10089726548883,1783481832549928819
0,997375323,10089744448344,1783481832567828312
1,1301466665,10089758491080,1783481832581871016
0,1030708656,10089776375022,1783481832599754990
0,1064041989,10089929737047,1783481832753117015
0,1097375322,10089929758679,1783481832753138647
1,1334799998,10089929778135,1783481832753158103
3,1067199995,10089929797591,1783481832753177559
3,1100533328,10089929804759,1783481832753184727
3,1133866661,10089929808439,1783481832753188407
3,1167199994,10089929812087,1783481832753192023
0,1130708655,10089936455773,1783481832759835709
3,1200533327,10089959991523,1783481832783371491
0,1164041988,10089968489203,1783481832791869171
3,1233866660,10089991993561,1783481832815373529
0,1197375321,10090000525738,1783481832823905706
3,1267199993,10090024129264,1783481832847509232
0,1230708654,10090032541376,1783481832855921312
3,1300533326,10090056161606,1783481832879541574
0,1264041987,10090064565654,1783481832887945590
3,1333866659,10090088178429,1783481832911558365
0,1297375320,10090096592300,1783481832919972236
1,1368133331,10090096807150,1783481832920187086
1,1401466664,10090105387199,1783481832928767167
3,1367199992,10090120216499,1783481832943596467
0,1330708653,10090128606339,1783481832951986307
1,1434799997,10090138338714,1783481832961718682
1,1468133330,10090138406330,1783481832961786234
3,1400533325,10090152205417,1783481832975585353
0,1364041986,10090160635321,1783481832984015289
2,1702100000,10090165658646,1783481832989038614
3,1433866658,10090186643981,1783481833010023917
0,1397375319,10090192665391,1783481833016045359
2,1735433333,10090197617451,1783481833020997419
1,1501466663,10090206364029,1783481833029743997
0,1430708652,10090224712102,1783481833048092038
2,1768766666,10090229652962,1783481833053032930
0,1464041985,10090256689020,1783481833080068956
2,1802099999,10090261791417,1783481833085171385
1,1534799996,10090262046618,1783481833085426586
1,1568133329,10090270741036,1783481833094120972
3,1467199991,10090280561508,1783481833103941476
0,1497375318,10090288711346,1783481833112091282
2,1835433332,10090293722863,1783481833117102799
1,1601466662,10090302440768,1783481833125820736
3,1500533324,10090312543834,1783481833135923770
0,1530708651,10090320834313,1783481833144214281
2,1868766665,10090325760229,1783481833149140197
3,1533866657,10090344656336,1783481833168036272
1,1634799995,10090345334932,1783481833168714868
1,1668133328,10090345403157,1783481833168783125
0,1564041984,10090352809087,1783481833176189055
3,1567199990,10090376595846,1783481833199975814
0,1597375317,10090384759029,1783481833208138997
2,1902099998,10090384967574,1783481833208347510
1,1701466661,10090384993046,1783481833208373014
3,1600533323,10090408553724,1783481833231933660
0,1630708650,10090416794411,1783481833240174379
1,1734799994,10090417002636,1783481833240382572
2,1935433331,10090417006092,1783481833240386028
3,1633866656,10090440816660,1783481833264196596
0,1664041983,10090448902946,1783481833272282914
2,1968766664,10090450446603,1783481833273826571
1,1768133327,10090450446827,1783481833273826795
3,1667199989,10090472717993,1783481833296097929
1,1801466660,10090480617334,1783481833303997270
2,2002099997,10090480629878,1783481833304009846
0,1697375316,10090480866616,1783481833304246648
3,1700533322,10090504763200,1783481833328143168
0,1730708649,10090512864398,1783481833336244366
1,1834799993,10090513089935,1783481833336469903
3,1733866655,10090536734294,1783481833360114262
0,1764041982,10090544876548,1783481833368256484
1,1868133326,10090545075045,1783481833368455013
2,2035433330,10090549950273,1783481833373330209
3,1767199988,10090568841741,1783481833392221677
0,1797375315,10090576917691,1783481833400297659
1,1901466659,10090577127580,1783481833400507548
2,2068766663,10090581996631,1783481833405376599
3,1800533321,10090600824739,1783481833424204707
0,1830708648,10090609000145,1783481833432380113
1,1934799992,10090609384371,1783481833432764339
2,2102099996,10090613998606,1783481833437378606
3,1833866654,10090632843001,1783481833456222969
0,1864041981,10090641029224,1783481833464409192
1,1968133325,10090641220361,1783481833464600329
2,2135433329,10090646170181,1783481833469550149
3,1867199987,10090664900367,1783481833488280303
0,1897375314,10090673122398,1783481833496502334
1,2001466658,10090675239978,1783481833498619946
2,2168766662,10090679226273,1783481833502606241
3,1900533320,10090697098087,1783481833520478023
1,2034799991,10090705747512,1783481833529127448
0,1930708647,10090706924639,1783481833530304575
2,2202099995,10090710167281,1783481833533547249
3,1933866653,10090728989820,1783481833552369788
0,1964041980,10090737096618,1783481833560476554
1,2068133324,10090741653316,1783481833565033284
2,2235433328,10090742180807,1783481833565560711
3,1967199986,10090761058451,1783481833584438387
1,2101466657,10090765637613,1783481833589017549
0,1997375313,10090768995136,1783481833592375104
2,2268766661,10090774167517,1783481833597547485
3,2000533319,10090793063433,1783481833616443401
0,2030708646,10090801048310,1783481833624428278
1,2134799990,10090801234423,1783481833624614391
2,2302099994,10090806190388,1783481833629570324
3,2033866652,10090825100159,1783481833648480127
0,2064041979,10090833105485,1783481833656485453
1,2168133323,10090834326676,1783481833657706612
2,2335433327,10090838228234,1783481833661608202
3,2067199985,10090857152790,1783481833680532726
0,2097375312,10090865093347,1783481833688473315
2,2368766660,10090870318305,1783481833693698273
3,2100533318,10090889262157,1783481833712642125
0,2130708645,10090897104985,1783481833720484921
1,2201466656,10090897633276,1783481833721013212
2,2402099993,10090902449048,1783481833725828984
3,2133866651,10090921233155,1783481833744613091
0,2164041978,10090929130992,1783481833752510928
1,2234799989,10090929328209,1783481833752708177
2,2435433326,10090934301645,1783481833757681613
3,2167199984,10090953271737,1783481833776651705
0,2197375311,10090961143014,1783481833784522982
1,2268133322,10090961329383,1783481833784709319
2,2468766659,10090966324323,1783481833789704291
3,2200533317,10090985309999,1783481833808689967
0,2230708644,10090993166940,1783481833816546876
1,2301466655,10090993357309,1783481833816737245
2,2502099992,10090998369658,1783481833821749594
3,2233866650,10091017344934,1783481833840724902
0,2264041977,10091025262323,1783481833848642259
1,2334799988,10091025600085,1783481833848980053
2,2535433325,10091030356496,1783481833853736464
3,2267199983,10091049389724,1783481833872769692
0,2297375310,10091057212969,1783481833880592937
1,2368133321,10091057389258,1783481833880769226
2,2568766658,10091062405414,1783481833885785382
3,2300533316,10091081436979,1783481833904816915
0,2330708643,10091089230335,1783481833912610303
1,2401466654,10091089546145,1783481833912926081
2,2602099991,10091094445981,1783481833917825949
3,2333866649,10091113486185,1783481833936866121
0,2364041976,10091121365782,1783481833944745718
1,2434799987,10091121568119,1783481833944948087
2,2635433324,10091126470899,1783481833949850803
3,2367199982,10091145518879,1783481833968898815
0,2397375309,10091153262475,1783481833976642443
1,2468133320,10091153442732,1783481833976822700
2,2668766657,10091158497289,1783481833981877257
3,2400533315,10091177562038,1783481834000942006
0,2430708642,10091185279106,1783481834008659074
1,2501466653,10091185453731,1783481834008833699
2,2702099990,10091190494079,1783481834013874047
3,2433866648,10091209990798,1783481834033370734
0,2464041975,10091217338072,1783481834040718040
1,2534799986,10091217551961,1783481834040931929
2,2735433323,10091222544566,1783481834045924502
3,2467199981,10091241646339,1783481834065026307
0,2497375308,10091249343822,1783481834072723758
1,2568133319,10091249527087,1783481834072907023
2,2768766656,10091254569548,1783481834077949484
3,2500533314,10091273695417,1783481834097075385
1,2601466652,10091282468171,1783481834105848139
2,2802099989,10091286581602,1783481834109961570
3,2533866647,10091305739760,1783481834129119696
1,2634799985,10091314380065,1783481834137760001
2,2835433322,10091318653049,1783481834142033017
3,2567199980,10091337863846,1783481834161243814
0,2530708641,10091345394577,1783481834168774545
1,2668133318,10091345605363,1783481834168985299
2,2868766655,10091350693487,1783481834174073423
3,2600533313,10091369823260,1783481834193203196
0,2564041974,10091377456264,1783481834200836200
1,2701466651,10091377658825,1783481834201038793
2,2902099988,10091382716678,1783481834206096614
3,2633866646,10091401867923,1783481834225247891
0,2597375307,10091409443134,1783481834232823070
1,2734799984,10091409656223,1783481834233036191
2,2935433321,10091414740604,1783481834238120572
3,2667199979,10091433912713,1783481834257292617
0,2630708640,10091441449492,1783481834264829460
1,2768133317,10091441622421,1783481834265002357
2,2968766654,10091446925555,1783481834270305491
3,2700533312,10091466025184,1783481834289405152
0,2664041973,10091473466155,1783481834296846091
1,2801466650,10091473655532,1783481834297035436
2,3002099987,10091478796393,1783481834302176329
3,2733866645,10091498003990,1783481834321383958
0,2697375306,10091505550753,1783481834328930721
1,2834799983,10091505816419,1783481834329196355
2,3035433320,10091510802367,1783481834334182303
3,2767199978,10091530034989,1783481834353414957
0,2730708639,10091537522487,1783481834360902423
1,2868133316,10091537741497,1783481834361121465
2,3068766653,10091542832822,1783481834366212758
3,2800533311,10091562083619,1783481834385463587
0,2764041972,10091569534638,1783481834392914734
1,2901466649,10091569737455,1783481834393117391
2,3102099986,10091574863692,1783481834398243660
3,2833866644,10091594161978,1783481834417541914
0,2797375305,10091601578340,1783481834424958308
1,2934799982,10091601852806,1783481834425232742
2,3135433319,10091606897794,1783481834430277762
0,2830708638,10091633594938,1783481834456974906
1,2968133315,10091642262860,1783481834465642828
2,3168766652,10091642264012,1783481834465643948
0,2864041971,10091665610641,1783481834488990577
1,3001466648,10091674207490,1783481834497587426
2,3202099985,10091674209730,1783481834497589698
3,2867199977,10091690259421,1783481834513639389
0,2897375304,10091697635943,1783481834521015911
3,2900533310,10091722293875,1783481834545673843
0,2930708637,10091729773310,1783481834553153246
2,3235433318,10091730032927,1783481834553412895
1,3034799981,10091730748324,1783481834554128260
3,2933866643,10091754348490,1783481834577728394
2,3268766651,10091763046939,1783481834586426907
1,3068133314,10091763046843,1783481834586426779
0,2964041970,10091763104796,1783481834586484764
3,2967199976,10091786375040,1783481834609755008
0,2997375303,10091793834731,1783481834617214699
2,3302099984,10091794043212,1783481834617423180
1,3101466647,10091794043916,1783481834617423884
3,3000533309,10091818420407,1783481834641800343
0,3030708636,10091825736416,1783481834649116352
2,3335433317,10091825954690,1783481834649334658
1,3134799980,10091825955138,1783481834649335074
3,3033866642,10091850638894,1783481834674018862
0,3064041969,10091857894071,1783481834681274007
2,3368766650,10091858109913,1783481834681489849
1,3168133313,10091858109945,1783481834681489913
3,3067199975,10091882593604,1783481834705973540
0,3097375302,10091889767341,1783481834713147277
2,3402099983,10091889992334,1783481834713372302
1,3201466646,10091890628242,1783481834714008178
3,3100533308,10091914553978,1783481834737933914
0,3130708635,10091922233446,1783481834745613382
1,3234799979,10091922455687,1783481834745835623
3,3133866641,10091946597489,1783481834769977457
0,3164041968,10091953780729,1783481834777160665
1,3268133312,10091953946394,1783481834777326362
2,3435433316,10091959231001,1783481834782610969
3,3167199974,10091978630983,1783481834802010919
0,3197375301,10091985804624,1783481834809184592
1,3301466645,10091986002289,1783481834809382257
2,3468766649,10091991259727,1783481834814639663
3,3200533307,10092010679741,1783481834834059709
0,3230708634,10092017822438,1783481834841202374
1,3334799978,10092018029543,1783481834841409479
2,3502099982,10092023276965,1783481834846656933
3,3233866640,10092042729716,1783481834866109652
0,3264041967,10092049852253,1783481834873232221
1,3368133311,10092050043230,1783481834873423198
2,3535433315,10092055299164,1783481834878679132
3,3267199973,10092074765418,1783481834898145386
0,3297375300,10092081909619,1783481834905289587
1,3401466644,10092082129012,1783481834905508980
2,3568766648,10092087335634,1783481834910715570
3,3300533306,10092106827873,1783481834930207841
0,3330708633,10092113916937,1783481834937296873
1,3434799977,10092114143019,1783481834937522987
2,3602099981,10092119364840,1783481834942744776
3,3333866639,10092138835639,1783481834962215543
0,3364041966,10092145924128,1783481834969304096
1,3468133310,10092146131777,1783481834969511713
2,3635433314,10092151402687,1783481834974782623
3,3367199972,10092170890510,1783481834994270446
0,3397375299,10092177942870,1783481835001322838
1,3501466643,10092178150647,1783481835001530615
2,3668766647,10092183486901,1783481835006866869
