batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,64041999,10122232354399,1783481865055734335,1
1,197375331,10122438861056,1783481865262241024,1
2,567200000,10122647451982,1783481865470831950,2
3,600533333,10122856067708,1783481865679447644,1
4,800533331,10123064567465,1783481865887947433,2
5,1134800000,10123273246743,1783481866096626679,1
6,1234799999,10123481785669,1783481866305165605,3
7,1434799997,10123688456935,1783481866511836903,3
8,1702100000,10123728699055,1783481866552079023,4
9,1735433333,10123760723878,1783481866584103846,4
10,1768766666,10123792737182,1783481866616117150,4
11,1802099999,10123824772182,1783481866648152118,4
12,1835433332,10123856790030,1783481866680169966,4
13,1868766665,10123888797702,1783481866712177638,4
14,1902099998,10123920806782,1783481866744186750,4
15,1935433331,10123952819222,1783481866776199158,4
16,1968766664,10123984860174,1783481866808240110,4
17,2002099997,10124016890406,1783481866840270374,4
18,2035433330,10124048982238,1783481866872362206,4
19,2068766663,10124080963094,1783481866904343062,4
20,2102099996,10124112990669,1783481866936370637,4
21,2135433329,10124144995461,1783481866968375397,4
22,2168766662,10124177000125,1783481867000380125,4
23,2202099995,10124241699985,1783481867065079953,4
24,2235433328,10124273116325,1783481867096496293,4
25,2268766661,10124305213950,1783481867128593918,4
26,2302099994,10124337229077,1783481867160608981,4
27,2335433327,10124369211693,1783481867192591661,4
28,2368766660,10124401245061,1783481867224624997,4
29,2402099993,10124433258301,1783481867256638237,4
30,2435433326,10124465260725,1783481867288640693,4
31,2468766659,10124497226221,1783481867320606157,4
32,2502099992,10124529239300,1783481867352619236,4
33,2535433325,10124561232284,1783481867384612188,4
34,2568766658,10124593288884,1783481867416668852,4
35,2602099991,10124626054481,1783481867449434449,4
36,2635433324,10124658146153,1783481867481526121,4
37,2668766657,10124689366044,1783481867512745980,4
38,2702099990,10124721367412,1783481867544747348,4
39,2735433323,10124753375852,1783481867576755820,4
40,2768766656,10124785391172,1783481867608771108,4
41,2802099989,10124817398492,1783481867640778428,4
42,2835433322,10124849432020,1783481867672811956,4
43,2868766655,10124881444748,1783481867704824716,4
44,2902099988,10124913459779,1783481867736839747,4
45,2935433321,10124945483707,1783481867768863675,4
46,2968766654,10124985899876,1783481867809279780,4
47,3002099987,10125017933020,1783481867841312988,4
48,3035433320,10125073578875,1783481867896958843,4
49,3068766653,10125105596915,1783481867928976883,4
50,3102099986,10125137597355,1783481867960977291,4
51,3135433319,10125169630595,1783481867993010531,4
52,3168766652,10125201644027,1783481868025023995,4
53,3202099985,10125233719635,1783481868057099603,4
54,3235433318,10125265837804,1783481868089217772,4
55,3268766651,10125297767587,1783481868121147523,4
56,3302099984,10125329845148,1783481868153225084,4
57,3335433317,10125361911316,1783481868185291252,4
58,3368766650,10125393933100,1783481868217313036,4
59,3402099983,10125425873699,1783481868249253635,4
60,3435433316,10125457900699,1783481868281280667,4
61,3468766649,10125489894995,1783481868313274963,4
62,3502099982,10125521903499,1783481868345283435,4
63,3535433315,10125553952835,1783481868377332771,4
64,3568766648,10125585947291,1783481868409327259,4
65,3602099981,10125617926355,1783481868441306323,4
66,3635433314,10125649972651,1783481868473352619,4
67,3668766647,10125681997539,1783481868505377475,4
68,3702099980,10125713991995,1783481868537371963,4
69,3735433313,10125746078931,1783481868569458899,4
70,3768766646,10125778023883,1783481868601403819,4
71,3802099979,10125810063555,1783481868633443491,4
72,3835433312,10125874207187,1783481868697587155,4
73,3868766645,10125906126155,1783481868729506123,4
74,3902099978,10125938141379,1783481868761521347,4
75,3935433311,10125970218139,1783481868793598075,4
76,3968766644,10126002185427,1783481868825565395,4
77,4002099977,10126035929204,1783481868859309172,4
78,4035433310,10126067939724,1783481868891319660,4
79,4068766643,10126098240986,1783481868921620954,4
80,4102099976,10126130292115,1783481868953672083,4
81,4135433309,10126162309611,1783481868985689579,4
82,4168766642,10126194310306,1783481869017690242,4
83,4202099975,10126226340379,1783481869049720347,4
84,4235433308,10126258537524,1783481869081917492,4
85,4268766641,10126290401771,1783481869113781707,4
86,4302099974,10126322378243,1783481869145758211,4
87,4335433307,10126354424347,1783481869177804315,4
88,4368766640,10126395030084,1783481869218410020,4
89,4402099973,10126426994044,1783481869250374012,4
90,4435433306,10126450572707,1783481869273952643,4
91,4468766639,10126482609083,1783481869305989019,4
92,4502099972,10126514694708,1783481869338074676,4
93,4535433305,10126546595083,1783481869369975019,4
94,4568766638,10126578635363,1783481869402015331,4
95,4602099971,10126610664571,1783481869434044475,4
96,4635433304,10126674701803,1783481869498081739,4
97,4668766637,10126706723203,1783481869530103171,4
98,4702099970,10126712467876,1783481869535847844,4
99,4735433303,10126752998157,1783481869576378093,4
100,4768766636,10126785069222,1783481869608449190,4
101,4802099969,10126817053502,1783481869640433470,4
102,4835433302,10126849143414,1783481869672523382,4
103,4868766635,10126881104878,1783481869704484814,4
104,4902099968,10126913027077,1783481869736407013,4
105,4935433301,10126945045853,1783481869768425821,4
