cam,seq,pts_ns,mono_ns,real_ns
0,-1,64041999,10122032150722,1783481864855530658
0,-1,96063000,10122034980946,1783481864858360882
0,-1,128083999,10122036573787,1783481864859953755
0,-1,160104999,10122039371563,1783481864862751531
0,-1,192126000,10122040910868,1783481864864290836
0,-1,224146999,10122043265057,1783481864866644993
0,-1,256167999,10122232381023,1783481865055760991
3,-1,567200000,10122374609872,1783481865197989808
0,-1,288189000,10122383428866,1783481865206808866
3,-1,599242666,10122406642375,1783481865230022343
0,-1,320209999,10122415273433,1783481865238653401
3,-1,631285332,10122438680703,1783481865262060671
0,-1,352230999,10122438872449,1783481865262252385
0,-1,448293999,10122438971553,1783481865262351521
3,-1,663328000,10122470722487,1783481865294102487
3,-1,695370666,10122502769359,1783481865326149359
0,-1,576378000,10122511390945,1783481865334770913
3,-1,727413332,10122534814567,1783481865358194535
0,-1,608398999,10122647471118,1783481865470851086
3,-1,759456000,10122647483310,1783481865470863278
0,-1,640419999,10122647499054,1783481865470879022
0,-1,672441000,10122647508526,1783481865470888462
0,-1,704461999,10122647513934,1783481865470893870
0,-1,864567000,10122671963451,1783481865495343419
3,-1,791498666,10122856110204,1783481865679490140
0,-1,896587999,10122856126780,1783481865679506748
0,-1,928608999,10122856247709,1783481865679627645
0,-1,960630000,10122856260477,1783481865679640445
0,-1,992650999,10122856265853,1783481865679645789
0,-1,1056693000,10122864038345,1783481865687418281
1,-1,1134800000,10122942164170,1783481865765544106
3,-1,823541332,10122950678747,1783481865774058715
0,-1,1088713999,10122950680411,1783481865774060347
0,-1,1120734999,10122950697755,1783481865774077691
3,-1,855584000,10122950760059,1783481865774140027
0,-1,1152756000,10122960100497,1783481865783480433
1,-1,1166832999,10122974194082,1783481865797574018
3,-1,887626666,10122982681523,1783481865806061491
0,-1,1184776999,10122992125065,1783481865815505033
1,-1,1198865999,10123006214522,1783481865829594458
3,-1,1079882666,10123014660778,1783481865838040778
0,-1,1216797999,10123024149121,1783481865847529089
1,-1,1230899000,10123038270802,1783481865861650738
3,-1,1143968000,10123046876771,1783481865870256739
0,-1,1248819000,10123056186425,1783481865879566361
3,-1,1176010666,10123064591817,1783481865887971785
1,-1,1262931999,10123070289290,1783481865893669258
0,-1,1280839999,10123088190288,1783481865911570256
1,-1,1294964999,10123102313570,1783481865925693538
0,-1,1312860999,10123273272311,1783481866096652215
3,-1,1208053332,10123273280887,1783481866096660887
0,-1,1344882000,10123273306423,1783481866096686359
1,-1,1326998000,10123273308279,1783481866096688247
0,-1,1376902999,10123273347288,1783481866096727256
3,-1,1240096000,10123273356344,1783481866096736280
3,-1,1272138666,10123273379160,1783481866096759128
3,-1,1304181332,10123273395640,1783481866096775576
0,-1,1472965999,10123280717058,1783481866104097026
3,-1,1496437332,10123303818823,1783481866127198759
0,-1,1504986999,10123312345816,1783481866135725816
3,-1,1528480000,10123335867455,1783481866159247423
0,-1,1537008000,10123344360239,1783481866167740207
3,-1,1560522666,10123367915351,1783481866191295319
0,-1,1569028999,10123376409063,1783481866199789063
3,-1,1592565332,10123399935407,1783481866223315407
0,-1,1601049999,10123408425599,1783481866231805567
3,-1,1624608000,10123431995047,1783481866255375047
0,-1,1633071000,10123440534392,1783481866263914328
1,-1,1359030999,10123449115529,1783481866272495465
3,-1,1656650666,10123464121631,1783481866287501599
0,-1,1665091999,10123472483375,1783481866295863471
1,-1,1391063999,10123481808869,1783481866305188837
1,-1,1423097000,10123481903877,1783481866305283813
3,-1,1688693332,10123496047799,1783481866319427735
0,-1,1697112999,10123504489095,1783481866327869031
2,-1,1702100000,10123509479524,1783481866332859524
3,-1,1720736000,10123528061166,1783481866351441166
0,-1,1729134000,10123536572863,1783481866359952831
2,-1,1734128999,10123541493051,1783481866364873051
1,-1,1487162999,10123549999468,1783481866373379436
0,-1,1761154999,10123568541207,1783481866391921143
2,-1,1766157999,10123573523507,1783481866396903507
0,-1,1793175999,10123600522254,1783481866423902222
2,-1,1798187000,10123605547211,1783481866428927179
1,-1,1647327999,10123605786893,1783481866429166861
1,-1,1679360999,10123614143965,1783481866437523933
3,-1,1816864000,10123624226359,1783481866447606327
0,-1,1825197000,10123632552262,1783481866455932198
