batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,0,0,64041999,1783481964839101000
1,0,1,256167999,1783481965039308000
2,0,2,448293999,1783481965226417000
2,3,0,567200000,1783481965185761000
3,0,3,672441000,1783481965456406000
3,3,1,663328000,1783481965281827000
4,0,4,864567000,1783481965665006000
4,3,2,855584000,1783481965665126000
5,0,5,1056693000,1783481965761925000
5,1,0,1134800000,1783481965753354000
5,3,3,1079882666,1783481965794231000
6,1,1,1294964999,1783481965913485000
7,0,6,1472965999,1783481966283679000
7,1,2,1487162999,1783481966283937000
7,3,4,1496437332,1783481966283818000
8,0,7,1697112999,1783481966315642000
8,1,3,1711394000,1783481966347706000
8,2,0,1702100000,1783481966320629000
8,3,5,1688693332,1783481966307194000
9,0,8,1729134000,1783481966347693000
9,1,4,1743426999,1783481966393108000
9,2,1,1734128999,1783481966352637000
9,3,6,1720736000,1783481966339245000
10,0,9,1761154999,1783481966379675000
10,1,5,1775459999,1783481966425400000
10,2,2,1766157999,1783481966384664000
10,3,7,1816864000,1783481966435443000
11,0,10,1793175999,1783481966492283000
11,1,6,1807493000,1783481966457536000
11,2,3,1798187000,1783481966416755000
11,3,8,1848906666,1783481966492158000
12,0,11,1825197000,1783481966700991000
12,1,7,1839525999,1783481966492157000
12,2,4,1830215999,1783481966448761000
12,3,9,1880949332,1783481966499430000
13,0,12,1857217999,1783481966701003000
13,1,8,1871558999,1783481966701131000
13,2,5,1862244999,1783481966480804000
13,3,10,1912992000,1783481966701049000
14,0,13,1889238999,1783481966701098000
14,1,9,1903592000,1783481966701151000
14,2,6,1894274000,1783481966700734000
14,3,11,1945034666,1783481966701133000
15,0,14,1921260000,1783481966701106000
15,1,10,1935624999,1783481966701158000
15,2,7,1926302999,1783481966700801000
15,3,12,1977077332,1783481966701140000
16,0,15,2113386000,1783481966731897000
16,1,11,2095790000,1783481966714283000
16,2,8,1990361000,1783481966701356000
16,3,13,2009120000,1783481966701144000
17,0,16,2145406999,1783481966763920000
17,1,12,2127822999,1783481966746314000
17,2,9,2086448000,1783481966704952000
17,3,14,2105248000,1783481966723746000
18,0,17,2177427999,1783481966795953000
18,1,13,2159855999,1783481966778408000
18,2,10,2118476999,1783481966736972000
18,3,15,2137290666,1783481966755782000
19,0,18,2209449000,1783481966827968000
19,1,14,2223921999,1783481966842450000
19,2,11,2214563999,1783481967004761000
19,3,16,2201376000,1783481966819884000
20,0,19,2241469999,1783481966859982000
20,1,15,2255954999,1783481967004686000
20,2,12,2246592999,1783481967004772000
20,3,17,2233418666,1783481966851919000
21,0,20,2273490999,1783481966892009000
21,1,16,2287988000,1783481967004692000
21,2,13,2278622000,1783481967004778000
21,3,18,2265461332,1783481967004660000
22,0,21,2305512000,1783481967004823000
22,1,17,2320020999,1783481967004822000
22,2,14,2310650999,1783481967004844000
22,3,19,2297504000,1783481967004739000
23,0,22,2433595999,1783481967213555000
23,1,18,2416119999,1783481967213420000
23,2,15,2406737999,1783481967213421000
23,3,20,2425674666,1783481967213541000
24,0,23,2465616999,1783481967213928000
24,1,19,2448152999,1783481967213450000
24,2,16,2438766999,1783481967213491000
24,3,21,2457717332,1783481967213697000
25,0,24,2625721999,1783481967422322000
25,1,20,2640350999,1783481967422308000
25,2,17,2630940999,1783481967249449000
25,3,22,2617930666,1783481967236435000
26,0,25,2657742999,1783481967422331000
26,1,21,2672384000,1783481967422319000
26,2,18,2662970000,1783481967422372000
26,3,23,2649973332,1783481967422338000
27,0,26,2689764000,1783481967422337000
27,1,22,2704416999,1783481967422439000
27,2,19,2694998999,1783481967422515000
27,3,24,2682016000,1783481967422350000
28,0,27,2721784999,1783481967422341000
28,1,23,2736449999,1783481967631134000
28,2,20,2727027999,1783481967631155000
28,3,25,2714058666,1783481967422354000
29,0,28,2881890000,1783481967500472000
29,1,24,2832548999,1783481967631141000
29,2,21,2823114999,1783481967631209000
29,3,26,2842229332,1783481967631126000
30,0,29,2913910999,1783481967631098000
30,1,25,2864582000,1783481967631146000
30,2,22,2855144000,1783481967631235000
30,3,27,2874272000,1783481967631361000
31,0,30,2945931999,1783481967631115000
31,1,26,2896614999,1783481967631151000
31,2,23,3015288999,1783481967633796000
31,3,28,2906314666,1783481967631496000
32,0,31,3041994999,1783481967660537000
32,1,27,3056780000,1783481967675329000
32,2,24,3047318000,1783481967665833000
32,3,29,3034485332,1783481967843283000
33,0,32,3074016000,1783481967840358000
33,1,28,3088812999,1783481967707373000
33,2,25,3079346999,1783481967697890000
33,3,30,3066528000,1783481967843302000
34,0,33,3106036999,1783481967840465000
34,1,29,3120845999,1783481967840358000
34,2,26,3111375999,1783481967840635000
34,3,31,3098570666,1783481967843322000
35,0,34,3138057999,1783481967840550000
35,1,30,3152879000,1783481967840468000
35,2,27,3143405000,1783481967840643000
35,3,32,3130613332,1783481967843357000
36,0,35,3170079000,1783481968049169000
36,1,31,3184911999,1783481967840676000
36,2,28,3175433999,1783481967840647000
36,3,33,3226741332,1783481967845298000
37,0,36,3234120999,1783481968049180000
37,1,32,3216944999,1783481968049155000
37,2,29,3207462999,1783481967840652000
37,3,34,3258784000,1783481968049163000
38,0,37,3266142000,1783481968049193000
38,1,33,3248978000,1783481968049168000
38,2,30,3239492000,1783481968049189000
38,3,35,3290826666,1783481968049205000
39,0,38,3298162999,1783481968049270000
39,1,34,3281010999,1783481968049291000
39,2,31,3271520999,1783481968049301000
39,3,36,3322869332,1783481968049274000
40,0,39,3458268000,1783481968076782000
40,1,35,3473208999,1783481968091718000
40,2,32,3495723999,1783481968114246000
40,3,37,3354912000,1783481968049458000
41,0,40,3490288999,1783481968108789000
41,1,36,3505241999,1783481968123767000
41,2,33,3527753000,1783481968146268000
41,3,38,3451040000,1783481968069563000
42,0,41,3554331000,1783481968172840000
