batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,64041999,10222215876814,1783481965039256782,1
1,256167999,10222424395512,1783481965247775480,1
2,567200000,10222632987681,1783481965456367649,2
3,672441000,10222841609355,1783481965664989291,2
4,864567000,10223043009546,1783481965866389514,2
5,1134800000,10223251590292,1783481966074970260,3
6,1294964999,10223460180478,1783481966283560446,1
7,1496437332,10223668746440,1783481966492126408,3
8,1711394000,10223877318769,1783481966700698737,4
9,1743426999,10223877412530,1783481966700792498,4
10,1816864000,10223877477490,1783481966700857458,4
11,1848906666,10223877710356,1783481966701090292,4
12,1880949332,10223878100790,1783481966701480694,4
13,1912992000,10223908603977,1783481966731983913,4
14,1945034666,10223940611749,1783481966763991717,4
15,1977077332,10223972660770,1783481966796040706,4
16,2113386000,10224181244332,1783481967004624268,4
17,2145406999,10224181353932,1783481967004733868,4
18,2177427999,10224181432781,1783481967004812749,4
19,2223921999,10224390007607,1783481967213387543,4
20,2255954999,10224390156056,1783481967213536024,4
21,2287988000,10224390264536,1783481967213644504,4
22,2320020999,10224390340665,1783481967213720601,4
23,2433595999,10224598921603,1783481967422301571,4
24,2465616999,10224599041219,1783481967422421187,4
25,2640350999,10224807711502,1783481967631091470,4
26,2672384000,10224807958768,1783481967631338704,4
27,2704416999,10224808091760,1783481967631471728,4
28,2736449999,10224808190897,1783481967631570865,4
29,2881890000,10225016915228,1783481967840295164,4
30,2913910999,10225017071325,1783481967840451261,4
31,3015288999,10225017158653,1783481967840538589,4
32,3056780000,10225225732647,1783481968049112615,4
33,3088812999,10225225877032,1783481968049257000,4
34,3120845999,10225225971529,1783481968049351497,4
35,3152879000,10225226066025,1783481968049445993,4
36,3226741332,10225226132874,1783481968049512842,4
37,3258784000,10225276833300,1783481968100213268,4
38,3290826666,10225290926887,1783481968114306855,4
39,3322869332,10225331350548,1783481968154730516,4
40,3495723999,10225539890046,1783481968363270014,4
41,3527753000,10225539994399,1783481968363374335,4
42,3579210666,10225748610729,1783481968571990665,4
43,3611253332,10225748720106,1783481968572100074,4
44,3643296000,10225749343534,1783481968572723470,4
45,3675338666,10225749440494,1783481968572820462,4
46,3707381332,10225749506511,1783481968572886447,4
47,3771466666,10225789503290,1783481968612883258,4
48,3803509332,10225821553238,1783481968644933174,4
49,3985736999,10226030250369,1783481968853630337,4
50,4017770000,10226030360802,1783481968853740738,4
