cam,pts_ns,mono_ns,real_ns
0,64041999,10455037176177,1783482197860556113
0,96063000,10455039245661,1783482197862625629
0,128083999,10455041546763,1783482197864926731
0,160104999,10455043780345,1783482197867160313
0,192126000,10455045997959,1783482197869377895
0,224146999,10455055737858,1783482197879117826
0,256167999,10455237405687,1783482198060785655
3,567200000,10455398837584,1783482198222217552
3,599242666,10455430868339,1783482198254248307
0,288189000,10455439501416,1783482198262881352
3,631285332,10455462907799,1783482198286287767
3,663328000,10455494930970,1783482198318310906
3,695370666,10455526982014,1783482198350361950
3,727413332,10455558994817,1783482198382374785
3,759456000,10455647932416,1783482198471312384
0,320209999,10455647933920,1783482198471313888
3,791498666,10455856468857,1783482198679848793
0,352230999,10455856469689,1783482198679849625
1,1134800000,10455966396536,1783482198789776472
1,1166832999,10455998367547,1783482198821747483
1,1198865999,10456030457375,1783482198853837343
1,1230899000,10456062476258,1783482198885856194
3,823541332,10456062596067,1783482198885976035
0,416272999,10456062683588,1783482198886063556
1,1262931999,10456094505350,1783482198917885318
1,1294964999,10456126546154,1783482198949926090
0,608398999,10456271142364,1783482199094522332
1,1326998000,10456271155356,1783482199094535324
3,855584000,10456271246621,1783482199094626589
0,832545999,10456479683829,1783482199303063765
3,887626666,10456479685845,1783482199303065781
1,1359030999,10456479687061,1783482199303067029
2,1702100000,10456533691551,1783482199357071519
2,1734128999,10456565734818,1783482199389114754
2,1766157999,10456597753862,1783482199421133830
2,1798187000,10456629770665,1783482199453150601
2,1830215999,10456661790349,1783482199485170253
3,1047840000,10456688165102,1783482199511545070
1,1391063999,10456688173198,1783482199511553134
0,1056693000,10456688267374,1783482199511647342
2,1862244999,10456693827792,1783482199517207760
0,1248819000,10456896715719,1783482199720095687
2,1894274000,10456896717447,1783482199720097415
3,1240096000,10456896722439,1783482199720102375
1,1423097000,10456896812551,1783482199720192487
2,1926302999,10456896818919,1783482199720198887
0,1472965999,10456896829959,1783482199720209895
3,1464394666,10456896849256,1783482199720229192
1,1455129999,10456896890408,1783482199720270344
2,1958331999,10456896924200,1783482199720304168
3,1656650666,10456897017641,1783482199720397577
0,1665091999,10456897086473,1783482199720466409
0,1857217999,10456897093961,1783482199720473929
2,1990361000,10456897307434,1783482199720687402
3,1880949332,10456897515404,1783482199720895372
1,1679360999,10456897662733,1783482199721042669
1,1871558999,10456897676749,1783482199721056685
3,2073205332,10456904775416,1783482199728155352
0,2081364999,10456912938282,1783482199736318250
2,2086448000,10456918044169,1783482199741424137
1,2095790000,10456927365794,1783482199750745730
3,2105248000,10456936824060,1783482199760203996
0,2113386000,10456944963245,1783482199768343149
2,2118476999,10456950056588,1783482199773436556
1,2127822999,10456959394789,1783482199782774757
3,2137290666,10456968861503,1783482199792241439
0,2145406999,10456976975857,1783482199800355825
2,2150505999,10456982068656,1783482199805448592
1,2159855999,10456991428425,1783482199814808393
3,2169333332,10457000905827,1783482199824285827
0,2177427999,10457008997812,1783482199832377748
2,2182535000,10457014107923,1783482199837487859
1,2191889000,10457023464589,1783482199846844557
3,2201376000,10457032955238,1783482199856335206
0,2209449000,10457041034584,1783482199864414488
2,2214563999,10457046133879,1783482199869513815
1,2223921999,10457055499664,1783482199878879664
3,2233418666,10457064989514,1783482199888369482
0,2241469999,10457073044763,1783482199896424731
2,2246592999,10457078157562,1783482199901537530
1,2255954999,10457087517299,1783482199910897267
2,2278622000,10457232140774,1783482200055520678
3,2265461332,10457232140838,1783482200055520806
1,2287988000,10457232144134,1783482200055524102
0,2273490999,10457232151430,1783482200055531366
2,2310650999,10457232283687,1783482200055663623
3,2297504000,10457232295623,1783482200055675591
0,2305512000,10457232302119,1783482200055682055
1,2320020999,10457232317927,1783482200055697895
2,2342679999,10457232370216,1783482200055750152
3,2329546666,10457232377384,1783482200055757352
0,2337532999,10457232382568,1783482200055762536
1,2352053999,10457232394408,1783482200055774344
2,2374709000,10457232450824,1783482200055830760
3,2361589332,10457232453896,1783482200055833832
0,2369553999,10457232463528,1783482200055843464
1,2384087000,10457232489768,1783482200055869736
0,2401575000,10457432610574,1783482200255990510
1,2416119999,10457432611086,1783482200255991054
2,2406737999,10457432620686,1783482200256000622
3,2425674666,10457432627982,1783482200256007918
0,2433595999,10457432764367,1783482200256144303
3,2457717332,10457432785103,1783482200256165071
2,2438766999,10457432788399,1783482200256168367
1,2448152999,10457432799087,1783482200256179119
0,2465616999,10457432851824,1783482200256231792
1,2480186000,10457432855824,1783482200256235760
2,2470796000,10457432883376,1783482200256263312
3,2489760000,10457432898992,1783482200256278960
1,2512218999,10457433016209,1783482200256396145
0,2497638000,10457433021009,1783482200256400977
2,2502824999,10457433100785,1783482200256480753
3,2521802666,10457433275442,1783482200256655378
1,2608317999,10457439898939,1783482200263278907
3,2617930666,10457449526741,1783482200272906709
0,2625721999,10457457301925,1783482200280681861
2,2630940999,10457462523813,1783482200285903781
1,2640350999,10457471929502,1783482200295309438
3,2649973332,10457481557049,1783482200304937017
0,2657742999,10457489316584,1783482200312696520
2,2662970000,10457494556488,1783482200317936456
1,2672384000,10457503956002,1783482200327335970
3,2682016000,10457513591357,1783482200336971325
0,2689764000,10457521345292,1783482200344725228
