batch_idx,source_id,frame_num,buf_pts_ns,ntp_ns
0,0,0,64041999,1783482098054721000
1,0,1,192126000,1783482098063497000
2,0,2,416272999,1783482098458733000
2,3,0,567200000,1783482098409661000
3,0,3,608398999,1783482098546271000
3,3,1,631285332,1783482098473752000
4,0,4,832545999,1783482098875781000
4,3,2,823541332,1783482098875796000
5,0,5,1056693000,1783482098985831000
5,1,0,1134800000,1783482098977185000
5,3,3,1047840000,1783482099017604000
6,0,6,1248819000,1783482099290391000
6,1,1,1230899000,1783482099073264000
6,3,4,1240096000,1783482099290337000
7,0,7,1472965999,1783482099499474000
7,1,2,1455129999,1783482099553092000
7,3,5,1464394666,1783482099499499000
8,0,8,1665091999,1783482099507411000
8,1,3,1679360999,1783482099585062000
8,2,0,1702100000,1783482099544480000
8,3,6,1688693332,1783482099531053000
9,0,9,1697112999,1783482099561446000
9,1,4,1711394000,1783482099616941000
9,2,1,1734128999,1783482099576488000
9,3,7,1720736000,1783482099563081000
10,0,10,1729134000,1783482099707358000
10,1,5,1743426999,1783482099649002000
10,2,2,1766157999,1783482099608518000
10,3,8,1816864000,1783482099659209000
11,0,11,1761154999,1783482099915963000
11,1,6,1775459999,1783482099680991000
11,2,3,1798187000,1783482099640527000
11,3,9,1848906666,1783482099707358000
12,0,12,1793175999,1783482099915974000
12,1,7,1807493000,1783482099707353000
12,2,4,1830215999,1783482099672566000
12,3,10,1880949332,1783482099916164000
13,0,13,1825197000,1783482099915980000
13,1,8,1839525999,1783482099707362000
13,2,5,1862244999,1783482099704592000
13,3,11,1912992000,1783482099916172000
14,0,14,1889238999,1783482099916075000
14,1,9,1871558999,1783482099916101000
14,2,6,1894274000,1783482099915964000
14,3,12,1945034666,1783482099916178000
15,0,15,2081364999,1783482099923726000
15,1,10,1935624999,1783482099916552000
15,2,7,1926302999,1783482099916438000
15,3,13,1977077332,1783482099916450000
16,0,16,2113386000,1783482099955740000
16,1,11,1967657999,1783482099916614000
16,2,8,1958331999,1783482099916549000
16,3,14,2105248000,1783482099947601000
17,0,17,2145406999,1783482099987749000
17,1,12,2095790000,1783482099938159000
17,2,9,1990361000,1783482099916719000
17,3,15,2137290666,1783482099979647000
18,0,18,2177427999,1783482100019760000
18,1,13,2159855999,1783482100002195000
18,2,10,2150505999,1783482099992868000
18,3,16,2169333332,1783482100011676000
19,0,19,2209449000,1783482100051802000
19,1,14,2191889000,1783482100196582000
19,2,11,2182535000,1783482100196545000
19,3,17,2201376000,1783482100043734000
20,0,20,2241469999,1783482100083820000
20,1,15,2223921999,1783482100196594000
