cam,pts_ns,mono_ns,real_ns
0,64041999,10355231313159,1783482098054693127
0,96063000,10355232943729,1783482098056323665
0,128083999,10355235746530,1783482098059126498
0,160104999,10355237534124,1783482098060914060
0,192126000,10355240111356,1783482098063491324
0,224146999,10355243097710,1783482098066477678
0,256167999,10355431554044,1783482098254933980
3,567200000,10355586226687,1783482098409606623
0,288189000,10355595043764,1783482098418423732
0,320209999,10355595065044,1783482098418445012
3,599242666,10355618262176,1783482098441642112
0,352230999,10355626882388,1783482098450262324
0,416272999,10355635348295,1783482098458728263
3,631285332,10355650348993,1783482098473728929
3,663328000,10355682308321,1783482098505688289
0,576378000,10355690869813,1783482098514249749
3,695370666,10355714343970,1783482098537723906
0,608398999,10355722872021,1783482098546251957
3,727413332,10355746385379,1783482098569765315
0,640419999,10355843850125,1783482098667230061
3,759456000,10355843860109,1783482098667240077
0,672441000,10355843884366,1783482098667264302
0,704461999,10355843890958,1783482098667270894
0,736482999,10355843913774,1783482098667293806
3,791498666,10356052384564,1783482098875764532
0,832545999,10356052389524,1783482098875769492
3,823541332,10356052411061,1783482098875790997
0,864567000,10356052411637,1783482098875791605
1,1134800000,10356153784855,1783482098977164791
0,896587999,10356162342570,1783482098985722538
3,855584000,10356162377546,1783482098985757514
3,887626666,10356162404395,1783482098985784331
0,928608999,10356162436683,1783482098985816651
0,1056693000,10356162449483,1783482098985829451
1,1166832999,10356185786583,1783482099009166551
3,1047840000,10356194209770,1783482099017589738
0,1088713999,10356194218218,1783482099017598186
1,1198865999,10356217827160,1783482099041207160
3,1079882666,10356226267211,1783482099049647147
1,1230899000,10356249872633,1783482099073252601
3,1143968000,10356258339852,1783482099081719820
3,1176010666,10356258349228,1783482099081729196
0,1152756000,10356258356940,1783482099081736908
1,1262931999,10356281911546,1783482099105291546
1,1294964999,10356313934875,1783482099137314843
1,1326998000,10356466932852,1783482099290312820
3,1208053332,10356466942740,1783482099290322708
3,1240096000,10356466956340,1783482099290336276
3,1272138666,10356466961172,1783482099290341140
0,1184776999,10356466961172,1783482099290341140
0,1216797999,10356466982516,1783482099290362452
0,1248819000,10356467009716,1783482099290389684
0,1280839999,10356467016244,1783482099290396180
1,1359030999,10356675970078,1783482099499350046
1,1391063999,10356675991582,1783482099499371518
0,1472965999,10356676066526,1783482099499446494
3,1304181332,10356676072126,1783482099499452094
0,1504986999,10356676111487,1783482099499491423
