cam,seq,pts_ns,mono_ns,real_ns
0,-1,64041999,10255292770998,1783481998116150998
0,-1,96063000,10255294755906,1783481998118135874
0,-1,128083999,10255297187120,1783481998120567056
0,-1,160104999,10255299087036,1783481998122467036
0,-1,192126000,10255302805682,1783481998126185618
0,-1,224146999,10255309452281,1783481998132832249
0,-1,256167999,10255492986166,1783481998316366134
3,-1,567200000,10255652539814,1783481998475919782
0,-1,288189000,10255661267642,1783481998484647610
0,-1,320209999,10255661285178,1783481998484665114
0,-1,352230999,10255661290778,1783481998484670714
3,-1,599242666,10255684582916,1783481998507962884
0,-1,416272999,10255693249335,1783481998516629303
0,-1,576378000,10255693269431,1783481998516649399
3,-1,631285332,10255716589953,1783481998539969921
3,-1,663328000,10255748640830,1783481998572020798
0,-1,608398999,10255757101425,1783481998580481393
3,-1,695370666,10255780679708,1783481998604059676
0,-1,640419999,10255789130670,1783481998612510606
3,-1,727413332,10255812718201,1783481998636098201
0,-1,672441000,10255901713480,1783481998725093448
3,-1,759456000,10255901717256,1783481998725097256
0,-1,704461999,10255901741064,1783481998725121000
0,-1,736482999,10255901751656,1783481998725131624
3,-1,791498666,10256110280473,1783481998933660441
0,-1,768504000,10256110282841,1783481998933662809
0,-1,832545999,10256110310394,1783481998933690330
0,-1,864567000,10256110319706,1783481998933699674
3,-1,823541332,10256110319994,1783481998933699962
1,-1,1134800000,10256220129507,1783481999043509475
0,-1,896587999,10256228775862,1783481999052155830
3,-1,855584000,10256228878231,1783481999052258199
3,-1,887626666,10256228930103,1783481999052310103
0,-1,1056693000,10256228944759,1783481999052324695
0,-1,1088713999,10256228960407,1783481999052340343
3,-1,1047840000,10256228969975,1783481999052349911
1,-1,1166832999,10256252155233,1783481999075535169
3,-1,1079882666,10256260796820,1783481999084176756
0,-1,1120734999,10256260801204,1783481999084181172
1,-1,1198865999,10256284225470,1783481999107605470
3,-1,1143968000,10256292880530,1783481999116260498
1,-1,1230899000,10256316254428,1783481999139634396
0,-1,1152756000,10256316474781,1783481999139854749
3,-1,1176010666,10256316483325,1783481999139863261
3,-1,1208053332,10256316498909,1783481999139878877
1,-1,1262931999,10256348414554,1783481999171794522
0,-1,1184776999,10256357144718,1783481999180524654
1,-1,1294964999,10256380322199,1783481999203702199
1,-1,1326998000,10256525093071,1783481999348473039
3,-1,1240096000,10256525558770,1783481999348938738
3,-1,1272138666,10256525582194,1783481999348962162
0,-1,1216797999,10256525599122,1783481999348979090
0,-1,1248819000,10256525607442,1783481999348987410
0,-1,1280839999,10256733778434,1783481999557158402
0,-1,1312860999,10256733809474,1783481999557189410
0,-1,1472965999,10256733815298,1783481999557195266
1,-1,1359030999,10256733833442,1783481999557213442
0,-1,1504986999,10256733839298,1783481999557219266
1,-1,1391063999,10256733958819,1783481999557338755
1,-1,1423097000,10256734266373,1783481999557646341
3,-1,1304181332,10256734275813,1783481999557655781
3,-1,1336224000,10256734299653,1783481999557679589
3,-1,1464394666,10256734330501,1783481999557710437
1,-1,1455129999,10256734367269,1783481999557747205
3,-1,1496437332,10256734420198,1783481999557800134
3,-1,1656650666,10256741949170,1783481999565329138
0,-1,1665091999,10256750427460,1783481999573807460
2,-1,1702100000,10256787421695,1783481999610801663
0,-1,1697112999,10256796018066,1783481999619398034
3,-1,1688693332,10256796059762,1783481999619439698
1,-1,1679360999,10256796140019,1783481999619520019
3,-1,1720736000,10256806036973,1783481999629417133
0,-1,1729134000,10256814432991,1783481999637812959
2,-1,1734128999,10256819438781,1783481999642818749
1,-1,1711394000,10256819534429,1783481999642914365
0,-1,1761154999,10256846458780,1783481999669838716
2,-1,1766157999,10256851459226,1783481999674839226
1,-1,1743426999,10256859905996,1783481999683285932
2,-1,1798187000,10256883495415,1783481999706875383
1,-1,1775459999,10256891967818,1783481999715347754
3,-1,1816864000,10256902178854,1783481999725558822
2,-1,1830215999,10256915565237,1783481999738945141
1,-1,1807493000,10256924182280,1783481999747562248
1,-1,1839525999,10256942219859,1783481999765599795
0,-1,1793175999,10256942223475,1783481999765603475
3,-1,1848906666,10256942231859,1783481999765611827
2,-1,1862244999,10256947543858,1783481999770923826
1,-1,1871558999,10257150790629,1783481999974170597
0,-1,1825197000,10257150796357,1783481999974176357
2,-1,1894274000,10257150801061,1783481999974181029
