cam,seq,pts_ns,mono_ns,real_ns
0,-1,64041999,10388489649970,1783482131313029906
0,-1,96063000,10388491662430,1783482131315042366
0,-1,128083999,10388492826021,1783482131316205989
0,-1,160104999,10388494953810,1783482131318333778
0,-1,192126000,10388495943224,1783482131319323224
0,-1,224146999,10388513625635,1783482131337005603
0,-1,256167999,10388689858221,1783482131513238157
3,-1,567200000,10388856730110,1783482131680110078
0,-1,288189000,10388865414483,1783482131688794451
3,-1,599242666,10388888718752,1783482131712098720
0,-1,320209999,10388897160755,1783482131720540723
0,-1,352230999,10388897173683,1783482131720553651
3,-1,631285332,10388920759778,1783482131744139714
3,-1,663328000,10388952809539,1783482131776189539
0,-1,416272999,10388961326135,1783482131784706135
3,-1,695370666,10388984856933,1783482131808236901
0,-1,576378000,10388993343353,1783482131816723321
3,-1,727413332,10389016888199,1783482131840268167
0,-1,608398999,10389105664608,1783482131929044576
3,-1,759456000,10389105669664,1783482131929049600
0,-1,640419999,10389105681984,1783482131929061920
0,-1,672441000,10389105689664,1783482131929069600
0,-1,704461999,10389105693696,1783482131929073664
3,-1,791498666,10389314210605,1783482132137590541
0,-1,832545999,10389314215533,1783482132137595501
0,-1,864567000,10389314236654,1783482132137616590
1,-1,1134800000,10389424309095,1783482132247689095
3,-1,823541332,10389432863611,1783482132256243579
0,-1,896587999,10389432867451,1783482132256247387
3,-1,855584000,10389432962876,1783482132256342844
0,-1,928608999,10389432973372,1783482132256353340
0,-1,1056693000,10389432988572,1783482132256368476
1,-1,1166832999,10389456321481,1783482132279701449
3,-1,887626666,10389464825917,1783482132288205885
0,-1,1088713999,10389464825981,1783482132288205949
1,-1,1198865999,10389488356171,1783482132311736139
3,-1,1047840000,10389496817214,1783482132320197150
1,-1,1230899000,10389520389261,1783482132343769197
0,-1,1152756000,10389520512109,1783482132343892045
3,-1,1143968000,10389520523149,1783482132343903149
3,-1,1176010666,10389520537934,1783482132343917870
1,-1,1262931999,10389552432846,1783482132375812782
1,-1,1294964999,10389584443184,1783482132407823152
1,-1,1326998000,10389729121723,1783482132552501691
0,-1,1184776999,10389729130203,1783482132552510171
0,-1,1216797999,10389729146971,1783482132552526907
0,-1,1248819000,10389729151867,1783482132552531803
3,-1,1208053332,10389729169628,1783482132552549532
0,-1,1280839999,10389729173692,1783482132552553660
3,-1,1240096000,10389729203420,1783482132552583388
3,-1,1272138666,10389729222236,1783482132552602204
3,-1,1304181332,10389729236636,1783482132552616604
1,-1,1359030999,10389937667177,1783482132761047113
1,-1,1391063999,10389937687817,1783482132761067785
0,-1,1472965999,10389937707593,1783482132761087529
0,-1,1504986999,10389937734921,1783482132761114889
0,-1,1537008000,10389937752329,1783482132761132265
3,-1,1464394666,10389937766185,1783482132761146121
3,-1,1496437332,10389937837034,1783482132761217002
3,-1,1528480000,10389937845162,1783482132761225130
2,-1,1702100000,10389991605647,1783482132814985615
0,-1,1569028999,10390000141411,1783482132823521379
3,-1,1560522666,10390000174979,1783482132823554915
1,-1,1423097000,10390000231331,1783482132823611267
2,-1,1734128999,10390023609777,1783482132846989745
3,-1,1656650666,10390032090468,1783482132855470436
1,-1,1455129999,10390032155396,1783482132855535364
0,-1,1665091999,10390032350310,1783482132855730246
0,-1,1697112999,10390040807897,1783482132864187833
2,-1,1766157999,10390055654514,1783482132879034482
3,-1,1688693332,10390064083557,1783482132887463461
1,-1,1679360999,10390064173062,1783482132887553030
2,-1,1798187000,10390087686228,1783482132911066228
1,-1,1711394000,10390096165064,1783482132919545032
2,-1,1830215999,10390119694710,1783482132943074678
1,-1,1743426999,10390128125961,1783482132951505929
1,-1,1775459999,10390146102070,1783482132969482006
0,-1,1729134000,10390146112022,1783482132969491958
3,-1,1720736000,10390146127894,1783482132969507862
2,-1,1862244999,10390151729720,1783482132975109656
1,-1,1807493000,10390354715780,1783482133178095748
2,-1,1894274000,10390354730404,1783482133178110340
1,-1,1839525999,10390354739556,1783482133178119524
1,-1,1871558999,10390354747108,1783482133178127076
3,-1,1816864000,10390354810468,1783482133178190436
2,-1,1926302999,10390354812964,1783482133178192900
3,-1,1848906666,10390354822948,1783482133178202916
3,-1,1880949332,10390354848325,1783482133178228293
3,-1,1912992000,10390354854213,1783482133178234181
0,-1,1761154999,10390354870053,1783482133178249989
0,-1,1793175999,10390354901893,1783482133178281829
0,-1,1825197000,10390354906757,1783482133178286725
0,-1,1857217999,10390354931685,1783482133178311653
1,-1,1903592000,10390355048326,1783482133178428294
2,-1,1958331999,10390355345224,1783482133178725192
2,-1,1990361000,10390355425736,1783482133178805672
3,-1,2073205332,10390362688276,1783482133186068212
0,-1,2081364999,10390370852517,1783482133194232453
2,-1,2086448000,10390375940132,1783482133199320068
1,-1,2095790000,10390385276861,1783482133208656797
3,-1,2105248000,10390394751190,1783482133218131158
0,-1,2113386000,10390402867815,1783482133226247783
2,-1,2118476999,10390407970054,1783482133231350054
1,-1,2127822999,10390417323070,1783482133240703038
3,-1,2137290666,10390426782744,1783482133250162712
0,-1,2145406999,10390434886793,1783482133258266761
2,-1,2150505999,10390439990728,1783482133263370728
1,-1,2159855999,10390449344960,1783482133272724928
3,-1,2169333332,10390458803129,1783482133282183097
0,-1,2177427999,10390466905002,1783482133290284938
1,-1,2191889000,10390481392194,1783482133304772162
3,-1,2201376000,10390490859227,1783482133314239163
0,-1,2209449000,10390498931308,1783482133322311244
1,-1,2223921999,10390513398948,1783482133336778884
3,-1,2233418666,10390522892413,1783482133346272381
0,-1,2241469999,10390530946222,1783482133354326190
0,-1,2273490999,10390611556278,1783482133434936246
2,-1,2182535000,10390611570486,1783482133434950454
3,-1,2265461332,10390611571542,1783482133434951510
1,-1,2255954999,10390611594550,1783482133434974518
3,-1,2297504000,10390611673974,1783482133435053878
0,-1,2305512000,10390611678870,1783482133435058838
2,-1,2214563999,10390611681398,1783482133435061366
1,-1,2287988000,10390611695094,1783482133435075062
2,-1,2246592999,10390820228708,1783482133643608708
0,-1,2337532999,10390820231076,1783482133643611044
1,-1,2320020999,10390820232676,1783482133643612612
3,-1,2329546666,10390820245828,1783482133643625796
2,-1,2278622000,10390820258980,1783482133643638916
2,-1,2342679999,10390820316421,1783482133643696357
0,-1,2369553999,10390820320069,1783482133643700005
1,-1,2352053999,10390820336293,1783482133643716229
3,-1,2361589332,10390820341637,1783482133643721573
0,-1,2401575000,10390820407493,1783482133643787429
1,-1,2384087000,10390820430405,1783482133643810373
2,-1,2374709000,10390820459461,1783482133643839397
3,-1,2393632000,10390820502054,1783482133643882022
3,-1,2425674666,10390820509350,1783482133643889318
0,-1,2433595999,10390820572486,1783482133643952486
1,-1,2416119999,10390820613862,1783482133643993798
2,-1,2534853999,10390824327421,1783482133647707389
1,-1,2544251999,10390833729846,1783482133657109814
3,-1,2553845332,10390843324816,1783482133666704784
0,-1,2561679999,10390851175583,1783482133674555519
2,-1,2566883000,10390856361759,1783482133679741727
1,-1,2576285000,10390865763064,1783482133689143032
3,-1,2585888000,10390875371666,1783482133698751634
0,-1,2593701000,10390883174433,1783482133706554369
2,-1,2598911999,10390888397952,1783482133711777920
1,-1,2608317999,10390897793081,1783482133721173081
3,-1,2617930666,10390907413460,1783482133730793428
0,-1,2625721999,10390915191747,1783482133738571715
2,-1,2630940999,10390920412546,1783482133743792482
1,-1,2640350999,10390929817627,1783482133753197595
3,-1,2649973332,10390939450901,1783482133762830869
0,-1,2657742999,10390947225508,1783482133770605444
2,-1,2662970000,10390952444100,1783482133775824036
1,-1,2672384000,10390961867965,1783482133785247965
3,-1,2682016000,10390971500215,1783482133794880183
0,-1,2689764000,10390979270822,1783482133802650790
2,-1,2694998999,10390984485286,1783482133807865254
0,-1,2721784999,10391114806650,1783482133938186618
