batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
0,64041999,10288885771295,1783482031709151263,1
1,224146999,10289094255320,1783482031917635288,1
2,567200000,10289302818065,1783482032126198001,2
3,663328000,10289511365866,1783482032334745834,2
4,864567000,10289712216054,1783482032535595990,2
5,1134800000,10289920763375,1783482032744143343,3
6,1262931999,10290129392745,1783482032952772681,1
7,1496437332,10290337915586,1783482033161295554,3
8,1702100000,10290546498172,1783482033369878140,4
9,1734128999,10290546608445,1783482033369988413,4
10,1816864000,10290546753661,1783482033370133597,4
11,1848906666,10290546832094,1783482033370212062,4
12,1880949332,10290546896254,1783482033370276190,4
13,1912992000,10290577955543,1783482033401335511,4
14,1945034666,10290609959510,1783482033433339478,4
15,2113386000,10290818517967,1783482033641897903,4
16,2145406999,10290818648304,1783482033642028272,4
17,2182535000,10291027239466,1783482033850619434,4
18,2214563999,10291027353835,1783482033850733771,4
19,2246592999,10291027438091,1783482033850818027,4
20,2278622000,10291027506860,1783482033850886828,4
21,2374709000,10291058781382,1783482033882161318,4
22,2406737999,10291090792708,1783482033914172644,4
23,2438766999,10291122934564,1783482033946314500,4
24,2585888000,10291331547614,1783482034154927582,4
25,2617930666,10291331663486,1783482034155043422,4
26,2649973332,10291331753631,1783482034155133567,4
27,2694998999,10291540331097,1783482034363711033,4
28,2727027999,10291540444282,1783482034363824250,4
29,2759057000,10291540527226,1783482034363907194,4
30,2791085999,10291540609338,1783482034363989306,4
31,2906314666,10291749209493,1783482034572589429,4
32,2938357332,10291749313397,1783482034572693333,4
33,2970400000,10291749681047,1783482034573061015,4
34,3111375999,10291958294033,1783482034781673969,4
35,3143405000,10291958403058,1783482034781783026,4
36,3226741332,10291958517555,1783482034781897523,4
37,3258784000,10291958636596,1783482034782016564,4
38,3303549999,10291995167533,1783482034818547469,4
39,3335579000,10292027233292,1783482034850613260,4
40,3367607999,10292059238219,1783482034882618155,4
41,3399636999,10292091213289,1783482034914593257,4
42,3522309999,10292299764835,1783482035123144771,4
43,3554331000,10292299870339,1783482035123250275,4
44,3586351999,10292299952612,1783482035123332580,4
45,3618372999,10292300038756,1783482035123418724,4
46,3665406999,10292508671935,1783482035332051871,4
47,3697439999,10292508794592,1783482035332174560,4
48,3729473000,10292508876768,1783482035332256736,4
49,3761505999,10292508936225,1783482035332316193,4
50,3874540999,10292717536891,1783482035540916859,4
51,3906561999,10292717647707,1783482035541027675,4
52,3938583000,10292717718044,1783482035541097980,4
53,4066666999,10292763748750,1783482035587128686,4
54,4098687999,10292763916015,1783482035587295983,4
55,4130709000,10292795687948,1783482035619067884,4
56,4162729999,10292827748459,1783482035651128427,4
57,4290813999,10293036285797,1783482035859665733,4
58,4322835000,10293036425670,1783482035859805638,4
59,4354855999,10293036514086,1783482035859894054,4
60,4402166000,10293245106305,1783482036068486273,4
61,4434198999,10293245235617,1783482036068615585,4
62,4466231999,10293245319394,1783482036068699362,4
63,4594364000,10293281875228,1783482036105255164,4
64,4626396999,10293355677555,1783482036179057523,4
65,4658429999,10293355792596,1783482036179172532,4
66,4690463000,10293355879765,1783482036179259669,4
67,4808912999,10293473958708,1783482036297338676,4
68,4904999999,10293682544558,1783482036505924494,4
69,4937028999,10293682649967,1783482036506029935,4
70,4969058000,10293682730383,1783482036506110351,4
71,5001086999,10293682795248,1783482036506175184,4
72,5033115999,10293716073814,1783482036539453782,4
73,5065145000,10293748061461,1783482036571441429,4
74,5097173999,10293780035443,1783482036603415379,4
75,5245429332,10293988661646,1783482036812041614,4
76,5277472000,10293988775854,1783482036812155790,4
77,5309514666,10293988862447,1783482036812242415,4
78,5353406000,10294197501930,1783482037020881898,4
79,5385434999,10294197665579,1783482037021045547,4
80,5417463999,10294197771627,1783482037021151595,4
81,5545580000,10294242734711,1783482037066114647,4
82,5577608999,10294242841304,1783482037066221272,4
83,5609637999,10294274724598,1783482037098104566,4
84,5763780000,10294483334672,1783482037306714608,4
85,5795800999,10294483449745,1783482037306829681,4
86,5843651000,10294692039084,1783482037515419052,4
87,5875683999,10294692147532,1783482037515527500,4
88,5907716999,10294692246573,1783482037515626541,4
89,5939750000,10294692504239,1783482037515884207,4
90,6046496000,10294765095679,1783482037588475615,4
91,6078538666,10294765207552,1783482037588587520,4
92,6110581332,10294787147906,1783482037610527874,4
93,6314276000,10294995690685,1783482037819070621,4
94,6356178999,10295204284279,1783482038027664215,4
95,6388211999,10295204377784,1783482038027757752,4
96,6420245000,10295204473497,1783482038027853433,4
97,6452277999,10295204544217,1783482038027924185,4
98,6532284000,10295204750746,1783482038028130682,4
99,6564304999,10295252993306,1783482038076373274,4
100,6751434666,10295461579413,1783482038284959381,4
101,6783477332,10295461710293,1783482038285090261,4
102,6826739999,10295670293872,1783482038493673840,4
103,6858768999,10295670436369,1783482038493816337,4
104,6890798000,10295670518738,1783482038493898706,4
105,6922826999,10295670581394,1783482038493961362,4
106,7028871999,10295879166445,1783482038702546413,4
107,7108662000,10295879281229,1783482038702661165,4
108,7140682999,10295879363982,1783482038702743918,4
109,7243116999,10296087962569,1783482038911342537,4
110,7275146000,10296088070665,1783482038911450601,4
111,7307174999,10296088154538,1783482038911534506,4
112,7339203999,10296088224458,1783482038911604426,4
113,7456373332,10296296788293,1783482039120168229,4
114,7488416000,10296296900102,1783482039120280038,4
115,7520458666,10296296982662,1783482039120362598,4
116,7627464999,10296297059879,1783482039120439847,4
117,7723551999,10296505649410,1783482039329029378,4
118,7755581000,10296505758883,1783482039329138851,4
119,7787609999,10296505841763,1783482039329221731,4
120,7819638999,10296505915204,1783482039329295172,4
121,7872928000,10296714505279,1783482039537885247,4
122,7904970666,10296714637631,1783482039538017567,4
123,7937013332,10296714724224,1783482039538104192,4
124,8075870999,10296923406460,1783482039746786396,4
125,8107899999,10296923526588,1783482039746906556,4
126,8139929000,10296923607805,1783482039746987773,4
127,8268044999,10296965228725,1783482039788608661,4
128,8300073999,10296965341046,1783482039788721014,4
129,8332103000,10297020866496,1783482039844246464,4
130,8517585999,10297229590268,1783482040052970236,4
131,8549607000,10297229701117,1783482040053081085,4
132,8588334999,10297438323161,1783482040261703097,4
133,8620364000,10297438443513,1783482040261823481,4
134,8652392999,10297438518042,1783482040261898010,4
135,8770122666,10297438581178,1783482040261961114,4
136,8866250666,10297647209526,1783482040470589494,4
137,8898293332,10297647320886,1783482040470700854,4
138,9004712000,10297669769724,1783482040493149692,4
139,9036740999,10297701767131,1783482040525147099,4
140,9132827999,10297910378582,1783482040733758550,4
141,9164856999,10297910483255,1783482040733863223,4
142,9196886000,10297910564631,1783482040733944599,4
143,9228914999,10297910631256,1783482040734011224,4
144,9260943999,10297948051575,1783482040771431543,4
145,9292973000,10297980094806,1783482040803474774,4
146,9325001999,10298012135573,1783482040835515509,4
147,9357030999,10298044095891,1783482040867475827,4
148,9475061332,10298252657295,1783482041076037263,4
149,9507104000,10298252776239,1783482041076156175,4
150,9539146666,10298252857680,1783482041076237616,4
151,9571189332,10298252924496,1783482041076304464,4
152,9613262999,10298461547596,1783482041284927564,4
153,9645291999,10298461672973,1783482041285052941,4
154,9677321000,10298461760365,1783482041285140333,4
155,9827530666,10298670585034,1783482041493965002,4
156,9859573332,10298670733259,1783482041494113227,4
157,9926509999,10298670827020,1783482041494206956,4
